"PL","PBN","SBN","s"
"1","0.410876088992175","0.42837215085816","BRKG"
"0.410876088992175","1","0.394971335244662","BRKG"
"0.42837215085816","0.394971335244662","1","BRKG"
"1","0.358686374328739","0.399727809085329","CLMB"
"0.358686374328739","1","0.496121719713283","CLMB"
"0.399727809085329","0.496121719713283","1","CLMB"
"1","0.301251860977626","0.421126479089218","KBSM"
"0.301251860977626","1","0.539953409769156","KBSM"
"0.421126479089218","0.539953409769156","1","KBSM"
"1","0.522736851341751","0.625647289665541","KING"
"0.522736851341751","1","0.609531460133347","KING"
"0.625647289665541","0.609531460133347","1","KING"
"1","0.427906298446601","0.5197737777837","LINC"
"0.427906298446601","1","0.598146258531833","LINC"
"0.5197737777837","0.598146258531833","1","LINC"
"1","0.558352808184874","0.682169853357933","MNHT"
"0.558352808184874","1","0.665003497479805","MNHT"
"0.682169853357933","0.665003497479805","1","MNHT"
"1","0.520970880432841","0.593443073047092","OVTN"
"0.520970880432841","1","0.578827048353122","OVTN"
"0.593443073047092","0.578827048353122","1","OVTN"
"1","0.274443519825419","0.209920896374447","PKLE"
"0.274443519825419","1","0.505980320607446","PKLE"
"0.209920896374447","0.505980320607446","1","PKLE"
"1","0.417026825285154","0.417162618914118","STIL"
"0.417026825285154","1","0.574312161810195","STIL"
"0.417162618914118","0.574312161810195","1","STIL"
"1","0.354512664319079","0.528591242668674","TMPL"
"0.354512664319079","1","0.459811719678721","TMPL"
"0.528591242668674","0.459811719678721","1","TMPL"
