"SITE","LINE","FL50","TC","BIO"
"BRKG",1,208,159,0.95
"BRKG",2,NA,NA,NA
"BRKG",3,208,96,0.546
"BRKG",4,217,150,1.2305
"BRKG",5,208,42,0.328
"BRKG",7,208,102,0.598
"BRKG",8,215,123,0.778
"BRKG",9,NA,NA,NA
"BRKG",10,207,34,0.162
"BRKG",11,211,120,1.052
"BRKG",12,203,103,0.745
"BRKG",13,NA,93,1.053
"BRKG",14,206,68,0.356
"BRKG",15,217,155,1.418
"BRKG",16,211,79,0.532
"BRKG",17,NA,NA,NA
"BRKG",18,207,105,0.846
"BRKG",19,206,120,0.863
"BRKG",20,206.5,59.5,0.997
"BRKG",21,208,126,1.092
"BRKG",22,208,122,0.556
"BRKG",23,NA,138,1.964
"BRKG",24,212,102,0.87
"BRKG",25,210.5,120.5,1.101
"BRKG",26,209,123,0.608
"BRKG",27,217,44,0.525
"BRKG",28,209,140,1.219
"BRKG",29,208,92,0.698
"BRKG",30,NA,NA,NA
"BRKG",31,207,83,0.599
"BRKG",32,210,135,1.624
"BRKG",33,207,94,0.6005
"BRKG",34,207,138,1.15
"BRKG",35,214,140.5,1.215
"BRKG",36,215,62,0.666
"BRKG",37,NA,NA,NA
"BRKG",38,NA,NA,NA
"BRKG",39,NA,NA,NA
"BRKG",40,NA,NA,NA
"BRKG",41,207,177,0.987
"BRKG",42,207,189,1.353
"BRKG",43,203,83,0.761
"BRKG",44,211,233,1.733
"BRKG",45,204,71,0.427
"BRKG",46,205,122,0.699
"BRKG",47,211,63,0.465
"BRKG",48,207,119,0.707
"BRKG",49,207,104,0.881
"BRKG",50,NA,NA,NA
"BRKG",52,NA,NA,NA
"BRKG",53,206,108,0.833
"BRKG",54,218,91,0.725
"BRKG",55,207,163,0.556
"BRKG",56,NA,146,0.978
"BRKG",57,205,87,0.454
"BRKG",58,208,63,0.326
"BRKG",59,NA,NA,NA
"BRKG",60,NA,NA,NA
"BRKG",61,213,90.5,1.056
"BRKG",62,207,52,0.521
"BRKG",63,207,96,0.613
"BRKG",64,207,139,0.9
"BRKG",65,207,81,0.5
"BRKG",66,NA,135,1.437
"BRKG",67,211,172,1.44
"BRKG",68,NA,NA,NA
"BRKG",69,216.5,76.5,0.871
"BRKG",70,NA,NA,NA
"BRKG",71,NA,107,1.306
"BRKG",72,207,123,0.813
"BRKG",73,207,71.5,0.639
"BRKG",74,NA,135,1.593
"BRKG",75,NA,84,1.144
"BRKG",76,NA,NA,NA
"BRKG",77,207,107,0.571
"BRKG",78,208,83,0.82
"BRKG",79,210,90,1.022
"BRKG",80,211,112,0.775
"BRKG",81,207,65,0.373
"BRKG",83,217,92,0.7556
"BRKG",84,207,95,0.648
"BRKG",85,207,121,1.076
"BRKG",86,216,59,0.56
"BRKG",87,207,92,0.496
"BRKG",88,210,212,1.611
"BRKG",89,208,36,0.444
"BRKG",90,218,110,0.673
"BRKG",91,216,33,0.273
"BRKG",93,208,126,1.223
"BRKG",94,NA,NA,NA
"BRKG",95,216,196,1.267
"BRKG",96,206,60,0.221
"BRKG",97,207,45,0.351
"BRKG",98,NA,NA,NA
"BRKG",99,210,115,0.641
"BRKG",100,NA,108,0.957
"BRKG",101,NA,116,0.79
"BRKG",102,NA,122,1.638
"BRKG",103,211,152,1.638
"BRKG",104,207,81,0.872
"BRKG",105,218,176,1.436
"BRKG",106,208,182,1.731
"BRKG",107,211,122,0.895
"BRKG",108,207,85,0.717
"BRKG",110,208,74,0.595
"BRKG",111,206,105,0.365
"BRKG",112,208,136,1.098
"BRKG",113,211,78,0.527
"BRKG",114,NA,NA,NA
"BRKG",115,NA,NA,NA
"BRKG",116,208,114,1.102
"BRKG",117,211,122,0.922
"BRKG",118,208,97,0.715
"BRKG",119,218,182,1.701
"BRKG",120,208,87,0.537
"BRKG",122,210,35.5,0.3185
"BRKG",123,201,167,1.309
"BRKG",125,NA,89,0.511
"BRKG",126,205,133,0.73
"BRKG",127,206,63,0.652
"BRKG",128,207,47,0.4775
"BRKG",130,208,126,1.136
"BRKG",131,206,182,1.426
"BRKG",132,210,83,0.707
"BRKG",134,NA,60.5,0.6195
"BRKG",135,207,45,0.322
"BRKG",136,186,5,NA
"BRKG",137,NA,NA,NA
"BRKG",138,212,NA,0.481
"BRKG",139,NA,NA,NA
"BRKG",141,208,121,0.685
"BRKG",142,206,166,1.486
"BRKG",143,NA,95,1.106
"BRKG",144,NA,NA,NA
"BRKG",145,207,76,0.511
"BRKG",146,211,47,0.237
"BRKG",147,207,121,1.018
"BRKG",148,207,100,0.797
"BRKG",150,205,74,0.485
"BRKG",151,210,72,0.549
"BRKG",152,NA,NA,NA
"BRKG",153,210,104,1.02
"BRKG",154,216,103,0.94
"BRKG",155,210,122,1.557
"BRKG",156,204,127,0.805
"BRKG",157,202,87,0.786
"BRKG",158,208,165,1.104
"BRKG",159,208,126,1.158
"BRKG",160,212,124,0.846
"BRKG",161,212,139,1.001
"BRKG",163,219,57,0.374
"BRKG",164,NA,NA,NA
"BRKG",165,210,76,0.662
"BRKG",166,NA,174,2.059
"BRKG",167,NA,NA,NA
"BRKG",168,216,149,1.358
"BRKG",169,208,69,0.594
"BRKG",170,206,116,1.028
"BRKG",171,207,155,0.917
"BRKG",172,NA,NA,NA
"BRKG",173,206,82,0.476
"BRKG",174,207,111,0.852
"BRKG",175,NA,208,2.48
"BRKG",176,205,129,1.083
"BRKG",177,216,175,1.561
"BRKG",178,212,98,1.053
"BRKG",179,NA,NA,NA
"BRKG",180,203,63,0.863
"BRKG",181,NA,NA,NA
"BRKG",182,210.5,73,0.7285
"BRKG",184,206,174,1.346
"BRKG",185,207,103,0.561
"BRKG",186,NA,164,1.42
"BRKG",187,209,180,1.502
"BRKG",188,211,57,0.692
"BRKG",189,211,117,1.509
"BRKG",190,209,66,0.654
"BRKG",191,203.5,129,0.891
"BRKG",192,217,102,0.843
"BRKG",193,217,58,0.8445
"BRKG",194,217,216,1.768
"BRKG",195,206,57,0.506
"BRKG",196,NA,43,0.551
"BRKG",197,210.5,85,0.737
"BRKG",198,211,133,1.154
"BRKG",199,211,132,1.494
"BRKG",200,208,134,1.128
"BRKG",201,206,119,1.042
"BRKG",202,206,22,0.167
"BRKG",203,207,96,0.881
"BRKG",204,204,151,0.685
"BRKG",205,NA,74,0.216
"BRKG",206,NA,NA,NA
"BRKG",207,206,77,0.481
"BRKG",208,213,70,0.4365
"BRKG",209,207.5,100.5,0.7825
"BRKG",210,217,152,1.529
"BRKG",211,NA,NA,NA
"BRKG",212,205,11,1.305
"BRKG",213,199,98,0.962
"BRKG",214,NA,49,0.561
"BRKG",215,NA,93,0.715
"BRKG",216,NA,144,1.117
"BRKG",217,208,143,0.972
"BRKG",218,216.5,135,1.286
"BRKG",219,218,28,0.349
"BRKG",220,210,41,0.266
"BRKG",221,NA,101,1.151
"BRKG",222,NA,62,0.381
"BRKG",223,216,210,1.742
"BRKG",224,211,97,1.03
"BRKG",225,205,108,1.218
"BRKG",226,211,85,0.632
"BRKG",227,207,171,1.07
"BRKG",228,206,146,1.319
"BRKG",229,210,41,0.616
"BRKG",230,206,92.5,0.6915
"BRKG",231,NA,NA,NA
"BRKG",232,208,152,1.49
"BRKG",233,215,105,0.654
"BRKG",234,217,122,1.134
"BRKG",235,207,125,1.129
"BRKG",236,NA,NA,NA
"BRKG",237,212,112,1.053
"BRKG",238,219,65,0.687
"BRKG",239,NA,62,0.539
"BRKG",240,203,118,1.094
"BRKG",241,NA,70,0.745
"BRKG",242,208,88.5,0.566
"BRKG",243,207,92,1.214
"BRKG",244,207,59.5,0.749
"BRKG",245,209.5,115,0.8675
"BRKG",246,206.5,98,0.8025
"BRKG",247,NA,168,1.722
"BRKG",248,NA,96,1.523
"BRKG",249,207,124.5,0.975
"BRKG",250,210,157,1.4
"BRKG",251,NA,162,1.736
"BRKG",252,217,128,1.148
"BRKG",253,210,125,1.214
"BRKG",254,207,121,0.727
"BRKG",255,206,22,0.136
"BRKG",256,NA,NA,NA
"BRKG",257,NA,157,1.461
"BRKG",258,207,217,1.149
"BRKG",259,207,229,1.324
"BRKG",260,208,77,0.555
"BRKG",261,207,71,0.781
"BRKG",262,211,88,0.556
"BRKG",263,NA,197,1.508
"BRKG",264,207.5,86,0.862
"BRKG",265,208,125,0.871
"BRKG",266,207,112,1.169
"BRKG",267,210,75,0.78
"BRKG",268,206,10,NA
"BRKG",269,207,78,0.542
"BRKG",270,207,108,0.962
"BRKG",271,217,233,1.839
"BRKG",272,210,136,1.045
"BRKG",273,NA,NA,NA
"BRKG",274,NA,113,0.126
"BRKG",275,208,124,0.924
"BRKG",276,NA,NA,NA
"BRKG",277,213,291,NA
"BRKG",278,203,163,1.456
"BRKG",279,207,44.5,0.371
"BRKG",280,NA,66,0.699
"BRKG",281,206,104,0.663
"BRKG",282,208,82,0.811
"BRKG",283,208,97,0.989
"BRKG",284,207,94,0.86
"BRKG",285,216,172.5,1.479
"BRKG",286,205,96,0.703
"BRKG",287,NA,NA,NA
"BRKG",288,210,62,0.827
"BRKG",289,210,89,0.673
"BRKG",290,206,38,0.226
"BRKG",291,217,119,0.99
"BRKG",292,206,129,1.255
"BRKG",293,207,99,0.7265
"BRKG",294,207,120,0.7035
"BRKG",296,210,139,1.624
"BRKG",297,212.5,55.5,0.3515
"BRKG",298,NA,NA,NA
"BRKG",299,211,109,0.978
"BRKG",300,211,87,0.993
"BRKG",301,207,143,1.088
"BRKG",302,207,130,0.897
"BRKG",303,218,123,1.703
"BRKG",304,206,103,0.972
"BRKG",305,207,102,0.993
"BRKG",306,207,101,1.165
"BRKG",307,207,138,0.7595
"BRKG",308,207,151,1.202
"BRKG",310,217,110,0.8375
"BRKG",311,210,85,NA
"BRKG",312,217,84,0.55
"BRKG",313,207,133,1.0665
"BRKG",314,208,93,0.774
"BRKG",315,206,91,0.634
"BRKG",316,208,147,1.181
"BRKG",317,208.5,126.5,0.7695
"BRKG",318,207,167,1.128
"BRKG",319,206,97,0.921
"BRKG",320,208.5,78,0.684
"BRKG",322,NA,127,1.046
"BRKG",323,207,85,0.587
"BRKG",324,206,109,1.077
"BRKG",325,210.5,87,0.6765
"BRKG",326,NA,81,0.642
"BRKG",327,NA,NA,NA
"BRKG",328,217,97,0.786
"BRKG",330,207,150,1.063
"BRKG",332,208,158,0.481
"BRKG",333,217,54,0.683
"BRKG",334,217,144,1.645
"BRKG",335,NA,NA,NA
"BRKG",336,NA,119,0.699
"BRKG",337,207,33,0.311
"BRKG",338,NA,NA,NA
"BRKG",339,215,114,0.753
"BRKG",340,NA,NA,NA
"BRKG",341,206,73,0.4
"BRKG",342,207,110,0.872
"BRKG",343,207,128,0.838
"BRKG",344,NA,29,0.111
"BRKG",345,207,59,0.3155
"BRKG",346,207,123,0.981
"BRKG",347,207,64,0.481
"BRKG",349,210,58,0.515
"BRKG",350,217,127,0.823
"BRKG",352,NA,NA,NA
"BRKG",353,207,52,1.661
"BRKG",354,211,99,0.67
"BRKG",355,212,182,1.469
"BRKG",356,205,91,0.68
"BRKG",358,207,142,1.049
"BRKG",359,212,105,0.619
"BRKG",360,206,140,1.209
"BRKG",361,206,88,0.6
