"SITE","LINE","FL50","TC","BIO","SITE2"
"BRKG",1,"208","159","0.95","BRKG"
"BRKG",2,"*","*","*","BRKG"
"BRKG",3,"208","96","0.546","BRKG"
"BRKG",4,"217","150","1.2305","BRKG"
"BRKG",5,"208","42","0.328","BRKG"
"BRKG",7,"208","102","0.598","BRKG"
"BRKG",8,"215","123","0.778","BRKG"
"BRKG",9,"*","*","*","BRKG"
"BRKG",10,"207","34","0.162","BRKG"
"BRKG",11,"211","120","1.052","BRKG"
"BRKG",12,"203","103","0.745","BRKG"
"BRKG",13,"*","93","1.053","BRKG"
"BRKG",14,"206","68","0.356","BRKG"
"BRKG",15,"217","155","1.418","BRKG"
"BRKG",16,"211","79","0.532","BRKG"
"BRKG",17,"*","*","*","BRKG"
"BRKG",18,"207","105","0.846","BRKG"
"BRKG",19,"206","120","0.863","BRKG"
"BRKG",20,"206.5","59.5","0.997","BRKG"
"BRKG",21,"208","126","1.092","BRKG"
"BRKG",22,"208","122","0.556","BRKG"
"BRKG",23,"*","138","1.964","BRKG"
"BRKG",24,"212","102","0.87","BRKG"
"BRKG",25,"210.5","120.5","1.101","BRKG"
"BRKG",26,"209","123","0.608","BRKG"
"BRKG",27,"217","44","0.525","BRKG"
"BRKG",28,"209","140","1.219","BRKG"
"BRKG",29,"208","92","0.698","BRKG"
"BRKG",30,"*","*","*","BRKG"
"BRKG",31,"207","83","0.599","BRKG"
"BRKG",32,"210","135","1.624","BRKG"
"BRKG",33,"207","94","0.6005","BRKG"
"BRKG",34,"207","138","1.15","BRKG"
"BRKG",35,"214","140.5","1.215","BRKG"
"BRKG",36,"215","62","0.666","BRKG"
"BRKG",37,"*","*","*","BRKG"
"BRKG",38,"*","*","*","BRKG"
"BRKG",39,"*","*","*","BRKG"
"BRKG",40,"*","*","*","BRKG"
"BRKG",41,"207","177","0.987","BRKG"
"BRKG",42,"207","189","1.353","BRKG"
"BRKG",43,"203","83","0.761","BRKG"
"BRKG",44,"211","233","1.733","BRKG"
"BRKG",45,"204","71","0.427","BRKG"
"BRKG",46,"205","122","0.699","BRKG"
"BRKG",47,"211","63","0.465","BRKG"
"BRKG",48,"207","119","0.707","BRKG"
"BRKG",49,"207","104","0.881","BRKG"
"BRKG",50,"*","*","*","BRKG"
"BRKG",52,"*","*","*","BRKG"
"BRKG",53,"206","108","0.833","BRKG"
"BRKG",54,"218","91","0.725","BRKG"
"BRKG",55,"207","163","0.556","BRKG"
"BRKG",56,"*","146","0.978","BRKG"
"BRKG",57,"205","87","0.454","BRKG"
"BRKG",58,"208","63","0.326","BRKG"
"BRKG",59,"*","*","*","BRKG"
"BRKG",60,"*","*","*","BRKG"
"BRKG",61,"213","90.5","1.056","BRKG"
"BRKG",62,"207","52","0.521","BRKG"
"BRKG",63,"207","96","0.613","BRKG"
"BRKG",64,"207","139","0.9","BRKG"
"BRKG",65,"207","81","0.5","BRKG"
"BRKG",66,"*","135","1.437","BRKG"
"BRKG",67,"211","172","1.44","BRKG"
"BRKG",68,"*","*","*","BRKG"
"BRKG",69,"216.5","76.5","0.871","BRKG"
"BRKG",70,"*","*","*","BRKG"
"BRKG",71,"*","107","1.306","BRKG"
"BRKG",72,"207","123","0.813","BRKG"
"BRKG",73,"207","71.5","0.639","BRKG"
"BRKG",74,"*","135","1.593","BRKG"
"BRKG",75,"*","84","1.144","BRKG"
"BRKG",76,"*","*","*","BRKG"
"BRKG",77,"207","107","0.571","BRKG"
"BRKG",78,"208","83","0.82","BRKG"
"BRKG",79,"210","90","1.022","BRKG"
"BRKG",80,"211","112","0.775","BRKG"
"BRKG",81,"207","65","0.373","BRKG"
"BRKG",83,"217","92","0.7556","BRKG"
"BRKG",84,"207","95","0.648","BRKG"
"BRKG",85,"207","121","1.076","BRKG"
"BRKG",86,"216","59","0.56","BRKG"
"BRKG",87,"207","92","0.496","BRKG"
"BRKG",88,"210","212","1.611","BRKG"
"BRKG",89,"208","36","0.444","BRKG"
"BRKG",90,"218","110","0.673","BRKG"
"BRKG",91,"216","33","0.273","BRKG"
"BRKG",93,"208","126","1.223","BRKG"
"BRKG",94,"*","*","*","BRKG"
"BRKG",95,"216","196","1.267","BRKG"
"BRKG",96,"206","60","0.221","BRKG"
"BRKG",97,"207","45","0.351","BRKG"
"BRKG",98,"*","*","*","BRKG"
"BRKG",99,"210","115","0.641","BRKG"
"BRKG",100,"*","108","0.957","BRKG"
"BRKG",101,"*","116","0.79","BRKG"
"BRKG",102,"*","122","1.638","BRKG"
"BRKG",103,"211","152","1.638","BRKG"
"BRKG",104,"207","81","0.872","BRKG"
"BRKG",105,"218","176","1.436","BRKG"
"BRKG",106,"208","182","1.731","BRKG"
"BRKG",107,"211","122","0.895","BRKG"
"BRKG",108,"207","85","0.717","BRKG"
"BRKG",110,"208","74","0.595","BRKG"
"BRKG",111,"206","105","0.365","BRKG"
"BRKG",112,"208","136","1.098","BRKG"
"BRKG",113,"211","78","0.527","BRKG"
"BRKG",114,"*","*","*","BRKG"
"BRKG",115,"*","*","*","BRKG"
"BRKG",116,"208","114","1.102","BRKG"
"BRKG",117,"211","122","0.922","BRKG"
"BRKG",118,"208","97","0.715","BRKG"
"BRKG",119,"218","182","1.701","BRKG"
"BRKG",120,"208","87","0.537","BRKG"
"BRKG",122,"210","35.5","0.3185","BRKG"
"BRKG",123,"201","167","1.309","BRKG"
"BRKG",125,"*","89","0.511","BRKG"
"BRKG",126,"205","133","0.73","BRKG"
"BRKG",127,"206","63","0.652","BRKG"
"BRKG",128,"207","47","0.4775","BRKG"
"BRKG",130,"208","126","1.136","BRKG"
"BRKG",131,"206","182","1.426","BRKG"
"BRKG",132,"210","83","0.707","BRKG"
"BRKG",134,"*","60.5","0.6195","BRKG"
"BRKG",135,"207","45","0.322","BRKG"
"BRKG",136,"186","5","*","BRKG"
"BRKG",137,"*","*","*","BRKG"
"BRKG",138,"212","*","0.481","BRKG"
"BRKG",139,"*","*","*","BRKG"
"BRKG",141,"208","121","0.685","BRKG"
"BRKG",142,"206","166","1.486","BRKG"
"BRKG",143,"*","95","1.106","BRKG"
"BRKG",144,"*","*","*","BRKG"
"BRKG",145,"207","76","0.511","BRKG"
"BRKG",146,"211","47","0.237","BRKG"
"BRKG",147,"207","121","1.018","BRKG"
"BRKG",148,"207","100","0.797","BRKG"
"BRKG",150,"205","74","0.485","BRKG"
"BRKG",151,"210","72","0.549","BRKG"
"BRKG",152,"*","*","*","BRKG"
"BRKG",153,"210","104","1.02","BRKG"
"BRKG",154,"216","103","0.94","BRKG"
"BRKG",155,"210","122","1.557","BRKG"
"BRKG",156,"204","127","0.805","BRKG"
"BRKG",157,"202","87","0.786","BRKG"
"BRKG",158,"208","165","1.104","BRKG"
"BRKG",159,"208","126","1.158","BRKG"
"BRKG",160,"212","124","0.846","BRKG"
"BRKG",161,"212","139","1.001","BRKG"
"BRKG",163,"219","57","0.374","BRKG"
"BRKG",164,"*","*","*","BRKG"
"BRKG",165,"210","76","0.662","BRKG"
"BRKG",166,"*","174","2.059","BRKG"
"BRKG",167,"*","*","*","BRKG"
"BRKG",168,"216","149","1.358","BRKG"
"BRKG",169,"208","69","0.594","BRKG"
"BRKG",170,"206","116","1.028","BRKG"
"BRKG",171,"207","155","0.917","BRKG"
"BRKG",172,"*","*","*","BRKG"
"BRKG",173,"206","82","0.476","BRKG"
"BRKG",174,"207","111","0.852","BRKG"
"BRKG",175,"*","208","2.48","BRKG"
"BRKG",176,"205","129","1.083","BRKG"
"BRKG",177,"216","175","1.561","BRKG"
"BRKG",178,"212","98","1.053","BRKG"
"BRKG",179,"*","*","*","BRKG"
"BRKG",180,"203","63","0.863","BRKG"
"BRKG",181,"*","*","*","BRKG"
"BRKG",182,"210.5","73","0.7285","BRKG"
"BRKG",184,"206","174","1.346","BRKG"
"BRKG",185,"207","103","0.561","BRKG"
"BRKG",186,"*","164","1.42","BRKG"
"BRKG",187,"209","180","1.502","BRKG"
"BRKG",188,"211","57","0.692","BRKG"
"BRKG",189,"211","117","1.509","BRKG"
"BRKG",190,"209","66","0.654","BRKG"
"BRKG",191,"203.5","129","0.891","BRKG"
"BRKG",192,"217","102","0.843","BRKG"
"BRKG",193,"217","58","0.8445","BRKG"
"BRKG",194,"217","216","1.768","BRKG"
"BRKG",195,"206","57","0.506","BRKG"
"BRKG",196,"*","43","0.551","BRKG"
"BRKG",197,"210.5","85","0.737","BRKG"
"BRKG",198,"211","133","1.154","BRKG"
"BRKG",199,"211","132","1.494","BRKG"
"BRKG",200,"208","134","1.128","BRKG"
"BRKG",201,"206","119","1.042","BRKG"
"BRKG",202,"206","22","0.167","BRKG"
"BRKG",203,"207","96","0.881","BRKG"
"BRKG",204,"204","151","0.685","BRKG"
"BRKG",205,"*","74","0.216","BRKG"
"BRKG",206,"*","*","*","BRKG"
"BRKG",207,"206","77","0.481","BRKG"
"BRKG",208,"213","70","0.4365","BRKG"
"BRKG",209,"207.5","100.5","0.7825","BRKG"
"BRKG",210,"217","152","1.529","BRKG"
"BRKG",211,"*","*","*","BRKG"
"BRKG",212,"205","11","1.305","BRKG"
"BRKG",213,"199","98","0.962","BRKG"
"BRKG",214,"*","49","0.561","BRKG"
"BRKG",215,"*","93","0.715","BRKG"
"BRKG",216,"*","144","1.117","BRKG"
"BRKG",217,"208","143","0.972","BRKG"
"BRKG",218,"216.5","135","1.286","BRKG"
"BRKG",219,"218","28","0.349","BRKG"
"BRKG",220,"210","41","0.266","BRKG"
"BRKG",221,"*","101","1.151","BRKG"
"BRKG",222,"*","62","0.381","BRKG"
"BRKG",223,"216","210","1.742","BRKG"
"BRKG",224,"211","97","1.03","BRKG"
"BRKG",225,"205","108","1.218","BRKG"
"BRKG",226,"211","85","0.632","BRKG"
"BRKG",227,"207","171","1.07","BRKG"
"BRKG",228,"206","146","1.319","BRKG"
"BRKG",229,"210","41","0.616","BRKG"
"BRKG",230,"206","92.5","0.6915","BRKG"
"BRKG",231,"*","*","*","BRKG"
"BRKG",232,"208","152","1.49","BRKG"
"BRKG",233,"215","105","0.654","BRKG"
"BRKG",234,"217","122","1.134","BRKG"
"BRKG",235,"207","125","1.129","BRKG"
"BRKG",236,"*","*","*","BRKG"
"BRKG",237,"212","112","1.053","BRKG"
"BRKG",238,"219","65","0.687","BRKG"
"BRKG",239,"*","62","0.539","BRKG"
"BRKG",240,"203","118","1.094","BRKG"
"BRKG",241,"*","70","0.745","BRKG"
"BRKG",242,"208","88.5","0.566","BRKG"
"BRKG",243,"207","92","1.214","BRKG"
"BRKG",244,"207","59.5","0.749","BRKG"
"BRKG",245,"209.5","115","0.8675","BRKG"
"BRKG",246,"206.5","98","0.8025","BRKG"
"BRKG",247,"*","168","1.722","BRKG"
"BRKG",248,"*","96","1.523","BRKG"
"BRKG",249,"207","124.5","0.975","BRKG"
"BRKG",250,"210","157","1.4","BRKG"
