SITE,YEAR,LINE,FL50,TC,BIOMASS
BRKG,2016,150,205,74,0.485
BRKG,2016,WBC,NA,16,3.189
BRKG,2016,220,210,41,0.266
BRKG,2016,195,206,57,0.506
BRKG,2016,394,205,28,0.161
BRKG,2016,93,208,126,1.223
BRKG,2016,306,207,101,1.165
BRKG,2016,VxW,NA,112,1.58
BRKG,2016,126,205,133,0.73
BRKG,2016,360,206,140,1.209
BRKG,2016,20,206,7,0.818
BRKG,2016,212,205,11,1.305
BRKG,2016,61,213,77,0.883
BRKG,2016,383,211,94,1.528
BRKG,2016,160,212,124,0.846
BRKG,2016,404,212,107,1.104
BRKG,2016,81,207,65,0.373
BRKG,2016,AP13,NA,77,1.311
BRKG,2016,12,203,103,0.745
BRKG,2016,377,211,94,1.293
BRKG,2016,104,207,81,0.872
BRKG,2016,240,203,118,1.094
BRKG,2016,20,207,112,1.176
BRKG,2016,DAC,186,134,0.36
BRKG,2016,278,203,163,1.456
BRKG,2016,36,215,62,0.666
BRKG,2016,392,206,75,0.703
BRKG,2016,197,203,82,0.754
BRKG,2016,AP13,250,114,2.364
BRKG,2016,230,206,90,0.642
BRKG,2016,32,210,135,1.624
BRKG,2016,324,206,112,1.286
BRKG,2016,AxD,206,98,0.836
BRKG,2016,196,NA,43,0.551
BRKG,2016,369,205,109,1.508
BRKG,2016,165,210,76,0.662
BRKG,2016,VxW,NA,138,1.7
BRKG,2016,286,205,96,0.703
BRKG,2016,182,211,99,1.122
BRKG,2016,AP13,NA,147,1.916
BRKG,2016,347,207,64,0.481
BRKG,2016,49,207,104,0.881
BRKG,2016,368,207,67,0.452
BRKG,2016,106,208,182,1.731
BRKG,2016,AxD,205,141,1.049
BRKG,2016,201,206,119,1.042
BRKG,2016,174,207,111,0.852
BRKG,2016,376,207,116,1.166
BRKG,2016,25,211,110,1.09
BRKG,2016,DAC,186,88,0.301
BRKG,2016,314,208,93,0.774
BRKG,2016,189,211,117,1.509
BRKG,2016,297,213,53,0.309
BRKG,2016,84,207,95,0.648
BRKG,2016,389,211,218,2.003
BRKG,2016,VS16,211,52,0.367
BRKG,2016,170,206,116,1.028
BRKG,2016,208,218,94,0.65
BRKG,2016,175,NA,208,2.48
BRKG,2016,321,211,36,0.164
BRKG,2016,198,211,133,1.154
BRKG,2016,326,NA,81,0.642
BRKG,2016,112,208,136,1.098
BRKG,2016,357,NA,59,0.45
BRKG,2016,138,212,NA,0.481
BRKG,2016,264,208,74,0.675
BRKG,2016,186,NA,164,1.42
BRKG,2016,224,211,97,1.03
BRKG,2016,187,209,180,1.502
BRKG,2016,294,207,137,0.747
BRKG,2016,28,212,171,1.343
BRKG,2016,253,210,125,1.214
BRKG,2016,254,207,135,0.866
BRKG,2016,230,206,95,0.741
BRKG,2016,374,211,47,0.339
BRKG,2016,148,207,100,0.797
BRKG,2016,AxD,208,77,NA
BRKG,2016,246,206,113,0.932
BRKG,2016,AP13,250,154,3.167
BRKG,2016,339,212,124,0.993
BRKG,2016,227,207,171,1.07
BRKG,2016,WBC,250,258,4.804
BRKG,2016,64,207,139,0.9
BRKG,2016,341,206,73,0.4
BRKG,2016,184,206,174,1.346
BRKG,2016,380,216,129,0.919
BRKG,2016,171,207,155,0.917
BRKG,2016,VS16,NA,53,0.292
BRKG,2016,399,204,204,1.46
BRKG,2016,WBC,NA,113,1.94
BRKG,2016,AP13,250,187,2.686
BRKG,2016,169,208,69,0.594
BRKG,2016,362,NA,178,1.545
BRKG,2016,67,211,172,1.44
BRKG,2016,293,207,122,0.856
BRKG,2016,151,210,72,0.549
BRKG,2016,281,206,104,0.663
BRKG,2016,44,211,233,1.733
BRKG,2016,222,NA,62,0.381
BRKG,2016,41,207,177,0.987
BRKG,2016,274,NA,113,0.126
BRKG,2016,178,212,98,1.053
BRKG,2016,345,206,21,0.111
BRKG,2016,146,211,47,0.237
BRKG,2016,359,212,105,0.619
BRKG,2016,261,207,71,0.781
BRKG,2016,280,NA,66,0.699
BRKG,2016,113,211,78,0.527
BRKG,2016,254,207,107,0.588
BRKG,2016,133,NA,14,0.08
BRKG,2016,311,210,85,NA
BRKG,2016,191,206,161,1.13
BRKG,2016,294,207,103,0.66
BRKG,2016,23,NA,138,1.964
BRKG,2016,218,216,136,1.115
BRKG,2016,128,207,43,0.38
BRKG,2016,279,208,66,0.592
BRKG,2016,72,207,123,0.813
BRKG,2016,242,208,89,0.425
BRKG,2016,65,207,81,0.5
BRKG,2016,259,207,229,1.324
BRKG,2016,WBC,250,166,3.016
BRKG,2016,80,211,112,0.775
BRKG,2016,277,213,291,NA
BRKG,2016,122,212,19,0.172
BRKG,2016,202,206,22,0.167
BRKG,2016,95,216,196,1.267
BRKG,2016,390,NA,109,1.291
BRKG,2016,183,205,67,0.503
BRKG,2016,WBC,250,278,3.587
BRKG,2016,395,211,161,1.095
BRKG,2016,161,212,139,1.001
BRKG,2016,324,206,106,0.868
BRKG,2016,251,NA,162,1.736
BRKG,2016,313,207,127,1.119
BRKG,2016,4,217,190,1.477
BRKG,2016,AP13,250,134,2.08
BRKG,2016,317,211,141,0.846
BRKG,2016,130,208,126,1.136
BRKG,2016,297,212,58,0.394
BRKG,2016,110,208,74,0.595
BRKG,2016,342,207,110,0.872
BRKG,2016,AxD,209,135,0.99
BRKG,2016,107,211,122,0.895
BRKG,2016,182,210,47,0.335
BRKG,2016,289,210,89,0.673
BRKG,2016,45,204,71,0.427
BRKG,2016,343,207,128,0.838
BRKG,2016,66,NA,135,1.437
BRKG,2016,382,211,117,1.274
BRKG,2016,VS16,211,77,0.44
BRKG,2016,371,217,44,0.248
BRKG,2016,16,211,79,0.532
BRKG,2016,365,207,152,1.113
BRKG,2016,134,NA,56,0.454
BRKG,2016,354,211,99,0.67
BRKG,2016,97,207,63,0.491
BRKG,2016,VxW,214,118,1.132
BRKG,2016,245,211,108,0.859
BRKG,2016,322,NA,127,1.046
BRKG,2016,285,NA,177,1.451
BRKG,2016,8,215,123,0.778
BRKG,2016,132,210,83,0.707
BRKG,2016,355,212,182,1.469
BRKG,2016,118,208,97,0.715
BRKG,2016,383,211,84,1.166
BRKG,2016,VxW,NA,114,1.254
BRKG,2016,33,207,115,0.664
BRKG,2016,325,210,151,1.217
BRKG,2016,35,210,145,1.326
BRKG,2016,385,215,148,1.097
BRKG,2016,11,211,120,1.052
BRKG,2016,DAC,NA,144,0.505
BRKG,2016,292,206,129,1.255
BRKG,2016,154,216,103,0.94
BRKG,2016,391,206,71,0.511
BRKG,2016,56,NA,146,0.978
BRKG,2016,AP13,250,192,2.877
BRKG,2016,372,208,159,1.176
BRKG,2016,61,NA,104,1.229
BRKG,2016,313,207,139,1.014
BRKG,2016,WBC,250,274,4.024
BRKG,2016,168,216,149,1.358
BRKG,2016,DAC,206,174,0.454
BRKG,2016,262,211,88,0.556
BRKG,2016,87,207,92,0.496
BRKG,2016,250,210,157,1.4
BRKG,2016,25,210,131,1.112
BRKG,2016,217,208,143,0.972
BRKG,2016,77,207,107,0.571
BRKG,2016,226,211,85,0.632
BRKG,2016,88,210,212,1.611
BRKG,2016,272,210,136,1.045
BRKG,2016,111,206,105,0.365
BRKG,2016,237,212,112,1.053
BRKG,2016,69,216,72,0.48
BRKG,2016,233,215,105,0.654
BRKG,2016,191,201,97,0.652
BRKG,2016,398,206,116,0.938
BRKG,2016,392,207,106,0.76
BRKG,2016,291,217,119,0.99
BRKG,2016,42,207,189,1.353
BRKG,2016,249,207,137,1.252
BRKG,2016,AP13,250,174,2.55
BRKG,2016,91,216,33,0.273
BRKG,2016,356,205,91,0.68
BRKG,2016,28,206,109,1.095
BRKG,2016,267,210,75,0.78
BRKG,2016,AxD,206,128,0.997
BRKG,2016,293,207,76,0.597
BRKG,2016,AP13,250,131,2.828
BRKG,2016,296,210,139,1.624
BRKG,2016,14,206,68,0.356
BRKG,2016,288,210,62,0.827
BRKG,2016,WBC,250,231,3.658
BRKG,2016,24,212,102,0.87
BRKG,2016,AxD,206,92,0.403
BRKG,2016,213,199,98,0.962
