"SITE","LINE","FL50","HT","SITE2"
"BRKG",1,"208","140","BRKG"
"BRKG",2,"*","*","BRKG"
"BRKG",3,"208","137","BRKG"
"BRKG",4,"217","167.5","BRKG"
"BRKG",5,"208","140","BRKG"
"BRKG",7,"208","137","BRKG"
"BRKG",8,"215","143","BRKG"
"BRKG",9,"*","*","BRKG"
"BRKG",10,"207","125","BRKG"
"BRKG",11,"211","146","BRKG"
"BRKG",12,"203","146","BRKG"
"BRKG",13,"*","162","BRKG"
"BRKG",14,"206","116","BRKG"
"BRKG",15,"217","171","BRKG"
"BRKG",16,"211","189","BRKG"
"BRKG",17,"*","*","BRKG"
"BRKG",18,"207","143","BRKG"
"BRKG",19,"206","149","BRKG"
"BRKG",20,"206.5","161.5","BRKG"
"BRKG",21,"208","155","BRKG"
"BRKG",22,"208","137","BRKG"
"BRKG",23,"*","207","BRKG"
"BRKG",24,"212","152","BRKG"
"BRKG",25,"210.5","171","BRKG"
"BRKG",26,"209","131","BRKG"
"BRKG",27,"217","152","BRKG"
"BRKG",28,"209","168","BRKG"
"BRKG",29,"208","155","BRKG"
"BRKG",30,"*","*","BRKG"
"BRKG",31,"207","143","BRKG"
"BRKG",32,"210","183","BRKG"
"BRKG",33,"207","140","BRKG"
"BRKG",34,"207","152","BRKG"
"BRKG",35,"214","181.5","BRKG"
"BRKG",36,"215","174","BRKG"
"BRKG",37,"*","*","BRKG"
"BRKG",38,"*","*","BRKG"
"BRKG",39,"*","*","BRKG"
"BRKG",40,"*","*","BRKG"
"BRKG",41,"207","152","BRKG"
"BRKG",42,"207","165","BRKG"
"BRKG",43,"203","162","BRKG"
"BRKG",44,"211","165","BRKG"
"BRKG",45,"204","149","BRKG"
"BRKG",46,"205","168","BRKG"
"BRKG",47,"211","149","BRKG"
"BRKG",48,"207","152","BRKG"
"BRKG",49,"207","174","BRKG"
"BRKG",50,"*","*","BRKG"
"BRKG",52,"*","*","BRKG"
"BRKG",53,"206","152","BRKG"
"BRKG",54,"218","149","BRKG"
"BRKG",55,"207","152","BRKG"
"BRKG",56,"*","140","BRKG"
"BRKG",57,"205","119","BRKG"
"BRKG",58,"208","146","BRKG"
"BRKG",59,"*","*","BRKG"
"BRKG",60,"*","*","BRKG"
"BRKG",61,"213","207","BRKG"
"BRKG",62,"207","140","BRKG"
"BRKG",63,"207","146","BRKG"
"BRKG",64,"207","152","BRKG"
"BRKG",65,"207","149","BRKG"
"BRKG",66,"*","213","BRKG"
"BRKG",67,"211","162","BRKG"
"BRKG",68,"*","*","BRKG"
"BRKG",69,"216.5","161.5","BRKG"
"BRKG",70,"*","*","BRKG"
"BRKG",71,"*","168","BRKG"
"BRKG",72,"207","152","BRKG"
"BRKG",73,"207","158.5","BRKG"
"BRKG",74,"*","192","BRKG"
"BRKG",75,"*","168","BRKG"
"BRKG",76,"*","*","BRKG"
"BRKG",77,"207","149","BRKG"
"BRKG",78,"208","168","BRKG"
"BRKG",79,"210","171","BRKG"
"BRKG",80,"211","149","BRKG"
"BRKG",81,"207","137","BRKG"
"BRKG",83,"217","143","BRKG"
"BRKG",84,"207","122","BRKG"
"BRKG",85,"207","143","BRKG"
"BRKG",86,"216","152","BRKG"
"BRKG",87,"207","146","BRKG"
"BRKG",88,"210","168","BRKG"
"BRKG",89,"208","140","BRKG"
"BRKG",90,"218","158","BRKG"
"BRKG",91,"216","165","BRKG"
"BRKG",93,"208","174","BRKG"
"BRKG",94,"*","*","BRKG"
"BRKG",95,"216","165","BRKG"
"BRKG",96,"206","125","BRKG"
"BRKG",97,"207","160","BRKG"
"BRKG",98,"*","*","BRKG"
"BRKG",99,"210","146","BRKG"
"BRKG",100,"*","168","BRKG"
"BRKG",101,"*","162","BRKG"
"BRKG",102,"*","174","BRKG"
"BRKG",103,"211","165","BRKG"
"BRKG",104,"207","143","BRKG"
"BRKG",105,"218","180","BRKG"
"BRKG",106,"208","174","BRKG"
"BRKG",107,"211","189","BRKG"
"BRKG",108,"207","134","BRKG"
"BRKG",110,"208","168","BRKG"
"BRKG",111,"206","137","BRKG"
"BRKG",112,"208","168","BRKG"
"BRKG",113,"211","174","BRKG"
"BRKG",114,"*","*","BRKG"
"BRKG",115,"*","*","BRKG"
"BRKG",116,"208","171","BRKG"
"BRKG",117,"211","158","BRKG"
"BRKG",118,"208","158","BRKG"
"BRKG",119,"218","158","BRKG"
"BRKG",120,"208","152","BRKG"
"BRKG",122,"210","132.5","BRKG"
"BRKG",123,"201","149","BRKG"
"BRKG",125,"*","152","BRKG"
"BRKG",126,"205","140","BRKG"
"BRKG",127,"206","152","BRKG"
"BRKG",128,"207","143","BRKG"
"BRKG",130,"208","174","BRKG"
"BRKG",131,"206","152","BRKG"
"BRKG",132,"210","177","BRKG"
"BRKG",134,"*","154","BRKG"
"BRKG",135,"207","104","BRKG"
"BRKG",136,"186","122","BRKG"
"BRKG",137,"*","*","BRKG"
"BRKG",138,"212","168","BRKG"
"BRKG",139,"*","*","BRKG"
"BRKG",141,"208","143","BRKG"
"BRKG",142,"206","152","BRKG"
"BRKG",143,"*","192","BRKG"
"BRKG",144,"*","*","BRKG"
"BRKG",145,"207","162","BRKG"
"BRKG",146,"211","146","BRKG"
"BRKG",147,"207","165","BRKG"
"BRKG",148,"207","171","BRKG"
"BRKG",150,"205","143","BRKG"
"BRKG",151,"210","152","BRKG"
"BRKG",152,"*","*","BRKG"
"BRKG",153,"210","162","BRKG"
"BRKG",154,"216","183","BRKG"
"BRKG",155,"210","183","BRKG"
"BRKG",156,"204","149","BRKG"
"BRKG",157,"202","146","BRKG"
"BRKG",158,"208","134","BRKG"
"BRKG",159,"208","168","BRKG"
"BRKG",160,"212","143","BRKG"
"BRKG",161,"212","165","BRKG"
"BRKG",163,"219","131","BRKG"
"BRKG",164,"*","*","BRKG"
"BRKG",165,"210","158","BRKG"
"BRKG",166,"*","195","BRKG"
"BRKG",167,"*","*","BRKG"
"BRKG",168,"216","171","BRKG"
"BRKG",169,"208","165","BRKG"
"BRKG",170,"206","155","BRKG"
"BRKG",171,"207","149","BRKG"
"BRKG",172,"*","*","BRKG"
"BRKG",173,"206","134","BRKG"
"BRKG",174,"207","158","BRKG"
"BRKG",175,"*","195","BRKG"
"BRKG",176,"205","162","BRKG"
"BRKG",177,"216","168","BRKG"
"BRKG",178,"212","158","BRKG"
"BRKG",179,"*","*","BRKG"
"BRKG",180,"203","155","BRKG"
"BRKG",181,"*","*","BRKG"
"BRKG",182,"210.5","181.5","BRKG"
"BRKG",184,"206","158","BRKG"
"BRKG",185,"207","140","BRKG"
"BRKG",186,"*","165","BRKG"
"BRKG",187,"209","174","BRKG"
"BRKG",188,"211","158","BRKG"
"BRKG",189,"211","183","BRKG"
"BRKG",190,"209","140","BRKG"
"BRKG",191,"203.5","170.5","BRKG"
"BRKG",192,"217","152","BRKG"
"BRKG",193,"217","174","BRKG"
"BRKG",194,"217","174","BRKG"
"BRKG",195,"206","168","BRKG"
"BRKG",196,"*","168","BRKG"
"BRKG",197,"210.5","157","BRKG"
"BRKG",198,"211","177","BRKG"
"BRKG",199,"211","168","BRKG"
"BRKG",200,"208","174","BRKG"
"BRKG",201,"206","155","BRKG"
"BRKG",202,"206","137","BRKG"
"BRKG",203,"207","143","BRKG"
"BRKG",204,"204","140","BRKG"
"BRKG",205,"*","134","BRKG"
"BRKG",206,"*","*","BRKG"
"BRKG",207,"206","143","BRKG"
"BRKG",208,"213","146","BRKG"
"BRKG",209,"207.5","141.5","BRKG"
"BRKG",210,"217","180","BRKG"
"BRKG",211,"*","*","BRKG"
"BRKG",212,"205","180","BRKG"
"BRKG",213,"199","186","BRKG"
"BRKG",214,"*","174","BRKG"
"BRKG",215,"*","171","BRKG"
"BRKG",216,"*","177","BRKG"
"BRKG",217,"208","146","BRKG"
"BRKG",218,"216.5","184.5","BRKG"
"BRKG",219,"218","158","BRKG"
"BRKG",220,"210","140","BRKG"
"BRKG",221,"*","165","BRKG"
"BRKG",222,"*","168","BRKG"
"BRKG",223,"216","168","BRKG"
