"SITE","LINE","FL50","HT","TC","SITE2"
"BRKG",1,"208","140","159","BRKG"
"BRKG",2,"*","*","*","BRKG"
"BRKG",3,"208","137","96","BRKG"
"BRKG",4,"217","167.5","150","BRKG"
"BRKG",5,"208","140","42","BRKG"
"BRKG",7,"208","137","102","BRKG"
"BRKG",8,"215","143","123","BRKG"
"BRKG",9,"*","*","*","BRKG"
"BRKG",10,"207","125","34","BRKG"
"BRKG",11,"211","146","120","BRKG"
"BRKG",12,"203","146","103","BRKG"
"BRKG",13,"*","162","93","BRKG"
"BRKG",14,"206","116","68","BRKG"
"BRKG",15,"217","171","155","BRKG"
"BRKG",16,"211","189","79","BRKG"
"BRKG",17,"*","*","*","BRKG"
"BRKG",18,"207","143","105","BRKG"
"BRKG",19,"206","149","120","BRKG"
"BRKG",20,"206.5","161.5","59.5","BRKG"
"BRKG",21,"208","155","126","BRKG"
"BRKG",22,"208","137","122","BRKG"
"BRKG",23,"*","207","138","BRKG"
"BRKG",24,"212","152","102","BRKG"
"BRKG",25,"210.5","171","120.5","BRKG"
"BRKG",26,"209","131","123","BRKG"
"BRKG",27,"217","152","44","BRKG"
"BRKG",28,"209","168","140","BRKG"
"BRKG",29,"208","155","92","BRKG"
"BRKG",30,"*","*","*","BRKG"
"BRKG",31,"207","143","83","BRKG"
"BRKG",32,"210","183","135","BRKG"
"BRKG",33,"207","140","94","BRKG"
"BRKG",34,"207","152","138","BRKG"
"BRKG",35,"214","181.5","140.5","BRKG"
"BRKG",36,"215","174","62","BRKG"
"BRKG",37,"*","*","*","BRKG"
"BRKG",38,"*","*","*","BRKG"
"BRKG",39,"*","*","*","BRKG"
"BRKG",40,"*","*","*","BRKG"
"BRKG",41,"207","152","177","BRKG"
"BRKG",42,"207","165","189","BRKG"
"BRKG",43,"203","162","83","BRKG"
"BRKG",44,"211","165","233","BRKG"
"BRKG",45,"204","149","71","BRKG"
"BRKG",46,"205","168","122","BRKG"
"BRKG",47,"211","149","63","BRKG"
"BRKG",48,"207","152","119","BRKG"
"BRKG",49,"207","174","104","BRKG"
"BRKG",50,"*","*","*","BRKG"
"BRKG",52,"*","*","*","BRKG"
"BRKG",53,"206","152","108","BRKG"
"BRKG",54,"218","149","91","BRKG"
"BRKG",55,"207","152","163","BRKG"
"BRKG",56,"*","140","146","BRKG"
"BRKG",57,"205","119","87","BRKG"
"BRKG",58,"208","146","63","BRKG"
"BRKG",59,"*","*","*","BRKG"
"BRKG",60,"*","*","*","BRKG"
"BRKG",61,"213","207","90.5","BRKG"
"BRKG",62,"207","140","52","BRKG"
"BRKG",63,"207","146","96","BRKG"
"BRKG",64,"207","152","139","BRKG"
"BRKG",65,"207","149","81","BRKG"
"BRKG",66,"*","213","135","BRKG"
"BRKG",67,"211","162","172","BRKG"
"BRKG",68,"*","*","*","BRKG"
"BRKG",69,"216.5","161.5","76.5","BRKG"
"BRKG",70,"*","*","*","BRKG"
"BRKG",71,"*","168","107","BRKG"
"BRKG",72,"207","152","123","BRKG"
"BRKG",73,"207","158.5","71.5","BRKG"
"BRKG",74,"*","192","135","BRKG"
"BRKG",75,"*","168","84","BRKG"
"BRKG",76,"*","*","*","BRKG"
"BRKG",77,"207","149","107","BRKG"
"BRKG",78,"208","168","83","BRKG"
"BRKG",79,"210","171","90","BRKG"
"BRKG",80,"211","149","112","BRKG"
"BRKG",81,"207","137","65","BRKG"
"BRKG",83,"217","143","92","BRKG"
"BRKG",84,"207","122","95","BRKG"
"BRKG",85,"207","143","121","BRKG"
"BRKG",86,"216","152","59","BRKG"
"BRKG",87,"207","146","92","BRKG"
