"SITE","LINE","LEN","PRM","SEC","SITE2"
"CLMB",1,"33.75","25.5","10.5","CLMB"
"CLMB",2,"49","29","11.5","CLMB"
"CLMB",3,"39.25","31.5","11.5","CLMB"
"CLMB",4,"39","22.5","9.5","CLMB"
"CLMB",5,"22.25","22.5","9","CLMB"
"CLMB",7,"36.5","26.5","11.5","CLMB"
"CLMB",8,"*","*","*","CLMB"
"CLMB",9,"39.25","20.5","10.5","CLMB"
"CLMB",10,"*","*","*","CLMB"
"CLMB",11,"49.5","26","11","CLMB"
"CLMB",12,"46","24","12","CLMB"
"CLMB",13,"48.75","32.5","11.5","CLMB"
"CLMB",14,"*","*","*","CLMB"
"CLMB",15,"49.25","28","11.5","CLMB"
"CLMB",16,"*","*","*","CLMB"
"CLMB",17,"45.5","23","13","CLMB"
"CLMB",18,"*","*","*","CLMB"
"CLMB",19,"45.5","22.5","13","CLMB"
"CLMB",20,"36.25","23.5","12","CLMB"
"CLMB",21,"46.75","29","10.5","CLMB"
"CLMB",22,"*","*","*","CLMB"
"CLMB",23,"56.5","29","12.5","CLMB"
"CLMB",24,"38.5","29","12","CLMB"
"CLMB",25,"38.25","19.5","10.5","CLMB"
"CLMB",26,"51","35.5","14","CLMB"
"CLMB",27,"30.75","24","10.5","CLMB"
"CLMB",28,"46.25","32","10.5","CLMB"
"CLMB",29,"*","*","*","CLMB"
"CLMB",30,"42","22.5","8.5","CLMB"
"CLMB",31,"*","*","*","CLMB"
"CLMB",32,"36","24.5","10","CLMB"
"CLMB",33,"35.25","26.5","10.5","CLMB"
"CLMB",34,"42.5","28","9.5","CLMB"
"CLMB",35,"45","25.5","10.5","CLMB"
"CLMB",36,"43","18.5","13","CLMB"
"CLMB",37,"40.5","29.5","12.5","CLMB"
"CLMB",38,"33.25","27.5","11.5","CLMB"
"CLMB",39,"36.25","28.5","10.5","CLMB"
"CLMB",40,"31","29","12.5","CLMB"
"CLMB",41,"47","21","10.5","CLMB"
"CLMB",42,"32.75","22.5","11","CLMB"
"CLMB",43,"*","*","*","CLMB"
"CLMB",44,"35.5","25","11.5","CLMB"
"CLMB",46,"35.25","27","10","CLMB"
"CLMB",48,"44","23.5","10.5","CLMB"
"CLMB",49,"56.25","29","11.5","CLMB"
"CLMB",50,"33.25","29.5","12","CLMB"
"CLMB",52,"42.75","19.5","10","CLMB"
"CLMB",53,"23","24","7.5","CLMB"
"CLMB",54,"53.25","33.5","14.5","CLMB"
"CLMB",55,"34.75","22.5","10.5","CLMB"
"CLMB",56,"*","*","*","CLMB"
"CLMB",57,"48.75","21.5","11.5","CLMB"
"CLMB",59,"34.5","24","9.5","CLMB"
"CLMB",60,"28.25","18","8.5","CLMB"
"CLMB",61,"54","28.5","15","CLMB"
"CLMB",62,"44","30","13","CLMB"
"CLMB",63,"55.5","26","12","CLMB"
"CLMB",64,"*","*","*","CLMB"
"CLMB",65,"38.75","35.5","11.5","CLMB"
"CLMB",66,"38.5","28","10.5","CLMB"
"CLMB",67,"46.5","25","10.5","CLMB"
"CLMB",68,"41","32","11.5","CLMB"
"CLMB",69,"28","27.5","9","CLMB"
"CLMB",70,"*","*","*","CLMB"
"CLMB",71,"46.75","27.5","11","CLMB"
"CLMB",72,"49.25","34.5","15","CLMB"
"CLMB",73,"33","27","11.5","CLMB"
"CLMB",74,"55.5","40.5","17.5","CLMB"
"CLMB",75,"61.75","30","13.5","CLMB"
"CLMB",76,"43","24.5","10.5","CLMB"
"CLMB",77,"*","*","*","CLMB"
"CLMB",78,"49","21.5","10","CLMB"
"CLMB",79,"43.25","25","8.5","CLMB"
"CLMB",80,"45","22.5","10.5","CLMB"
"CLMB",81,"*","*","*","CLMB"
