trait,LEN,PRM,SEC,FL50,TC,BIO,SITE
LEN,1,0.627880703,0.844038103,0.488184815,-0.168521699,0.270835214,BRKG
PRM,0.627880703,1,0.705958671,0.568779616,0.065025061,0.384795388,BRKG
SEC,0.844038103,0.705958671,1,0.900458212,0.028137512,0.400903317,BRKG
FL50,0.488184815,0.568779616,0.900458212,1,0.332918863,0.541340765,BRKG
TC,-0.168521699,0.065025061,0.028137512,0.332918863,1,0.89798849,BRKG
BIO,0.270835214,0.384795388,0.400903317,0.541340765,0.89798849,1,BRKG
LEN,1,0.492919176,0.924912361,0.460925907,-0.226456374,0.35746676,CLMB
PRM,0.492919176,1,1.044677588,0.656257247,-0.269265263,0.407670684,CLMB
SEC,0.924912361,1.044677588,1,0.796481447,-0.423815441,0.497184249,CLMB
FL50,0.460925907,0.656257247,0.796481447,1,-0.050272868,0.469261579,CLMB
TC,-0.226456374,-0.269265263,-0.423815441,-0.050272868,1,0.637083642,CLMB
BIO,0.35746676,0.407670684,0.497184249,0.469261579,0.637083642,1,CLMB
LEN,1,0.433251727,0.596254003,0.481621983,-0.426360389,0.114733834,KBSM
PRM,0.433251727,1,0.790846742,0.493807891,-0.061069599,0.368306925,KBSM
SEC,0.596254003,0.790846742,1,0.656698247,-0.149024996,0.33911404,KBSM
FL50,0.481621983,0.493807891,0.656698247,1,0.14651632,0.530986429,KBSM
TC,-0.426360389,-0.061069599,-0.149024996,0.14651632,1,0.719886114,KBSM
BIO,0.114733834,0.368306925,0.33911404,0.530986429,0.719886114,1,KBSM
LEN,1,0.602686438,0.759134388,0.672136898,0.445148017,0.786257842,KING
PRM,0.602686438,1,0.758861571,0.446073912,0.306434735,0.509868861,KING
SEC,0.759134388,0.758861571,1,0.370788778,0.255976675,0.580118119,KING
FL50,0.672136898,0.446073912,0.370788778,1,-0.077959278,0.265063021,KING
TC,0.445148017,0.306434735,0.255976675,-0.077959278,1,0.869446451,KING
BIO,0.786257842,0.509868861,0.580118119,0.265063021,0.869446451,1,KING
LEN,1,0.454754307,0.762218783,0.616596526,-0.175180444,0.387053052,LINC
PRM,0.454754307,1,0.79377594,0.592077223,-0.117552493,0.341524957,LINC
SEC,0.762218783,0.79377594,1,0.59883308,-0.077477361,0.613873311,LINC
FL50,0.616596526,0.592077223,0.59883308,1,0.165552469,0.493808027,LINC
TC,-0.175180444,-0.117552493,-0.077477361,0.165552469,1,0.706899688,LINC
BIO,0.387053052,0.341524957,0.613873311,0.493808027,0.706899688,1,LINC
LEN,1,0.60782891,0.746122949,0.450757722,-0.105685539,0.484343696,MNHT
PRM,0.60782891,1,0.850000174,0.594506167,-0.234993967,0.311841329,MNHT
SEC,0.746122949,0.850000174,1,0.548375283,-0.088694096,0.544825647,MNHT
FL50,0.450757722,0.594506167,0.548375283,1,-0.000826242,0.528355768,MNHT
TC,-0.105685539,-0.234993967,-0.088694096,-0.000826242,1,0.678591216,MNHT
BIO,0.484343696,0.311841329,0.544825647,0.528355768,0.678591216,1,MNHT
LEN,1,0.548528225,0.673115095,0.41156711,-0.08040442,0.543508251,OVTN
PRM,0.548528225,1,0.752660942,0.673985479,0.032491333,0.555066516,OVTN
SEC,0.673115095,0.752660942,1,0.512198115,0.036910738,0.516617191,OVTN
FL50,0.41156711,0.673985479,0.512198115,1,0.14373871,0.575937372,OVTN
TC,-0.08040442,0.032491333,0.036910738,0.14373871,1,0.750111549,OVTN
BIO,0.543508251,0.555066516,0.516617191,0.575937372,0.750111549,1,OVTN
LEN,1,0.650574424,0.449833073,0.639325375,-0.47758528,0.064342416,PKLE
PRM,0.650574424,1,0.759170069,0.628444684,-0.156028501,0.436557539,PKLE
SEC,0.449833073,0.759170069,1,0.697508677,-0.489674734,0.117209415,PKLE
FL50,0.639325375,0.628444684,0.697508677,1,-0.050645134,0.532511085,PKLE
TC,-0.47758528,-0.156028501,-0.489674734,-0.050645134,1,0.767062304,PKLE
BIO,0.064342416,0.436557539,0.117209415,0.532511085,0.767062304,1,PKLE
LEN,1,0.351809708,Inf,0.404932476,-0.475696336,0.215670583,STIL
PRM,0.351809708,1,#NAME?,0.797543625,-0.358220459,0.400068294,STIL
SEC,Inf,#NAME?,1,Inf,#NAME?,Inf,STIL
FL50,0.404932476,0.797543625,Inf,1,-0.033181174,0.61345852,STIL
TC,-0.475696336,-0.358220459,#NAME?,-0.033181174,1,0.60309981,STIL
BIO,0.215670583,0.400068294,Inf,0.61345852,0.60309981,1,STIL
LEN,1,0.534950037,0.752613993,0.180327927,-0.003571088,0.355027111,TMPL
PRM,0.534950037,1,0.664039098,0.414562248,0.008547359,0.516435221,TMPL
SEC,0.752613993,0.664039098,1,0.039607732,-0.167941099,0.349185692,TMPL
FL50,0.180327927,0.414562248,0.039607732,1,-0.101682053,0.306025222,TMPL
TC,-0.003571088,0.008547359,-0.167941099,-0.101682053,1,0.753083113,TMPL
BIO,0.355027111,0.516435221,0.349185692,0.306025222,0.753083113,1,TMPL
