"SITE","SITE1","SITE2","traits"
"BRKG",1,0.998748852011339,"LEN"
"KBSM",0.998748852011339,1,"LEN"
"BRKG",1,0.993121781759056,"LEN"
"LINC",0.993121781759056,1,"LEN"
"BRKG",1,1.07077973338731,"LEN"
"MNHT",1.07077973338731,1,"LEN"
"BRKG",1,0.885143312811299,"LEN"
"CLMB",0.885143312811299,1,"LEN"
"BRKG",1,0.834838857724734,"LEN"
"STIL",0.834838857724734,1,"LEN"
"BRKG",1,0.840835803834891,"LEN"
"OVTN",0.840835803834891,1,"LEN"
"BRKG",1,0.731564105181762,"LEN"
"TMPL",0.731564105181762,1,"LEN"
"BRKG",1,0.867495453947716,"LEN"
"PKLE",0.867495453947716,1,"LEN"
"BRKG",1,0.61196694561949,"LEN"
"KING",0.61196694561949,1,"LEN"
"KBSM",1,0.988368925153153,"LEN"
"LINC",0.988368925153152,1,"LEN"
"KBSM",1,0.926813271898119,"LEN"
"MNHT",0.926813271898119,1,"LEN"
"KBSM",1,0.925935795235302,"LEN"
"CLMB",0.925935795235302,1,"LEN"
"KBSM",1,0.948076722238927,"LEN"
"STIL",0.948076722238928,1,"LEN"
"KBSM",1,0.880463998640805,"LEN"
"OVTN",0.880463998640805,1,"LEN"
"KBSM",1,0.834574317319742,"LEN"
"TMPL",0.834574317319742,1,"LEN"
"KBSM",1,0.858680661398155,"LEN"
"PKLE",0.858680661398155,1,"LEN"
"KBSM",1,0.64438099266561,"LEN"
"KING",0.64438099266561,1,"LEN"
"LINC",1,0.888592825349653,"LEN"
"MNHT",0.888592825349653,1,"LEN"
"LINC",1,1.01327967777246,"LEN"
"CLMB",1.01327967777246,1,"LEN"
"LINC",1,0.968109424515837,"LEN"
"STIL",0.968109424515837,1,"LEN"
"LINC",1,0.877373428115662,"LEN"
"OVTN",0.877373428115662,1,"LEN"
"LINC",1,0.853041104007378,"LEN"
"TMPL",0.853041104007378,1,"LEN"
"LINC",1,0.898404649430232,"LEN"
"PKLE",0.898404649430232,1,"LEN"
"LINC",1,0.656385256948593,"LEN"
"KING",0.656385256948593,1,"LEN"
"MNHT",1,0.994640482527458,"LEN"
"CLMB",0.994640482527458,1,"LEN"
"MNHT",1,0.296928965395293,"LEN"
"STIL",0.296928965395293,1,"LEN"
"MNHT",1,0.864266296093384,"LEN"
"OVTN",0.864266296093384,1,"LEN"
"MNHT",1,0.98579023214611,"LEN"
"TMPL",0.98579023214611,1,"LEN"
"MNHT",1,1.01646935014773,"LEN"
"PKLE",1.01646935014773,1,"LEN"
"MNHT",1,0.770170940042303,"LEN"
"KING",0.770170940042303,1,"LEN"
"CLMB",1,0.642676195812317,"LEN"
"STIL",0.642676195812317,1,"LEN"
"CLMB",1,0.952796506372934,"LEN"
"OVTN",0.952796506372935,1,"LEN"
"CLMB",1,0.951868594479977,"LEN"
"TMPL",0.951868594479977,1,"LEN"
"CLMB",1,1.03668837879956,"LEN"
"PKLE",1.03668837879956,1,"LEN"
"CLMB",1,0.65726937046192,"LEN"
"KING",0.65726937046192,1,"LEN"
"STIL",1,0.864212173145224,"LEN"
"OVTN",0.864212173145224,1,"LEN"
"STIL",1,0.713599872868228,"LEN"
"TMPL",0.713599872868228,1,"LEN"
"STIL",1,0.885042750094595,"LEN"
"PKLE",0.885042750094595,1,"LEN"
"STIL",1,0.317955760224581,"LEN"
"KING",0.317955760224581,1,"LEN"
"OVTN",1,0.915367092523178,"LEN"
"TMPL",0.915367092523178,1,"LEN"
"OVTN",1,0.83825418544635,"LEN"
"PKLE",0.83825418544635,1,"LEN"
"OVTN",1,0.860740855610231,"LEN"
"KING",0.860740855610231,1,"LEN"
"TMPL",1,0.870871387363388,"LEN"
"PKLE",0.870871387363388,1,"LEN"
"TMPL",1,0.830626676330204,"LEN"
"KING",0.830626676330204,1,"LEN"
"PKLE",1,0.797456515744762,"LEN"
"KING",0.797456515744762,1,"LEN"
"BRKG",1,0.925666909478817,"PRM"
"KBSM",0.925666909478818,1,"PRM"
"BRKG",1,1.00442409419438,"PRM"
"LINC",1.00442409419438,1,"PRM"
"BRKG",1,0.915875054981216,"PRM"
"MNHT",0.915875054981216,1,"PRM"
"BRKG",1,0.922152866120362,"PRM"
