,,BRKG,KBSM,LINC,MNHT,CLMB,STIL,OVTN,TMPL,PKLE,KING
,BRKG,1,0.998748852,0.993121782,1.070779733,0.885143313,0.834838858,0.840835804,0.731564105,0.867495454,0.611966946
,KBSM,0.998748852,1,0.988368925,0.926813272,0.925935795,0.948076722,0.880463999,0.834574317,0.858680661,0.644380993
,LINC,0.993121782,0.988368925,1,0.888592825,1.013279678,0.968109425,0.877373428,0.853041104,0.898404649,0.656385257
PL,MNHT,1.070779733,0.926813272,0.888592825,1,0.994640483,0.296928965,0.864266296,0.985790232,1.01646935,0.77017094
,CLMB,0.885143313,0.925935795,1.013279678,0.994640483,1,0.642676196,0.952796506,0.951868594,1.036688379,0.65726937
,STIL,0.834838858,0.948076722,0.968109425,0.296928965,0.642676196,1,0.864212173,0.713599873,0.88504275,0.31795576
,OVTN,0.840835804,0.880463999,0.877373428,0.864266296,0.952796506,0.864212173,1,0.915367093,0.838254185,0.860740856
,TMPL,0.731564105,0.834574317,0.853041104,0.985790232,0.951868594,0.713599873,0.915367093,1,0.870871387,0.830626676
,PKLE,0.867495454,0.858680661,0.898404649,1.01646935,1.036688379,0.88504275,0.838254185,0.870871387,1,0.797456516
,KING,0.611966946,0.644380993,0.656385257,0.77017094,0.65726937,0.31795576,0.860740856,0.830626676,0.797456516,1
,,,,,,,,,,,
,,BRKG,KBSM,LINC,MNHT,CLMB,STIL,OVTN,TMPL,PKLE,KING
,BRKG,1,0.925666909,1.004424094,0.915875055,0.922152866,0.775994286,0.939828914,0.813215305,0.866187535,0.866670131
,KBSM,0.925666909,1,1.000670862,1.005105612,1.006659705,1.176433453,0.981624252,0.935788146,0.907947705,0.860939685
,LINC,1.004424094,1.000670862,1,0.979175828,1.025129928,1.104855498,0.978747318,0.894756452,0.943306334,0.834542942
PBN,MNHT,0.915875055,1.005105612,0.979175828,1,0.990000565,0.894760498,0.98878851,0.964285788,0.882206586,0.80429371
,CLMB,0.922152866,1.006659705,1.025129928,0.990000565,1,0.942192227,1.029060056,1.023005099,0.978494843,0.896687346
,STIL,0.775994286,1.176433453,1.104855498,0.894760498,0.942192227,1,1.091561272,0.895739887,0.988900059,0.732076553
,OVTN,0.939828914,0.981624252,0.978747318,0.98878851,1.029060056,1.091561272,1,0.998441234,0.938008955,0.874665864
,TMPL,0.813215305,0.935788146,0.894756452,0.964285788,1.023005099,0.895739887,0.998441234,1,0.866676037,0.920299382
,PKLE,0.866187535,0.907947705,0.943306334,0.882206586,0.978494843,0.988900059,0.938008955,0.866676037,1,0.936663862
,KING,0.866670131,0.860939685,0.834542942,0.80429371,0.896687346,0.732076553,0.874665864,0.920299382,0.936663862,1
,,,,,,,,,,,
,,BRKG,KBSM,LINC,MNHT,CLMB,STIL,OVTN,TMPL,PKLE,KING
,BRKG,1,1.002019926,1.031591418,1.13433478,1.274534872,1.012658186,0.960002454,0.562425984,0.499963815,0.812262761
,KBSM,1.002019926,1,0.943563315,1.018951814,1.185252833,0.96922879,0.909311224,0.841922638,0.809071333,0.795230157
,LINC,1.031591418,0.943563315,1,0.768401615,0.996794597,Inf,0.869956485,0.740845969,0.97131778,0.730210174
,MNHT,1.13433478,1.018951814,0.768401615,1,1.427939203,1.507922691,0.828794635,0.882812413,0.653792377,0.832078432
SBN,CLMB,1.274534872,1.185252833,0.996794597,1.427939203,1,8.454172976,1.295910875,1.18197468,0.547500337,0.828589383
,STIL,1.012658186,0.96922879,Inf,1.507922691,8.454172976,1,0.93991049,1.025229207,0.252662168,0.842125694
,OVTN,0.960002454,0.909311224,0.869956485,0.828794635,1.295910875,0.93991049,1,0.742473168,0.958415035,0.887258763
,TMPL,0.562425984,0.841922638,0.740845969,0.882812413,1.18197468,1.025229207,0.742473168,1,0.507453584,0.881664423
,PKLE,0.499963815,0.809071333,0.97131778,0.653792377,0.547500337,0.252662168,0.958415035,0.507453584,1,0.670326373
,KING,0.812262761,0.795230157,0.730210174,0.832078432,0.828589383,0.842125694,0.887258763,0.881664423,0.670326373,1
