,BRKG,KBSM,LINC,MNHT,CLMB,STIL,OVTN,TMPL,PKLE,KING
BRKG,1,0.998748852,0.993121782,0.99,0.885143313,0.834838858,0.840835804,0.731564105,0.867495454,0.611966946
KBSM,0.998748852,1,0.988368925,0.926813272,0.925935795,0.948076722,0.880463999,0.834574317,0.858680661,0.644380993
LINC,0.993121782,0.988368925,1,0.888592825,0.99,0.968109425,0.877373428,0.853041104,0.898404649,0.656385257
MNHT,0.99,0.926813272,0.888592825,1,0.994640483,0.296928965,0.864266296,0.985790232,0.99,0.77017094
CLMB,0.885143313,0.925935795,0.99,0.994640483,1,0.642676196,0.952796506,0.951868594,0.99,0.65726937
STIL,0.834838858,0.948076722,0.968109425,0.296928965,0.642676196,1,0.864212173,0.713599873,0.88504275,0.31795576
OVTN,0.840835804,0.880463999,0.877373428,0.864266296,0.952796506,0.864212173,1,0.915367093,0.838254185,0.860740856
TMPL,0.731564105,0.834574317,0.853041104,0.985790232,0.951868594,0.713599873,0.915367093,1,0.870871387,0.830626676
PKLE,0.867495454,0.858680661,0.898404649,0.99,0.99,0.88504275,0.838254185,0.870871387,1,0.797456516
KING,0.611966946,0.644380993,0.656385257,0.77017094,0.65726937,0.31795576,0.860740856,0.830626676,0.797456516,1
