,BRKG,KBSM,LINC,MNHT,CLMB,STIL,OVTN,TMPL,PKLE,KING
BRKG,1,0.99,0.99,0.99,0.99,0.99,0.960002454,0.562425984,0.499963815,0.812262761
KBSM,0.99,1,0.943563315,0.99,0.99,0.96922879,0.909311224,0.841922638,0.809071333,0.795230157
LINC,0.99,0.943563315,1,0.768401615,0.996794597,NA,0.869956485,0.740845969,0.97131778,0.730210174
MNHT,0.99,0.99,0.768401615,1,0.99,0.99,0.828794635,0.882812413,0.653792377,0.832078432
CLMB,0.99,0.99,0.996794597,0.99,1,NA,0.99,0.99,0.547500337,0.828589383
STIL,0.99,0.96922879,NA,0.99,NA,1,0.93991049,0.99,0.252662168,0.842125694
OVTN,0.960002454,0.909311224,0.869956485,0.828794635,0.99,0.93991049,1,0.742473168,0.958415035,0.887258763
TMPL,0.562425984,0.841922638,0.740845969,0.882812413,0.99,0.99,0.742473168,1,0.507453584,0.881664423
PKLE,0.499963815,0.809071333,0.97131778,0.653792377,0.547500337,0.252662168,0.958415035,0.507453584,1,0.670326373
KING,0.812262761,0.795230157,0.730210174,0.832078432,0.828589383,0.842125694,0.887258763,0.881664423,0.670326373,1
