"SITE","LINE","LEN","PRM","SEC","SITE2"
"BRKG",1,"39.25","30","14.5","BRKG"
"BRKG",2,"*","*","*","BRKG"
"BRKG",3,"42.25","34.5","13","BRKG"
"BRKG",4,"44.5","25","12.75","BRKG"
"BRKG",5,"31","23","10.5","BRKG"
"BRKG",7,"37.25","29","11.5","BRKG"
"BRKG",8,"49.5","38.5","16","BRKG"
"BRKG",9,"*","*","*","BRKG"
"BRKG",10,"41","23.5","12","BRKG"
"BRKG",11,"51","30","12.5","BRKG"
"BRKG",12,"63.5","30.5","12.5","BRKG"
"BRKG",13,"32.5","32.5","12","BRKG"
"BRKG",14,"34.25","34","12","BRKG"
"BRKG",15,"54","35","14","BRKG"
"BRKG",16,"51.75","26","12.5","BRKG"
"BRKG",17,"*","*","*","BRKG"
"BRKG",18,"42","21","9","BRKG"
"BRKG",19,"47.5","30.5","12.5","BRKG"
"BRKG",20,"52","26","14.75","BRKG"
"BRKG",21,"49.25","31.5","14","BRKG"
"BRKG",22,"42.5","21.5","7","BRKG"
"BRKG",23,"64.5","41","15","BRKG"
"BRKG",24,"46","30","14","BRKG"
"BRKG",25,"41.25","22","12.25","BRKG"
"BRKG",26,"43.75","21","10.5","BRKG"
"BRKG",27,"55.5","24","12.5","BRKG"
"BRKG",28,"49.375","28","11.75","BRKG"
"BRKG",29,"44.5","27","12","BRKG"
"BRKG",30,"*","*","*","BRKG"
"BRKG",31,"31.5","26.5","9.5","BRKG"
"BRKG",32,"66.15","21.5","10","BRKG"
"BRKG",33,"43.8","24.25","12","BRKG"
"BRKG",34,"47.5","23","11.5","BRKG"
"BRKG",35,"54.25","32.75","12.5","BRKG"
"BRKG",36,"66.65","32","18.5","BRKG"
"BRKG",37,"*","*","*","BRKG"
"BRKG",38,"*","*","*","BRKG"
"BRKG",39,"*","*","*","BRKG"
"BRKG",40,"*","*","*","BRKG"
"BRKG",41,"41","22","11.5","BRKG"
"BRKG",42,"39.5","28","11","BRKG"
"BRKG",43,"43.5","29","11.5","BRKG"
"BRKG",44,"40","27","11.5","BRKG"
"BRKG",45,"39","21.5","11.5","BRKG"
"BRKG",46,"43.75","34","13","BRKG"
"BRKG",47,"46.5","38","10","BRKG"
"BRKG",48,"39.25","26.5","9.5","BRKG"
"BRKG",49,"42.5","28","13","BRKG"
"BRKG",50,"*","*","*","BRKG"
