"INDEX","CROSS","SITE","EFF","SE","TRAIT"
81,"add","BRKG",-0.473810449508865,0.220974486696337,"FL50"
81,"add","CLMB",-1.5718445883002,0.5120521261078,"FL50"
81,"add","KBSM",-0.61863294665777,0.299653660027368,"FL50"
81,"add","KING",0.18917834872401,0.395316511305115,"FL50"
81,"add","LINC",-0.548907821000999,0.336827054848081,"FL50"
81,"add","MNHT",-1.28855851555889,0.376875751965792,"FL50"
81,"add","OVTN",-4.04162718251349,0.790959401626713,"FL50"
81,"add","PKLE",-0.552123389950913,0.717463529155203,"FL50"
81,"add","STIL",-2.86938514333144,0.617157300494614,"FL50"
81,"add","TMPL",-2.95593208002796,0.686217510152495,"FL50"
81,"add2","BRKG",0.220422598532093,0.271323614989398,"FL50"
81,"add2","CLMB",-0.457563507579444,0.622077775624147,"FL50"
81,"add2","KBSM",-0.10540008971608,0.354188966221001,"FL50"
81,"add2","KING",0.676239949284782,0.469047484790651,"FL50"
81,"add2","LINC",0.00384468901391927,0.396784343161383,"FL50"
81,"add2","MNHT",0.369300633070729,0.455764527079803,"FL50"
81,"add2","OVTN",-1.86581835447534,0.948244985707559,"FL50"
81,"add2","PKLE",0.0262235520813336,0.825967781082214,"FL50"
81,"add2","STIL",-0.985922242238231,0.719249555658771,"FL50"
81,"add2","TMPL",-2.39223384683163,0.828866422800621,"FL50"
81,"dom","BRKG",NA,NA,"FL50"
81,"dom","CLMB",NA,NA,"FL50"
81,"dom","KBSM",NA,NA,"FL50"
81,"dom","KING",NA,NA,"FL50"
81,"dom","LINC",NA,NA,"FL50"
81,"dom","MNHT",NA,NA,"FL50"
81,"dom","OVTN",NA,NA,"FL50"
81,"dom","PKLE",NA,NA,"FL50"
81,"dom","STIL",NA,NA,"FL50"
81,"dom","TMPL",NA,NA,"FL50"
97,"add","BRKG",-0.322192624310914,0.222462672758726,"FL50"
97,"add","CLMB",-0.462198147008172,0.518815255997654,"FL50"
97,"add","KBSM",-1.11042868540884,0.30586918530093,"FL50"
97,"add","KING",-0.198336332155245,0.401060694834295,"FL50"
97,"add","LINC",-0.863827767312875,0.344366243024615,"FL50"
97,"add","MNHT",-1.47695554600013,0.381535118668071,"FL50"
97,"add","OVTN",-0.767847689385501,0.802897044448734,"FL50"
97,"add","PKLE",-0.908311186312877,0.736989765697143,"FL50"
97,"add","STIL",-1.01757339518346,0.629118607309336,"FL50"
97,"add","TMPL",-1.38323924840161,0.69182944305415,"FL50"
97,"add2","BRKG",-0.0515182589199383,0.270985929744043,"FL50"
97,"add2","CLMB",-1.32051281120459,0.624204864091057,"FL50"
97,"add2","KBSM",-0.258128908281694,0.35553613843578,"FL50"
97,"add2","KING",0.673673245555589,0.470697649077039,"FL50"
97,"add2","LINC",-0.787376679528357,0.398231828085261,"FL50"
97,"add2","MNHT",-1.27881880101173,0.458305231541032,"FL50"
97,"add2","OVTN",0.630428676211235,0.950856070238068,"FL50"
97,"add2","PKLE",1.85466730985006,0.836794387807352,"FL50"
97,"add2","STIL",-0.641157128282679,0.722185646562639,"FL50"
97,"add2","TMPL",2.39486138092892,0.832435609852122,"FL50"
97,"dom","BRKG",NA,NA,"FL50"
97,"dom","CLMB",NA,NA,"FL50"
97,"dom","KBSM",NA,NA,"FL50"
97,"dom","KING",NA,NA,"FL50"
97,"dom","LINC",NA,NA,"FL50"
97,"dom","MNHT",NA,NA,"FL50"
97,"dom","OVTN",NA,NA,"FL50"
97,"dom","PKLE",NA,NA,"FL50"
97,"dom","STIL",NA,NA,"FL50"
97,"dom","TMPL",NA,NA,"FL50"
164,"add","BRKG",-1.20278527700322,0.218774008431408,"FL50"
164,"add","CLMB",-1.85905092996896,0.502121221704194,"FL50"
164,"add","KBSM",-1.52009668355759,0.297235774778792,"FL50"
164,"add","KING",-0.496116466332158,0.388890459385395,"FL50"
164,"add","LINC",-1.84791387598465,0.329418559520858,"FL50"
164,"add","MNHT",-2.23307151994529,0.370484673028798,"FL50"
164,"add","OVTN",-0.944199264053418,0.777723274148013,"FL50"
164,"add","PKLE",-2.30115628233618,0.712665654678428,"FL50"
164,"add","STIL",-3.12280129929671,0.60950334381127,"FL50"
164,"add","TMPL",-1.57956324980257,0.678672727842587,"FL50"
164,"add2","BRKG",-0.11312532326682,0.213298877881181,"FL50"
164,"add2","CLMB",-0.815947004191104,0.499016620474852,"FL50"
164,"add2","KBSM",-0.714684564468713,0.290410810815231,"FL50"
164,"add2","KING",-1.58802105640609,0.381435035953427,"FL50"
164,"add2","LINC",-0.783875424183652,0.324495180292352,"FL50"
164,"add2","MNHT",-0.806302796257175,0.366445504666078,"FL50"
164,"add2","OVTN",-0.978405611104648,0.766025497847249,"FL50"
164,"add2","PKLE",-0.451256322973168,0.695122944878679,"FL50"
164,"add2","STIL",-2.79591815477319,0.5986402057931,"FL50"
164,"add2","TMPL",-1.39805096588378,0.664224846093411,"FL50"
164,"dom","BRKG",NA,NA,"FL50"
164,"dom","CLMB",NA,NA,"FL50"
164,"dom","KBSM",NA,NA,"FL50"
164,"dom","KING",NA,NA,"FL50"
164,"dom","LINC",NA,NA,"FL50"
164,"dom","MNHT",NA,NA,"FL50"
164,"dom","OVTN",NA,NA,"FL50"
164,"dom","PKLE",NA,NA,"FL50"
164,"dom","STIL",NA,NA,"FL50"
164,"dom","TMPL",NA,NA,"FL50"
203,"add","BRKG",-0.297655445449806,0.216756155244428,"FL50"
203,"add","CLMB",-1.21837678586803,0.498882972499358,"FL50"
203,"add","KBSM",-0.65097699767765,0.290903931597656,"FL50"
203,"add","KING",-0.437731678603832,0.380294157160108,"FL50"
203,"add","LINC",-0.64056015894148,0.324170106781512,"FL50"
203,"add","MNHT",-1.45097486969333,0.365099316673635,"FL50"
203,"add","OVTN",-1.65068643398347,0.763102524862623,"FL50"
203,"add","PKLE",-0.138645929582949,0.693977825116125,"FL50"
203,"add","STIL",-0.421909501563483,0.594992559911422,"FL50"
203,"add","TMPL",-0.977850656191329,0.669095620922648,"FL50"
203,"add2","BRKG",0.31026183048004,0.21594256895551,"FL50"
203,"add2","CLMB",-0.701587518407496,0.499264303129375,"FL50"
203,"add2","KBSM",-0.213249775875737,0.291378864617088,"FL50"
203,"add2","KING",0.252814855275969,0.383699205618476,"FL50"
203,"add2","LINC",-0.593327245707393,0.325158119508731,"FL50"
203,"add2","MNHT",-0.752749398926408,0.366376775716187,"FL50"
203,"add2","OVTN",-0.831896719322729,0.769807962908978,"FL50"
203,"add2","PKLE",-0.109801286171277,0.694218125761799,"FL50"
203,"add2","STIL",-1.18980517791169,0.596421965191137,"FL50"
203,"add2","TMPL",-1.07790291557934,0.669002269209292,"FL50"
203,"dom","BRKG",0.029625915760672,0.214267414518393,"FL50"
203,"dom","CLMB",0.0622376337402012,0.492478396495175,"FL50"
203,"dom","KBSM",0.329969060581302,0.286767701280886,"FL50"
203,"dom","KING",-0.778535422714343,0.379014511779013,"FL50"
203,"dom","LINC",0.0752739496128477,0.321412831652784,"FL50"
203,"dom","MNHT",-0.482153630747801,0.360708069800253,"FL50"
203,"dom","OVTN",-0.264207307991724,0.760251473710076,"FL50"
203,"dom","PKLE",-1.55527379151717,0.685242405758253,"FL50"
203,"dom","STIL",-1.30567987535999,0.58887985292842,"FL50"
203,"dom","TMPL",0.415161988934634,0.659535232848542,"FL50"
293,"add","BRKG",-0.48573180520854,0.209781425600926,"FL50"
293,"add","CLMB",-1.56981048649933,0.489905597525399,"FL50"
293,"add","KBSM",-1.43727103395923,0.284761579176527,"FL50"
293,"add","KING",-0.542737919676974,0.372516189957739,"FL50"
293,"add","LINC",-0.962066338413381,0.317424051473129,"FL50"
293,"add","MNHT",-1.42995044900405,0.3582073633619,"FL50"
293,"add","OVTN",-3.27541580051253,0.749442804873521,"FL50"
293,"add","PKLE",-1.33144799449683,0.679418696962772,"FL50"
293,"add","STIL",-2.21159022614152,0.587278186293663,"FL50"
293,"add","TMPL",-1.62044837609154,0.653412209430806,"FL50"
293,"add2","BRKG",0.0215776674681599,0.217782738538269,"FL50"
293,"add2","CLMB",0.912043299173275,0.496508840942424,"FL50"
293,"add2","KBSM",0.215339735724576,0.291273730497276,"FL50"
293,"add2","KING",-0.821765156835532,0.383125988410557,"FL50"
293,"add2","LINC",0.443120203674784,0.32585562396117,"FL50"
293,"add2","MNHT",-0.0145252015118752,0.365405452776369,"FL50"
293,"add2","OVTN",-2.39923745590256,0.769026484306072,"FL50"
293,"add2","PKLE",-1.0463629028309,0.697778892996705,"FL50"
293,"add2","STIL",-0.404601406983359,0.59872798797198,"FL50"
293,"add2","TMPL",-2.20699271950878,0.672799051553929,"FL50"
293,"dom","BRKG",NA,NA,"FL50"
293,"dom","CLMB",NA,NA,"FL50"
293,"dom","KBSM",NA,NA,"FL50"
293,"dom","KING",NA,NA,"FL50"
293,"dom","LINC",NA,NA,"FL50"
293,"dom","MNHT",NA,NA,"FL50"
293,"dom","OVTN",NA,NA,"FL50"
293,"dom","PKLE",NA,NA,"FL50"
293,"dom","STIL",NA,NA,"FL50"
293,"dom","TMPL",NA,NA,"FL50"
412,"add","BRKG",-1.31997186215984,0.211117081369502,"FL50"
412,"add","CLMB",-4.52555307865852,0.490089625365185,"FL50"
412,"add","KBSM",-3.76810971835942,0.286482107152695,"FL50"
412,"add","KING",-0.0211161296039183,0.377120872830923,"FL50"
412,"add","LINC",-2.83981522051962,0.31992050203666,"FL50"
412,"add","MNHT",-3.00403345973903,0.360828653730431,"FL50"
412,"add","OVTN",-1.9014061194244,0.75725425741637,"FL50"
412,"add","PKLE",-0.494028042127344,0.686473884689741,"FL50"
412,"add","STIL",-1.9656211974962,0.590883056756325,"FL50"
412,"add","TMPL",-0.364630667658722,0.658257525329047,"FL50"
412,"add2","BRKG",0.167330761135436,0.216183869759813,"FL50"
412,"add2","CLMB",0.113290716489657,0.498473680186818,"FL50"
412,"add2","KBSM",0.405652450674229,0.292459364884974,"FL50"
412,"add2","KING",-0.0147402376671622,0.385110462905859,"FL50"
412,"add2","LINC",0.139842551873515,0.328499118110031,"FL50"
412,"add2","MNHT",0.612176527576003,0.367599873236255,"FL50"
412,"add2","OVTN",1.19869716446298,0.772373481853237,"FL50"
412,"add2","PKLE",-0.908864172570073,0.698802787336034,"FL50"
412,"add2","STIL",0.303072253086568,0.602138330579213,"FL50"
412,"add2","TMPL",1.3807180149429,0.669588607651598,"FL50"
412,"dom","BRKG",NA,NA,"FL50"
412,"dom","CLMB",NA,NA,"FL50"
412,"dom","KBSM",NA,NA,"FL50"
412,"dom","KING",NA,NA,"FL50"
412,"dom","LINC",NA,NA,"FL50"
412,"dom","MNHT",NA,NA,"FL50"
412,"dom","OVTN",NA,NA,"FL50"
412,"dom","PKLE",NA,NA,"FL50"
412,"dom","STIL",NA,NA,"FL50"
412,"dom","TMPL",NA,NA,"FL50"
451,"add","BRKG",-0.810763997989939,0.218924232722961,"FL50"
451,"add","CLMB",-3.07352437129079,0.507718373934327,"FL50"
451,"add","KBSM",-2.25646927086994,0.297434580232896,"FL50"
451,"add","KING",0.213350744521506,0.385940146299265,"FL50"
451,"add","LINC",-2.15894374709856,0.331504501737843,"FL50"
451,"add","MNHT",-5.36014896880202,0.371997649795441,"FL50"
451,"add","OVTN",-8.31562696460947,0.775525169737306,"FL50"
451,"add","PKLE",-3.77742877680344,0.713892198058524,"FL50"
451,"add","STIL",-5.39735573699451,0.613117853934166,"FL50"
451,"add","TMPL",-5.43914559581275,0.675598759004794,"FL50"
451,"add2","BRKG",-0.0306759676488434,0.225301974256538,"FL50"
451,"add2","CLMB",0.00676418928806721,0.528194406119266,"FL50"
451,"add2","KBSM",-0.284828266836639,0.305996495224313,"FL50"
451,"add2","KING",-0.485157799585236,0.401316848109669,"FL50"
451,"add2","LINC",-0.280171421936175,0.339345891314414,"FL50"
451,"add2","MNHT",-0.251525155074191,0.385604118263043,"FL50"
451,"add2","OVTN",-0.832833360793217,0.800092791746092,"FL50"
451,"add2","PKLE",-0.292724995650877,0.732848180538148,"FL50"
451,"add2","STIL",-0.461505652943231,0.628928633134648,"FL50"
451,"add2","TMPL",-0.329135458762212,0.697669078979389,"FL50"
451,"dom","BRKG",NA,NA,"FL50"
451,"dom","CLMB",NA,NA,"FL50"
451,"dom","KBSM",NA,NA,"FL50"
451,"dom","KING",NA,NA,"FL50"
451,"dom","LINC",NA,NA,"FL50"
451,"dom","MNHT",NA,NA,"FL50"
451,"dom","OVTN",NA,NA,"FL50"
451,"dom","PKLE",NA,NA,"FL50"
451,"dom","STIL",NA,NA,"FL50"
451,"dom","TMPL",NA,NA,"FL50"
578,"add","BRKG",0.304400119078362,0.216344048904322,"FL50"
578,"add","CLMB",0.101538444867892,0.504063148650665,"FL50"
578,"add","KBSM",0.184291562515023,0.292075300572864,"FL50"
578,"add","KING",0.919865535832514,0.384119514528234,"FL50"
578,"add","LINC",0.183074981823805,0.326170422515351,"FL50"
578,"add","MNHT",-0.28777323472951,0.368505619397031,"FL50"
578,"add","OVTN",2.0519539715526,0.775358452522334,"FL50"
578,"add","PKLE",-0.887386746324503,0.693111693397536,"FL50"
578,"add","STIL",1.30262383035755,0.601180814617615,"FL50"
578,"add","TMPL",0.923340919337234,0.670953605696876,"FL50"
578,"add2","BRKG",0.251814551279502,0.214001624442714,"FL50"
578,"add2","CLMB",-0.195996027788561,0.500197039817598,"FL50"
578,"add2","KBSM",-0.374115258333257,0.289652075794107,"FL50"
578,"add2","KING",0.35470371699083,0.381713160528504,"FL50"
578,"add2","LINC",0.344375782524726,0.324028646867945,"FL50"
578,"add2","MNHT",0.647831326595495,0.366571904645811,"FL50"
578,"add2","OVTN",0.708129191059949,0.770855907762499,"FL50"
578,"add2","PKLE",-1.10535975662455,0.691003003427893,"FL50"
578,"add2","STIL",1.78342816000628,0.598094434905478,"FL50"
578,"add2","TMPL",0.338149202707993,0.668595312629515,"FL50"
578,"dom","BRKG",NA,NA,"FL50"
578,"dom","CLMB",NA,NA,"FL50"
578,"dom","KBSM",NA,NA,"FL50"
578,"dom","KING",NA,NA,"FL50"
578,"dom","LINC",NA,NA,"FL50"
578,"dom","MNHT",NA,NA,"FL50"
578,"dom","OVTN",NA,NA,"FL50"
578,"dom","PKLE",NA,NA,"FL50"
578,"dom","STIL",NA,NA,"FL50"
578,"dom","TMPL",NA,NA,"FL50"
86,"add","BRKG",-1.3772179235156,0.818452309948096,"HT"
86,"add","CLMB",0.229339266534368,0.74034684890432,"HT"
86,"add","KBSM",-0.760413739984602,0.788137977612249,"HT"
86,"add","KING",0.486022634593497,0.803062524659775,"HT"
86,"add","LINC",-0.945152445087351,0.959369745428173,"HT"
86,"add","MNHT",-2.2175654284641,0.932594020578166,"HT"
86,"add","OVTN",-2.78810833370422,0.754733250685658,"HT"
86,"add","PKLE",-3.07806615934471,0.997717232060566,"HT"
86,"add","STIL",-2.89984123802607,0.896200685441178,"HT"
86,"add","TMPL",-4.0247490456212,0.873952631093478,"HT"
86,"add2","BRKG",-1.40056716014016,0.845808316664402,"HT"
86,"add2","CLMB",0.294178763440158,0.77047605262026,"HT"
86,"add2","KBSM",-1.1651967570794,0.804821339446025,"HT"
86,"add2","KING",-0.480788040321834,0.821956844188083,"HT"
86,"add2","LINC",-2.01006203285627,0.979357980686599,"HT"
86,"add2","MNHT",-2.97034716412306,0.967016301633944,"HT"
86,"add2","OVTN",-0.802245012311195,0.777383028486255,"HT"
86,"add2","PKLE",-2.40912226092048,1.01135256533406,"HT"
86,"add2","STIL",-0.631368565070924,0.915067885432818,"HT"
86,"add2","TMPL",-1.41673464764912,0.897673750367995,"HT"
86,"dom","BRKG",NA,NA,"HT"
86,"dom","CLMB",NA,NA,"HT"
86,"dom","KBSM",NA,NA,"HT"
86,"dom","KING",NA,NA,"HT"
86,"dom","LINC",NA,NA,"HT"
86,"dom","MNHT",NA,NA,"HT"
86,"dom","OVTN",NA,NA,"HT"
86,"dom","PKLE",NA,NA,"HT"
86,"dom","STIL",NA,NA,"HT"
86,"dom","TMPL",NA,NA,"HT"
120,"add","BRKG",-0.89740612215912,0.841346109155015,"HT"
120,"add","CLMB",-0.482620612482831,0.752989469389596,"HT"
120,"add","KBSM",-1.1263565463952,0.804573631740528,"HT"
120,"add","KING",2.57930545663112,0.832551859824825,"HT"
120,"add","LINC",-0.924200530088826,0.983048783569262,"HT"
120,"add","MNHT",-1.12230160273194,0.958932555884563,"HT"
120,"add","OVTN",2.16232626774959,0.777639589964793,"HT"
120,"add","PKLE",1.74849076567089,1.0189040053872,"HT"
120,"add","STIL",-0.098881516192105,0.921607744615605,"HT"
120,"add","TMPL",2.27316231211505,0.902733221608763,"HT"
120,"add2","BRKG",-2.14668850987075,0.857149392339659,"HT"
120,"add2","CLMB",-2.64841790218583,0.773628214740891,"HT"
120,"add2","KBSM",-2.92567990489931,0.813653959575177,"HT"
120,"add2","KING",1.85056482906002,0.846120103102926,"HT"
120,"add2","LINC",-4.56950165094619,0.993260432925543,"HT"
120,"add2","MNHT",-4.39883123475021,0.979949916287981,"HT"
120,"add2","OVTN",-0.204186108260081,0.796484520436701,"HT"
120,"add2","PKLE",-1.5819149460758,1.02895513689635,"HT"
120,"add2","STIL",-2.15976316874171,0.934276522089119,"HT"
120,"add2","TMPL",-0.984366235981098,0.915461850990442,"HT"
120,"dom","BRKG",-0.260273563264898,0.841567570149568,"HT"
120,"dom","CLMB",-0.782837545328603,0.756357069872987,"HT"
120,"dom","KBSM",-2.08790854637269,0.801340579978934,"HT"
120,"dom","KING",-0.0287090780673046,0.822297463423283,"HT"
120,"dom","LINC",-0.715050455456903,0.980420177744431,"HT"
120,"dom","MNHT",-1.32221614237479,0.958642219408124,"HT"
120,"dom","OVTN",-0.389292562929224,0.769774275128476,"HT"
120,"dom","PKLE",1.76223488824827,1.02203248542196,"HT"
120,"dom","STIL",-0.122398599117029,0.922238907481646,"HT"
120,"dom","TMPL",-0.144930899828365,0.898067601389648,"HT"
200,"add","BRKG",-3.5866701129478,0.813953620934395,"HT"
200,"add","CLMB",-2.6190941073604,0.730129707690712,"HT"
200,"add","KBSM",-5.17356418652696,0.774085639470242,"HT"
200,"add","KING",-1.63817719097898,0.80078785923527,"HT"
200,"add","LINC",-2.97775840140506,0.945174070032106,"HT"
200,"add","MNHT",-4.4343775795113,0.923260274782118,"HT"
200,"add","OVTN",-2.64764053323642,0.745081526045078,"HT"
200,"add","PKLE",-3.97199758847848,0.98015047181501,"HT"
200,"add","STIL",-4.71241131023185,0.885719205506462,"HT"
200,"add","TMPL",-4.04380942520921,0.86921750169762,"HT"
200,"add2","BRKG",-2.36128919568779,0.830980259883234,"HT"
200,"add2","CLMB",-1.09916945938534,0.746425915049799,"HT"
200,"add2","KBSM",-2.91817225877752,0.794432032387313,"HT"
200,"add2","KING",-0.997709375833067,0.818649032831057,"HT"
200,"add2","LINC",-2.58235788128598,0.964300514111519,"HT"
200,"add2","MNHT",-3.10110276300788,0.940500303953646,"HT"
200,"add2","OVTN",-2.37171795849653,0.763784582870987,"HT"
200,"add2","PKLE",-1.2860062969835,1.00109761755296,"HT"
200,"add2","STIL",-2.38107058112426,0.904095488900823,"HT"
200,"add2","TMPL",-2.62063555445081,0.882120317871395,"HT"
200,"dom","BRKG",NA,NA,"HT"
200,"dom","CLMB",NA,NA,"HT"
200,"dom","KBSM",NA,NA,"HT"
200,"dom","KING",NA,NA,"HT"
200,"dom","LINC",NA,NA,"HT"
200,"dom","MNHT",NA,NA,"HT"
200,"dom","OVTN",NA,NA,"HT"
200,"dom","PKLE",NA,NA,"HT"
200,"dom","STIL",NA,NA,"HT"
200,"dom","TMPL",NA,NA,"HT"
238,"add","BRKG",2.06849195800947,0.806835648318963,"HT"
238,"add","CLMB",0.518629221566704,0.727475825933439,"HT"
238,"add","KBSM",0.835487361264106,0.769757415019059,"HT"
238,"add","KING",0.252916162435826,0.786936451994696,"HT"
238,"add","LINC",0.0739721026795552,0.937968919058682,"HT"
238,"add","MNHT",-0.818524800905125,0.916978332685896,"HT"
238,"add","OVTN",0.329561154580338,0.737091669546419,"HT"
238,"add","PKLE",-0.187000098781183,0.974876856590996,"HT"
238,"add","STIL",0.185999885518358,0.883956263197635,"HT"
238,"add","TMPL",0.461478222651497,0.858963479646159,"HT"
238,"add2","BRKG",1.45795821540225,0.856078497409488,"HT"
238,"add2","CLMB",-0.591498139924902,0.77041083584784,"HT"
238,"add2","KBSM",-1.48695501771013,0.816191296389737,"HT"
238,"add2","KING",-1.6390882896113,0.840237702791202,"HT"
238,"add2","LINC",0.0665179234762135,0.990494813390748,"HT"
238,"add2","MNHT",-1.16324578462605,0.967347313634507,"HT"
238,"add2","OVTN",0.12106192475953,0.787548537642545,"HT"
238,"add2","PKLE",-0.812667200850909,1.02409431697367,"HT"
238,"add2","STIL",-2.75427896906839,0.931417946685173,"HT"
238,"add2","TMPL",-0.845695797439803,0.91091957040011,"HT"
238,"dom","BRKG",NA,NA,"HT"
238,"dom","CLMB",NA,NA,"HT"
238,"dom","KBSM",NA,NA,"HT"
238,"dom","KING",NA,NA,"HT"
238,"dom","LINC",NA,NA,"HT"
238,"dom","MNHT",NA,NA,"HT"
238,"dom","OVTN",NA,NA,"HT"
238,"dom","PKLE",NA,NA,"HT"
238,"dom","STIL",NA,NA,"HT"
238,"dom","TMPL",NA,NA,"HT"
452,"add","BRKG",-4.08746082509613,0.847823435487887,"HT"
452,"add","CLMB",-1.94335084355509,0.768891815209775,"HT"
452,"add","KBSM",-5.41186137807996,0.818093812866281,"HT"
452,"add","KING",-0.551620259541836,0.832319741630945,"HT"
452,"add","LINC",-4.33965537837912,0.99489750261718,"HT"
452,"add","MNHT",-4.42569104565344,0.968288786495071,"HT"
452,"add","OVTN",-3.94289247620106,0.773575357702578,"HT"
452,"add","PKLE",-3.56301461452489,1.04087658793578,"HT"
452,"add","STIL",-3.77386674503184,0.935815629154552,"HT"
452,"add","TMPL",-6.18028603466202,0.906902172046127,"HT"
452,"add2","BRKG",-1.47860996728389,0.843784315466414,"HT"
452,"add2","CLMB",-0.923884853718737,0.770981417364467,"HT"
452,"add2","KBSM",-2.47876730116739,0.815818677782672,"HT"
452,"add2","KING",-0.579802704849527,0.82725767866163,"HT"
452,"add2","LINC",-2.4123778692028,0.987047557048689,"HT"
452,"add2","MNHT",-0.772032311920701,0.959954639662064,"HT"
452,"add2","OVTN",-0.258143162746033,0.769397611503864,"HT"
452,"add2","PKLE",0.395069711174829,1.0351592970776,"HT"
452,"add2","STIL",1.07121261244596,0.928184243928226,"HT"
452,"add2","TMPL",-0.644379935419433,0.89676307786194,"HT"
452,"dom","BRKG",NA,NA,"HT"
452,"dom","CLMB",NA,NA,"HT"
452,"dom","KBSM",NA,NA,"HT"
452,"dom","KING",NA,NA,"HT"
452,"dom","LINC",NA,NA,"HT"
452,"dom","MNHT",NA,NA,"HT"
452,"dom","OVTN",NA,NA,"HT"
