"SITE","LINE","Obs","Trait","Pred"
"CLMB",405,28.5,"PL",44.9308412044458
"CLMB",406,54.5,"PL",42.7423679312635
"CLMB",407,55.25,"PL",39.6560590706597
"CLMB",408,36.25,"PL",41.3136358194461
"CLMB",409,30.5,"PL",44.0841172509203
"CLMB",410,31.75,"PL",44.6771521281385
"CLMB",411,42.75,"PL",44.4564587373592
"CLMB",412,44,"PL",44.1893880781056
"CLMB",413,51,"PL",40.8747310283093
"CLMB",414,44,"PL",43.034264874853
"CLMB",415,35.75,"PL",43.5394692292026
"CLMB",416,NA,"PL",44.4715339938353
"CLMB",417,41.75,"PL",43.3516736509358
"CLMB",418,40.75,"PL",42.3564164395188
"CLMB",419,46.25,"PL",43.1668090924668
"CLMB",420,48.5,"PL",43.8690985041283
"CLMB",421,35,"PL",41.3299305584777
"CLMB",422,33.25,"PL",42.9293899208246
"CLMB",423,34,"PL",43.0825187346196
"CLMB",424,52.5,"PL",48.4460418910508
"CLMB",425,47.5,"PL",42.6607665024972
"CLMB",426,36.5,"PL",42.7746754859143
"CLMB",427,NA,"PL",43.1326869314155
"CLMB",428,38.5,"PL",43.0707893161066
"CLMB",429,46.25,"PL",47.2804245556783
"CLMB",431,41.5,"PL",41.712159883678
"CLMB",432,41.25,"PL",45.3448583858326
"CLMB",433,38,"PL",39.2523509807332
"CLMB",435,55,"PL",45.4502248722787
"CLMB",436,54.75,"PL",42.4282554017423
"CLMB",437,25,"PL",42.524826127706
"CLMB",438,38.25,"PL",40.8161408522526
"CLMB",439,37.5,"PL",43.5803167884993
"CLMB",440,NA,"PL",40.0415036114448
"CLMB",442,50,"PL",44.0504261317004
"CLMB",443,33.75,"PL",38.9792272892799
"CLMB",444,47.5,"PL",40.8462180052645
"CLMB",445,41,"PL",45.3426474876967
"CLMB",446,34.25,"PL",41.7033495449041
"CLMB",447,45.5,"PL",39.4110070475984
"CLMB",448,41,"PL",43.9630909794536
"CLMB",449,28.5,"PL",37.8608197625728
"CLMB",450,44.25,"PL",45.8930159700719
"CLMB",451,48.5,"PL",38.8202612138017
"CLMB",452,45.25,"PL",42.7353095367886
"CLMB",453,43.25,"PL",40.9871015196777
"CLMB",454,49.25,"PL",48.3241702114186
"CLMB",455,43.5,"PL",42.4327498646118
"CLMB",456,56.5,"PL",49.0273195404478
"CLMB",458,47.25,"PL",44.0075669968478
"CLMB",459,49.75,"PL",40.9786193111499
"CLMB",460,46,"PL",45.9496404569365
"CLMB",461,49.5,"PL",41.1618513458814
"CLMB",462,51.75,"PL",45.7978910123554
"CLMB",463,43.25,"PL",40.9183809515489
"CLMB",464,58,"PL",46.5041445130553
"CLMB",465,50.75,"PL",43.1953375382522
"CLMB",466,32.75,"PL",43.3730576566217
"CLMB",467,NA,"PL",44.2419937237784
"CLMB",468,46.5,"PL",42.6628882361548
"CLMB",469,NA,"PL",42.3436554785843
"CLMB",470,56.25,"PL",44.3173725189472
"CLMB",471,38.25,"PL",44.9979569363818
"CLMB",472,37.75,"PL",39.8493092693096
"CLMB",473,53.75,"PL",43.2362047037919
"CLMB",474,43,"PL",45.8743454653444
"CLMB",475,53.5,"PL",49.2417851396966
"CLMB",476,34.75,"PL",40.1657851309487
"CLMB",477,32.5,"PL",39.6503719737612
"CLMB",479,48.75,"PL",48.8556084076397
"CLMB",480,44.25,"PL",44.8841585287709
"CLMB",482,45.5,"PL",37.59302880454
"CLMB",483,36.75,"PL",38.7696457124986
"CLMB",484,28.25,"PL",40.0930570604905
"CLMB",485,44.5,"PL",38.8173792602343
"CLMB",486,42.25,"PL",40.2545981573133
"CLMB",487,55.75,"PL",40.677975225065
"CLMB",488,39.5,"PL",41.4204838432455
"CLMB",489,45.75,"PL",42.4124426322506
"CLMB",491,46.75,"PL",42.6544726131646
"CLMB",492,44.25,"PL",43.3159161307541
"CLMB",493,NA,"PL",41.9031436498454
"CLMB",494,43,"PL",43.2055069930383
"CLMB",495,NA,"PL",42.9543661150857
"CLMB",496,41.5,"PL",44.8960926731644
"CLMB",497,34.5,"PL",36.0547267513877
"CLMB",498,40.5,"PL",40.8468641922341
