OsID,OsGene
LOC_Os01g01080,OsSPL1
LOC_Os01g01280,OsTLP27
LOC_Os01g01302,OsSK4|OsSKL1
LOC_Os01g01340,Lir1|OsLIR1
LOC_Os01g01360,OsNPF6.1
LOC_Os01g01420,OsCOIN
LOC_Os01g01470,ONAC020
LOC_Os01g01484,OsDET1
LOC_Os01g01660,OsIRL
LOC_Os01g01689,OsATM
LOC_Os01g01710,OsDXR
LOC_Os01g01920,WFSL1
LOC_Os01g02000,OsPHO1;1
LOC_Os01g02120,OsMFT2
LOC_Os01g02720,LMM5.1|SPL33
LOC_Os01g02890,OsSUI1|OsPSS
LOC_Os01g03340,APIP4
LOC_Os01g03360,OsBBPI
LOC_Os01g03510,OsAIP1
LOC_Os01g03630,OsLPR3
LOC_Os01g03640,OsLPR5
LOC_Os01g03650,OsNAP6
LOC_Os01g03720,MYB1
LOC_Os01g03750,MHZ4
LOC_Os01g03840,SL1|OsJAG
LOC_Os01g03914,OsMTP9
LOC_Os01g03940,NRR
LOC_Os01g04050,IAI2
LOC_Os01g04130,OsCRS2
LOC_Os01g04190,OsPGLCT
LOC_Os01g04260,OsSTE1|OsDWF7
LOC_Os01g04330,OsCML16
LOC_Os01g04360,OsHSP16.9C
LOC_Os01g04370,Oshsp16.9
LOC_Os01g04380,OsHSP17.0
LOC_Os01g04800,OsRAV2
LOC_Os01g04814,OsSKD1
LOC_Os01g04920,OsSQD2|OsSQD2.2
LOC_Os01g04950,OsPTR7|OsNPF8.1
LOC_Os01g05490,TPI|OsTPI1.1
LOC_Os01g05585,OsMT2d
LOC_Os01g05620,Pit
LOC_Os01g05650,MT2A
LOC_Os01g06470,alpha2
LOC_Os01g06630,OsLEA1a
LOC_Os01g06640,OsbHLH035
LOC_Os01g06740,OsRIP1
LOC_Os01g07090,Pbcp
LOC_Os01g07120,OsDREB2A
LOC_Os01g07330,HEIP1|OsAGG1
LOC_Os01g07480,OsRA2
LOC_Os01g07500,FIB|TSG1
LOC_Os01g07760,OsPLDalpha1
LOC_Os01g07880,OsbZIP01
LOC_Os01g07940,OsPIDL
LOC_Os01g08020,BOR2
LOC_Os01g08220,d18|OsGA3ox2
LOC_Os01g08260,OsPDR6|OsABCG31
LOC_Os01g08300,OsCDT3
LOC_Os01g08320,OsIAA1
LOC_Os01g08330,OsCDR1
LOC_Os01g08420,SSG4
LOC_Os01g08700,OsGI
LOC_Os01g08710,OsWRKY102
LOC_Os01g08790,OsNF-YC13
LOC_Os01g08860,OsHSP18.2|Oshsp18.0-CII
LOC_Os01g09100,OsWRKY10
LOC_Os01g09470,GW5L
LOC_Os01g09550,SNAC3|ONAC066|OsNAC006
LOC_Os01g09620,OsDOS
LOC_Os01g09640,OsMYB1R1
