OsID,OsGene
LOC_Os12g37280,BPH26|BPH18 
LOC_Os07g46460,ABC1|OsFd-GOGAT 
LOC_Os07g39750,AChE 
LOC_Os04g33860,ACL1 
LOC_Os02g33330,ACL2 
LOC_Os03g29980,ACR7 
LOC_Os04g01690,ADCa|OsAdc2 
LOC_Os11g10480,Adh1 
LOC_Os12g13380,Adk-a 
LOC_Os11g20790,Adk-b 
LOC_Os02g47970,ADL1|OsDEK1 
LOC_Os07g28850,AGO18|OsAGO18 
LOC_Os06g08290,AID1 
LOC_Os05g41220,akin-b|akin-beta 
LOC_Os01g62870,AKR4C14|OsI_04428 
LOC_Os01g28474,AL1 
LOC_Os09g19850,AL2 
LOC_Os08g37890,AL8|RAE2|GAD1 
LOC_Os10g25130,AlaAT|OsAlaAT1 
LOC_Os02g49720,ALDH2a|OsALDH2B5 
LOC_Os06g12450,ALK|SSIIa 
LOC_Os01g14950,alpha1a 
LOC_Os05g06350,alpha1b 
LOC_Os01g06470,alpha2 
LOC_Os08g36910,alphaAmy3|OsAmy3D|RAmy3D 
LOC_Os01g48380,ALS3 
LOC_Os01g57110,ALT1 
LOC_Os07g01760,ALT-2 
LOC_Os04g58620,AM1 
LOC_Os02g52710,AmyI-1|RAmy1A 
LOC_Os04g28280,An-1 
LOC_Os04g51150,AOX1a|OsAOX1a 
LOC_Os01g58420,AP37|OsERF3 
LOC_Os02g43790,AP59|OsBIERF3|OsAP59 
LOC_Os05g04740,APG|OsPIL16 
LOC_Os02g09060,APIP10 
LOC_Os06g50310,APIP5|OsbZIP53 
LOC_Os05g06270,APIP6 
LOC_Os06g45460,APO1|OsAPO1|SCM2 
LOC_Os02g43970,ARAG1 
LOC_Os02g41800,ARF8 
LOC_Os12g07280,ART1 
LOC_Os11g13890,ASCAB9-A|CP26|Lhcb5 
LOC_Os01g48690,ASL1 
LOC_Os02g15900,ASL2 
LOC_Os01g15020,ASPR1|OsTPR1 
LOC_Os03g14980,ASPR2|OsTPR2 
LOC_Os01g72900,Asr1 
LOC_Os01g72910,Asr2 
LOC_Os02g33820,Asr3|OsASR3 
LOC_Os04g34600,Asr4 
LOC_Os11g06720,ASR5|OsAsr1 
LOC_Os01g73250,Asr6 
LOC_Os03g44200,ATG6B 
LOC_Os03g15290,ATG6C 
LOC_Os04g39020,BAD1|OsBADH1 
LOC_Os02g33450,BAS1|OsTPX 
LOC_Os10g02620,BBR 
LOC_Os03g30250,BC1 
LOC_Os05g07790,BC10|FC116 
LOC_Os09g02650,BC12 
LOC_Os09g32080,bc15|OsCTL1 
LOC_Os02g50550,BC3|OsDRP2B 
LOC_Os09g25490,Bc6|OsCesA9 
LOC_Os06g51084,BEI|SBE1 
LOC_Os03g55240,bel|CYP81A6|bsl 
LOC_Os04g40140,BET1 
LOC_Os02g09750,beta-OsLCY 
LOC_Os03g07920,BG1 
LOC_Os04g38660,Bh4 
LOC_Os04g01950,BLEC-Str8 
LOC_Os02g56610,BLS1|BSG1|OsG1L6|TH1|AFD1 
LOC_Os01g08020,BOR2 
LOC_Os03g63150,Bph14 
LOC_Os06g01860,BPH29 
LOC_Os06g03240,Bph32 
LOC_Os06g29730,Bphi008a 
LOC_Os10g25780,brd2|DIM|DWF1|LHDD10 
LOC_Os08g08220,BRHIS1 
LOC_Os07g32480,BRK1 
LOC_Os09g36320,BSR1 
LOC_Os09g09370,BTBN18 
LOC_Os06g12210,BU1 
LOC_Os01g68860,C3H12 
LOC_Os01g41710,CAB2R 
LOC_Os10g31460,CAI1 
LOC_Os02g04840,CAP1 
LOC_Os06g33690,CAPIP1 
LOC_Os06g46950,CCD1 
LOC_Os01g12890,CCP1|DFO1|EMF1 
LOC_Os03g02680,cdc2Os-1|CDKA1 
LOC_Os02g03060,cdc2Os-2|CDKA2 
LOC_Os01g67160,CDKB1;1|CDKB1 
LOC_Os08g40170,CDKB2;1|cdc2Os3|CDKB2 
LOC_Os07g29410,CDSP32 
LOC_Os03g04110,CEBiP|OsCEBiP 
LOC_Os05g41080,CENH3 
LOC_Os02g31140,CFL1 
LOC_Os01g52680,CFO1|OsMADS32 
LOC_Os02g12790,Cga1 
LOC_Os05g06480,Chalk5 
LOC_Os03g04060,chi11 
LOC_Os05g33150,CHIA1;175 
LOC_Os03g59640,Chl1|OsChlD 
LOC_Os03g36540,Chl9|OsChlI 
LOC_Os07g46310,chlH 
LOC_Os07g31450,CHR729|OsCHD3|CRL6 
LOC_Os11g32650,CHS 
LOC_Os05g33130,Cht-2 
LOC_Os06g51050,Cht-3 
LOC_Os07g36170,CIGR1 
LOC_Os07g39470,CIGR2 
LOC_Os07g02350,CK2alpha2 
LOC_Os03g10940,CK2alpha3 
LOC_Os10g41520,CK2beta1 
LOC_Os07g31280,CK2beta3 
LOC_Os03g57940,CKI|EL1|Hd16 
