"GO.ID","Term","Annotated","Significant","Expected","raw.p.value","Trait","pr"
"GO:0005739","mitochondrion",230,31,20.32,"0.011","LEN","CC"
"GO:0009523","photosystem II",64,10,5.66,"0.053","LEN","CC"
"GO:0044815","DNA packaging complex",83,12,7.33,"0.060","LEN","CC"
"GO:0000776","kinetochore",5,2,0.44,"0.065","LEN","CC"
"GO:0000428","DNA-directed RNA polymerase complex",41,7,3.62,"0.065","LEN","CC"
"GO:0030880","RNA polymerase complex",41,7,3.62,"0.065","LEN","CC"
"GO:0055029","nuclear DNA-directed RNA polymerase complex",41,7,3.62,"0.065","LEN","CC"
"GO:0099080","supramolecular complex",41,7,3.62,"0.065","LEN","CC"
"GO:0099081","supramolecular polymer",41,7,3.62,"0.065","LEN","CC"
"GO:0099512","supramolecular fiber",41,7,3.62,"0.065","LEN","CC"
"GO:0099513","polymeric cytoskeletal fiber",41,7,3.62,"0.065","LEN","CC"
"GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",11,3,0.97,"0.066","LEN","CC"
"GO:0005669","transcription factor TFIID complex",11,3,0.97,"0.066","LEN","CC"
"GO:0016591","RNA polymerase II, holoenzyme",34,6,3,"0.074","LEN","CC"
"GO:0031090","organelle membrane",200,24,17.67,"0.075","LEN","CC"
"GO:0005753","mitochondrial proton-transporting ATP synthase complex",19,4,1.68,"0.081","LEN","CC"
"GO:0098588","bounding membrane of organelle",134,17,11.84,"0.081","LEN","CC"
"GO:0000796","condensin complex",6,2,0.53,"0.092","LEN","CC"
"GO:0005674","transcription factor TFIIF complex",6,2,0.53,"0.092","LEN","CC"
"GO:0005874","microtubule",38,6,3.36,"0.114","LEN","CC"
"GO:0003690","double-stranded DNA binding",112,21,9.27,"0.00032","LEN","MF"
"GO:0046983","protein dimerization activity",683,78,56.56,"0.00238","LEN","MF"
"GO:0004140","dephospho-CoA kinase activity",9,4,0.75,"0.00421","LEN","MF"
"GO:0004834","tryptophan synthase activity",16,5,1.32,"0.00779","LEN","MF"
"GO:0004175","endopeptidase activity",558,61,46.2,"0.01587","LEN","MF"
"GO:0016413","O-acetyltransferase activity",13,4,1.08,"0.01825","LEN","MF"
"GO:0004601","peroxidase activity",339,39,28.07,"0.02310","LEN","MF"
"GO:0008097","5S rRNA binding",8,3,0.66,"0.02312","LEN","MF"
"GO:0016787","hydrolase activity",4292,389,355.4,"0.02392","LEN","MF"
"GO:0004252","serine-type endopeptidase activity",190,24,15.73,"0.02511","LEN","MF"
"GO:0003747","translation release factor activity",21,5,1.74,"0.02570","LEN","MF"
"GO:0008079","translation termination factor activity",21,5,1.74,"0.02570","LEN","MF"
"GO:0019843","rRNA binding",44,8,3.64,"0.02636","LEN","MF"
"GO:0016684","oxidoreductase activity, acting on peroxide as acceptor",343,39,28.4,"0.02720","LEN","MF"
"GO:0019203","carbohydrate phosphatase activity",15,4,1.24,"0.03052","LEN","MF"
"GO:0050308","sugar-phosphatase activity",15,4,1.24,"0.03052","LEN","MF"
"GO:0015095","magnesium ion transmembrane transporter activity",22,5,1.82,"0.03105","LEN","MF"
"GO:0033743","peptide-methionine (R)-S-oxide reductase activity",9,3,0.75,"0.03258","LEN","MF"
"GO:0043565","sequence-specific DNA binding",570,60,47.2,"0.03267","LEN","MF"
"GO:0005509","calcium ion binding",245,29,20.29,"0.03271","LEN","MF"
"GO:0031491","nucleosome binding",4,2,0.33,"0.03673","LEN","MF"
"GO:0030246","carbohydrate binding",405,44,33.54,"0.03906","LEN","MF"
"GO:0016209","antioxidant activity",364,40,30.14,"0.04069","LEN","MF"
"GO:0042132","fructose 1,6-bisphosphate 1-phosphatase activity",10,3,0.83,"0.04374","LEN","MF"
"GO:0004222","metalloendopeptidase activity",58,9,4.8,"0.04794","LEN","MF"
"GO:0016149","translation release factor activity, codon specific",18,4,1.49,"0.05617","LEN","MF"
"GO:0016863","intramolecular oxidoreductase activity, transposing C=C bonds",11,3,0.91,"0.05653","LEN","MF"
"GO:0018580","nitronate monooxygenase activity",5,2,0.41,"0.05789","LEN","MF"
"GO:0043141","ATP-dependent 5'-3' DNA helicase activity",5,2,0.41,"0.05789","LEN","MF"
"GO:0047750","cholestenol delta-isomerase activity",5,2,0.41,"0.05789","LEN","MF"
"GO:0050664","oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor",19,4,1.57,"0.06666","LEN","MF"
"GO:0005215","transporter activity",1496,140,123.88,"0.06770","LEN","MF"
"GO:0010181","FMN binding",44,7,3.64,"0.06808","LEN","MF"
"GO:0005543","phospholipid binding",72,10,5.96,"0.07222","LEN","MF"
"GO:0003697","single-stranded DNA binding",28,5,2.32,"0.07710","LEN","MF"
"GO:0016868","intramolecular transferase activity, phosphotransferases",28,5,2.32,"0.07710","LEN","MF"
"GO:0035091","phosphatidylinositol binding",20,4,1.66,"0.07808","LEN","MF"
"GO:0004568","chitinase activity",37,6,3.06,"0.08146","LEN","MF"
"GO:0008138","protein tyrosine/serine/threonine phosphatase activity",37,6,3.06,"0.08146","LEN","MF"
"GO:0071949","FAD binding",37,6,3.06,"0.08146","LEN","MF"
"GO:0008252","nucleotidase activity",6,2,0.5,"0.08214","LEN","MF"
"GO:0008253","5'-nucleotidase activity",6,2,0.5,"0.08214","LEN","MF"
"GO:0003724","RNA helicase activity",1,1,0.08,"0.08280","LEN","MF"
"GO:0017172","cysteine dioxygenase activity",1,1,0.08,"0.08280","LEN","MF"
"GO:0019237","centromeric DNA binding",1,1,0.08,"0.08280","LEN","MF"
"GO:0042301","phosphate ion binding",1,1,0.08,"0.08280","LEN","MF"
"GO:1990837","sequence-specific double-stranded DNA binding",1,1,0.08,"0.08280","LEN","MF"
"GO:0016798","hydrolase activity, acting on glycosyl bonds",809,78,66.99,"0.08882","LEN","MF"
"GO:0008889","glycerophosphodiester phosphodiesterase activity",21,4,1.74,"0.09041","LEN","MF"
"GO:0034508","centromere complex assembly",5,3,0.41,"0.0049","LEN","BP"
"GO:0071554","cell wall organization or biogenesis",172,24,14.14,"0.0074","LEN","BP"
"GO:0009889","regulation of biosynthetic process",2300,220,189.06,"0.0078","LEN","BP"
"GO:0010556","regulation of macromolecule biosynthetic process",2300,220,189.06,"0.0078","LEN","BP"
"GO:0031326","regulation of cellular biosynthetic process",2300,220,189.06,"0.0078","LEN","BP"
"GO:2000112","regulation of cellular macromolecule biosynthetic process",2300,220,189.06,"0.0078","LEN","BP"
"GO:0051171","regulation of nitrogen compound metabolic process",2338,223,192.19,"0.0084","LEN","BP"
"GO:0080090","regulation of primary metabolic process",2342,223,192.52,"0.0090","LEN","BP"
"GO:0006355","regulation of transcription, DNA-templated",2228,213,183.14,"0.0090","LEN","BP"
"GO:0051252","regulation of RNA metabolic process",2228,213,183.14,"0.0090","LEN","BP"
"GO:1903506","regulation of nucleic acid-templated transcription",2228,213,183.14,"0.0090","LEN","BP"
"GO:2001141","regulation of RNA biosynthetic process",2228,213,183.14,"0.0090","LEN","BP"
"GO:0031323","regulation of cellular metabolic process",2348,223,193.01,"0.0101","LEN","BP"
"GO:0006351","transcription, DNA-templated",2486,235,204.35,"0.0102","LEN","BP"
"GO:0097659","nucleic acid-templated transcription",2486,235,204.35,"0.0102","LEN","BP"
"GO:0032774","RNA biosynthetic process",2492,235,204.85,"0.0113","LEN","BP"
"GO:0019219","regulation of nucleobase-containing compound metabolic process",2246,213,184.62,"0.0125","LEN","BP"
"GO:0033866","nucleoside bisphosphate biosynthetic process",18,5,1.48,"0.0129","LEN","BP"
"GO:0034030","ribonucleoside bisphosphate biosynthetic process",18,5,1.48,"0.0129","LEN","BP"
"GO:0034033","purine nucleoside bisphosphate biosynthetic process",18,5,1.48,"0.0129","LEN","BP"
"GO:1901136","carbohydrate derivative catabolic process",55,10,4.52,"0.0132","LEN","BP"
"GO:0010468","regulation of gene expression",2352,222,193.34,"0.0132","LEN","BP"
"GO:0006568","tryptophan metabolic process",25,6,2.06,"0.0139","LEN","BP"
