"GO.ID","Term","Annotated","Significant","Expected","raw.p.value","Trait","pr"
"GO:0005739","mitochondrion",230,31,20.32,"0.0078","LEN","CC"
"GO:0000776","kinetochore",5,2,0.44,"0.0651","LEN","CC"
"GO:0005669","transcription factor TFIID complex",11,3,0.97,"0.0663","LEN","CC"
"GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",11,3,0.97,"0.0663","LEN","CC"
"GO:0000796","condensin complex",6,2,0.53,"0.0921","LEN","CC"
"GO:0005674","transcription factor TFIIF complex",6,2,0.53,"0.0921","LEN","CC"
"GO:0005874","microtubule",38,6,3.36,"0.1140","LEN","CC"
"GO:0009341","beta-galactosidase complex",7,2,0.62,"0.1216","LEN","CC"
"GO:0016020","membrane",3628,333,320.6,"0.1330","LEN","CC"
"GO:0019898","extrinsic component of membrane",50,7,4.42,"0.1370","LEN","CC"
"GO:0000786","nucleosome",77,10,6.8,"0.1392","LEN","CC"
"GO:0009539","photosystem II reaction center",8,2,0.71,"0.1529","LEN","CC"
"GO:0034457","Mpp10 complex",2,1,0.18,"0.1689","LEN","CC"
"GO:0030173","integral component of Golgi membrane",2,1,0.18,"0.1689","LEN","CC"
"GO:0015934","large ribosomal subunit",25,4,2.21,"0.1746","LEN","CC"
"GO:0009654","photosystem II oxygen evolving complex",43,6,3.8,"0.1754","LEN","CC"
"GO:0005615","extracellular space",43,6,3.8,"0.1754","LEN","CC"
"GO:0033179","proton-transporting V-type ATPase, V0 domain",9,2,0.8,"0.1856","LEN","CC"
"GO:0005794","Golgi apparatus",80,8,7.07,"0.1858","LEN","CC"
"GO:0005839","proteasome core complex",45,6,3.98,"0.1927","LEN","CC"
"GO:0003677","DNA binding",2415,266,199.97,"0.00015","LEN","MF"
"GO:0003690","double-stranded DNA binding",112,21,9.27,"0.00024","LEN","MF"
"GO:0046983","protein dimerization activity",683,78,56.56,"0.00238","LEN","MF"
"GO:0004140","dephospho-CoA kinase activity",9,4,0.75,"0.00421","LEN","MF"
"GO:0004834","tryptophan synthase activity",16,5,1.32,"0.00779","LEN","MF"
"GO:0030246","carbohydrate binding",405,44,33.54,"0.00906","LEN","MF"
"GO:0016413","O-acetyltransferase activity",13,4,1.08,"0.01941","LEN","MF"
"GO:0004601","peroxidase activity",339,39,28.07,"0.02310","LEN","MF"
"GO:0008097","5S rRNA binding",8,3,0.66,"0.02312","LEN","MF"
"GO:0004252","serine-type endopeptidase activity",190,24,15.73,"0.02511","LEN","MF"
"GO:0015095","magnesium ion transmembrane transporter activity",22,5,1.82,"0.03105","LEN","MF"
"GO:0033743","peptide-methionine (R)-S-oxide reductase activity",9,3,0.75,"0.03258","LEN","MF"
