"TRAIT","GO","count","p.value"
"LEN","GO:0005515",327,0.0271116674727987
"LEN","GO:0006355",208,0.0297478357564747
"LEN","GO:0006468",192,0.0214136593265275
"LEN","GO:0004672",191,0.0193068654033774
"LEN","GO:0003677",180,0.00172412371686845
"LEN","GO:0016020",168,0.0279499347748411
"LEN","GO:0005975",81,0.0194101507037112
"LEN","GO:0046983",78,0.00299353723301972
"LEN","GO:0043531",41,0.000837939351278715
"LEN","GO:0004601",39,0.01387868503319
"LEN","GO:0006629",32,0.0241380031495244
"LEN","GO:0030246",25,0.0145427925106514
"LEN","GO:0003690",18,0.0002464207884342
"LEN","GO:0005739",18,0.00896745107265954
"LEN","GO:0006396",14,0.0149242317714729
"LEN","GO:0016773",13,0.0241689938218262
"LEN","GO:0007017",9,0.00667908273346854
"LEN","GO:0045454",9,0.0149490218333486
"LEN","GO:0006352",8,0.0267912115311044
"LEN","GO:0006568",6,0.00252401405798818
"LEN","GO:0004834",5,0.00789589273881483
"LEN","GO:0006415",5,0.026001253309917
"LEN","GO:0015095",5,0.0314109045182866
"LEN","GO:0015693",5,0.0314109045182866
"LEN","GO:0004140",4,0.00425322166734124
"LEN","GO:0015937",4,0.0241558958142393
"LEN","GO:0008097",3,0.023311730268124
"LEN","GO:0016829",3,0.00482431630132007
"LEN","GO:0033743",3,0.0328409845685154
"LEN","GO:0000723",2,0.00602776035182065
"LEN","GO:0000776",2,0.0195414589117129
"LEN","GO:0010333",2,0.00586964214447602
"LEN","GO:0010411",2,0.0195414589117129
"LEN","GO:0016413",2,0.0195414589117129
"LEN","GO:0051090",2,0.0195414589117129
"LEN","GO:0051382",2,0.0195414589117129
"PRM","GO:0003677",126,0.013656211208753
"PRM","GO:0016020",124,0.0205211786740568
"PRM","GO:0055114",113,0.00375440117084488
"PRM","GO:0005975",60,0.0188594101138326
"PRM","GO:0016491",45,0.017078027583178
"PRM","GO:0016758",39,0.0286642321645606
"PRM","GO:0009733",17,0.00156621686024177
"PRM","GO:0007165",16,0.0261838467959084
"PRM","GO:0043531",16,2.06788266160822e-07
"PRM","GO:0006352",9,0.000901902576566445
"PRM","GO:0030244",9,0.000285168409807383
"PRM","GO:0006979",8,0.00460698085562295
"PRM","GO:0008234",8,0.0132799597253393
"PRM","GO:0016760",8,0.000417192646395432
"PRM","GO:0005852",7,0.00609784806057118
"PRM","GO:0009765",6,0.00995917251500611
"PRM","GO:0006415",5,0.00646228890380927
"PRM","GO:0016149",5,0.00315218809259803
"PRM","GO:0016567",5,0.0266310115897404
"PRM","GO:0004176",4,0.0271545720957026
"PRM","GO:0008519",4,0.022757790883036
"PRM","GO:0015696",4,0.022757790883036
"PRM","GO:0072488",4,0.022757790883036
"PRM","GO:0004807",3,0.00595055236402806
"PRM","GO:0005337",3,0.00595055236402806
"PRM","GO:0008242",3,0.0178603520467528
"PRM","GO:0017025",3,0.0178603520467528
"PRM","GO:0004371",2,0.0191723047289809
"PRM","GO:0006071",2,0.0191723047289809
"PRM","GO:0006869",2,0.0191723047289809
"PRM","GO:0016829",2,0.0259296662459754
"PRM","GO:0043189",2,0.00997507694226113
"PRM","GO:0050660",2,0.00463933742296622
"SEC","GO:0005515",126,0.000167801846478952
"SEC","GO:0055114",28,0.000304667987473916
"SEC","GO:0009733",17,1.0920533275444e-09
"SEC","GO:0003700",8,0.00090490353962226
"SEC","GO:0006396",6,0.00831553762300565
"SEC","GO:0015079",6,0.00108243767378945
"SEC","GO:0071805",6,0.00108243767378945
"SEC","GO:0004525",4,0.000280335780910477
"SEC","GO:0016891",3,0.00221470988115286
"SEC","GO:0004550",2,0.0211192738604955
"SEC","GO:0006165",2,0.0211192738604955
"SEC","GO:0006183",2,0.0211192738604955
"SEC","GO:0006228",2,0.0211192738604955
"SEC","GO:0006241",2,0.0211192738604955
"SEC","GO:0008250",2,0.00617200105899406
"SEC","GO:0010309",2,0.00852175080777101
"SEC","GO:0004601",1,0.0167080780084857
"SEC","GO:0006979",1,0.0116677348596992
"SEC","GO:0043231",1,0.0208733431980606
