OBJECTID,hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept_l,hzdept_r,hzdept_h,hzdepb_l,hzdepb_r,hzdepb_h,hzthk_l,hzthk_r,hzthk_h,fraggt10_l,fraggt10_r,fraggt10_h,frag3to10_l,frag3to10_r,frag3to10_h,sieveno4_l,sieveno4_r,sieveno4_h,sieveno10_l,sieveno10_r,sieveno10_h,sieveno40_l,sieveno40_r,sieveno40_h,sieveno200_l,sieveno200_r,sieveno200_h,sandtotal_l,sandtotal_r,sandtotal_h,sandvc_l,sandvc_r,sandvc_h,sandco_l,sandco_r,sandco_h,sandmed_l,sandmed_r,sandmed_h,sandfine_l,sandfine_r,sandfine_h,sandvf_l,sandvf_r,sandvf_h,silttotal_l,silttotal_r,silttotal_h,siltco_l,siltco_r,siltco_h,siltfine_l,siltfine_r,siltfine_h,claytotal_l,claytotal_r,claytotal_h,claysizedcarb_l,claysizedcarb_r,claysizedcarb_h,om_l,om_r,om_h,dbtenthbar_l,dbtenthbar_r,dbtenthbar_h,dbthirdbar_l,dbthirdbar_r,dbthirdbar_h,dbfifteenbar_l,dbfifteenbar_r,dbfifteenbar_h,dbovendry_l,dbovendry_r,dbovendry_h,partdensity,ksat_l,ksat_r,ksat_h,awc_l,awc_r,awc_h,wtenthbar_l,wtenthbar_r,wtenthbar_h,wthirdbar_l,wthirdbar_r,wthirdbar_h,wfifteenbar_l,wfifteenbar_r,wfifteenbar_h,wsatiated_l,wsatiated_r,wsatiated_h,lep_l,lep_r,lep_h,ll_l,ll_r,ll_h,pi_l,pi_r,pi_h,aashind_l,aashind_r,aashind_h,kwfact,kffact,caco3_l,caco3_r,caco3_h,gypsum_l,gypsum_r,gypsum_h,sar_l,sar_r,sar_h,ec_l,ec_r,ec_h,cec7_l,cec7_r,cec7_h,ecec_l,ecec_r,ecec_h,sumbases_l,sumbases_r,sumbases_h,ph1to1h2o_l,ph1to1h2o_r,ph1to1h2o_h,ph01mcacl2_l,ph01mcacl2_r,ph01mcacl2_h,freeiron_l,freeiron_r,freeiron_h,feoxalate_l,feoxalate_r,feoxalate_h,extracid_l,extracid_r,extracid_h,extral_l,extral_r,extral_h,aloxalate_l,aloxalate_r,aloxalate_h,pbray1_l,pbray1_r,pbray1_h,poxalate_l,poxalate_r,poxalate_h,ph2osoluble_l,ph2osoluble_r,ph2osoluble_h,ptotal_l,ptotal_r,ptotal_h,excavdifcl,excavdifms,chorizon_cokey,chkey,OBJECTID_1,Site_Code,Latitude,Longitude,State,Zipcode,RASTERVALU,MUKEY,OBJECTID_12,comppct_l,comppct_r,comppct_h,compname,compkind,majcompflag,otherph,localphase,slope_l,slope_r,slope_h,slopelenusle_l,slopelenusle_r,slopelenusle_h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev_l,elev_r,elev_h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry_l,albedodry_r,albedodry_h,airtempa_l,airtempa_r,airtempa_h,map_l,map_r,map_h,reannualprecip_l,reannualprecip_r,reannualprecip_h,ffd_l,ffd_r,ffd_h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod_l,rsprod_r,rsprod_h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub_l,initsub_r,initsub_h,totalsub_l,totalsub_r,totalsub_h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey_1,cokey,MukeyIntL
1056591,A,,A,,,,20,,,38,,,18,,0,0,0,0,0,0,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,97.0000000,99.0000000,100.0000000,93.0000000,95.0000000,100.0000000,,7.0000000,,,0.1000000,,,0.5000000,,,1.2000000,,,1.8000000,,,3.4000001,,,64.0000000,,,,,,,,27.0000000,29.0000000,34.0000000,0.0000000,0.0000000,0.0000000,4.0000000,5.0000000,8.0000000,,,,1.1500000,1.2000000,1.2500000,,,,,1.370000000000000,,,4.2300000,9.1700001,14.1099997,0.2100000,0.2200000,0.2300000,,,,31.2000008,32.5000000,35.4000015,17.2000008,19.2000008,24.6000004,47,49,51,3.0000000,4.5000000,5.9000001,45.0000000,50.0000000,61.0000000,18.0000000,20.0000000,24.0000000,19,23,31,.28,.28,0,0,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,2.0000000,23.0000000,24.7000008,29.0000000,,,,,,,5.5999999,6.4000001,7.3000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13432460,38458874,11,BRKG,44.306800000000003,-96.670500000000004,SD,57002,2765278,2765278,289933,0,1,5,Waubay,Series,No ,,,0.0000000,1.0000000,2.0000000,,,,Low,5,48,6,,,,,No,Moderately well drained,305.0000000,510.0000000,610.0000000,0,165,360,swales on till plains,,0.1600000,,4.0000000,6.0000000,7.0000000,485,560,735,485,560,735,120,140,160,1,,,,,,100,1,,3800,4600,5400,,,,,,,,,,,,,,Low,High,0,0,0,0,0,0,C,Low,High,"Fine-silty, mixed, superactive, frigid Pachic Hapludolls",Mollisols,Udolls,Hapludolls,Pachic Hapludolls,fine-silty,not used,superactive,not used,frigid,Udic,frigid,eleventh edition,,,,,,,N/A,N/A,,,,,2765278,13432460,2765278
1056592,Ap,,A,,,,0,,,20,,,20,,0,0,0,0,0,0,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,97.0000000,99.0000000,100.0000000,93.0000000,95.0000000,100.0000000,,7.0000000,,,0.1000000,,,0.5000000,,,1.2000000,,,1.8000000,,,3.4000001,,,64.0000000,,,,,,,,27.0000000,29.0000000,34.0000000,0.0000000,0.0000000,0.0000000,4.0000000,5.0000000,8.0000000,,,,1.1500000,1.2000000,1.2500000,,,,,1.370000000000000,,,4.2300000,9.1700001,14.1099997,0.2100000,0.2200000,0.2300000,,,,31.2000008,32.5000000,35.4000015,17.2000008,19.2000008,24.6000004,47,49,51,3.0000000,4.5000000,5.9000001,45.0000000,50.0000000,61.0000000,18.0000000,20.0000000,24.0000000,19,23,31,.28,.28,0,0,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,2.0000000,23.0000000,24.7000008,29.0000000,,,,,,,5.5999999,6.4000001,7.3000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13432460,38458875,11,BRKG,44.306800000000003,-96.670500000000004,SD,57002,2765278,2765278,289933,0,1,5,Waubay,Series,No ,,,0.0000000,1.0000000,2.0000000,,,,Low,5,48,6,,,,,No,Moderately well drained,305.0000000,510.0000000,610.0000000,0,165,360,swales on till plains,,0.1600000,,4.0000000,6.0000000,7.0000000,485,560,735,485,560,735,120,140,160,1,,,,,,100,1,,3800,4600,5400,,,,,,,,,,,,,,Low,High,0,0,0,0,0,0,C,Low,High,"Fine-silty, mixed, superactive, frigid Pachic Hapludolls",Mollisols,Udolls,Hapludolls,Pachic Hapludolls,fine-silty,not used,superactive,not used,frigid,Udic,frigid,eleventh edition,,,,,,,N/A,N/A,,,,,2765278,13432460,2765278
1056593,C,,C,,,,127,,,203,,,,,0,0,0,0,0,0,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,97.0000000,99.0000000,100.0000000,91.0000000,93.0000000,100.0000000,,11.3999996,,,0.1000000,,,0.3000000,,,0.7000000,,,2.4000001,,,7.9000001,,,68.5999985,,,,,,,,18.0000000,20.0000000,34.0000000,,,,0.0000000,0.2500000,0.5000000,,,,1.3000000,1.4000000,1.5000000,,,,,1.510000000000000,,,4.2300000,9.1700001,14.1099997,0.1800000,0.2000000,0.2200000,,,,25.8999996,27.1000004,32.7000008,10.1000004,11.5000000,19.6000004,41,45,48,1.5000000,2.5000000,5.9000001,28.0000000,31.0000000,45.0000000,12.0000000,13.0000000,24.0000000,9,11,26,.55,.55,10,15,20,0,0,1,0.0000000,0.0000000,1.0000000,0.0000000,1.0000000,4.0000000,12.8999996,15.6999998,26.1000004,,,,,,,7.4000001,8.1999998,8.3999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13432460,38458876,11,BRKG,44.306800000000003,-96.670500000000004,SD,57002,2765278,2765278,289933,0,1,5,Waubay,Series,No ,,,0.0000000,1.0000000,2.0000000,,,,Low,5,48,6,,,,,No,Moderately well drained,305.0000000,510.0000000,610.0000000,0,165,360,swales on till plains,,0.1600000,,4.0000000,6.0000000,7.0000000,485,560,735,485,560,735,120,140,160,1,,,,,,100,1,,3800,4600,5400,,,,,,,,,,,,,,Low,High,0,0,0,0,0,0,C,Low,High,"Fine-silty, mixed, superactive, frigid Pachic Hapludolls",Mollisols,Udolls,Hapludolls,Pachic Hapludolls,fine-silty,not used,superactive,not used,frigid,Udic,frigid,eleventh edition,,,,,,,N/A,N/A,,,,,2765278,13432460,2765278
1056594,Bk2,,B,,2,,102,,,127,,,25,,0,0,0,0,0,0,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,95.0000000,100.0000000,100.0000000,91.0000000,96.0000000,100.0000000,,6.9000001,,,0.1000000,,,0.2000000,,,0.4000000,,,1.5000000,,,4.6999998,,,68.0999985,,,,,,,,20.0000000,25.0000000,34.0000000,,,,0.5000000,1.0000000,2.0000000,,,,1.3000000,1.4000000,1.5000000,,,,,1.530000000000000,,,4.2300000,9.1700001,14.1099997,0.1800000,0.2000000,0.2200000,,,,27.3999996,29.8999996,33.7999992,11.8000002,15.3000002,21.5000000,41,44,48,1.5000000,3.0000000,5.9000001,31.0000000,37.0000000,48.0000000,13.0000000,17.0000000,24.0000000,10,16,27,.49,.49,15,20,25,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,2.0000000,16.2000008,20.2999992,27.5000000,,,,,,,7.4000001,8.0000000,8.3999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13432460,38458877,11,BRKG,44.306800000000003,-96.670500000000004,SD,57002,2765278,2765278,289933,0,1,5,Waubay,Series,No ,,,0.0000000,1.0000000,2.0000000,,,,Low,5,48,6,,,,,No,Moderately well drained,305.0000000,510.0000000,610.0000000,0,165,360,swales on till plains,,0.1600000,,4.0000000,6.0000000,7.0000000,485,560,735,485,560,735,120,140,160,1,,,,,,100,1,,3800,4600,5400,,,,,,,,,,,,,,Low,High,0,0,0,0,0,0,C,Low,High,"Fine-silty, mixed, superactive, frigid Pachic Hapludolls",Mollisols,Udolls,Hapludolls,Pachic Hapludolls,fine-silty,not used,superactive,not used,frigid,Udic,frigid,eleventh edition,,,,,,,N/A,N/A,,,,,2765278,13432460,2765278
1056595,Bk1,,B,,1,,79,,,102,,,23,,0,0,0,0,0,0,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,95.0000000,100.0000000,100.0000000,91.0000000,96.0000000,100.0000000,,6.9000001,,,0.1000000,,,0.2000000,,,0.4000000,,,1.5000000,,,4.6999998,,,68.0999985,,,,,,,,20.0000000,25.0000000,34.0000000,,,,0.5000000,1.0000000,2.0000000,,,,1.3000000,1.4000000,1.5000000,,,,,1.530000000000000,,,4.2300000,9.1700001,14.1099997,0.1800000,0.2000000,0.2200000,,,,27.3999996,29.8999996,33.7999992,11.8000002,15.3000002,21.5000000,41,44,48,1.5000000,3.0000000,5.9000001,31.0000000,37.0000000,48.0000000,13.0000000,17.0000000,24.0000000,10,16,27,.49,.49,15,20,25,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,2.0000000,16.2000008,20.2999992,27.5000000,,,,,,,7.4000001,8.0000000,8.3999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13432460,38458878,11,BRKG,44.306800000000003,-96.670500000000004,SD,57002,2765278,2765278,289933,0,1,5,Waubay,Series,No ,,,0.0000000,1.0000000,2.0000000,,,,Low,5,48,6,,,,,No,Moderately well drained,305.0000000,510.0000000,610.0000000,0,165,360,swales on till plains,,0.1600000,,4.0000000,6.0000000,7.0000000,485,560,735,485,560,735,120,140,160,1,,,,,,100,1,,3800,4600,5400,,,,,,,,,,,,,,Low,High,0,0,0,0,0,0,C,Low,High,"Fine-silty, mixed, superactive, frigid Pachic Hapludolls",Mollisols,Udolls,Hapludolls,Pachic Hapludolls,fine-silty,not used,superactive,not used,frigid,Udic,frigid,eleventh edition,,,,,,,N/A,N/A,,,,,2765278,13432460,2765278
1056596,Bw2,,B,,2,,61,,,79,,,18,,0,0,0,0,0,0,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,90.0000000,99.0000000,100.0000000,86.0000000,95.0000000,100.0000000,,7.0000000,,,0.1000000,,,0.5000000,,,1.2000000,,,1.8000000,,,3.4000001,,,64.0000000,,,,,,,,20.0000000,29.0000000,34.0000000,0.0000000,0.0000000,0.0000000,2.0000000,2.5000000,4.0000000,,,,1.2000000,1.3000000,1.4000000,,,,,1.420000000000000,,,4.2300000,9.1700001,14.1099997,0.1800000,0.2000000,0.2200000,,,,28.1000004,31.7000008,34.0999985,12.8000002,18.0000000,22.2000008,43,47,51,1.5000000,3.0000000,5.9000001,34.0000000,43.0000000,53.0000000,13.0000000,20.0000000,24.0000000,10,20,29,.37,.37,0,0,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,2.0000000,17.0000000,24.0000000,28.2999992,,,,,,,6.5999999,7.3000002,7.5999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13432460,38458879,11,BRKG,44.306800000000003,-96.670500000000004,SD,57002,2765278,2765278,289933,0,1,5,Waubay,Series,No ,,,0.0000000,1.0000000,2.0000000,,,,Low,5,48,6,,,,,No,Moderately well drained,305.0000000,510.0000000,610.0000000,0,165,360,swales on till plains,,0.1600000,,4.0000000,6.0000000,7.0000000,485,560,735,485,560,735,120,140,160,1,,,,,,100,1,,3800,4600,5400,,,,,,,,,,,,,,Low,High,0,0,0,0,0,0,C,Low,High,"Fine-silty, mixed, superactive, frigid Pachic Hapludolls",Mollisols,Udolls,Hapludolls,Pachic Hapludolls,fine-silty,not used,superactive,not used,frigid,Udic,frigid,eleventh edition,,,,,,,N/A,N/A,,,,,2765278,13432460,2765278
1056597,Bw1,,B,,1,,38,,,61,,,23,,0,0,0,0,0,0,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,100.0000000,90.0000000,99.0000000,100.0000000,86.0000000,95.0000000,100.0000000,,7.0000000,,,0.1000000,,,0.5000000,,,1.2000000,,,1.8000000,,,3.4000001,,,64.0000000,,,,,,,,20.0000000,29.0000000,34.0000000,0.0000000,0.0000000,0.0000000,2.0000000,2.5000000,4.0000000,,,,1.2000000,1.3000000,1.4000000,,,,,1.420000000000000,,,4.2300000,9.1700001,14.1099997,0.1800000,0.2000000,0.2200000,,,,28.1000004,31.7000008,34.0999985,12.8000002,18.0000000,22.2000008,43,47,51,1.5000000,3.0000000,5.9000001,34.0000000,43.0000000,53.0000000,13.0000000,20.0000000,24.0000000,10,20,29,.37,.37,0,0,0,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,2.0000000,17.0000000,24.0000000,28.2999992,,,,,,,6.5999999,7.3000002,7.5999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13432460,38458880,11,BRKG,44.306800000000003,-96.670500000000004,SD,57002,2765278,2765278,289933,0,1,5,Waubay,Series,No ,,,0.0000000,1.0000000,2.0000000,,,,Low,5,48,6,,,,,No,Moderately well drained,305.0000000,510.0000000,610.0000000,0,165,360,swales on till plains,,0.1600000,,4.0000000,6.0000000,7.0000000,485,560,735,485,560,735,120,140,160,1,,,,,,100,1,,3800,4600,5400,,,,,,,,,,,,,,Low,High,0,0,0,0,0,0,C,Low,High,"Fine-silty, mixed, superactive, frigid Pachic Hapludolls",Mollisols,Udolls,Hapludolls,Pachic Hapludolls,fine-silty,not used,superactive,not used,frigid,Udic,frigid,eleventh edition,,,,,,,N/A,N/A,,,,,2765278,13432460,2765278
1481156,Bt2,,B,,2,44,69,81,64,89,114,8,20,48,0,0,0,0,0,7,71.0000000,85.0000000,100.0000000,64.0000000,82.0000000,100.0000000,41.0000000,56.0000000,76.0000000,17.0000000,25.0000000,39.0000000,57.0000000,71.0000000,80.0000000,0.5000000,5.5999999,13.0000000,10.0000000,18.1000004,23.0000000,24.0000000,30.7999992,41.0000000,10.0000000,13.0000000,19.0000000,1.0000000,3.5000000,7.0000000,8.0000000,17.0000000,32.0000000,1.0000000,7.0999999,10.0000000,2.0000000,9.8999996,22.0000000,10.0000000,12.0000000,17.0000000,0.0000000,0.0000000,0.0000000,0.1000000,0.2000000,0.4000000,,,,1.5000000,1.6000000,1.7000000,,,,1.540000000000000,1.640000000000000,1.740000000000000,,1.0000000,5.5000000,99.9999008,0.1000000,0.1300000,0.1400000,,,,11.6999998,16.0000000,21.2999992,4.9000001,7.4000001,12.0000000,24,33,41,0.5000000,0.7000000,1.1000000,21.0000000,23.0000000,28.0000000,6.0000000,7.0000000,11.0000000,0,0,0,.20,.20,0,0,0,0,0,0,0.0000000,0.0000000,1.0000000,0.0000000,0.1000000,0.2000000,4.1999998,4.9000001,6.5000000,3.0000000,4.0000000,6.4000001,2.000000000000000,4.000000000000000,6.400000000000000,4.9000001,5.0000000,5.5000000,,,,,,,,,,3.0000000,5.0999999,7.0000000,,,,,,,,,,,,,,,,,,,,,13112281,37570025,2,KBSM,42.419618000000000,-85.371266000000006,MI,49060,187069,187069,431213,85,95,100,Kalamazoo,Series,Yes,,,2.0000000,3.0000000,6.0000000,46,61,91,Medium,3,56,5,None - deposition,Crop cover,Row crop,,No,Well drained,238.0000000,275.0000000,311.0000000,,,,"ice-margin complexes, outwash plains on outwash plains, outwash terraces",,0.3000000,,6.0000000,9.0000000,11.0000000,770,900,1040,,,,140,175,200,2,e,,2,e,,,3,,,,,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,C,High,Low,"Fine-loamy, mixed, active, mesic Typic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs,fine-loamy,not used,active,not used,mesic,Typic,mesic,twelfth edition,,,,,,,N/A,N/A,,,3/5a,,187069,13112281,187069
1481157,2BC,2,BC,,,64,89,114,103,133,178,1,44,114,0,0,0,0,0,7,63.0000000,83.0000000,100.0000000,54.0000000,79.0000000,100.0000000,29.0000000,50.0000000,74.0000000,5.0000000,11.0000000,20.0000000,77.0000000,87.0000000,97.0000000,0.5000000,5.5999999,17.0000000,2.0000000,19.2999992,48.0000000,20.0000000,46.2999992,65.0000000,2.0000000,14.0000000,30.0000000,0.5000000,1.8000000,5.0000000,2.0000000,8.0000000,18.0000000,0.1000000,4.0000000,7.0000000,0.4000000,4.0000000,6.0000000,0.0000000,5.0000000,10.0000000,0.0000000,0.0000000,0.5000000,0.0000000,0.0000000,0.1000000,,,,1.5000000,1.6000000,1.6500000,,,,1.510000000000000,1.610000000000000,1.660000000000000,,10.0000000,55.0000000,99.9999008,0.0300000,0.0800000,0.1000000,3.8000000,15.6999998,22.2000008,1.3000000,10.6000004,17.1000004,0.0000000,3.0999999,7.4000001,22,32,41,0.0000000,0.2000000,0.5000000,0.0000000,16.0000000,21.0000000,0.0000000,5.0000000,6.0000000,0,0,0,.10,.10,0,0,1,0,0,0,0.0000000,0.0000000,1.0000000,0.0000000,0.1000000,0.2000000,0.8000000,2.0000000,2.5999999,,,,0.500000000000000,2.000000000000000,10.000000000000000,5.0999999,5.5000000,7.4000001,,,,,,,,,,1.0000000,3.0999999,6.0999999,,,,,,,,,,,,,,,,,,,,,13112281,37570026,2,KBSM,42.419618000000000,-85.371266000000006,MI,49060,187069,187069,431213,85,95,100,Kalamazoo,Series,Yes,,,2.0000000,3.0000000,6.0000000,46,61,91,Medium,3,56,5,None - deposition,Crop cover,Row crop,,No,Well drained,238.0000000,275.0000000,311.0000000,,,,"ice-margin complexes, outwash plains on outwash plains, outwash terraces",,0.3000000,,6.0000000,9.0000000,11.0000000,770,900,1040,,,,140,175,200,2,e,,2,e,,,3,,,,,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,C,High,Low,"Fine-loamy, mixed, active, mesic Typic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs,fine-loamy,not used,active,not used,mesic,Typic,mesic,twelfth edition,,,,,,,N/A,N/A,,,3/5a,,187069,13112281,187069
1481158,2C,2,C,,,103,133,178,203,203,203,25,70,100,0,0,0,0,2,7,46.0000000,76.0000000,100.0000000,33.0000000,70.0000000,100.0000000,18.0000000,44.0000000,72.0000000,1.0000000,4.0000000,9.0000000,92.0000000,95.0000000,99.0000000,0.2000000,5.5999999,27.0000000,5.0000000,19.2999992,48.0000000,25.0000000,50.7999992,74.0000000,4.0000000,17.5000000,36.0000000,0.1000000,1.8000000,5.0000000,1.0000000,4.0000000,7.0000000,0.1000000,2.0000000,7.0000000,0.4000000,2.0000000,5.0000000,0.0000000,1.0000000,3.0000000,0.0000000,0.4000000,3.0000000,0.0000000,0.0000000,0.1000000,,,,1.5500000,1.6000000,1.6500000,,,,1.550000000000000,1.600000000000000,1.650000000000000,,10.0000000,55.0000000,99.9999008,0.0100000,0.0400000,0.0700000,2.2000000,7.3000002,12.6000004,0.8000000,3.9000001,8.3999996,0.0000000,0.6000000,2.3000000,15,29,39,0.0000000,0.0000000,0.1000000,0.0000000,0.0000000,14.0000000,0.0000000,0.0000000,0.0000000,0,0,0,.02,.02,0,10,22,0,0,0,0.0000000,0.0000000,1.0000000,0.0000000,0.1000000,0.1000000,0.4000000,0.8000000,1.0000000,,,,0.400000000000000,18.000000000000000,30.000000000000000,6.0999999,7.8000002,8.5000000,,,,,,,,,,0.0000000,0.0000000,2.0999999,,,,,,,,,,,,,,,,,,,,,13112281,37570027,2,KBSM,42.419618000000000,-85.371266000000006,MI,49060,187069,187069,431213,85,95,100,Kalamazoo,Series,Yes,,,2.0000000,3.0000000,6.0000000,46,61,91,Medium,3,56,5,None - deposition,Crop cover,Row crop,,No,Well drained,238.0000000,275.0000000,311.0000000,,,,"ice-margin complexes, outwash plains on outwash plains, outwash terraces",,0.3000000,,6.0000000,9.0000000,11.0000000,770,900,1040,,,,140,175,200,2,e,,2,e,,,3,,,,,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,C,High,Low,"Fine-loamy, mixed, active, mesic Typic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs,fine-loamy,not used,active,not used,mesic,Typic,mesic,twelfth edition,,,,,,,N/A,N/A,,,3/5a,,187069,13112281,187069
