MONTH,DAY,YEAR,TMAX_C,TMIN_C,RAIN_mm,SRAD_MJ/m2
1,1,2016,-2.78,-6.61,0,16.88
1,2,2016,-1.67,-6.89,0,16.78
1,3,2016,-5.56,-8.11,0,21.06
1,4,2016,-7.78,-12.06,0,17.06
1,5,2016,-2.78,-6.61,0,22.14
1,6,2016,0,-2.33,0,24.19
1,7,2016,0,-0.5,0,22.86
1,8,2016,-0.56,-6.22,0,21.82
1,9,2016,-16.11,-19.33,0,14.83
1,10,2016,-15,-21.89,0,14.22
1,11,2016,-5.56,-14.61,0,18.18
1,12,2016,-14.44,-18.33,0,16.7
1,13,2016,0.56,-8.17,0,19.91
1,14,2016,1.67,-4.94,0,20.84
1,15,2016,-8.33,-12.33,0,19.08
1,16,2016,-15.56,-19.56,0,15.91
1,17,2016,-19.44,-23.44,0,16.6
1,18,2016,-13.33,-16.67,0,18.29
1,19,2016,-9.44,-13.33,0,21.89
1,20,2016,-3.89,-6.22,0,23.44
1,21,2016,-5,-6.78,0,22.14
1,22,2016,-10.56,-12.94,0,18.18
1,23,2016,-3.89,-7.11,0,22.61
1,24,2016,-0.56,-5.22,0,24.8
1,25,2016,-3.89,-4.89,0,23.47
1,26,2016,-3.33,-4.83,0,21.31
1,27,2016,3.89,-1.89,0,19.91
1,28,2016,1.67,0.11,0,22.61
1,29,2016,3.33,-0.17,0,23.18
1,30,2016,3.33,0.17,0,23.72
1,31,2016,2.78,0.17,0,22.1
2,1,2016,0.56,-3.78,0,21.49
2,2,2016,-4.44,-5,0,21.82
2,3,2016,-4.44,-7.89,0,18.86
2,4,2016,-5,-7,0,19.76
2,5,2016,-2.22,-6.89,0,21.74
2,6,2016,3.33,-2.61,0,21.89
2,7,2016,2.78,-1.22,0,21.96
2,8,2016,-6.11,-8.39,0,18.94
2,9,2016,-6.11,-10.72,0,19.37
2,10,2016,-8.89,-11.17,0,23.62
2,11,2016,-8.33,-10.5,0,21.71
2,12,2016,-8.89,-14.5,0,17.32
2,13,2016,-11.67,-16.33,0,21.2
2,14,2016,-5,-8.89,0,22.39
2,15,2016,1.11,-2.5,0,23.62
2,16,2016,0.56,-2.28,0,23.76
2,17,2016,-0.56,-2.39,0,25.16
2,18,2016,3.33,0.94,0,25.56
2,19,2016,10.56,5.83,0,22.61
2,20,2016,5,1.5,0,22.86
2,21,2016,0.56,-1.06,0,23.8
2,22,2016,0.56,-1.17,0,23.08
2,23,2016,2.22,-0.33,0,23.08
2,24,2016,1.67,-1.72,0,22.68
2,25,2016,-0.56,-2.11,0,23.72
2,26,2016,7.22,0.44,0,19.48
2,27,2016,16.11,6.78,0,22.03
2,28,2016,3.89,1,0,23.8
2,29,2016,3.89,-5.83,0,23.8
3,1,2016,-9.44,-12.17,0,19.01
