MONTH,DAY,YEAR,TMAX_C,TMIN_C,RAIN_mm,SRAD_MJ/m2
1,1,2016,3.4,-5.2,0,10.28
1,2,2016,6.1,-3.6,0,10.37
1,3,2016,2.7,-4.7,0,10.37
1,4,2016,1.4,-5.8,0,9.27
1,5,2016,4.2,-7,0,10.13
1,6,2016,4.5,-5,0,3.38
1,7,2016,6.4,3.6,7.37,1.58
1,8,2016,8.7,2.5,0.25,1.97
1,9,2016,2.7,-12.5,0,3.75
1,10,2016,-9.2,-16.8,0,10.64
1,11,2016,1.9,-12.4,1.27,8.65
1,12,2016,2.2,-11,0,11.15
1,13,2016,8,-11.9,0,10.81
1,14,2016,15.8,-0.9,0,10.85
1,15,2016,9,-4.2,0.51,2
1,16,2016,-0.1,-8.4,0,10.98
1,17,2016,-5.4,-16.9,0,10.02
1,18,2016,-8.7,-18.6,0,11.41
1,19,2016,-5.7,-10.7,0,3.3
1,20,2016,0.3,-10.9,3.81,10.54
1,21,2016,-4.2,-7.1,0,5.44
1,22,2016,-3.3,-7.1,0,6.89
1,23,2016,0.6,-9.4,0,11.93
1,24,2016,10.2,-5.3,0,11.03
1,25,2016,10.2,-0.5,0,3.32
1,26,2016,0.2,-2.5,0,3.25
1,27,2016,6.3,-6.8,0,12.46
1,28,2016,9.9,-0.1,0,12.74
1,29,2016,12.4,-4,0,12.59
1,30,2016,16.2,3.8,0,10.77
1,31,2016,15.6,4.1,0,8.18
2,1,2016,11.4,2.2,0,9.1
2,2,2016,17.3,3,0,9.08
2,3,2016,3.2,-3,0,2.23
2,4,2016,5.1,-7.5,0,13.85
2,5,2016,6.1,-6.2,0,10.95
2,6,2016,11.8,-2.4,0,13.38
2,7,2016,10.7,1.3,0,9.72
2,8,2016,1.3,-5.7,0,4.65
2,9,2016,-2.9,-8.7,0,10.28
2,10,2016,-2.7,-10.4,0,5.82
2,11,2016,0,-6.9,0.25,11.06
2,12,2016,0.9,-9.3,0.25,12.06
2,13,2016,-5.8,-12.2,0,4.8
2,14,2016,0.1,-7.1,2.54,6.43
2,15,2016,5.5,-2.6,0,5.95
2,16,2016,4.8,-2.2,9.91,4.18
2,17,2016,9.8,-1.5,0,13.11
2,18,2016,19.1,2.1,0,13.69
2,19,2016,19.7,9.4,0,15.51
2,20,2016,24.1,4.3,0,14.03
2,21,2016,12.9,0.8,0,16.13
2,22,2016,9.9,-1.9,0,16.71
2,23,2016,6.3,-0.4,0,5.79
2,24,2016,4.3,2,0,2.51
2,25,2016,5.3,-1.3,0,7.79
2,26,2016,7.2,-1.1,0,13.35
2,27,2016,19.3,-1.6,0,17.86
2,28,2016,20.6,4.7,0,13.23
2,29,2016,19.7,-0.3,0,17.97
3,1,2016,14,-4.6,0,8.16
3,2,2016,6.7,-7.9,0,10.79
3,3,2016,9.8,1.8,2.03,6.48
3,4,2016,9.7,1.4,0,11.18
3,5,2016,15.4,0.1,0,18.45
3,6,2016,20.5,-0.1,0,14.41
3,7,2016,22.5,12.8,0,8.63
3,8,2016,24,14.8,14.48,12.12
3,9,2016,15.8,10.6,0.51,4.82
3,10,2016,13.9,5.6,0.25,6.96
3,11,2016,17.4,2.9,0,16.18
3,12,2016,13.4,8.6,6.1,3.31
3,13,2016,17.1,9.9,0.76,6.04
3,14,2016,21.5,9.2,0,15.47
3,15,2016,25.6,8,0.76,17.2
3,16,2016,15.7,5.5,0.25,17.53
3,17,2016,16.4,2.7,0,19.69
3,18,2016,7.5,3.3,0.25,4.63
3,19,2016,6.1,-1.5,0,11.96
3,20,2016,7.7,-1.3,0,9.69
3,21,2016,15.1,-2.1,0,20.5
3,22,2016,23.6,6.2,0,16.86
3,23,2016,23.2,9.9,4.06,8.33
3,24,2016,17.2,2,0,3.32
3,25,2016,12.6,0.9,0,18.39
3,26,2016,18.9,1.5,0,13.22
3,27,2016,9.9,1.4,4.32,2.52
3,28,2016,17.4,-1.3,0.25,21.91
3,29,2016,18.5,4.8,0,18.62
3,30,2016,23.7,9.6,10.41,5.79
3,31,2016,16.4,7.5,0.25,10.86
4,1,2016,11.2,3.1,0,10.22
4,2,2016,15.4,0.1,0,22.47
4,3,2016,24.1,1.7,0,22.03
4,4,2016,19.2,5.9,0,22.72
4,5,2016,17.2,2.2,0,20.78
4,6,2016,14.1,8.4,0.51,7.35
4,7,2016,14.8,4.4,3.3,13.54
4,8,2016,13,1.5,0,21.21
4,9,2016,12.5,-3.8,0,22.82
4,10,2016,17.5,7.7,8.64,3.51
4,11,2016,12.6,4.4,2.03,12.79
4,12,2016,14.3,0.5,0,24.02
4,13,2016,20.4,1.1,0,21.9
4,14,2016,22.1,5,0,23.38
4,15,2016,24.2,8.7,0,20.01
4,16,2016,25.3,11.4,0,22.26
4,17,2016,25.6,12.6,0,21.32
4,18,2016,24.6,12.4,2.03,13.27
4,19,2016,24.8,14.7,9.91,13.21
4,20,2016,20.6,11,0,8.88
4,21,2016,19,8.5,0,10.83
4,22,2016,20.4,8.8,0,20.29
4,23,2016,24.2,7.9,0,19.86
4,24,2016,26.7,12.8,0,20.98
4,25,2016,25.3,15.7,0,17.79
4,26,2016,22.2,14.6,17.02,6.68
4,27,2016,24.4,11.8,1.02,15.04
4,28,2016,17.4,9,0,23.79
4,29,2016,16.9,8.6,2.54,12.59
4,30,2016,23.6,11.1,9.65,15.1
5,1,2016,18.3,9.9,0,19.47
5,2,2016,12,5.6,0,3.74
5,3,2016,19.1,5.1,0.25,17.61
5,4,2016,19.7,9.4,0,27.37
5,5,2016,20.3,5.1,0,25.64
5,6,2016,26.4,6.8,0,26.1
5,7,2016,29.1,13.5,0,20.81
5,8,2016,25.2,13.2,0,13.83
5,9,2016,21.7,14.7,5.33,7.59
5,10,2016,26.8,13.9,9.14,22.4
5,11,2016,28.8,15.1,6.86,15.72
5,12,2016,20.8,10.7,0,21.83
5,13,2016,25.6,6.9,2.79,21.51
5,14,2016,14.2,5.7,0,27.4
5,15,2016,19.4,4.4,0,26.96
5,16,2016,12.8,8.1,11.18,6.89
5,17,2016,12.2,6.5,10.92,6.26
5,18,2016,19.3,5.5,0,24.58
5,19,2016,20.5,6.5,0,23.91
5,20,2016,18.6,11.4,3.3,10.82
5,21,2016,22.8,8.5,0,27.43
5,22,2016,26.2,10.3,0,29.44
5,23,2016,26.2,10.8,0,25.47
5,24,2016,22.9,14.7,0,12
5,25,2016,28.4,15.6,0,21.62
5,26,2016,30.6,17.1,24.89,20.4
5,27,2016,26.6,17.3,5.59,17.01
5,28,2016,26.9,17.8,0,25.69
5,29,2016,28.9,16.1,0,24.12
5,30,2016,29.5,16.6,0,21.13
5,31,2016,27.5,17.2,0.51,18.37
6,1,2016,28,17,0,21.51
6,2,2016,27.9,16.4,0,28.05
6,3,2016,23.7,15.8,0,11.3
6,4,2016,27.1,16.5,1.02,18.79
6,5,2016,25.4,14.9,0,24.96
6,6,2016,30.1,15.7,0,27.58
6,7,2016,25,12.8,0,28.59
6,8,2016,27.5,12.9,0,22.35
6,9,2016,31.9,17,0,22.96
6,10,2016,32.2,20.2,0,26.75
6,11,2016,31.9,19.1,0,25.4
6,12,2016,33.5,20.4,0,24.38
6,13,2016,31.8,18.9,0,25.71
6,14,2016,32.2,21.2,0,25.65
6,15,2016,35.2,24,0,27.17
6,16,2016,35.1,23.8,0,26.35
6,17,2016,31.1,21,0.51,28.11
6,18,2016,31.1,18.5,0,27.31
6,19,2016,32.4,18,0,26.99
6,20,2016,33.8,20.4,10.92,26.59
6,21,2016,31.1,20.5,9.4,17.58
6,22,2016,34,22.2,0,27.02
6,23,2016,32.5,21.6,0,27.27
6,24,2016,31.5,17.6,0,23.59
6,25,2016,33.2,22.3,0,25.21
6,26,2016,32.8,21.6,5.33,16.14
6,27,2016,32.8,20.9,0,27.3
6,28,2016,29,18.8,0,21.94
6,29,2016,28,16.1,0,24.64
6,30,2016,28.3,17.2,1.52,14.01
7,1,2016,27.5,16.2,0,24.02
7,2,2016,20.2,16.1,45.72,2.72
7,3,2016,19.6,14.9,85.3,4.75
7,4,2016,24.7,17.9,0.76,11.04
7,5,2016,33.1,18.3,0,19.26
7,6,2016,28.2,21.5,2.79,12.82
7,7,2016,29.7,19.7,26.42,16.36
7,8,2016,30.7,20.2,0.25,23.29
7,9,2016,30.6,18.6,0,24.74
7,10,2016,31.9,20.3,0,22.1
7,11,2016,31.7,22,0,25.81
7,12,2016,29.2,18.4,11.68,18.45
7,13,2016,30,19.7,35.05,11.74
