MONTH,DAY,YEAR,TMAX_C,TMIN_C,RAIN_mm,SRAD_MJ/m2
1,1,2016,-2.4,-4.9,0,0.91
1,2,2016,1,-2.8,0,6.07
1,3,2016,0.7,-3.6,0,2.68
1,4,2016,-3.4,-11.2,0,6.27
1,5,2016,-1.5,-11.7,0,8.68
1,6,2016,1.9,-6.8,0,7.57
1,7,2016,5.5,-2.5,0,5.3
1,8,2016,5.3,0.4,4,1.75
1,9,2016,5.8,1.9,13,1.04
1,10,2016,2,-10.1,5,3.28
1,11,2016,-8.1,-14,2,6.9
1,12,2016,-4.8,-10.3,2,6.41
1,13,2016,-7.5,-12.4,1,4.28
1,14,2016,4.2,-7.6,0,7.28
1,15,2016,5.5,-0.3,2,2.28
1,16,2016,-0.2,-4,0,2.91
1,17,2016,-4,-14.1,0,5.92
1,18,2016,-10,-13.4,1,5.3
1,19,2016,-4.9,-15.5,0,8.64
1,20,2016,-2.1,-13.3,1,6.33
1,21,2016,-3.3,-7.3,0,4.27
1,22,2016,-1.4,-8,0,6.13
1,23,2016,6,-9.3,0,8.98
1,24,2016,-0.7,-10.1,0,6.16
1,25,2016,4.4,-4.7,1,7.59
1,26,2016,5.5,-2.9,2,0.84
1,27,2016,-2,-4.8,0,2.54
1,28,2016,0.9,-2.9,2,1.41
1,29,2016,0.2,-6,0,10.68
1,30,2016,8.4,-0.9,0,8.21
1,31,2016,9,2.2,2,1.73
2,1,2016,6.6,-3.5,0,7.64
2,2,2016,3.4,-3.6,11,2.16
2,3,2016,4.2,-0.5,3,2.43
2,4,2016,-0.4,-9,2,3.39
2,5,2016,2.6,-8.4,0,6.69
2,6,2016,2.4,-7.4,0,9.84
2,7,2016,7.2,-1.1,0,7.06
2,8,2016,3.2,-3.2,2,6.37
2,9,2016,-0.8,-6.2,1,3.96
2,10,2016,-5.4,-12.5,0,8.55
2,11,2016,-4.8,-13.5,0,9.45
2,12,2016,-6.3,-14.2,2,6.01
2,13,2016,-9.3,-19.6,0,10.57
2,14,2016,-8.1,-21.9,0,9.49
2,15,2016,-3.7,-9.5,1,3.41
