MONTH,DAY,YEAR,TMAX_C,TMIN_C,RAIN_mm,SRAD_MJ/m2
1,1,2016,13.4,11.3,0,2.2
1,2,2016,12.1,6.8,19.3,1.09
1,3,2016,6.8,5.5,37.08,1.95
1,4,2016,13.3,4.4,1.02,6.03
1,5,2016,17.2,2.9,0,14.75
1,6,2016,16.6,2.7,0,4.96
1,7,2016,21.4,12,5.08,5.75
1,8,2016,22.5,8.1,0,9.99
1,9,2016,20.8,11.3,0.25,5.8
1,10,2016,20.4,6.4,0,15.36
1,11,2016,12.9,0.9,0,15.22
1,12,2016,11.5,1.8,1.27,2.79
1,13,2016,18.7,4,0,14.33
1,14,2016,19.4,3.4,0,6.79
1,15,2016,23.6,11,0,10.16
1,16,2016,27.6,4.3,0.25,15.86
1,17,2016,23.1,4,0,13.1
1,18,2016,16.4,0.7,0,15.54
1,19,2016,21.5,3.8,0,14.61
1,20,2016,24,5.1,0.25,12.36
1,21,2016,26.6,12.5,0,12.13
1,22,2016,26.1,10.8,0,12.61
1,23,2016,19.1,5.3,0,16.46
1,24,2016,18.3,-1.6,0,16.34
1,25,2016,23.6,-0.5,0,15.79
1,26,2016,25.7,13.6,0,8.51
1,27,2016,18,9.9,2.79,2.87
1,28,2016,15.4,2.8,0,9.19
1,29,2016,22.7,0.2,0,16.99
1,30,2016,25.5,1.5,0,16.27
1,31,2016,27.2,12.5,0,15.39
2,1,2016,31.1,14.6,0,16.43
2,2,2016,30.3,16.2,0,15.94
2,3,2016,25,10.8,0,16.29
2,4,2016,20,2.1,0,17.6
2,5,2016,18.3,2,0,18.13
2,6,2016,19.5,-0.7,0,11.42
2,7,2016,21.4,0.2,0,18.33
2,8,2016,23.6,-2.9,0,18.12
2,9,2016,20.3,4.2,0,14.24
2,10,2016,24.2,3.9,0,18.38
2,11,2016,27.1,2.2,0,18.34
2,12,2016,28.7,6.6,0,18.66
2,13,2016,29.6,7,0,18.26
2,14,2016,25.6,7.6,0,17.88
2,15,2016,28.1,10.6,0,16.5
2,16,2016,29.4,11.9,0,17.54
2,17,2016,29.9,6.8,0,18.28
2,18,2016,27.1,11.2,0,16.66
2,19,2016,27.7,7.4,0,18.67
2,20,2016,28.1,13.2,0,16.91
2,21,2016,28.5,18.3,0,11.06
2,22,2016,28.2,NA,0,11.6
2,23,2016,28.1,19.6,0,13.61
2,24,2016,28.7,11.8,0,18.04
2,25,2016,21.3,2.6,0,20.51
2,26,2016,25.5,-0.6,0,20.23
2,27,2016,22,4.8,0,17.1
2,28,2016,24.5,5.4,0,19.55
2,29,2016,25,17.4,0,11.33
3,1,2016,28.2,15.8,0,13.81
3,2,2016,32.4,19.5,0,18.75
3,3,2016,28.4,18.2,0,13.4
3,4,2016,32.3,16.3,0,16.19
3,5,2016,27.7,9.9,0,21.34
3,6,2016,26.7,11.6,0,14.23
3,7,2016,26.6,18.2,0,14.13
3,8,2016,27.6,21.7,0,10.45
3,9,2016,29.8,22.2,0.25,12.65
3,10,2016,22.9,17.7,59.18,2.52
3,11,2016,24.6,16.9,6.1,11.44
3,12,2016,20.9,14.1,0,9.21
3,13,2016,27.3,12.5,0,19.09
3,14,2016,33.7,16.2,0,21.64
3,15,2016,34.6,14.6,0,20.26
3,16,2016,33.5,21.1,0,19.81
3,17,2016,26.7,22.1,0.25,5.09
3,18,2016,29.5,22.2,0,8.73
