MONTH,DAY,YEAR,TMAX_C,TMIN_C,RAIN_mm,SRAD_MJ/m2
1,1,2016,0.44,-10.73,0,8.49
1,2,2016,1.69,-13.57,0,8.61
1,3,2016,-3.18,-10.53,0,8.58
1,4,2016,-4.81,-8.5,0,4.36
1,5,2016,2.48,-9.15,0,7.93
1,6,2016,0.84,-1.13,0,1.59
1,7,2016,0.98,-0.28,0,0.68
1,8,2016,0.45,-5.34,0,2.73
1,9,2016,-5.07,-19.89,0,6.71
1,10,2016,-8.17,-21.2,0,9.09
1,11,2016,1.5,-12.31,0,5.98
1,12,2016,-1.99,-15.61,0,7.92
1,13,2016,5.11,-8.96,0,8.82
1,14,2016,7.94,-1.07,0,8.82
1,15,2016,2.56,-9.81,0,6.53
1,16,2016,-1.46,-14.82,0,3.72
1,17,2016,-13.97,-22.72,0,9.77
1,18,2016,-7.91,-21.13,0,8.68
1,19,2016,-6.13,-8.63,0,4.79
1,20,2016,-3.17,-8.04,0,5.8
1,21,2016,-2.98,-6.85,0,6.92
1,22,2016,-3.95,-7.45,0,6.51
1,23,2016,-1.72,-7.12,0,4.12
1,24,2016,0.77,-6.99,0,8.17
1,25,2016,-0.34,-4.16,0,2.7
1,26,2016,0.84,-11.32,0,7.78
1,27,2016,4.13,-12.97,0,7.08
1,28,2016,4.45,-2.05,0,10.3
1,29,2016,9.38,-2.58,0,9.69
1,30,2016,10.77,-2.58,0,6.23
1,31,2016,7.87,-1.59,0,9.69
2,1,2016,4.45,-4.28,0,4.86
2,2,2016,1.77,-3.96,0,2.06
2,3,2016,-3.63,-14.02,0,11.68
2,4,2016,-2.33,-14.42,0,12.04
2,5,2016,0.26,-12.78,0,6.09
2,6,2016,3.01,-12.05,0,11.62
2,7,2016,5.24,-3.1,0,10.94
2,8,2016,0.71,-4.09,0,9.89
2,9,2016,-3.96,-10.47,0,12.44
2,10,2016,3.46,-8.23,0,11.26
2,11,2016,-2.25,-9.22,0,6.81
2,12,2016,-3.43,-11.26,0,9.65
2,13,2016,-7.64,-11.98,0,4.3
2,14,2016,2.48,-8.56,0,7.71
2,15,2016,6.03,-2.71,0,12.6
2,16,2016,3.54,-1.26,0,4.34
2,17,2016,8.59,-1.52,0,12.42
2,18,2016,18.58,2.16,0,9.56
2,19,2016,18.06,5.18,0,14.08
2,20,2016,11.75,-0.47,0,13.34
2,21,2016,11.16,-0.01,0,10.1
2,22,2016,6.1,1.57,0,3.57
2,23,2016,9.19,-2.44,0,13.2
2,24,2016,5.31,-4.22,0,12.91
2,25,2016,1.9,-3.89,0,4.69
2,26,2016,11.03,-6.13,0,14.8
2,27,2016,23.52,-2.7,0,15.34
2,28,2016,13.93,-2.77,0,14.56
2,29,2016,15.5,-2.45,0,9.6
3,1,2016,-0.94,-7.83,0,9.79
3,2,2016,11.36,-8.03,0,9.27
3,3,2016,4.59,-5.54,0,10.52
3,4,2016,15.17,-6.06,0,11.33
3,5,2016,16.29,-3.43,0,16.69
3,6,2016,24.57,6.37,0,12.61
3,7,2016,25.75,9.59,0,14.42
3,8,2016,18.12,5.44,0,13.3
3,9,2016,16.67,-2.58,0,15.54
3,10,2016,19.31,-0.8,0,16.63
3,11,2016,22.53,2.42,0,17.19
3,12,2016,11.76,3.08,0,4.28
3,13,2016,17.41,10.18,0,4.44
3,14,2016,24.76,3.34,0,14.61
3,15,2016,13.6,4.53,0,9.81
3,16,2016,14.84,0.78,0,16.08
3,17,2016,13.92,-3.36,0,15.15
3,18,2016,7.61,-5.47,0,16.59
3,19,2016,5.12,-6,0,10.01
