MONTH,DAY,YEAR,TMAX_C,TMIN_C,RAIN_mm,SRAD_MJ/m2
1,1,2016,5.7,-7.6,0,10.7
1,2,2016,7.6,-6.4,0,10.6
1,3,2016,5,-5.7,0,10.5
1,4,2016,-3.3,-8.1,0,3.5
1,5,2016,6.4,-9,0,8.6
1,6,2016,3.7,0.5,1.02,1.9
1,7,2016,6.3,2.1,8.38,1.4
1,8,2016,4.2,-1.1,0,2.1
1,9,2016,-0.6,-14.1,0,6.3
1,10,2016,-2.9,-17.5,0,11
1,11,2016,5.9,-4.2,0,7.7
1,12,2016,0.2,-6.9,0,11.1
1,13,2016,12,-4.6,0.25,10.5
1,14,2016,13.4,0.8,0,11.2
1,15,2016,2.9,-5.2,0,7.3
1,16,2016,3.2,-7.7,0,10
1,17,2016,-6.3,-15.1,0,8.4
1,18,2016,0,-15.6,0,10.1
1,19,2016,-3.1,-5.3,0,2
1,20,2016,-0.1,-5.4,2.03,3.8
1,21,2016,-2,-6.5,1.02,6.4
1,22,2016,-2.5,-7,0,4.3
1,23,2016,0.5,-8.2,0,7.8
1,24,2016,7.7,-8.5,0,9.8
1,25,2016,2,-3.7,0,2.8
1,26,2016,3.8,-5,0,12.5
1,27,2016,10.9,-7.2,0,11.6
1,28,2016,11.1,-2.2,0,12.7
1,29,2016,19.7,-3.4,0,13
1,30,2016,15.1,-2.5,0,9.8
1,31,2016,11.9,2.2,0,10.4
2,1,2016,8.7,1.3,0.51,4.2
2,2,2016,8.2,-1,9.4,7.1
2,3,2016,0.4,-6.9,0,13.2
2,4,2016,6,-8,0,14.2
2,5,2016,7.4,-6.2,0,9.1
2,6,2016,9.7,-6.3,0,14.2
2,7,2016,10.7,2.1,0,10.1
2,8,2016,4,-0.5,0,12.2
2,9,2016,0,-7.2,0,14
2,10,2016,17.1,-7.6,0,14.9
2,11,2016,6,-4.6,0,9.6
2,12,2016,2.4,-4.9,0,8.2
2,13,2016,-0.5,-7.9,0,7.5
2,14,2016,13,-9.4,0,15.3
2,15,2016,14.8,-2.1,0,15.2
2,16,2016,11.5,-2.5,0.25,11.3
2,17,2016,19.7,-2.5,0,15.6
2,18,2016,25.6,9.4,0,14.6
2,19,2016,21.7,11.7,0,15.5
2,20,2016,23.9,0.7,0,15.7
2,21,2016,14,-0.9,0,16.1
2,22,2016,12.7,-3.7,0,14.9
2,23,2016,11.6,1,0,11
2,24,2016,10.1,-4,0,17.6
2,25,2016,3.5,-7.5,0,6.3
2,26,2016,15.7,-9.7,0,17.5
2,27,2016,24.4,-5.3,0,18.4
2,28,2016,17.6,-0.1,0,16.8
2,29,2016,22.4,-3.8,0,17.4
3,1,2016,8.1,-3.1,0,16.7
3,2,2016,17.8,-4,0,12.1
3,3,2016,13.4,1,1.27,18.8
3,4,2016,21.9,-0.9,0,15.7
3,5,2016,20.5,-3.4,0,19.4
3,6,2016,23.3,10.3,0,10
3,7,2016,25.3,16.3,0,15
3,8,2016,18.2,8.7,1.52,4.7
3,9,2016,16.3,2.9,0,14.9
3,10,2016,22.2,-0.9,0,19.3
3,11,2016,23.3,0.6,0,19.9
3,12,2016,17.4,9.2,0.76,4.9
3,13,2016,19.5,9.9,0,8.8
3,14,2016,27.2,5.1,0,19.7
3,15,2016,18,6.3,0,13.6
3,16,2016,17.2,-0.3,0,20.1
3,17,2016,16.7,-2.1,0,17.4
3,18,2016,10.1,-2,1.02,13
3,19,2016,5.7,-5.4,0,12.7
3,20,2016,9.7,-3.8,0,22.7
3,21,2016,21.2,-3.6,0,21.9
3,22,2016,26.3,11.1,0,16
3,23,2016,27.4,4.6,0,18.4
3,24,2016,10.8,-3.3,0,19.3
3,25,2016,17.6,-6.4,0,18.2
3,26,2016,11.2,1.6,6.6,6.9
3,27,2016,13.8,0.6,0,23.9
3,28,2016,21.1,-0.1,0,23.4
3,29,2016,20.2,7.3,0,7.4
3,30,2016,27,12.9,0,16.9
3,31,2016,15.9,4.5,0,13.7
4,1,2016,11.8,-2.5,0,21.1
4,2,2016,20.4,-3.8,0,24.9
4,3,2016,28.2,8.8,0,25.1
4,4,2016,20.6,9.1,0,24.8
4,5,2016,30.3,8.6,3.56,18.2
4,6,2016,19.1,9.3,0.51,24.9
4,7,2016,19.1,4.4,0,25.6
4,8,2016,20.3,-1.3,0,26
4,9,2016,21.8,0.2,0,24.2
4,10,2016,23.8,11.6,0,18.5
4,11,2016,16.2,3.3,0,23.7
4,12,2016,19.9,0.1,0,25.2
4,13,2016,24.6,4.6,0,24.4
4,14,2016,24.7,4.2,0,24.9
4,15,2016,25.9,10,0,23.3
4,16,2016,25.1,14.3,0,16.9
4,17,2016,18.8,15.7,9.65,4.2
4,18,2016,16.9,10.4,15.49,9.5
4,19,2016,19.7,11,3.81,20.7
4,20,2016,19.4,9.8,26.92,20.5
4,21,2016,21.2,9.4,0,18.5
4,22,2016,22.8,9.7,0,23.8
4,23,2016,28.1,10.4,0,27.3
4,24,2016,28.4,13.7,55.63,21.8
4,25,2016,26.2,13.4,0,27
4,26,2016,26,15.1,75.95,13.2
4,27,2016,17.5,7.5,2.54,16.4
4,28,2016,15.2,5.1,0,23.8
4,29,2016,11.2,7.6,14.48,4.1
4,30,2016,16.6,10.2,6.1,16.7
5,1,2016,12.9,8.1,0,10.9
5,2,2016,18.1,8.2,0,15.3
5,3,2016,22.8,5,0,28.7
5,4,2016,22.1,8.3,0,30.3
5,5,2016,26.9,4.7,0,30
5,6,2016,29.4,8.1,0,28.6
5,7,2016,30.1,15.3,0,27
5,8,2016,22.7,17.2,0.51,12.3
5,9,2016,26.6,13.6,8.13,17.5
5,10,2016,30,10.6,0,29.8
5,11,2016,22.9,13.3,3.56,13.2
5,12,2016,23.2,11,0,30.9
5,13,2016,27.7,8.1,0,24.4
5,14,2016,16.3,5.7,0,29.6
5,15,2016,18.5,5.2,0.51,18.9
5,16,2016,13,9.5,16,3.7
5,17,2016,17.8,8.1,0.76,18.9
5,18,2016,20.4,5.4,0,23
5,19,2016,19.5,7.2,1.78,17
5,20,2016,19.4,11.8,1.02,10.7
5,21,2016,21.7,10.2,0,17.5
5,22,2016,28.9,14.8,0,25.1
5,23,2016,23.8,18.9,2.54,12.7
5,24,2016,27.8,15.3,38.1,23.5
5,25,2016,27.9,16.1,20.83,13.2
5,26,2016,29.1,14.8,59.94,10.4
5,27,2016,25.3,14.6,21.08,16.8
5,28,2016,25.2,14.4,1.78,27.5
5,29,2016,30.6,13.8,0.76,22.6
5,30,2016,29.4,15.5,0,30
5,31,2016,25.8,16.5,0,21.5
6,1,2016,27,13.8,0,29.9
6,2,2016,29.1,12.5,0,30.7
6,3,2016,30.1,12.6,2.79,31
6,4,2016,28.7,14.9,0.25,32.1
6,5,2016,29.7,13.7,0,32.3
6,6,2016,32.6,13.4,0,29.9
6,7,2016,28.1,12.6,0,32.2
6,8,2016,34.3,16.8,0,29.6
6,9,2016,34.1,22.7,0,29.9
6,10,2016,34.3,23.2,0,30
6,11,2016,35,23.3,0,28.6
6,12,2016,34.8,21.2,0,30.3
6,13,2016,32.3,19.6,0,25.4
6,14,2016,35.3,22,8.38,29.5
6,15,2016,38.6,19.8,0,30
6,16,2016,36.1,21.6,0,29.6
6,17,2016,37.8,24,0,30.4
6,18,2016,33.1,21.7,5.33,22.7
6,19,2016,35.3,21.9,0,29.3
6,20,2016,37.3,23.7,0,30.2
6,21,2016,38.5,22.6,0,30.7
6,22,2016,40.5,25.4,0,30
6,23,2016,33.8,19.9,0,21.8
6,24,2016,30.5,20.4,0,14
6,25,2016,36.4,24,0,24.7
6,26,2016,30.5,21,0,19.2
6,27,2016,36.5,17.7,0,30.4
6,28,2016,30.1,18,22.61,27.4
6,29,2016,30.7,20.1,0,25.7
6,30,2016,32.6,20.4,0,25.6
7,1,2016,27.8,19.5,0,19
7,2,2016,26,17.8,41.66,9.5
7,3,2016,21.8,17.4,2.54,8.1
7,4,2016,30.5,18.1,0,22.5
7,5,2016,37,22.6,0,29.1
7,6,2016,34.6,22.4,0,30.4
7,7,2016,33.8,19.3,16.26,27
7,8,2016,32.7,22.1,0,27.3
7,9,2016,33.6,21.9,0,26.2
7,10,2016,34.5,23.6,0,30.3
7,11,2016,35,25.1,0,28.2
7,12,2016,28.4,19.1,26.92,16.3
7,13,2016,31.2,19.7,23.88,21.2
7,14,2016,30.1,19.6,0,18.4
7,15,2016,28.5,17.8,0,25.4
7,16,2016,32.2,19.1,0,27.8
7,17,2016,35.2,24.3,0,28.1
7,18,2016,34.9,23.2,0,26.2
7,19,2016,34.8,25.3,0,27.5
7,20,2016,36.7,25.7,0,29.3
7,21,2016,37.8,25.8,0,29.5
7,22,2016,39.1,26.7,0,25.2
7,23,2016,36.9,25.4,0,20.3
7,24,2016,32.9,22.5,2.29,17
7,25,2016,29.1,20.6,25.65,14.8
7,26,2016,31.2,18,0,28.7
7,27,2016,32.6,19.4,0,24.5
7,28,2016,32.9,19.4,6.1,26.2
7,29,2016,29.2,18.7,0.25,23.7
7,30,2016,30.1,18.3,0,25.9
7,31,2016,31.9,20.2,9.4,20.1
8,1,2016,31.6,24.5,0,24.5
8,2,2016,30.4,22.7,0,15.2
8,3,2016,36.5,22.7,0,26.4
8,4,2016,37.1,25.9,0,21.4
8,5,2016,26.5,19.4,19.05,5.9
8,6,2016,26.2,20.2,0,13
8,7,2016,23.6,19,15.24,7.5
8,8,2016,28,19.9,0,12.7
8,9,2016,34.8,21.5,0,26
8,10,2016,34.4,23.6,0,23.9
8,11,2016,36.5,22,17.53,25.7
8,12,2016,29.4,20.9,1.52,19.7
8,13,2016,31.4,17.2,0,27.7
8,14,2016,30.7,18.3,0,24.3
8,15,2016,29.1,17.9,0,16.7
8,16,2016,32.8,17.4,0,26.1
8,17,2016,34.8,20.1,0,25.9
8,18,2016,33.3,20.3,0,26.1
8,19,2016,32.1,19,45.97,19.1
8,20,2016,23.5,14.1,0,24.8
8,21,2016,28.2,12.2,0,27.6
8,22,2016,28.6,17.7,0,25.4
8,23,2016,31.5,21,0,20.3
8,24,2016,29.2,19.9,0,10.9
8,25,2016,25.6,17.2,40.64,17.7
8,26,2016,27.4,17.6,33.53,14.3
8,27,2016,29.8,18.5,5.84,23.5
8,28,2016,31.9,20.4,0,23.6
8,29,2016,32,20.3,0.76,19
8,30,2016,28.5,20,0.25,13.2
8,31,2016,26.3,16.8,5.33,10.4
9,1,2016,26.7,14.2,5.08,24.5
9,2,2016,26.2,13.4,0,22.6
9,3,2016,27.3,15.4,0,20.8
9,4,2016,30.4,19.1,0,19.2
9,5,2016,33.1,22.5,0,22.6
9,6,2016,33.5,24.4,0,21.7
9,7,2016,33.2,23.7,1.27,13
9,8,2016,28.4,20.7,0,9.2
9,9,2016,31.3,18.6,0,18.2
9,10,2016,24.4,11.9,0,24.1
9,11,2016,27.6,9.9,0,23.6
9,12,2016,32.4,19.3,0,20.4
9,13,2016,24.9,15.9,42.67,8.4
9,14,2016,22.6,15.7,18.8,8.9
9,15,2016,30.1,17.9,0,17.4
9,16,2016,22.4,16.2,5.84,6
9,17,2016,28.6,14.3,0,20.9
9,18,2016,30,16.3,0,21.4
9,19,2016,33.9,18.7,0,21.1
9,20,2016,34.7,18.5,0,19.8
9,21,2016,33.2,23.7,0,15.5
9,22,2016,34.2,22.1,0,19.4
9,23,2016,32,17.6,0,20.1
9,24,2016,30.9,19.7,28.19,10.2
9,25,2016,23.2,11.8,3.81,13.3
9,26,2016,23.5,7,0,21.3
9,27,2016,27.6,9.1,0,20.7
9,28,2016,21.2,9.5,2.54,20.5
9,29,2016,21.9,7.3,0,19.2
9,30,2016,24.3,6.3,0,20.6
10,1,2016,24.2,8.6,0,19.5
10,2,2016,26.7,9.8,0,20.3
10,3,2016,27.8,12.6,0,17
10,4,2016,25,13.2,20.07,6.5
10,5,2016,25.5,8.2,0.25,18.2
10,6,2016,27,7.6,12.19,11.5
10,7,2016,18.4,5.1,0,20.9
10,8,2016,22.9,4.8,0,20.6
10,9,2016,24,7.2,0,14.2
10,10,2016,20.6,11.4,18.8,7.6
10,11,2016,27.6,12.4,0,16.7
10,12,2016,14.2,4.8,0,16.1
10,13,2016,16.2,0.1,0,15.3
10,14,2016,23.2,10.2,0,9.2
10,15,2016,27.9,17,0,6.2
10,16,2016,31.2,15.3,0,17.4
10,17,2016,32.5,19.6,0,17.1
10,18,2016,23.5,9.7,0,18
10,19,2016,23.4,7.4,0,15.7
10,20,2016,16.7,5.1,2.03,13.8
10,21,2016,20.1,1.5,0,16.8
10,22,2016,26.5,5.3,0,17.6
10,23,2016,24.8,9,0,16.8
10,24,2016,22.8,8.3,0,16.4
10,25,2016,29.1,11.2,4.83,15.6
10,26,2016,23.6,10.1,12.19,15.2
10,27,2016,25.1,6.6,0,14.8
10,28,2016,29,15.9,0,11.8
10,29,2016,29.6,14,0,12.8
10,30,2016,14.8,8.9,0,6.9
10,31,2016,28.4,11.3,0,10.2
11,1,2016,26.9,12.6,0,13
11,2,2016,22.1,13.7,1.78,6.6
11,3,2016,23.5,8.4,0,15.5
11,4,2016,24.4,4.9,0,14.8
11,5,2016,24.1,6.4,0,13.1
11,6,2016,22.1,7.1,0,13.3
11,7,2016,15,10.3,1.02,4.3
11,8,2016,17.5,6.4,0,14.5
11,9,2016,17.5,-0.5,0,15
11,10,2016,22.4,0.2,0,14.8
11,11,2016,16.5,3.3,0,12.6
11,12,2016,15.1,-3.3,0,14.4
11,13,2016,19.4,1.5,0,13.7
11,14,2016,20.6,3.8,0,12.3
11,15,2016,23,1.2,0,13.6
11,16,2016,29.7,3,0,13.3
11,17,2016,23.7,10,0,10.1
11,18,2016,10.6,-1.3,0,4.2
11,19,2016,8.5,-4.4,0,13.5
11,20,2016,14.7,-1.4,0,12.4
11,21,2016,15,-0.3,0,7.1
11,22,2016,17.3,7.9,4.06,3.6
11,23,2016,8.4,4,0,2.2
11,24,2016,8.2,2.7,0,4.7
11,25,2016,12.5,-0.8,0,12.6
11,26,2016,17.6,0.2,0,11.8
11,27,2016,15.7,9.3,0.76,1.2
11,28,2016,14.9,2.4,0,11.9
11,29,2016,9.4,0.3,0,11.2
11,30,2016,5.6,-1.6,0,8.6
12,1,2016,8.5,-5.3,0,10.9
12,2,2016,10.3,-7.8,0,10.6
12,3,2016,5.2,-1.9,8.89,1.8
12,4,2016,7.3,-0.5,7.62,5.6
12,5,2016,13.4,-1.3,0,11.8
12,6,2016,4.4,-4.3,0,11.7
12,7,2016,-0.2,-7.2,0,5.6
12,8,2016,-2.8,-11.5,0,11.9
12,9,2016,-2.1,-13,0,3.4
12,10,2016,3.5,-3.7,0,4.7
12,11,2016,6.2,-6.5,0,3.5
