MONTH,DAY,YEAR,TMAX_C,TMIN_C,RAIN_mm,SRAD_MJ/m2
1,1,2016,8.7,3.1,0,5.9
1,2,2016,9.6,2.9,0,4.6
1,3,2016,14.8,4.5,0,12.2
1,4,2016,12.7,-0.9,0,12.3
1,5,2016,8.1,-2.6,0,9.9
1,6,2016,10.7,0.1,5.1,3.2
1,7,2016,17,10.8,10.2,5.2
1,8,2016,16.7,10.7,2.3,5
1,9,2016,11.4,3,0.8,2
1,10,2016,6.8,-2.7,0,13
1,11,2016,10.4,-3.3,0,10
1,12,2016,17.3,-0.8,0,12.4
1,13,2016,18.4,2.5,0,12.3
1,14,2016,18.3,5.2,0,8.6
1,15,2016,19.3,4.4,0,12.3
1,16,2016,8.9,1.7,2,2.3
1,17,2016,12.7,-2,0,12.2
1,18,2016,13.7,-1.5,0,12.7
1,19,2016,18.5,0.3,0,9.9
1,20,2016,13.9,4.3,0,9.4
1,21,2016,8.8,3.1,0,1.8
1,22,2016,8.9,1.3,24.9,11.9
1,23,2016,11.1,-2.6,0,13.5
1,24,2016,16.7,0.7,0,11.6
1,25,2016,22.8,11.4,0,10.3
1,26,2016,13.1,5.1,0,9.8
1,27,2016,12.4,-0.3,0,14.2
1,28,2016,18.8,-1.5,0,13.9
1,29,2016,24.2,4.9,0,14.1
1,30,2016,24.4,11.7,0,14.3
1,31,2016,25.4,13.7,0,13.4
2,1,2016,25.2,6.4,0,10.8
2,2,2016,21.5,10.6,0,13.9
2,3,2016,11.6,1.2,0,16.3
2,4,2016,11.6,-1.6,0,16.6
2,5,2016,14.2,-2.4,0,15.7
2,6,2016,10.9,2.7,1.3,7.7
2,7,2016,17.9,-0.6,0,16.2
2,8,2016,12.5,5.7,0,17.4
2,9,2016,15,1.9,0,16.6
2,10,2016,19.4,0.9,0,17.1
2,11,2016,25.2,10.7,0,16.6
2,12,2016,22,4.4,0,16.5
2,13,2016,16.6,4.3,0,16.2
2,14,2016,21.6,11.3,0,6.9
2,15,2016,19.6,7.9,12.4,12.9
2,16,2016,23.7,6.1,0,17
2,17,2016,21.2,3.3,0,17.8
2,18,2016,26,8.4,0,17.6
2,19,2016,25.3,14.9,0,14.4
2,20,2016,20.6,16.8,0,4
2,21,2016,22.3,17.2,32.5,4.6
2,22,2016,16.1,11.7,3,3
2,23,2016,11.4,5.3,17.8,2.4
2,24,2016,13.8,5.6,0,19.3
2,25,2016,15.8,3.2,0,19.1
2,26,2016,15.1,-1.1,0,19.2
2,27,2016,22.1,2.6,0,18.5
2,28,2016,21.8,8.2,0,11.5
2,29,2016,22.9,12.7,0,7.8
3,1,2016,22.2,9.6,0,9.2
3,2,2016,21.7,4.3,0,18.3
3,3,2016,25,8.8,0,18.2
3,4,2016,22.7,4.2,0,18.4
3,5,2016,24.9,6.4,0,18.5
3,6,2016,23.8,10.1,0,16.1
3,7,2016,24.1,15.8,0,6.3
3,8,2016,21.8,15.6,83.6,2
3,9,2016,17,14.4,127,2.3
3,10,2016,21.2,15.6,38.6,7.4
3,11,2016,21.8,15.1,3,5.7
3,12,2016,20.9,14.1,16,8.2
3,13,2016,25.6,12.3,0,17.3
3,14,2016,31,11.3,0,20
3,15,2016,29.1,17.2,0,18.4
3,16,2016,26.4,9.3,0,19.9
3,17,2016,17.8,12.1,1.5,6.8
3,18,2016,19.9,12.1,0,6.3
3,19,2016,15.7,6.9,0,18.2
3,20,2016,12.4,1.9,0,23.5
3,21,2016,17.8,-0.4,0,22.5
3,22,2016,23.2,6.1,0,21.3
3,23,2016,25.6,17.1,0,11.3
3,24,2016,20.5,7.9,11.7,21.9
3,25,2016,20.7,3.8,0,22.3
3,26,2016,25.5,8.7,0,21.4
3,27,2016,20.6,10.1,0,16.5
3,28,2016,21.4,3.8,0,23
3,29,2016,21,10.4,0,9.2
3,30,2016,24.3,19.8,7.6,5
3,31,2016,28.7,16.2,0,18.7
4,1,2016,16.1,6.9,0.8,6.6
4,2,2016,19.4,4.8,0,23.2
4,3,2016,23.6,4.2,0,23.4
4,4,2016,27.6,10.2,0,23.1
4,5,2016,29,12.2,0,22.7
4,6,2016,24.6,12.6,0,21.1
4,7,2016,28.8,10.7,0,22.3
4,8,2016,23.7,9.8,0,22.6
4,9,2016,21.7,9.1,1.8,8.4
4,10,2016,25.9,14.9,0,14.3
4,11,2016,26.4,16.8,19.1,10.1
4,12,2016,20.3,15.3,0,10.8
4,13,2016,22.8,13.8,0,15.3
4,14,2016,19.9,12.8,0.3,11
4,15,2016,25.5,11.1,0,17.3
4,16,2016,25.5,18.3,0,14.7
4,17,2016,21.8,17.8,37.6,4.2
4,18,2016,19.7,17.5,54.9,4.6
4,19,2016,25.8,17.8,0,16
4,20,2016,24.2,15,24.9,13.6
4,21,2016,25.3,13.3,0.5,17.2
4,22,2016,26.1,12.4,0,24.5
4,23,2016,28.1,11.9,0,20.8
4,24,2016,26.7,13.4,0,21.1
4,25,2016,29.7,18.6,0,16.7
4,26,2016,29.7,22.2,0,16.9
4,27,2016,29.1,14.9,23.4,24.6
4,28,2016,29.6,12.7,0,25.3
4,29,2016,26.3,19.2,151.6,6.1
4,30,2016,29.6,18.3,6.1,21.7
5,1,2016,26.5,16.6,0,21.5
5,2,2016,19.5,11.9,9.9,10.6
5,3,2016,21.6,8.3,0,26.5
5,4,2016,26.8,10.7,0,25.7
5,5,2016,25.8,11.2,0,26.5
5,6,2016,27.4,10.9,0,17.8
5,7,2016,29,12.1,0,13.8
5,8,2016,23.8,15.4,0,6.7
5,9,2016,28.1,18.7,0,11.6
5,10,2016,31.6,19.9,0,15.8
5,11,2016,30.4,19.9,0,14.8
5,12,2016,28.7,19.8,0,13.9
5,13,2016,28.4,15.6,0,19.8
5,14,2016,25.8,16.4,0,10.9
5,15,2016,24.4,16.6,0,14.4
5,16,2016,21.9,17.2,0.8,7.1
5,17,2016,28.6,18.9,0.5,18.8
5,18,2016,18.5,15.2,36.1,2.6
5,19,2016,17.9,14.5,15.7,5.4
5,20,2016,25.9,16.7,0,17.4
5,21,2016,28.8,14.2,0,24.9
5,22,2016,28.7,18.7,0,20.5
5,23,2016,29.8,18.8,0,17.7
5,24,2016,30.6,20.7,0,16.1
5,25,2016,30.9,24.3,0,15.1
5,26,2016,25.8,20.3,35.8,1.4
5,27,2016,21,18.7,34.5,1
5,28,2016,29.6,18.6,0,21.3
5,29,2016,30.9,21.6,0,17.8
5,30,2016,29.7,20.8,0,16.9
5,31,2016,31.4,19.7,1.3,20
6,1,2016,27.1,19.6,2.3,12.4
6,2,2016,23.8,20.9,14,5.3
6,3,2016,24.4,20.4,4.8,8
6,4,2016,27.7,20.1,7.1,17.8
6,5,2016,30.3,20.9,0,23.6
6,6,2016,29.8,18.7,0,17.3
6,7,2016,32.2,18,0,26.3
6,8,2016,33.6,18.1,0,24.6
6,9,2016,33.1,19.7,0,22.1
6,10,2016,32.8,20.8,0,22.7
6,11,2016,33,22.2,0,20
6,12,2016,32.2,23.3,10.7,14.4
6,13,2016,30.2,23.1,17.5,11.8
6,14,2016,32.7,24.9,0,19.3
6,15,2016,33.2,24.7,0,19.4
6,16,2016,34.3,22.1,0,21.3
6,17,2016,34.1,23.9,0,22.3
6,18,2016,34.8,24.3,0,16.7
6,19,2016,33.3,20.3,0,19.1
6,20,2016,33,21.9,0,14.4
6,21,2016,33.8,23.8,0,15.4
6,22,2016,33.7,23.9,0,18.5
6,23,2016,33.6,22.8,0,20.2
6,24,2016,33.7,23.8,0,21.2
6,25,2016,34.3,24.3,0,19.9
6,26,2016,34.5,24.7,0,19.5
6,27,2016,34.9,23.4,0,17.2
6,28,2016,32.6,22.5,0,17
6,29,2016,33.3,21.9,0,19.5
6,30,2016,34.5,20.6,0,20.3
7,1,2016,35.4,20.6,0,18.2
7,2,2016,34.5,22.4,0,18.4
7,3,2016,34.5,24.5,0,17
7,4,2016,31.8,24.3,1.3,8.5
7,5,2016,33.1,25.2,0.5,13.2
7,6,2016,35.1,25.3,0,20.7
7,7,2016,35.7,25.2,0,20.4
7,8,2016,35.4,25.2,0,18.5
7,9,2016,34.8,24.3,0,17.8
7,10,2016,32.9,23.8,1,13.2
7,11,2016,34.8,23.8,0,20.3
7,12,2016,35.3,24.3,0,19.4
7,13,2016,35.8,24.1,0,17.9
7,14,2016,36.1,24.9,0,21.2
7,15,2016,35,24.8,0,19.2
7,16,2016,36,22.8,0,21.1
7,17,2016,34.7,23.7,0,20.4
7,18,2016,35.9,24.1,0,18.3
7,19,2016,36.8,23.1,0,21.3
7,20,2016,36.9,23.9,0,20.6
7,21,2016,37.3,24.4,0,19
7,22,2016,37.9,25.8,0,19.7
7,23,2016,37.2,25.2,0,18.1
7,24,2016,35.7,24.5,0,13.9
7,25,2016,33.8,22.3,1,11.9
7,26,2016,35.5,21.6,0,20.6
7,27,2016,35.5,23.2,1,21.3
7,28,2016,30.4,23.2,1,9.9
7,29,2016,33.7,22.9,0,19.6
7,30,2016,36.7,24.3,0,20.8
7,31,2016,36.4,23.8,0,22.2
8,1,2016,37.2,24.8,0,22.7
8,2,2016,37.7,24.2,0,22.9
8,3,2016,37.9,24.7,0,17.7
8,4,2016,38.6,25.6,0,21.9
8,5,2016,38.4,25.3,0,20.8
8,6,2016,37.3,24.7,5.8,18
8,7,2016,37.1,23.3,52.3,18.9
8,8,2016,35.9,22.5,10.4,19.2
8,9,2016,36.8,24.7,0,18.9
8,10,2016,37.1,24.3,0,22
8,11,2016,38,26.1,0,22.4
8,12,2016,38.4,25.2,12.7,20.7
8,13,2016,32.3,24.2,3,14.1
8,14,2016,30.2,23.5,38.9,11.1
8,15,2016,24.2,22.1,15.7,5.1
8,16,2016,26.2,22.5,22.9,4.6
8,17,2016,25.4,22.6,40.1,4.1
8,18,2016,28.5,22.7,25.4,7.6
8,19,2016,32,23.1,0.8,12.9
8,20,2016,30.3,24.1,0,13
8,21,2016,27.4,21.7,0.3,8
8,22,2016,31.2,23.1,1,11.3
8,23,2016,33.8,22.6,0,18
8,24,2016,33.8,24.8,0,20.4
8,25,2016,33.9,23.3,0,20
8,26,2016,30.1,22.7,6.1,11.5
8,27,2016,31.3,22.2,5.8,16.3
8,28,2016,31,21.4,2,15.2
8,29,2016,31.8,22.2,1,16
8,30,2016,33.1,21.8,0,19.7
8,31,2016,33.3,22.9,0,19.1
9,1,2016,32.9,22.6,0,18.8
9,2,2016,30.4,21.8,0,18.7
