MONTH,DAY,YEAR,TMAX_C,TMIN_C,RAIN_mm,SRAD_MJ/m2
1,1,2016,8.67,6,0,19.68
1,2,2016,8.37,5.64,2.54,19.73
1,3,2016,17.08,5.33,0,19.79
1,4,2016,13.74,3.41,0,19.85
1,5,2016,13.43,3.17,0,19.92
1,6,2016,11.42,7.12,5.334,19.99
1,7,2016,22.47,9.53,0,20.07
1,8,2016,19.48,7.77,0,20.15
1,9,2016,14.36,3.12,0,20.23
1,10,2016,9.71,-0.06,0,20.32
1,11,2016,14.05,1.32,0,20.41
1,12,2016,19.13,2.29,0,20.51
1,13,2016,18.58,4.48,0,20.61
1,14,2016,20.79,8.47,0,20.72
1,15,2016,22.61,9.36,0,20.83
1,16,2016,16.29,5.51,0,20.94
1,17,2016,13.59,0.16,0,21.06
1,18,2016,16.22,2.72,0,21.18
1,19,2016,20.41,6.87,0,21.3
1,20,2016,13.81,6.16,0,21.43
1,21,2016,17.39,5.84,0,21.56
1,22,2016,11.34,2.93,0,21.69
1,23,2016,13.96,-0.48,0,21.83
1,24,2016,20.51,2.05,0,21.97
1,25,2016,24.58,13.78,0,22.11
1,26,2016,14.1,6.03,0,-99
1,27,2016,14.38,2.13,0,22.4
1,28,2016,22.13,0.85,0,22.55
1,29,2016,24.07,5.57,0,22.71
1,30,2016,24.84,7.22,0,22.86
1,31,2016,29.87,15.39,0,23.02
2,1,2016,25.16,13.33,0,23.18
2,2,2016,21.65,12.12,0,23.34
2,3,2016,13.69,4.24,0,23.51
2,4,2016,14.38,1.69,0,23.67
2,5,2016,16.08,1.69,0,23.84
2,6,2016,15.06,3.83,0,24.01
2,7,2016,19.93,0.55,0,24.18
2,8,2016,17.32,7.24,0,24.35
2,9,2016,22.16,4.43,0,24.53
2,10,2016,23.16,5.16,0,24.7
2,11,2016,27.61,11.93,0,24.88
2,12,2016,25.67,8.82,0,25.06
2,13,2016,23.18,10.69,0,25.24
2,14,2016,23.11,13.78,0,25.42
2,15,2016,22.82,11.1,0,25.6
2,16,2016,26.77,8.87,0,25.79
