MONTH,DAY,YEAR,TMAX_C,TMIN_C,RAIN_mm,SRAD_MJ/m2
1,1,2016,5.51,-5.19,0.76,11.36
1,2,2016,10.28,-2.61,0,11.27
1,3,2016,7.77,-4.44,0,11.99
1,4,2016,4.94,-6.04,0,11.69
1,5,2016,6.44,-6.7,0.25,11.01
1,6,2016,5.45,1.39,3.05,2.93
1,7,2016,10.39,4.06,1.02,2.36
1,8,2016,5.03,2.47,0,2.5
1,9,2016,2.47,-5.94,0.51,6.15
1,10,2016,-0.81,-10.76,0,12.26
1,11,2016,9.1,-6.16,0,11.8
1,12,2016,10.98,-1.73,0,12.45
1,13,2016,13.11,-3.57,0,12.24
1,14,2016,18.08,-0.66,0,12.53
1,15,2016,9.93,1.95,0,12.41
1,16,2016,4.17,-4.51,0,7.54
1,17,2016,-0.65,-7.44,0,6.81
1,18,2016,1.42,-10.26,0,11.01
1,19,2016,4.32,-3.16,0.25,1.43
1,20,2016,0.29,-2.81,0,2.68
1,21,2016,1.33,-0.92,0.25,2.09
1,22,2016,-0.89,-3.97,0,3.33
1,23,2016,7.62,-3.37,0,11.36
1,24,2016,15.83,1.38,0,11.06
1,25,2016,11.04,-1.33,0,4.94
1,26,2016,9.55,-2.68,0,13.73
1,27,2016,14.54,-6.29,0,13.88
1,28,2016,18.3,-1.27,0,13.77
1,29,2016,24.54,2.79,0,14.09
1,30,2016,24.09,1.06,0,13.04
1,31,2016,16.75,3.06,0,13.46
2,1,2016,16.78,0.47,16.76,13.78
2,2,2016,10.85,2.1,1.78,12.19
2,3,2016,5.73,-1.77,0,14.85
2,4,2016,9.58,-5.53,0,15.29
2,5,2016,12.46,0.19,0,-996
2,6,2016,10.65,1.52,0,15.09
2,7,2016,14.56,-1.03,0,13.7
2,8,2016,8.82,-0.82,0,15.81
2,9,2016,8.71,-2.45,0,12.79
2,10,2016,23.36,-4.38,0,16.02
2,11,2016,13.85,1.45,0,15.48
2,12,2016,11.75,-2,0,15.72
2,13,2016,12.35,-2.84,0,15.58
2,14,2016,14.1,3.02,0,12.67
2,15,2016,16.8,3.05,0,16.56
2,16,2016,14.41,1.34,0,16.59
2,17,2016,22.1,1.26,0,16.19
2,18,2016,25.46,9.74,0,16.5
2,19,2016,23.67,13.76,0,15.02
2,20,2016,26.67,10.41,0,16.87
2,21,2016,18.04,6.46,0,13.52
2,22,2016,14.11,1.57,0,-996
2,23,2016,8.9,4.31,9.14,2.75
2,24,2016,13.4,0.5,0,18.65
2,25,2016,9.62,-1.6,0,18.33
2,26,2016,16.36,-5.16,0,18.77
2,27,2016,23.54,1.41,0,19.34
2,28,2016,22.48,7.32,0,18.34
2,29,2016,24.31,2.86,0,18.87
3,1,2016,14.64,2.18,0,19.39
3,2,2016,20.38,1.54,0,17.31
3,3,2016,17.23,4.62,0,20.03
3,4,2016,22.44,1.16,0,19.55
3,5,2016,22.78,4.62,0,20.57
3,6,2016,23.35,7.81,0,12.68
3,7,2016,19.05,16.38,0,2.97
3,8,2016,17.07,9.74,26.67,3.56
3,9,2016,15.61,10.01,0,4.74
3,10,2016,20.31,9.09,0,-996
3,11,2016,19.62,7.38,3.56,14.9
3,12,2016,19.7,11.74,0,8.06
3,13,2016,16.23,8.91,10.16,3.35
3,14,2016,27.75,7.88,0,21.45
3,15,2016,21.22,8.59,0,22.45
3,16,2016,17.36,2.51,0,15.39
3,17,2016,20.39,5.47,0,20.63
3,18,2016,12.91,2.26,0,11.16
3,19,2016,12.3,-1.86,0,23.34
3,20,2016,10.2,-1.69,0,23.41
3,21,2016,19.98,-1.11,0,23.34
3,22,2016,24.84,11.33,0,19.14
3,23,2016,27.38,7.69,0,20.59
3,24,2016,13.95,1.42,0,23.36
3,25,2016,19.81,-1.41,0,23.43
3,26,2016,23.01,8.88,0,22.96
3,27,2016,13.36,2.13,5.84,19.74
3,28,2016,21.39,-0.81,0,25.26
3,29,2016,23.73,8.87,0,17.66
3,30,2016,29.02,16.28,1.02,12.33
3,31,2016,18.34,8.67,0,24.58
4,1,2016,16.63,4.18,0,20.6
4,2,2016,21.5,-1.46,0,25.92
4,3,2016,26.54,6.57,0,25.93
4,4,2016,26.87,8.26,0,24.6
4,5,2016,31.68,11.81,0,23.65
