MONTH,DAY,YEAR,TMAX_C,TMIN_C,RAIN_mm,SRAD_MJ/m2
1,1,2016,7.913,5.171,0,4.82
1,2,2016,8.08,5.408,0,2.84
1,3,2016,15.99,5.104,0,12.45
1,4,2016,12.43,1.416,0,12.95
1,5,2016,9.61,1.178,0,9.17
1,6,2016,10.38,6.524,5.7,2.38
1,7,2016,21.79,8.96,0.1,9.75
1,8,2016,17.82,5.953,0.25,4.54
1,9,2016,11.84,3.142,0.25,6.6
1,10,2016,7.674,-0.82,0,12.51
1,11,2016,12.46,-1.531,0,12.33
1,12,2016,18.46,-0.108,0,12.81
1,13,2016,18.05,2.567,0,12.98
1,14,2016,20.29,5.004,0,10.1
1,15,2016,20.16,8.32,0,13.16
1,16,2016,11.95,3.413,0,6.57
1,17,2016,13.17,-1.327,0,13.27
1,18,2016,12.8,0.603,0,13.93
1,19,2016,19.85,3.446,0,9.72
1,20,2016,12.63,2.601,0,10.04
1,21,2016,14.53,4.632,0,8.02
1,22,2016,10.55,2.059,0,14.26
1,23,2016,11.78,-2.919,0,14.47
1,24,2016,19.1,0.569,0,13.58
1,25,2016,24.77,12.65,0,12.51
1,26,2016,13.21,5.241,0,7.94
1,27,2016,12.97,1.957,0,15.18
1,28,2016,21.48,-0.345,0,15.32
1,29,2016,24.57,3.346,0,15.46
1,30,2016,24.74,6.834,0,15.54
1,31,2016,28.44,11.41,0,15.27
2,1,2016,24.36,7.883,0,13.57
2,2,2016,20.43,9.44,0,16.07
2,3,2016,12.6,2.939,0,16.24
2,4,2016,13.68,-1.429,0,16.36
2,5,2016,15.07,-0.413,0,15.26
2,6,2016,13.21,1.483,2.2,15.9
2,7,2016,19.54,-0.82,0,16.67
2,8,2016,16.22,5.344,0,16.78
2,9,2016,21.86,2.668,0,16.99
2,10,2016,23.11,1.957,0,17.1
2,11,2016,28.41,7.206,0,17.41
2,12,2016,24.19,7.68,0,17.03
2,13,2016,22.26,8.12,0,15.53
2,14,2016,22.91,12.29,0,8.12
2,15,2016,22.36,8.93,0,17.13
2,16,2016,25.45,6.461,0,17.26
2,17,2016,21.86,8.32,0,17.77
2,18,2016,24.67,8.59,0,14.01
2,19,2016,25.51,17.14,0,12.54
2,20,2016,22.5,17.71,0,3.69
2,21,2016,20.53,15.99,8.15,2.66
2,22,2016,18.57,11.52,0.45,9.47
2,23,2016,14.22,7.713,23.75,5.72
2,24,2016,16.66,5.241,0,19.75
2,25,2016,16.77,3.278,0,19.47
2,26,2016,15.88,2.906,0,19.41
2,27,2016,21.55,4.362,0,19.15
2,28,2016,24.19,10.66,0,9.6
2,29,2016,24.43,15.41,0,14.79
3,1,2016,24.16,12.94,0,15.9
3,2,2016,23.31,5.513,0,19.67
3,3,2016,26.06,12.19,0,20.15
3,4,2016,22.4,6.257,0,19.74
3,5,2016,24.7,9.27,0,18.66
