"SITE","TMEAN","RAIN","DL","SRAD"
"BRKG",10.8977534246575,574,12.2164737908967,26.2226775956284
"CLMB",13.5561475409836,927.8,12.1919468047263,14.0459016393443
"KBSM",10.4010928961749,975,12.2071207114835,13.4138524590164
"KING",23.698489010989,828.98,12.1569222974835,16.3167213114754
"LINC",11.7018715846995,770.61,12.2013559638139,13.9540163934426
"MNHT",14.4232240437158,1013.2,12.1929132700179,16.7825136612022
"OVTN",19.9054644808743,1439.8,12.1695449087289,14.1991803278689
"PKLE",21.8510382513661,829.31,12.1641505502597,30.8571038251366
"STIL",17.0432513661202,742.36,12.1812479962409,-5.31005464480874
"TMPL",20.6503095890411,965.04,12.1659556914024,14.5794535519126
