SITE,LINE,CROSS,LEN,PRM,SEC
BRKG,1,F2,39.25,30,14.5
BRKG,10,F2,41,23.5,12
BRKG,100,F2,52.5,30.5,12.5
BRKG,101,F2,44.5,31,10.5
BRKG,102,F2,42.65,26.5,10.5
BRKG,103,F2,47.5,36.5,13.5
BRKG,104,F2,58,22,12.5
BRKG,105,F2,41.25,32,11.5
BRKG,106,F2,56.5,27,11
BRKG,107,F2,50.75,28,12
BRKG,108,F2,46.65,26,13
BRKG,11,F2,51,30,12.5
BRKG,110,F2,44.25,29.5,12
BRKG,111,F2,38,28.5,10
BRKG,112,F2,52.5,26.5,14
BRKG,113,F2,61,25.5,18
BRKG,116,F2,55,32,11.5
BRKG,117,F2,50,34.5,13.5
BRKG,118,F2,46.5,29,14.5
BRKG,119,F2,54,36.5,14
BRKG,12,F2,63.5,30.5,12.5
BRKG,120,F2,33.5,27,10.5
BRKG,122,F2,38.375,30.5,11.25
BRKG,123,F2,47.75,29,12
BRKG,125,F2,47,25,10
BRKG,126,F2,41.5,24,10.5
BRKG,127,F2,40.75,18.5,12.5
BRKG,128,F2,46.5,31.75,12.75
BRKG,13,F2,32.5,32.5,12
BRKG,130,F2,45.5,24.5,13
BRKG,131,F2,43.5,36,12.5
BRKG,132,F2,48.75,28,14
BRKG,133,F2,44,22.5,10.5
BRKG,134,F2,63,48.25,16.25
BRKG,135,F2,33,30.5,8.5
BRKG,136,F2,44,29,13
BRKG,138,F2,48,36,15
BRKG,14,F2,34.25,34,12
BRKG,140,F2,49.4,39.5,15
BRKG,141,F2,42.5,31.5,11
BRKG,142,F2,45.5,33.5,12
BRKG,143,F2,63,36,16.5
BRKG,145,F2,52.5,31.5,10
BRKG,146,F2,38.5,27.5,12.5
BRKG,147,F2,45.5,26,13.5
BRKG,148,F2,41,21,10.5
BRKG,15,F2,54,35,14
BRKG,150,F2,30.6,32.5,8.5
BRKG,151,F2,50.5,27,13
BRKG,153,F2,47.75,34.5,13.5
BRKG,154,F2,56,30,14.5
BRKG,155,F2,53.5,37.5,14.5
BRKG,156,F2,38.5,19.5,12
BRKG,157,F2,44.75,19.5,9.5
BRKG,158,F2,45,24.5,10.5
BRKG,159,F2,45.5,35.5,14.5
BRKG,16,F2,51.75,26,12.5
BRKG,160,F2,43,27.5,8
BRKG,161,F2,45.25,38,11.5
BRKG,163,F2,37.75,24,11.5
BRKG,165,F2,70.05,36,9
BRKG,166,F2,71.5,36,13.5
BRKG,168,F2,55.5,39.5,16.5
BRKG,169,F2,45,29,13.5
BRKG,170,F2,54.5,31.5,12.5
BRKG,171,F2,44.5,27,12.5
BRKG,173,F2,46,21.5,12
BRKG,174,F2,45,27.5,13
BRKG,175,F2,65,34.5,18.5
BRKG,176,F2,54.75,36.5,14
BRKG,177,F2,48.5,32,9
BRKG,178,F2,66.1,37.5,12.5
BRKG,18,F2,42,21,9
BRKG,180,F2,39,26,13.5
BRKG,182,F2,46.125,30.75,13.5
BRKG,183,F2,52.25,37,14.5
BRKG,184,F2,57,37,14
BRKG,185,F2,47,27,11.5
BRKG,186,F2,53.5,34,15.5
BRKG,187,F2,49,23,10
BRKG,188,F2,46,29.5,15.5
BRKG,189,F2,47.5,35,11.5
BRKG,19,F2,47.5,30.5,12.5
BRKG,190,F2,33,20,10
BRKG,191,F2,40,35,12.25
BRKG,192,F2,54,26.5,13.5
BRKG,193,F2,66.5,34,14.75
BRKG,194,F2,49.25,34,13
BRKG,195,F2,43,28.5,9.5
BRKG,196,F2,60.7,33.5,16.5
BRKG,197,F2,51.875,26.5,11.25
BRKG,198,F2,45,29.5,13.5
BRKG,199,F2,45,24.5,12
BRKG,20,F2,52,26,14.75
BRKG,200,F2,56.5,32,14.5
BRKG,201,F2,40.5,29,12
BRKG,202,F2,42.25,31,12
BRKG,203,F2,45.5,31,11
BRKG,204,F2,36,24,9.5
BRKG,205,F2,45.75,29.5,14.5
BRKG,207,F2,41.575,30.5,12.5
BRKG,208,F2,38.75,24.25,12.75
BRKG,209,F2,43.625,32.75,15
BRKG,21,F2,49.25,31.5,14
BRKG,210,F2,62.5,33,18
BRKG,212,F2,44,25.5,11.5
BRKG,213,F2,61.5,29,15.5
BRKG,214,F2,40.5,25,12
BRKG,215,F2,42,29,14.5
BRKG,216,F2,49,42.5,12.5
BRKG,217,F2,40.5,26.5,7.5
BRKG,218,F2,53.875,41.5,14.25
BRKG,219,F2,52.5,30.5,14.5
BRKG,22,F2,42.5,21.5,7
BRKG,220,F2,42,27,12
BRKG,221,F2,53,28.5,12.5
BRKG,222,F2,49.5,32.5,14
BRKG,223,F2,39,30,15
BRKG,224,F2,58,35.5,13
BRKG,225,F2,46,29,11
BRKG,226,F2,46.75,38,13
BRKG,227,F2,48,34,16.5
BRKG,228,F2,50,27,12
BRKG,229,F2,61,40,13
BRKG,23,F2,64.5,41,15
BRKG,230,F2,53.75,30.25,9
BRKG,232,F2,41,32.5,11
BRKG,233,F2,58,28.5,12.5
BRKG,234,F2,54,31,13
BRKG,235,F2,43.5,38.5,12.5
BRKG,237,F2,53,28,16.5
BRKG,238,F2,42.25,37.5,13
BRKG,239,F2,46,32,12.5
BRKG,24,F2,46,30,14
BRKG,240,F2,64,32,13.5
BRKG,241,F2,55,26,15
BRKG,242,F2,43.5,29,12.25
BRKG,243,F2,46.75,28,14.5
BRKG,244,F2,51,33.5,14.5
BRKG,245,F2,49.5,31.75,12
BRKG,246,F2,47.33333333,26.33333333,11.66666667
BRKG,247,F2,56.5,40,17.5
BRKG,248,F2,50.5,36.5,16.5
BRKG,249,F2,42.2,33,14.25
BRKG,25,F2,41.25,22,12.25
BRKG,250,F2,48.25,35.5,11.5
BRKG,251,F2,48,35,13.5
BRKG,252,F2,45.75,32,11.5
BRKG,253,F2,34,28.5,11
BRKG,254,F2,38.75,26,13.25
BRKG,255,F2,42.75,28.5,13.5
BRKG,257,F2,38.5,31,9
BRKG,258,F2,48,23.5,10
BRKG,259,F2,36.5,24,13.5
BRKG,26,F2,43.75,21,10.5
BRKG,260,F2,45.75,38,14.5
BRKG,261,F2,48.75,29.5,11.5
BRKG,262,F2,49.1,42,15.5
BRKG,263,F2,51.75,34.5,12.5
BRKG,264,F2,54,25,11.75
BRKG,265,F2,37,25.5,12.5
BRKG,266,F2,48.5,35.5,13
BRKG,267,F2,52.5,33,15.5
BRKG,268,F2,39,28.5,12.5
BRKG,269,F2,40.15,31.5,12
BRKG,27,F2,55.5,24,12.5
BRKG,270,F2,52.5,42.5,13.5
BRKG,271,F2,46,34,13.5
BRKG,272,F2,46.5,35.5,15.5
BRKG,274,F2,63.75,40,11
BRKG,275,F2,35.5,25,12
BRKG,277,F2,43,31,10.5
BRKG,278,F2,48.55,31,16.5
BRKG,279,F2,48.325,35,13.75
BRKG,28,F2,49.375,28,11.75
BRKG,280,F2,58.5,39,14.5
BRKG,281,F2,37,26.5,11.5
BRKG,282,F2,40.25,32.5,13
BRKG,283,F2,45,27.5,10.5
BRKG,284,F2,57,31,10.5
BRKG,285,F2,52.5,33.5,12.25
BRKG,286,F2,47.5,33,14
BRKG,288,F2,46,42,15
BRKG,289,F2,47.75,39.5,12.5
BRKG,29,F2,44.5,27,12
BRKG,290,F2,52,34,15
BRKG,291,F2,49,27.5,14
BRKG,292,F2,43.5,33.5,12
BRKG,293,F2,37.375,21.25,10.25
BRKG,294,F2,39.875,21.25,9.75
BRKG,296,F2,51.5,36.5,15
BRKG,297,F2,55.75,34,15.25
BRKG,299,F2,38.5,26.5,10.5
BRKG,3,F2,42.25,34.5,13
BRKG,300,F2,46.5,26.5,13
BRKG,301,F2,41.5,35,12.5
BRKG,302,F2,40,25,12.5
BRKG,303,F2,53.75,32,15
BRKG,304,F2,29,15,10.5
BRKG,305,F2,38.5,29,12
BRKG,306,F2,47,28.5,14.5
BRKG,307,F2,34.45,24.75,11
BRKG,308,F2,50.25,32,14
BRKG,31,F2,31.5,26.5,9.5
BRKG,310,F2,43.8,28.75,13.25
BRKG,311,F2,45,28,13.5
BRKG,312,F2,41,31,14.5
BRKG,313,F2,41.75,31.25,13.5
BRKG,314,F2,42.75,26.5,13
BRKG,315,F2,39.15,26,13.5
BRKG,316,F2,47,22.5,11
BRKG,317,F2,44.5,30.25,12.25
BRKG,318,F2,46.5,26.5,13.5
BRKG,319,F2,46.5,34,12.5
BRKG,32,F2,66.15,21.5,10
BRKG,320,F2,58.75,29.75,11.75
BRKG,321,F2,52.5,31.5,14.5
BRKG,322,F2,43.25,33.5,13
BRKG,323,F2,51,46.5,13.5
BRKG,324,F2,52.25,34.5,13
BRKG,325,F2,47.525,35.5,14.75
BRKG,326,F2,53,39,11
BRKG,328,F2,48.5,36,14.5
BRKG,33,F2,43.8,24.25,12
BRKG,330,F2,43.25,22.5,10
BRKG,332,F2,39,25,13
BRKG,333,F2,52.5,37.5,14
