Effect,solution,std.error,z.ratio
PLANT_ID_J664.F,-19.458597042880907,2.442946250315514,-7.965217016284238
PLANT_ID_J600.B,-4.590938321155533,2.442946250315514,-1.8792629271162224
PLANT_ID_AP13,6.131234779521335,0.6620140155977787,9.261487876484026
PLANT_ID_J194.A,19.418541190077146,2.442946250315514,7.94882048164964
PLANT_ID_J464.B,24.949180101878706,2.442946250315514,10.212742134075379
PLANT_ID_J341.A,-0.13389402164485106,2.442946250315514,-0.05480841898488689
PLANT_ID_J522.A,-11.422904035733932,2.442946250315514,-4.675872027171547
PLANT_ID_J500.C,5.917275611267438,2.442946250315514,2.422188212492683
PLANT_ID_J272.A,19.47333648187433,1.7897892898757441,10.880239697504427
PLANT_ID_J483.C,25.339578142711748,2.442946250315514,10.37254836836425
PLANT_ID_J279.A,17.56415049612014,2.442946250315514,7.189740868777474
PLANT_ID_J460.B,23.973184999796068,2.442946250315514,9.813226548353185
PLANT_ID_J482.C,15.807359312371409,2.442946250315514,6.470612814477534
PLANT_ID_J469.A,33.830735530830616,2.442946250315514,13.848333964147296
PLANT_ID_J477.B,4.323150277865816,2.442946250315514,1.7696460891464425
PLANT_ID_J177.A,15.547093951816043,2.442946250315514,6.364075324951618
PLANT_ID_J003.C,3.2820888356443407,2.442946250315514,1.343496131042772
PLANT_ID_J249.B,12.846840836054108,2.442946250315514,5.25874887112023
PLANT_ID_J189.A,5.364211720087286,2.442946250315514,2.195796047250111
PLANT_ID_J458.B,21.142799203756457,2.442946250315514,8.65463134975884
PLANT_ID_J359.A,3.1844893254360804,2.442946250315514,1.3035445724705543
PLANT_ID_J650.B,11.578047203346685,2.442946250315514,4.739378609681381
PLANT_ID_J073.A,21.403064564311812,2.442946250315514,8.761168839284753
PLANT_ID_J348.B,-14.87142006309255,2.442946250315514,-6.087493763389948
PLANT_ID_J013.B,9.627747451309913,1.7897892898757441,5.379263081844857
PLANT_ID_J431.B,4.062884917310446,2.442946250315514,1.6631085996205244
PLANT_ID_J403.B,-5.957331464071212,2.442946250315514,-2.438584747127287
PLANT_ID_J683.C,-15.424483954272707,2.442946250315514,-6.313885928632522
PLANT_ID_J538.B,-18.92116789818622,1.7897892898757441,-10.571729312057633
PLANT_ID_J352.C,-15.652216144758656,2.442946250315514,-6.4071062319677
PLANT_ID_J610.B,9.560990659042588,2.442946250315514,3.913713065855524
PLANT_ID_J365.B,1.1023664409931402,2.442946250315514,0.45124465626321747
PLANT_ID_J378.B,1.167432781131984,2.442946250315514,0.47787902864469756
PLANT_ID_J419.B,5.917275611267438,2.442946250315514,2.422188212492683
PLANT_ID_J660.B,6.535405842586443,2.442946250315514,2.6752147501167394
PLANT_ID_J354.B,-20.044194104130487,2.442946250315514,-8.204926367717553
PLANT_ID_J180.A,-5.24160172254395,2.442946250315514,-2.1456066509310143
PLANT_ID_J006.B,-12.106100607191772,2.442946250315514,-4.955532937177079
PLANT_ID_J477.A,19.451074360146556,2.442946250315514,7.962137667840374
PLANT_ID_J683.D,-16.302879546147075,2.442946250315514,-6.673449955782493
PLANT_ID_J201.A,-5.701554472045235,1.5056011556515385,-3.7868956533697173
PLANT_ID_J184.A,-1.6238739605377221,1.5056011556515385,-1.0785552033101369
PLANT_ID_J585.B,12.976973516331785,2.442946250315514,5.312017615883185
PLANT_ID_J685.A,-6.3802626749736815,2.442946250315514,-2.611708167606901
PLANT_ID_J673.C,0.2565040191881915,2.442946250315514,0.10499781530398518
PLANT_ID_J661.B,-15.717282484897494,2.442946250315514,-6.433740604349178
PLANT_ID_J610.A,30.609951693957953,2.442946250315514,12.529932531264075
PLANT_ID_J602.C,21.435597734381233,2.442946250315514,8.774486025475492
PLANT_ID_J513.A,-0.7194910828944349,2.442946250315514,-0.29451777041820315
PLANT_ID_J301.A,5.198878807126258,1.7897892898757441,2.904743500553179
PLANT_ID_J599.B,-9.113048960805044,2.442946250315514,-3.730351807629032
PLANT_ID_J433.A,-16.010081015522285,2.442946250315514,-6.553595280065836
PLANT_ID_J665.B,-14.773820552884285,2.442946250315514,-6.047542204817727
PLANT_ID_J683.A,-10.577041613928989,2.442946250315514,-4.329625186212317
PLANT_ID_J652.B,-0.5242920624779036,2.442946250315514,-0.21461465327376303
PLANT_ID_J670.C,-11.618103056150458,2.442946250315514,-4.755775144315985
PLANT_ID_J231.A,8.617528727029384,2.442946250315514,3.5275146663240764
PLANT_ID_J671.C,-4.395739300738997,2.442946250315514,-1.7993598099717805
PLANT_ID_J245.A,9.170592618209536,2.442946250315514,3.7539068315666486
PLANT_ID_J211.A,11.708179883624371,2.442946250315514,4.792647354444341
PLANT_ID_J351.C,-18.48260194079828,2.442946250315514,-7.565701430562049
PLANT_ID_J652.C,10.927383801958266,2.442946250315514,4.473034885866588
PLANT_ID_J682.C,-12.366365967747136,2.442946250315514,-5.062070426702995
PLANT_ID_J027.A,-5.697066103515842,2.442946250315514,-2.332047257601369
PLANT_ID_J205.A,3.6399537064079666,2.442946250315514,1.4899851791409062
