Effect,solution,std.error,z.ratio
PLANT_ID_J600.B,0.6027549854549034,1.1113795303103708,0.5423484678421009
PLANT_ID_AP13,3.741789167257468,0.24664214735216267,15.170923572583218
PLANT_ID_J194.A,4.639879727845429,1.1113795303103708,4.174883198136344
PLANT_ID_J522.A,-0.6394372429729523,1.1113795303103708,-0.5753545260945908
PLANT_ID_J272.A,2.2317726038701626,0.8133185580980583,2.7440325585206766
PLANT_ID_J483.C,7.434812241808104,1.1113795303103708,6.6897149344939
PLANT_ID_J279.A,-0.9499853000799148,1.1113795303103708,-0.8547802745787624
PLANT_ID_J482.C,6.192620013380249,1.1113795303103708,5.572011940557209
PLANT_ID_J477.B,4.6398797278454325,1.1113795303103708,4.174883198136347
PLANT_ID_J003.C,0.6027549854549034,1.1113795303103708,0.5423484678421009
PLANT_ID_J249.B,3.7082355565245417,1.1113795303103708,3.336605952683829
PLANT_ID_J458.B,2.7765913852036506,1.1113795303103708,2.498328707231311
PLANT_ID_J359.A,-0.6394372429729523,1.1113795303103708,-0.5753545260945908
PLANT_ID_J073.A,4.639879727845431,1.1113795303103708,4.174883198136346
PLANT_ID_J348.B,-5.60820615668437,1.1113795303103708,-5.046166501841354
PLANT_ID_J431.B,-0.01834112875902345,1.1113795303103708,-0.01650302912624402
PLANT_ID_J538.B,-3.0735967993993802,0.8133185580980583,-3.779081110096605
PLANT_ID_J352.C,-1.881629471400806,1.1113795303103708,-1.6930575200312807
PLANT_ID_J610.B,5.882071956273286,1.1113795303103708,5.2925861920730375
PLANT_ID_J365.B,-2.8132736427216973,1.1113795303103708,-2.531334765483799
PLANT_ID_J378.B,-0.3288891858659879,1.1113795303103708,-0.2959287776104174
PLANT_ID_J419.B,7.434812241808104,1.1113795303103708,6.6897149344939
PLANT_ID_J660.B,-1.881629471400806,1.1113795303103708,-1.6930575200312807
PLANT_ID_J354.B,-2.8132736427216973,1.1113795303103708,-2.531334765483799
PLANT_ID_J006.B,-1.5710814142938416,1.1113795303103708,-1.4136317715471074
PLANT_ID_J477.A,3.0871394423106127,1.1113795303103708,2.7777544557154825
PLANT_ID_J201.A,-0.9953436605725386,0.6790835115036514,-1.4657161361032203
PLANT_ID_J184.A,-0.12767538565352526,0.6790835115036514,-0.18801131744580543
PLANT_ID_J673.C,1.8449472138827592,1.1113795303103708,1.6600514617787927
PLANT_ID_J661.B,3.0871394423106127,1.1113795303103708,2.7777544557154825
PLANT_ID_J602.C,6.192620013380249,1.1113795303103708,5.572011940557209
PLANT_ID_J513.A,-1.260533357186877,1.1113795303103708,-1.1342060230629338
PLANT_ID_J301.A,1.427928754889926,0.8133185580980583,1.7556820026695699
PLANT_ID_J599.B,-2.5027255856147326,1.1113795303103708,-2.251909016999625
PLANT_ID_J433.A,-3.1238216998286608,1.1113795303103708,-2.8107605139679714
PLANT_ID_J665.B,-2.8132736427216973,1.1113795303103708,-2.531334765483799
PLANT_ID_J671.C,2.466043328096686,1.1113795303103708,2.2189029587471376
PLANT_ID_J245.A,2.4660433280966836,1.1113795303103708,2.2189029587471354
PLANT_ID_J211.A,8.055908356022032,1.1113795303103708,7.248566431462246
PLANT_ID_J652.C,5.2609758420593575,1.1113795303103708,4.73373469510469
PLANT_ID_J205.A,5.571523899166322,1.1113795303103708,5.0131604435888635
PLANT_ID_J466.B,7.745360298915069,1.1113795303103708,6.969140682978074
PLANT_ID_J422.B,-1.260533357186877,1.1113795303103708,-1.1342060230629338
PLANT_ID_J430.B,-1.881629471400806,1.1113795303103708,-1.6930575200312807
PLANT_ID_J521.A,-1.5710814142938416,1.1113795303103708,-1.4136317715471074
PLANT_ID_J192.A,1.8449472138827592,1.1113795303103708,1.6600514617787927
PLANT_ID_J650.C,8.055908356022032,1.1113795303103708,7.248566431462246
PLANT_ID_J609.C,6.192620013380249,1.1113795303103708,5.572011940557209
PLANT_ID_J491.B,-2.591290490011239,0.8133185580980583,-3.1860707765859417
PLANT_ID_J202.A,-2.2968460729510545,0.6790835115036514,-3.382273364089336
PLANT_ID_J365.A,-2.5027255856147326,1.1113795303103708,-2.251909016999625
PLANT_ID_J581.C,-6.53985032800526,1.1113795303103708,-5.88444374729387
PLANT_ID_J368.A,-2.8132736427216973,1.1113795303103708,-2.531334765483799
PLANT_ID_J592.C,0.6027549854549034,1.1113795303103708,0.5423484678421009
PLANT_ID_J020.C,2.466043328096686,1.1113795303103708,2.2189029587471376
PLANT_ID_J026.C,5.882071956273286,1.1113795303103708,5.2925861920730375
PLANT_ID_J006.C,0.2922069283479389,1.1113795303103708,0.2629227193579275
PLANT_ID_J251.A,2.7765913852036506,1.1113795303103708,2.498328707231311
PLANT_ID_J249.C,3.0871394423106127,1.1113795303103708,2.7777544557154825
PLANT_ID_J517.A,-2.1921775285077696,1.1113795303103708,-1.9724832685154534
PLANT_ID_J016.A,3.0871394423106127,1.1113795303103708,2.7777544557154825
PLANT_ID_J394.A,-2.813273642721696,1.1113795303103708,-2.531334765483798
PLANT_ID_J676.C,2.7765913852036506,1.1113795303103708,2.498328707231311
PLANT_ID_J029.A,-1.260533357186879,1.1113795303103708,-1.1342060230629356
PLANT_ID_J601.B,4.018783613631504,1.1113795303103708,3.6160317011680005
PLANT_ID_J390.B,-2.5027255856147326,1.1113795303103708,-2.251909016999625
PLANT_ID_J433.B,-4.366013928256515,1.1113795303103708,-3.9284635079046617
PLANT_ID_J678.C,-0.3288891858659879,1.1113795303103708,-0.2959287776104174
PLANT_ID_J306.C,3.397687499417575,1.1113795303103708,3.0571802041996543
PLANT_ID_J358.A,-2.1921775285077696,1.1113795303103708,-1.9724832685154534
PLANT_ID_J354.C,-4.987110042470442,1.1113795303103708,-4.487315004873007
PLANT_ID_J614.A,11.47193698419863,1.1113795303103708,10.322249664788144
PLANT_ID_J662.E,7.12426418470114,1.1113795303103708,6.410289186009727
PLANT_ID_J516.B,-4.366013928256515,1.1113795303103708,-3.9284635079046617
PLANT_ID_J504.A,11.47193698419863,1.1113795303103708,10.322249664788144
PLANT_ID_J223.A,2.466043328096686,1.1113795303103708,2.2189029587471376
PLANT_ID_J024.A,-2.502725585614734,1.1113795303103708,-2.2519090169996265
PLANT_ID_J073.B,4.639879727845431,1.1113795303103708,4.174883198136346
PLANT_ID_J591.A,2.5533101434622543,0.8133185580980583,3.1393727808611156
PLANT_ID_J669.B,-1.260533357186879,1.1113795303103708,-1.1342060230629356
PLANT_ID_J430.A,-1.5710814142938425,1.1113795303103708,-1.413631771547108
PLANT_ID_J658.B,-0.01834112875902345,1.1113795303103708,-0.01650302912624402
PLANT_ID_J587.C,7.434812241808102,1.1113795303103708,6.689714934493899
PLANT_ID_J004.B,2.7765913852036506,1.1113795303103708,2.498328707231311
PLANT_ID_J009.C,3.7082355565245395,1.1113795303103708,3.3366059526838274
PLANT_ID_J426.A,-1.5710814142938416,1.1113795303103708,-1.4136317715471074
PLANT_ID_J170.A,-3.1238216998286594,1.1113795303103708,-2.8107605139679706
PLANT_ID_J605.B,-0.6394372429729523,1.1113795303103708,-0.5753545260945908
PLANT_ID_J645.C,-2.8132736427216973,1.1113795303103708,-2.531334765483799
PLANT_ID_J658.A,-2.502725585614734,1.1113795303103708,-2.2519090169996265
PLANT_ID_J352.B,-4.676561985363478,1.1113795303103708,-4.207889256388834
PLANT_ID_J322.A,5.5715238991663245,1.1113795303103708,5.013160443588866
PLANT_ID_J534.C,-0.3288891858659879,1.1113795303103708,-0.2959287776104174
PLANT_ID_J603.A,-1.260533357186877,1.1113795303103708,-1.1342060230629338
PLANT_ID_J086.A,2.4660433280966836,1.1113795303103708,2.2189029587471354
PLANT_ID_J665.D,-0.9499853000799148,1.1113795303103708,-0.8547802745787624
PLANT_ID_J582.C,0.6027549854549055,1.1113795303103708,0.5423484678421028
PLANT_ID_J538.A,-1.5710814142938425,1.1113795303103708,-1.413631771547108
PLANT_ID_J664.C,-0.6394372429729502,1.1113795303103708,-0.5753545260945889
PLANT_ID_J003.E,2.466043328096686,1.1113795303103708,2.2189029587471376
PLANT_ID_J621.A,2.466043328096686,1.1113795303103708,2.2189029587471376
PLANT_ID_J665.C,-0.6394372429729523,1.1113795303103708,-0.5753545260945908
PLANT_ID_J657.C,-3.434369756935624,1.1113795303103708,-3.090186262452144
PLANT_ID_J028.C,9.298100584449886,1.1113795303103708,8.366269425398936
PLANT_ID_J271.A,5.2609758420593575,1.1113795303103708,4.73373469510469
PLANT_ID_J319.A,1.8449472138827592,1.1113795303103708,1.6600514617787927
PLANT_ID_J614.C,4.639879727845431,1.1113795303103708,4.174883198136346
PLANT_ID_J613.A,-0.3288891858659879,1.1113795303103708,-0.2959287776104174
PLANT_ID_J246.A,0.6027549854549034,1.1113795303103708,0.5423484678421009
PLANT_ID_J306.B,2.7765913852036483,1.1113795303103708,2.498328707231309
PLANT_ID_J484.B,3.0871394423106127,1.1113795303103708,2.7777544557154825
PLANT_ID_J308.A,1.2238510996688323,1.1113795303103708,1.1011999648104478
PLANT_ID_J172.A,-3.7449178140425876,1.1113795303103708,-3.3696120109363163
PLANT_ID_J425.A,0.9133030425618678,1.1113795303103708,0.8217742163262742
PLANT_ID_J599.C,0.6027549854549055,1.1113795303103708,0.5423484678421028
PLANT_ID_J595.B,2.4660433280966836,1.1113795303103708,2.2189029587471354
PLANT_ID_J621.C,-2.8132736427216973,1.1113795303103708,-2.531334765483799
PLANT_ID_J517.B,-0.6394372429729523,1.1113795303103708,-0.5753545260945908
PLANT_ID_J385.B,-0.9499853000799148,1.1113795303103708,-0.8547802745787624
PLANT_ID_J483.B,-4.676561985363478,1.1113795303103708,-4.207889256388834
PLANT_ID_J323.A,0.6027549854549034,1.1113795303103708,0.5423484678421009
PLANT_ID_J001.B,3.397687499417579,1.1113795303103708,3.057180204199658
PLANT_ID_J601.A,2.7765913852036483,1.1113795303103708,2.498328707231309
PLANT_ID_J448.B,-2.1921775285077696,1.1113795303103708,-1.9724832685154534
PLANT_ID_J656.B,-0.01834112875902345,1.1113795303103708,-0.01650302912624402
PLANT_ID_J594.C,4.329331670738468,1.1113795303103708,3.895457449652174
PLANT_ID_J612.B,-6.53985032800526,1.1113795303103708,-5.88444374729387
PLANT_ID_J516.A,-4.987110042470442,1.1113795303103708,-4.487315004873007
PLANT_ID_J619.A,-4.987110042470442,1.1113795303103708,-4.487315004873007
PLANT_ID_J022.D,1.8449472138827592,1.1113795303103708,1.6600514617787927
PLANT_ID_J585.C,-0.6394372429729523,1.1113795303103708,-0.5753545260945908
PLANT_ID_J027.B,-3.1238216998286608,1.1113795303103708,-2.8107605139679714
PLANT_ID_J542.A,-3.1238216998286608,1.1113795303103708,-2.8107605139679714
PLANT_ID_J612.A,-5.297658099577407,1.1113795303103708,-4.766740753357181
PLANT_ID_J349.B,-2.8132736427216973,1.1113795303103708,-2.531334765483799
PLANT_ID_J516.C,-1.260533357186879,1.1113795303103708,-1.1342060230629356
PLANT_ID_J685.C,1.22385109966883,1.1113795303103708,1.1011999648104458
PLANT_ID_J517.C,-4.676561985363478,1.1113795303103708,-4.207889256388834
PLANT_ID_J003.D,2.4660433280966836,1.1113795303103708,2.2189029587471354
PLANT_ID_J664.E,-2.8132736427216973,1.1113795303103708,-2.531334765483799
PLANT_ID_J586.A,9.608648641556847,1.1113795303103708,8.645695173883107
PLANT_ID_J006.A,-2.5027255856147326,1.1113795303103708,-2.251909016999625
PLANT_ID_J235.A,3.397687499417575,1.1113795303103708,3.0571802041996543
PLANT_ID_J384.B,-1.260533357186879,1.1113795303103708,-1.1342060230629356
PLANT_ID_J295.A,7.434812241808104,1.1113795303103708,6.6897149344939
PLANT_ID_J316.A,4.329331670738466,1.1113795303103708,3.8954574496521723
PLANT_ID_J662.B,-2.502725585614734,1.1113795303103708,-2.2519090169996265
PLANT_ID_J368.B,-5.918754213791334,1.1113795303103708,-5.325592250325526
PLANT_ID_J613.C,1.8449472138827592,1.1113795303103708,1.6600514617787927
PLANT_ID_J432.B,-4.676561985363478,1.1113795303103708,-4.207889256388834
PLANT_ID_J626.A,-4.987110042470442,1.1113795303103708,-4.487315004873007
PLANT_ID_J349.A,-5.967434655728219,0.8133185580980583,-7.337143111160573
PLANT_ID_J535.A,4.950427784952395,1.1113795303103708,4.454308946620519
PLANT_ID_J665.H,-2.5027255856147326,1.1113795303103708,-2.251909016999625
PLANT_ID_J037.A,-5.297658099577405,1.1113795303103708,-4.76674075335718
PLANT_ID_J434.A,-4.987110042470442,1.1113795303103708,-4.487315004873007
PLANT_ID_J595.C,1.8449472138827592,1.1113795303103708,1.6600514617787927
PLANT_ID_J609.B,1.8449472138827592,1.1113795303103708,1.6600514617787927
PLANT_ID_J530.A,-1.881629471400806,1.1113795303103708,-1.6930575200312807
PLANT_ID_J673.D,1.8449472138827592,1.1113795303103708,1.6600514617787927
PLANT_ID_J317.A,3.397687499417579,1.1113795303103708,3.057180204199658
PLANT_ID_J527.A,-5.918754213791334,1.1113795303103708,-5.325592250325526
PLANT_ID_J613.B,0.6027549854549034,1.1113795303103708,0.5423484678421009
