Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_full)_J181.A",3.818142326303796,11.098739607599244,0.3440158487626411
"vm(PLANT_ID, k_full)_J250.C",-9.468484708896822,5.0598034173789594,-1.8713147385084803
"vm(PLANT_ID, k_full)_J251.C",10.254826102232933,10.43043408309208,0.9831638856580465
"vm(PLANT_ID, k_full)_J352.A",-1.239430346397352,5.0513136144749895,-0.24536792624509668
"vm(PLANT_ID, k_full)_J001.A",25.698438795419193,5.0645635984053765,5.074166469843636
"vm(PLANT_ID, k_full)_J208.B",-3.5387867023523842,5.055711674951943,-0.6999581720383653
"vm(PLANT_ID, k_full)_J008.C",-0.11217625957860793,5.067333490839249,-0.022137137763164935
"vm(PLANT_ID, k_full)_J344.C",-15.52699714537917,5.047743426938625,-3.07602741108338
"vm(PLANT_ID, k_full)_J004.B",13.348265364929695,5.056404425939126,2.639872969110955
"vm(PLANT_ID, k_full)_J301.A",23.76834812766498,5.044279258331328,4.711941371685211
"vm(PLANT_ID, k_full)_J013.C",-17.164959805092423,5.056988601082159,-3.3943046265556633
"vm(PLANT_ID, k_full)_J018.C",6.550165307145442,5.047637847158914,1.297669425874567
"vm(PLANT_ID, k_full)_J384.C",-23.6310782876489,5.041776435748734,-4.68705397567664
"vm(PLANT_ID, k_full)_J488.C",-4.603728488302422,10.284379141043544,-0.44764282074447975
"vm(PLANT_ID, k_full)_J022.C",17.279365936048723,5.056644194519482,3.417160723860408
"vm(PLANT_ID, k_full)_J428.B",-10.214823694810129,10.324510495207562,-0.9893760773986963
"vm(PLANT_ID, k_full)_J065.A",17.880947033991873,4.615088879140661,3.8744534508989443
"vm(PLANT_ID, k_full)_J584.A",7.493273862979586,5.054214625797071,1.4825792764583805
"vm(PLANT_ID, k_full)_J311.A",18.178304481428516,5.0603665250419105,3.592290082441797
"vm(PLANT_ID, k_full)_J016.B",14.60339531005937,5.049619239820224,2.8919794971668553
"vm(PLANT_ID, k_full)_J352.B",-1.7837147094853145,5.042183370586229,-0.3537583975804377
"vm(PLANT_ID, k_full)_J001.B",9.115961383058815,5.06446593379121,1.7999847372326376
"vm(PLANT_ID, k_full)_J208.C",13.340771905221354,5.067232682156823,2.632752972287622
"vm(PLANT_ID, k_full)_J008.D",9.480417230272344,10.355720542407692,0.9154763486953038
"vm(PLANT_ID, k_full)_J005.B",19.631743134660066,5.060118280443563,3.879700443077227
"vm(PLANT_ID, k_full)_J065.B",-9.679015288046392,5.054281165291025,-1.9150132276998237
"vm(PLANT_ID, k_full)_J584.B",17.90779478558538,5.057904065403344,3.5405564348435936
"vm(PLANT_ID, k_full)_J020.B",10.095512467387143,9.374801117266166,1.0768775082378652
"vm(PLANT_ID, k_full)_J386.B",-7.6216946298157655,9.400505430731107,-0.8107749828961061
"vm(PLANT_ID, k_full)_J525.B",-10.356729487157294,10.97806610614265,-0.9434019969475593
"vm(PLANT_ID, k_full)_J022.D",8.259223201808911,5.036943311732409,1.6397292347068781
"vm(PLANT_ID, k_full)_J430.A",-11.769333362407744,5.049933154196188,-2.3305919114252323
"vm(PLANT_ID, k_full)_J348.A",6.000934381323166,5.036226933576863,1.1915536095711918
"vm(PLANT_ID, k_full)_J005.D",10.327028925534366,5.056659944382753,2.042262884813178
"vm(PLANT_ID, k_full)_J316.A",8.758957064191526,5.058234595701503,1.7316233358640392
"vm(PLANT_ID, k_full)_J016.C",-7.000767392276129,4.61451344667214,-1.5171192961470055
"vm(PLANT_ID, k_full)_J352.C",-2.750281403717226,5.052760580906191,-0.5443126306261625
"vm(PLANT_ID, k_full)_J003.B",5.509568199853222,4.618184763924673,1.193015975214258
"vm(PLANT_ID, k_full)_J258.A",-11.692097846983131,5.053909822370869,-2.313475755983747
"vm(PLANT_ID, k_full)_J009.C",2.1922724282210924,5.043146422778058,0.4347033071099017
"vm(PLANT_ID, k_full)_J023.B",3.5553371787888506,5.04445533964772,0.7048010021706601
"vm(PLANT_ID, k_full)_J430.B",4.8473975163499885,5.058297189524088,0.9583061917336767
"vm(PLANT_ID, k_full)_J073.A",18.329277038160726,5.057785101684975,3.6239730770796137
"vm(PLANT_ID, k_full)_J585.A",8.774459085924251,5.063568344094567,1.7328607988786295
"vm(PLANT_ID, k_full)_J020.C",19.662006936312185,5.052293305611828,3.8916994218195207
"vm(PLANT_ID, k_full)_J394.B",-11.366895159380913,5.041343353950586,-2.2547353674042827
"vm(PLANT_ID, k_full)_J538.C",-11.824236348374377,5.0598130068366824,-2.3368919626867215
"vm(PLANT_ID, k_full)_J348.C",-6.265356574666011,5.036765226445907,-1.2439246804217308
"vm(PLANT_ID, k_full)_J006.B",-9.333420237552295,5.062619252662754,-1.8435951375650568
"vm(PLANT_ID, k_full)_J320.A",-8.44432430573719,5.05562033174922,-1.670284505485303
"vm(PLANT_ID, k_full)_J016.D",-0.851482213616995,5.037409365524786,-0.16903176848091828
"vm(PLANT_ID, k_full)_J353.C",-4.089588958578122,5.043049775451731,-0.810935671998557
"vm(PLANT_ID, k_full)_J003.D",2.861199085647085,5.0092458141024245,0.571183605642193
"vm(PLANT_ID, k_full)_J030.C",12.710818759727031,9.523925023800759,1.334619784171134
"vm(PLANT_ID, k_full)_J086.A",6.857347576858958,5.0449488042102235,1.3592501813172437
"vm(PLANT_ID, k_full)_J585.C",13.642126850252035,5.062959265967123,2.6944966636317833
"vm(PLANT_ID, k_full)_J396.A",-5.768587536531843,5.050644916897135,-1.1421487020861043
"vm(PLANT_ID, k_full)_J354.C",-10.890302606757283,5.051814857580108,-2.1557208476111684
"vm(PLANT_ID, k_full)_J003.E",11.748986492944141,5.037443710249508,2.332331072809587
"vm(PLANT_ID, k_full)_J296.A",10.194496281036887,10.199009278162965,0.9995575063221346
"vm(PLANT_ID, k_full)_J350.B",-9.264914723635394,5.05616852372843,-1.8323983229901177
"vm(PLANT_ID, k_full)_J006.C",-6.152236022794296,5.062697468945535,-1.2152090976267027
"vm(PLANT_ID, k_full)_J336.A",6.467745167554705,11.202776139528016,0.577334143519465
"vm(PLANT_ID, k_full)_J016.E",3.678434613439038,5.046346648218849,0.7289302281160912
"vm(PLANT_ID, k_full)_J021.C",10.453911377308449,5.065909971829456,2.0635801732444174
"vm(PLANT_ID, k_full)_J026.B",6.715516591695948,11.198142012273937,0.5996991808404714
"vm(PLANT_ID, k_full)_J458.C",19.834881242458042,5.057925494382216,3.9215447646448003
"vm(PLANT_ID, k_full)_J586.A",5.509805495994681,5.067591963582593,1.0872630502988367
"vm(PLANT_ID, k_full)_J018.B",14.750717536959925,5.049999154323747,2.920934654876237
"vm(PLANT_ID, k_full)_J003.F",35.73776964522946,5.062897729880519,7.058757958769364
"vm(PLANT_ID, k_full)_J299.A",20.701847662404646,5.059484807480225,4.091690844055481
"vm(PLANT_ID, k_full)_J013.B",3.2421206647812424,9.859506514914099,0.32883194101824575
"vm(PLANT_ID, k_full)_J350.C",5.391188867032073,5.038127975590063,1.0700777934091006
"vm(PLANT_ID, k_full)_J008.B",2.5656225357179037,5.0547332560903255,0.5075683336260419
"vm(PLANT_ID, k_full)_J204.A",4.9174879780565135,5.0741223881723645,0.9691307386512865
"vm(PLANT_ID, k_full)_J461.C",5.812118739123698,5.056190666407032,1.149505452343599
"vm(PLANT_ID, k_full)_J022.B",28.28259578874089,4.616803760818256,6.126012118766824
"vm(PLANT_ID, k_full)_J425.A",-0.4072451449538716,5.0637432439445575,-0.0804237350384763
"vm(PLANT_ID, k_full)_J045.C",-17.402106451779638,5.051726733065643,-3.44478380785636
"vm(PLANT_ID, k_full)_J026.C",-13.364848686231998,5.061036052682685,-2.6407337444568766
"vm(PLANT_ID, k_full)_J587.A",-6.644919995716497,4.926604176904239,-1.3487830069376523
"vm(PLANT_ID, k_full)_J537.C",-8.535072852877418,10.946273492505325,-0.7797240639676322
"vm(PLANT_ID, k_full)_J596.C",6.889789513127999,5.057977204783966,1.3621630217335614
"vm(PLANT_ID, k_full)_J601.A",-2.4363065343660635,5.060282521950249,-0.48145662298458053
"vm(PLANT_ID, k_full)_J597.A",11.759220245152925,5.059108485263345,2.324366097190109
"vm(PLANT_ID, k_full)_J601.B",-1.096369661317286,5.062192757423842,-0.21657999089612506
"vm(PLANT_ID, k_full)_J597.B",7.910832316745024,5.055209228039968,1.5648872202688737
"vm(PLANT_ID, k_full)_J602.A",8.509975586703355,5.064617436121983,1.6802800397140183
"vm(PLANT_ID, k_full)_J597.C",2.5100842215932935,5.060120260895325,0.4960522857512413
"vm(PLANT_ID, k_full)_J602.B",31.29034800771814,5.0633048676532315,6.179826975779312
"vm(PLANT_ID, k_full)_J598.A",-4.641601100533325,5.04695878711779,-0.919682782506739
"vm(PLANT_ID, k_full)_J598.B",-14.281124327497162,5.0660964636444765,-2.818960205353754
"vm(PLANT_ID, k_full)_J599.B",4.088061655136284,5.059987855845364,0.8079192621803828
"vm(PLANT_ID, k_full)_J599.C",4.640260410445283,5.060750943203796,0.9169114351846933
