Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_full)_J181.A",0.8459806111521199,2.7460240447134936,0.3080747281804611
"vm(PLANT_ID, k_full)_J250.C",1.0633878057540167,2.691207590398687,0.39513406901341336
"vm(PLANT_ID, k_full)_J251.C",1.7276271233630365,2.6808909367420846,0.6444227550198336
"vm(PLANT_ID, k_full)_J352.A",0.14644632375568536,2.7950404036805176,0.05239506504551576
"vm(PLANT_ID, k_full)_J001.A",4.916270906888268,1.475458706290479,3.3320288029263114
"vm(PLANT_ID, k_full)_J208.B",3.719237413276485,1.47508535322674,2.5213709872046906
"vm(PLANT_ID, k_full)_J008.C",0.9236581650556193,2.699531779631526,0.3421549514715083
"vm(PLANT_ID, k_full)_J344.C",0.09118264836162036,2.7190359283350602,0.03353491853910661
"vm(PLANT_ID, k_full)_J004.B",1.6800390782347476,2.679967751917412,0.6268877963299169
"vm(PLANT_ID, k_full)_J301.A",2.2501151132282935,2.715815120128641,0.8285229346251344
"vm(PLANT_ID, k_full)_J013.C",2.44448953110793,2.8939312390658483,0.8446950978341156
"vm(PLANT_ID, k_full)_J018.C",2.3159619035315497,2.696933539420054,0.8587389602598705
"vm(PLANT_ID, k_full)_J384.C",0.17920535769292908,2.6833096388885234,0.06678519507989368
"vm(PLANT_ID, k_full)_J488.C",0.09747318383794785,2.6670652893515974,0.03654698076838044
"vm(PLANT_ID, k_full)_J022.C",1.6387229018838214,2.6862660034135537,0.610037464570309
"vm(PLANT_ID, k_full)_J428.B",-1.6473500715515532,1.4912156180541611,-1.104702801933584
"vm(PLANT_ID, k_full)_J065.A",2.065906172761133,2.7001086134962566,0.7651196557186187
"vm(PLANT_ID, k_full)_J584.A",1.236780532883012,2.589405115096241,0.47763114611637125
"vm(PLANT_ID, k_full)_J311.A",1.0817980382421808,2.700599012788525,0.4005770694277051
"vm(PLANT_ID, k_full)_J016.B",2.4352510202677102,2.7867974814433376,0.8738528854297821
"vm(PLANT_ID, k_full)_J352.B",0.20907644263620576,2.6849745416359974,0.07786905961082677
"vm(PLANT_ID, k_full)_J001.B",1.8965307026553229,2.606366208103449,0.7276531965304116
"vm(PLANT_ID, k_full)_J208.C",0.8874089799988866,1.4764157863684026,0.6010562798042691
"vm(PLANT_ID, k_full)_J008.D",2.507635713163857,2.7011777892927973,0.9283490050539723
"vm(PLANT_ID, k_full)_J005.B",1.3996116062900068,2.680686823771563,0.5221093317871569
"vm(PLANT_ID, k_full)_J065.B",2.046176062680403,2.7173798896492602,0.7529959541080246
"vm(PLANT_ID, k_full)_J584.B",1.3244025019857977,2.6248869389886167,0.5045560181331457
"vm(PLANT_ID, k_full)_J020.B",2.3585411504046876,2.7062176002445555,0.8715267945162839
"vm(PLANT_ID, k_full)_J386.B",0.12466760548655034,2.664113214005457,0.04679516051763969
"vm(PLANT_ID, k_full)_J525.B",-4.059040691718747,1.4956292175846375,-2.7139351411400505
"vm(PLANT_ID, k_full)_J022.D",1.5985749114835377,2.6965988698174135,0.5928115335862976
"vm(PLANT_ID, k_full)_J430.A",-2.839560018685929,1.4951581346735847,-1.899170363879836
"vm(PLANT_ID, k_full)_J348.A",0.20151825868694276,2.708027525722917,0.07441514414929988
"vm(PLANT_ID, k_full)_J005.D",2.0406413668249934,2.643929114039589,0.7718215121536114
"vm(PLANT_ID, k_full)_J316.A",1.6612571954824655,2.7197969294154682,0.6108019233037
"vm(PLANT_ID, k_full)_J016.C",2.44105684207082,2.796290961068324,0.8729623905583177
"vm(PLANT_ID, k_full)_J352.C",0.16645225423604193,2.7766714385873263,0.0599466872179616
