Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_full)_J181.A",-0.7529836202606122,1.5827874473998358,-0.4757326206355724
"vm(PLANT_ID, k_full)_J250.C",1.3238457293155814,2.913121804004308,0.4544422850757063
"vm(PLANT_ID, k_full)_J251.C",2.115324937204488,2.9017169921416635,0.7289907812971227
"vm(PLANT_ID, k_full)_J352.A",-0.1006107484812735,3.0287469258874795,-0.033218605232853075
"vm(PLANT_ID, k_full)_J001.A",8.119530960122008,1.5640282343000937,5.191422240376317
"vm(PLANT_ID, k_full)_J208.B",7.804422179282538,1.5635450000954219,4.991491884663531
"vm(PLANT_ID, k_full)_J008.C",1.7084475601116156,1.579964896333825,1.081319948358298
"vm(PLANT_ID, k_full)_J344.C",-0.1336313036212768,2.946260803806486,-0.045356237115407066
"vm(PLANT_ID, k_full)_J004.B",2.0398349807897653,2.9007604110027443,0.7032069842971377
"vm(PLANT_ID, k_full)_J301.A",2.749688800659333,2.9384917450263375,0.9357483495788033
"vm(PLANT_ID, k_full)_J013.C",3.004074414229365,3.13021911097753,0.9597010010239279
"vm(PLANT_ID, k_full)_J018.C",2.909500334208442,2.915306641812809,0.9980083372633637
"vm(PLANT_ID, k_full)_J384.C",-0.058192836667748174,2.907465489174752,-0.020014970731179853
"vm(PLANT_ID, k_full)_J488.C",-0.09491196632862968,2.8896605355725447,-0.032845368914526926
"vm(PLANT_ID, k_full)_J022.C",2.041080084694813,2.907964487749346,0.7018930572548124
"vm(PLANT_ID, k_full)_J428.B",-1.1885019528408425,1.578572776807257,-0.7528965216571437
"vm(PLANT_ID, k_full)_J065.A",2.6403140481144565,2.921511551973992,0.90374930961011
"vm(PLANT_ID, k_full)_J584.A",2.4904236139675464,1.580504066036761,1.5757147782684802
"vm(PLANT_ID, k_full)_J311.A",1.4196249428965027,2.9229736468048637,0.4856783243490105
"vm(PLANT_ID, k_full)_J016.B",2.914069274800622,3.0137094691022246,0.9669376908016003
"vm(PLANT_ID, k_full)_J352.B",0.027248068787244683,2.909354298739405,0.009365675675544572
"vm(PLANT_ID, k_full)_J001.B",2.983513738177056,2.811117055261736,1.061326753573863
"vm(PLANT_ID, k_full)_J208.C",1.4797805601977694,1.5648240316359603,0.9456530129146333
"vm(PLANT_ID, k_full)_J008.D",3.1453169296506327,2.9216929418755084,1.0765391819824757
"vm(PLANT_ID, k_full)_J005.B",2.0364882599197474,2.904884862685575,0.7010564467043997
"vm(PLANT_ID, k_full)_J065.B",2.3910623000786866,2.9403563073295746,0.8131879439639219
"vm(PLANT_ID, k_full)_J584.B",3.108785251136283,1.4411878972189056,2.1570991937521677
"vm(PLANT_ID, k_full)_J020.B",2.860442481841094,2.9265466836712073,0.9774122168633276
"vm(PLANT_ID, k_full)_J386.B",-0.13718019265681755,2.886647691262363,-0.047522319080381834
"vm(PLANT_ID, k_full)_J525.B",-4.1001007316317875,1.5827202274317431,-2.59054042563477
"vm(PLANT_ID, k_full)_J022.D",1.8365916015547574,2.9182195040905365,0.6293534804288587
"vm(PLANT_ID, k_full)_J430.A",-2.3527430201023476,1.5797388651597903,-1.4893240091705713
"vm(PLANT_ID, k_full)_J348.A",-0.01916244650316737,2.934375015651428,-0.006530333171785586
"vm(PLANT_ID, k_full)_J005.D",2.4636263485027428,2.8611717063317106,0.8610550506461361
"vm(PLANT_ID, k_full)_J316.A",2.0750282258580324,2.944444732451378,0.7047264983406503
"vm(PLANT_ID, k_full)_J016.C",2.9930596163511596,3.0237196448878865,0.9898601616097038
"vm(PLANT_ID, k_full)_J352.C",-0.030716972911152066,3.00879601552321,-0.01020905795962063
"vm(PLANT_ID, k_full)_J003.B",3.8179739182471604,1.5759397535065245,2.4226648955025256
"vm(PLANT_ID, k_full)_J258.A",-0.1529338395077972,3.0250503943968665,-0.05055579893514108
"vm(PLANT_ID, k_full)_J009.C",1.9570110025437335,2.909713865973454,0.6725785052026102
"vm(PLANT_ID, k_full)_J023.B",3.1065612206399673,3.0157364070079655,1.0301169602956488
"vm(PLANT_ID, k_full)_J430.B",-2.6803712479975665,1.5804429318302442,-1.6959620584930213
"vm(PLANT_ID, k_full)_J073.A",2.0844263540056964,2.912732951620803,0.7156256301648966
"vm(PLANT_ID, k_full)_J585.A",-1.5835115111595561,1.5855058875275765,-0.9987421198598446
"vm(PLANT_ID, k_full)_J020.C",2.744818698643379,2.9056791231712404,0.9446393019638386
"vm(PLANT_ID, k_full)_J394.B",-0.12200147515841854,3.019600716348965,-0.04040318128746902
"vm(PLANT_ID, k_full)_J538.C",-4.5147185615664185,1.580129291261053,-2.857183008083699
"vm(PLANT_ID, k_full)_J348.C",-0.02218834355440743,2.9170953250084435,-0.007606314186644965
"vm(PLANT_ID, k_full)_J006.B",-1.8004188375255277,1.571371170082768,-1.145762931001652
"vm(PLANT_ID, k_full)_J320.A",2.0040988173886283,2.9143934587918996,0.6876555433319512
"vm(PLANT_ID, k_full)_J016.D",2.9910217801503394,2.7938950162071374,1.0705562531160573
"vm(PLANT_ID, k_full)_J353.C",-0.12065636519533286,2.952823402316399,-0.04086135496646419
"vm(PLANT_ID, k_full)_J003.D",2.7255646216191773,2.8389879356157244,0.9600479760503288
"vm(PLANT_ID, k_full)_J030.C",2.880602307667915,2.9447642168923056,0.9782115291756355
"vm(PLANT_ID, k_full)_J086.A",4.371667401084362,2.6568106385138828,1.6454569014861005
"vm(PLANT_ID, k_full)_J585.C",-0.730312506425853,1.5854835866647754,-0.4606244508416129
"vm(PLANT_ID, k_full)_J396.A",-0.1495808659515624,2.986219870529872,-0.050090372590354815
"vm(PLANT_ID, k_full)_J354.C",-0.0789519125379577,2.991001684253456,-0.026396478796254452
"vm(PLANT_ID, k_full)_J003.E",2.712870219823093,2.962928277382503,0.915604417606654
"vm(PLANT_ID, k_full)_J296.A",2.837205469614481,2.9433522270546026,0.9639367804965897
