Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_full)_J181.A",-0.527503867877179,3.565639302824907,-0.14794089448679223
"vm(PLANT_ID, k_full)_J250.C",6.017460132763253,1.8909680512523928,3.1822114227566534
"vm(PLANT_ID, k_full)_J251.C",0.8393201185771634,1.8899083333136688,0.4441062583736759
"vm(PLANT_ID, k_full)_J352.A",-0.10209605225676685,3.6114971372877656,-0.028269730910943206
"vm(PLANT_ID, k_full)_J001.A",-0.2720378646226959,3.348957673678755,-0.08123060699177737
"vm(PLANT_ID, k_full)_J208.B",-0.9183176921682547,3.164706375241451,-0.2901746902501158
"vm(PLANT_ID, k_full)_J008.C",-0.4689639316038163,3.5052174950190604,-0.13379025189455931
"vm(PLANT_ID, k_full)_J344.C",-0.1324472107171874,3.5158467544550005,-0.03767149707232287
"vm(PLANT_ID, k_full)_J004.B",-0.19748589596002214,1.8909359414711404,-0.1044381735144232
"vm(PLANT_ID, k_full)_J301.A",-1.5905593739129085,1.7109495877619878,-0.9296354406288755
"vm(PLANT_ID, k_full)_J013.C",1.1255355886772056,1.8940049292288148,0.5942622277839011
"vm(PLANT_ID, k_full)_J018.C",-1.770265806282433,1.880426737755619,-0.9414170574894779
"vm(PLANT_ID, k_full)_J384.C",-0.1597209709252801,3.465643783776742,-0.04608695552409646
"vm(PLANT_ID, k_full)_J488.C",-0.06294137432737354,3.441483291167668,-0.01828902510987291
"vm(PLANT_ID, k_full)_J022.C",4.515750735620986,1.8915999971205597,2.387265141940671
"vm(PLANT_ID, k_full)_J428.B",-0.161065145375554,3.4930381156166357,-0.04611033147776594
"vm(PLANT_ID, k_full)_J065.A",-0.35247042096075315,1.8885137269427195,-0.18663905691136337
"vm(PLANT_ID, k_full)_J584.A",-0.4079283597817146,3.6123576428020243,-0.11292579531668237
"vm(PLANT_ID, k_full)_J311.A",0.8068231053326977,1.8935127032708692,0.42609859650742504
"vm(PLANT_ID, k_full)_J016.B",1.4457999190821351,1.8858721784214134,0.7666478861215055
"vm(PLANT_ID, k_full)_J352.B",-0.06244543691333087,3.473541380341191,-0.01797745588025703
"vm(PLANT_ID, k_full)_J001.B",0.13408454057693453,1.8636684365283596,0.07194656407161519
"vm(PLANT_ID, k_full)_J208.C",-1.0084009366239715,3.382041930866173,-0.29816334546914103
"vm(PLANT_ID, k_full)_J008.D",0.8185583540429474,1.8893582706989323,0.4332467625317761
"vm(PLANT_ID, k_full)_J005.B",-1.9283866894343347,1.8821061690823215,-1.024589750096074
"vm(PLANT_ID, k_full)_J065.B",0.8562657897408472,1.8903608460431494,0.4529642007414399
"vm(PLANT_ID, k_full)_J584.B",-0.3490644976274719,3.5954661612086194,-0.0970846288009935
"vm(PLANT_ID, k_full)_J020.B",2.681719261759139,1.8807984775445739,1.4258408297204632
