Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_full)_J181.A",-0.6108812694325728,1.5214937306616407,-0.4015010099101252
"vm(PLANT_ID, k_full)_J250.C",9.06920675937475,1.518296556699468,5.973277565148236
"vm(PLANT_ID, k_full)_J251.C",3.917444581606298,1.5139947371395786,2.587488903037805
"vm(PLANT_ID, k_full)_J352.A",-4.190607795469963,2.7696938021072306,-1.51302205040921
"vm(PLANT_ID, k_full)_J001.A",8.23047679712961,1.5218583313694451,5.408175404686592
"vm(PLANT_ID, k_full)_J208.B",7.63062221684726,1.5153673076454464,5.035493492797861
"vm(PLANT_ID, k_full)_J008.C",1.8399310102497217,1.5192798002826016,1.211054744430536
"vm(PLANT_ID, k_full)_J344.C",-5.375292204448547,1.5098549151801939,-3.5601382294450667
"vm(PLANT_ID, k_full)_J004.B",2.8718690276419445,1.5158750330981796,1.8945288793182071
"vm(PLANT_ID, k_full)_J301.A",1.4732625033295097,1.3332377376053657,1.105026104328282
"vm(PLANT_ID, k_full)_J013.C",4.1949380749779275,1.5161007815930956,2.76692560673305
"vm(PLANT_ID, k_full)_J018.C",1.2922739816214004,1.5036268902840348,0.8594379296963026
"vm(PLANT_ID, k_full)_J384.C",0.3139311277933504,1.5060827265577397,0.20844215411119055
"vm(PLANT_ID, k_full)_J488.C",-1.595976441083097,1.510498935427545,-1.0565889214819986
"vm(PLANT_ID, k_full)_J022.C",7.604982763946237,1.5161803065166701,5.015882828222595
"vm(PLANT_ID, k_full)_J428.B",-1.0407732908342042,1.5129723613237247,-0.6878997379196103
"vm(PLANT_ID, k_full)_J065.A",2.7394139473634813,1.511948748443362,1.8118431264180517
"vm(PLANT_ID, k_full)_J584.A",2.604707630122833,1.5152102210124392,1.719040430167115
"vm(PLANT_ID, k_full)_J311.A",3.8812986576110244,1.5190729100794385,2.5550443509706557
"vm(PLANT_ID, k_full)_J016.B",4.504299905068319,1.5104792066475343,2.9820337050951427
"vm(PLANT_ID, k_full)_J352.B",-5.092737760522386,1.5078113953075907,-3.3775694867218307
"vm(PLANT_ID, k_full)_J001.B",3.260562263829134,1.5219310003260589,2.1423850773330657
"vm(PLANT_ID, k_full)_J208.C",1.4441482965046988,1.5238291416642034,0.9477101185553627
"vm(PLANT_ID, k_full)_J008.D",3.9610684948525425,1.5127160299587106,2.6185142593885646
"vm(PLANT_ID, k_full)_J005.B",1.1063523415104795,1.5191731852799035,0.7282595244772155
"vm(PLANT_ID, k_full)_J065.B",3.9265880404082814,1.5144154112370698,2.592807766794183
"vm(PLANT_ID, k_full)_J584.B",3.2305318194826023,1.339387442605744,2.4119472205874093
"vm(PLANT_ID, k_full)_J020.B",5.654862943333151,1.4979965914080167,3.7749504743652036
"vm(PLANT_ID, k_full)_J386.B",-3.8205139196813933,1.4979534184256746,-2.5504891358348734
"vm(PLANT_ID, k_full)_J525.B",-3.982430707231613,1.520436626908052,-2.619267805544946
"vm(PLANT_ID, k_full)_J022.D",1.9650667276922125,1.5037768946366346,1.3067541699176337
"vm(PLANT_ID, k_full)_J430.A",-2.239689494510703,1.5124127794565723,-1.4808718393105946
"vm(PLANT_ID, k_full)_J348.A",-6.464742568055177,1.5023952155015297,-4.302957371903715
"vm(PLANT_ID, k_full)_J005.D",5.607515464632418,1.5165539365025846,3.6975377727509273
"vm(PLANT_ID, k_full)_J316.A",4.282074622440297,1.517207352952245,2.822339750798109
"vm(PLANT_ID, k_full)_J016.C",4.541142102608023,1.5107433406962365,3.0058991360605347
"vm(PLANT_ID, k_full)_J352.C",-2.6758041680641895,1.5135667723001671,-1.7678798299712741
"vm(PLANT_ID, k_full)_J003.B",3.8454344855434606,1.5203304492084044,2.5293412281163454
"vm(PLANT_ID, k_full)_J258.A",-6.29344559038657,1.514515675556777,-4.155417927960983
"vm(PLANT_ID, k_full)_J009.C",3.6127370974162445,1.50714645582476,2.397071023492031
"vm(PLANT_ID, k_full)_J023.B",6.33486912824681,1.5076421045849997,4.201838824334621
"vm(PLANT_ID, k_full)_J430.B",-2.547016140311786,1.5179761234325293,-1.677902636934984
"vm(PLANT_ID, k_full)_J073.A",4.533426506249622,1.5169931091126594,2.9884292018316265
"vm(PLANT_ID, k_full)_J585.A",-1.4388096670600354,1.5216528635164355,-0.9455570988346481
"vm(PLANT_ID, k_full)_J020.C",2.548822829859339,1.5128698284870663,1.6847601702839625
"vm(PLANT_ID, k_full)_J394.B",-4.0350112582147375,1.5059175813330576,-2.6794369813007255
"vm(PLANT_ID, k_full)_J538.C",-4.347763407258749,1.5191104264799016,-2.8620456626931534
"vm(PLANT_ID, k_full)_J348.C",-3.616602833534676,1.5025778404346246,-2.4069320977664383
"vm(PLANT_ID, k_full)_J006.B",-1.786478550798607,1.521007695094535,-1.1745361687256763
"vm(PLANT_ID, k_full)_J320.A",3.7111669079783125,1.3385970752031664,2.772430163434391
"vm(PLANT_ID, k_full)_J016.D",-0.002202812456421314,1.503842396558809,-0.0014647894363544573
"vm(PLANT_ID, k_full)_J353.C",-2.7483384771216146,1.506810977107963,-1.8239437586236116
"vm(PLANT_ID, k_full)_J003.D",2.2980430231446913,1.4860488642547611,1.5464114797444009
"vm(PLANT_ID, k_full)_J030.C",2.998295018246428,1.4994690819195184,1.999571084458917
"vm(PLANT_ID, k_full)_J086.A",2.861583988070072,1.5018327218325993,1.9053946198337237
