Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_full)_J181.A",1.291385064282491,3.1667276710134,0.4077979537372813
"vm(PLANT_ID, k_full)_J250.C",1.2297599108660768,1.6476432980641424,0.7463750875635234
"vm(PLANT_ID, k_full)_J251.C",2.969988669261949,2.8675576042521946,1.0357206651604358
"vm(PLANT_ID, k_full)_J352.A",-2.892836775590023,2.7930759038160975,-1.0357172075551635
"vm(PLANT_ID, k_full)_J001.A",3.7536392972377866,1.6534928755594704,2.270127287949588
"vm(PLANT_ID, k_full)_J208.B",0.32177970411883117,1.6447660961870691,0.19563858038221213
"vm(PLANT_ID, k_full)_J008.C",1.5653198102193544,3.113380739224072,0.5027717267273482
"vm(PLANT_ID, k_full)_J344.C",-4.983634504661676,1.6339078405160594,-3.0501319481321705
"vm(PLANT_ID, k_full)_J004.B",3.7059542237902714,1.6442698337873658,2.253860131493186
"vm(PLANT_ID, k_full)_J301.A",4.403172863236709,1.6314051130248173,2.6990064136017744
"vm(PLANT_ID, k_full)_J013.C",-1.7513725536025333,1.6452829478607576,-1.0644810704929
"vm(PLANT_ID, k_full)_J018.C",3.804760817642968,1.6354063844221065,2.3264925793887206
"vm(PLANT_ID, k_full)_J384.C",-1.9497187845005661,1.6280122363697256,-1.1976069595448546
"vm(PLANT_ID, k_full)_J488.C",-2.1696609573496373,2.784997723341416,-0.77905304523786
"vm(PLANT_ID, k_full)_J022.C",3.785515091863344,1.6442521625351822,2.302271621176806
"vm(PLANT_ID, k_full)_J428.B",-1.940888525467886,2.806965865607957,-0.6914542671317849
"vm(PLANT_ID, k_full)_J065.A",1.5086290804019027,1.428736659172292,1.0559182272791225
"vm(PLANT_ID, k_full)_J584.A",1.431519835666937,2.948550290750838,0.48549954876381146
"vm(PLANT_ID, k_full)_J311.A",4.3085375069559415,1.6485127007672555,2.6135907263260085
"vm(PLANT_ID, k_full)_J016.B",3.3377237320343665,1.6366626454802762,2.0393474130124822
"vm(PLANT_ID, k_full)_J352.B",-2.9515446767779663,1.630537081311531,-1.8101671594023951
"vm(PLANT_ID, k_full)_J001.B",5.2722145890312735,1.6539012064794485,3.187744569250235
"vm(PLANT_ID, k_full)_J208.C",2.0511548629014666,1.6566522106362547,1.238132451538334
"vm(PLANT_ID, k_full)_J008.D",2.8238384356379984,2.802679715383335,1.0075494606602844
"vm(PLANT_ID, k_full)_J005.B",7.507890661875873,1.6492371458150012,4.5523414755284985
"vm(PLANT_ID, k_full)_J065.B",4.605024171898112,1.6417690880221794,2.804915871236029
"vm(PLANT_ID, k_full)_J584.B",1.6208428768817746,2.9948962804682844,0.541201672809964
"vm(PLANT_ID, k_full)_J020.B",3.660739906627821,2.571574038586839,1.4235405443117293
"vm(PLANT_ID, k_full)_J386.B",-2.554407060714656,2.559517703140285,-0.9980032791258451
"vm(PLANT_ID, k_full)_J525.B",-2.589577034181673,2.9615840844866033,-0.8743891648210897
"vm(PLANT_ID, k_full)_J022.D",0.899118389116972,1.6261484784907507,0.5529128496011971
"vm(PLANT_ID, k_full)_J430.A",-2.287746078217291,1.6427393416116882,-1.3926409505556665
"vm(PLANT_ID, k_full)_J348.A",-4.756997118206048,1.622307543387668,-2.932241261895749
"vm(PLANT_ID, k_full)_J005.D",2.9895148328386725,1.645086954921635,1.8172381854314081
"vm(PLANT_ID, k_full)_J316.A",5.43072939074991,1.6472650224650065,3.2968158230077864
"vm(PLANT_ID, k_full)_J016.C",2.6777112006244455,1.428253826677355,1.8748146517162072
"vm(PLANT_ID, k_full)_J352.C",-2.2176870659282346,1.6397925938037776,-1.3524192475976078
"vm(PLANT_ID, k_full)_J003.B",2.072379820595554,2.9558091954481154,0.7011209735009201
"vm(PLANT_ID, k_full)_J258.A",-3.2596788949054427,1.6415076205330907,-1.9857835895070897
"vm(PLANT_ID, k_full)_J009.C",2.7375053279493398,1.6306012934083176,1.6788318143838508
"vm(PLANT_ID, k_full)_J023.B",0.8559804662859295,1.6308465237969287,0.524868805124004
"vm(PLANT_ID, k_full)_J430.B",-2.4020408464131107,1.6469115393025393,-1.4585123663839077
"vm(PLANT_ID, k_full)_J073.A",4.212725081651306,1.6456104331746857,2.559977134760979
"vm(PLANT_ID, k_full)_J585.A",-2.9279193008148185,1.652783274223198,-1.7715083075189817
"vm(PLANT_ID, k_full)_J020.C",1.734512986724108,1.638884686318475,1.0583496210587267
"vm(PLANT_ID, k_full)_J394.B",-4.456821932528409,1.6282260681817036,-2.7372255116302715
"vm(PLANT_ID, k_full)_J538.C",-3.2426962228173717,1.6489981913792817,-1.966464390179266
"vm(PLANT_ID, k_full)_J348.C",-3.8289888258764373,1.6225892807747344,-2.359801627709643
"vm(PLANT_ID, k_full)_J006.B",-1.1763461498281131,1.6517552591568776,-0.712179448684527
"vm(PLANT_ID, k_full)_J320.A",3.4538879981408352,2.8535506204793757,1.2103825926033887
"vm(PLANT_ID, k_full)_J016.D",1.2912296313950624,1.6266517349894516,0.7937959943241543
"vm(PLANT_ID, k_full)_J353.C",-2.257577212765021,1.628986058998132,-1.385878780419698
"vm(PLANT_ID, k_full)_J003.D",2.9478071812167044,1.5980878294324539,1.8445839627372613
"vm(PLANT_ID, k_full)_J030.C",3.295073742617851,2.5955702935654594,1.2694989424044856
"vm(PLANT_ID, k_full)_J086.A",2.9065932192930366,1.6334054428547573,1.779468307766311
"vm(PLANT_ID, k_full)_J585.C",3.4063987689191246,1.652258659404416,2.061661925347099
"vm(PLANT_ID, k_full)_J396.A",-4.563229632028988,1.6374677388413006,-2.78676002206798
"vm(PLANT_ID, k_full)_J354.C",-2.967270408864692,1.638521502117112,-1.8109438326141714
"vm(PLANT_ID, k_full)_J003.E",3.405664135111863,1.6244883141328756,2.0964534527475185
"vm(PLANT_ID, k_full)_J296.A",3.167234667208186,2.85856911141415,1.1079790425781721
"vm(PLANT_ID, k_full)_J350.B",-3.093041993710706,1.6444885046832811,-1.880853520655292
"vm(PLANT_ID, k_full)_J006.C",0.33551386086960716,1.652179893269962,0.20307344390056986
"vm(PLANT_ID, k_full)_J336.A",2.9129439410678506,3.039856835013834,0.9582503713713854
"vm(PLANT_ID, k_full)_J016.E",5.2648414277899676,1.6329211362644511,3.224185976203402
"vm(PLANT_ID, k_full)_J021.C",2.972770631772398,1.6587053694600886,1.7922234331103901
"vm(PLANT_ID, k_full)_J026.B",1.6906754149775212,3.022592509690952,0.5593461273912791
"vm(PLANT_ID, k_full)_J458.C",2.883483425396388,2.930782517641736,0.9838612752871859
"vm(PLANT_ID, k_full)_J586.A",7.184954329513612,1.6576396683476948,4.33444883511713
"vm(PLANT_ID, k_full)_J018.B",0.7220379431936012,1.6367006257053047,0.4411545592722266
"vm(PLANT_ID, k_full)_J003.F",11.756977091899163,1.6520746633533647,7.116492585168619
"vm(PLANT_ID, k_full)_J299.A",1.651004099211257,1.647198560367479,1.0023103097193873
"vm(PLANT_ID, k_full)_J013.B",2.451865580860985,2.669870544505955,0.9183462418829335
"vm(PLANT_ID, k_full)_J350.C",-3.6015539632064986,1.6244350361435183,-2.2171117238130678
"vm(PLANT_ID, k_full)_J008.B",3.524771804652071,1.6420305530850003,2.146593312791793
"vm(PLANT_ID, k_full)_J204.A",2.321773902159112,1.6651488084981614,1.3943341822123256
"vm(PLANT_ID, k_full)_J461.C",3.7178776043989687,2.985428191744747,1.2453414939537242
"vm(PLANT_ID, k_full)_J022.B",3.848489486102113,1.4310755915359095,2.689228653513475
"vm(PLANT_ID, k_full)_J425.A",1.0959877338914326,1.6527289055982017,0.663138237722503
"vm(PLANT_ID, k_full)_J045.C",-3.9940699927788432,1.638879238426183,-2.437074007121081
"vm(PLANT_ID, k_full)_J026.C",-5.667222669808163,1.6505277142062293,-3.4335822543480528
"vm(PLANT_ID, k_full)_J587.A",0.8430496148803098,1.6338905611415293,0.5159767948541836
"vm(PLANT_ID, k_full)_J537.C",-2.4138959495775887,2.9561123418407935,-0.8165778801472874
"vm(PLANT_ID, k_full)_J596.C",0.8666167109825411,1.646338326560636,0.5263904125909462
"vm(PLANT_ID, k_full)_J601.A",-1.527779892560668,1.648979350575739,-0.9265003179252945
"vm(PLANT_ID, k_full)_J597.A",-1.7702960869177378,1.6474442209745728,-1.0745711838853578
