Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_full)_J181.A",0.8431869906856787,2.750910180878859,0.30651200338947376
"vm(PLANT_ID, k_full)_J250.C",0.7744637265720744,2.6894432761151523,0.28796432832402846
"vm(PLANT_ID, k_full)_J251.C",1.3199677193632149,2.683135105382195,0.4919497779725834
"vm(PLANT_ID, k_full)_J352.A",0.1861403580946308,2.789369757728088,0.06673204854928955
"vm(PLANT_ID, k_full)_J001.A",5.168650056331799,1.464604779435251,3.529040823098243
"vm(PLANT_ID, k_full)_J208.B",4.000130086144369,1.464376147604077,2.7316274528843825
"vm(PLANT_ID, k_full)_J008.C",0.8787652245970154,2.70377678344752,0.32501396933977783
"vm(PLANT_ID, k_full)_J344.C",0.14043380388559726,2.7134950526671147,0.051753845560751556
"vm(PLANT_ID, k_full)_J004.B",1.2883027608415756,2.682023359179065,0.4803473304706449
"vm(PLANT_ID, k_full)_J301.A",1.6326843125841093,2.724143173332371,0.599338657588577
"vm(PLANT_ID, k_full)_J013.C",1.770982654987315,2.902669633636659,0.6101220181810733
"vm(PLANT_ID, k_full)_J018.C",1.7214435445798104,2.7027961055272347,0.6369121004205415
"vm(PLANT_ID, k_full)_J384.C",0.19735667387744485,2.678057729844971,0.07369395800473261
"vm(PLANT_ID, k_full)_J488.C",0.13982665929241955,2.6618589457091697,0.052529702792033964
"vm(PLANT_ID, k_full)_J022.C",1.2082095543070006,2.6885784296874418,0.4493860178917897
"vm(PLANT_ID, k_full)_J428.B",-1.9611822163242263,2.4982837232892066,-0.7850118055214963
"vm(PLANT_ID, k_full)_J065.A",1.5115365476470253,2.7077436543616527,0.558227343719274
"vm(PLANT_ID, k_full)_J584.A",1.436565697130718,2.5878307015192177,0.5551235234543606
"vm(PLANT_ID, k_full)_J311.A",0.8126921893187427,2.698493697963715,0.30116512405865564
"vm(PLANT_ID, k_full)_J016.B",1.6812355318806613,2.798607049603498,0.6007401189526969
"vm(PLANT_ID, k_full)_J352.B",0.21237531768773102,2.6797262891024416,0.0792526156687685
"vm(PLANT_ID, k_full)_J001.B",1.7833836858914462,2.6015086438220223,0.6855190314768193
"vm(PLANT_ID, k_full)_J208.C",1.1453075760713787,1.4666684364077847,0.7808905868844535
"vm(PLANT_ID, k_full)_J008.D",1.7407307872792563,2.7120883336140778,0.6418414790198191
"vm(PLANT_ID, k_full)_J005.B",1.2910225466682457,2.676311474083937,0.48238875002773884
"vm(PLANT_ID, k_full)_J065.B",1.5392110167813755,2.721708755495105,0.5655311258685275
"vm(PLANT_ID, k_full)_J584.B",1.3829740570026914,2.6228721278145377,0.5272746781426323
"vm(PLANT_ID, k_full)_J020.B",1.7185432304589998,2.7138802633195964,0.6332420975555095
"vm(PLANT_ID, k_full)_J386.B",0.17795876682580244,2.6586989783766466,0.06693453011158895
"vm(PLANT_ID, k_full)_J525.B",-2.9895670122621794,2.6052031157541307,-1.1475370170501222
"vm(PLANT_ID, k_full)_J022.D",1.2075980178633685,2.6977483937189985,0.44763181795416673
"vm(PLANT_ID, k_full)_J430.A",-2.5375059805638993,1.4853851353922822,-1.7083151837881814
"vm(PLANT_ID, k_full)_J348.A",0.2085376706509185,2.7025036329842678,0.07716462176246498
"vm(PLANT_ID, k_full)_J005.D",1.6119769703356153,2.6435691479631416,0.6097729547107313
"vm(PLANT_ID, k_full)_J316.A",1.2383820619596584,2.7211826714910563,0.45508964720883444
