Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_full)_J181.A",3.2823375597298354,8.007807573535748,0.4098921620665967
"vm(PLANT_ID, k_full)_J250.C",1.402557161432187,7.834056994048418,0.17903331090107188
"vm(PLANT_ID, k_full)_J251.C",2.0562778800205797,7.811567108537861,0.2632350015623774
"vm(PLANT_ID, k_full)_J352.A",-0.18208710134647568,8.120655488694565,-0.02242270979232824
"vm(PLANT_ID, k_full)_J001.A",6.103854458414871,3.6593771780050046,1.6680036414673522
"vm(PLANT_ID, k_full)_J208.B",-1.5982307488453598,3.6593925860988055,-0.43674755064998283
"vm(PLANT_ID, k_full)_J008.C",3.3355918083260545,7.870711583621581,0.4237979975364865
"vm(PLANT_ID, k_full)_J344.C",-0.2815446857215053,7.898962642659702,-0.03564324816539516
"vm(PLANT_ID, k_full)_J004.B",1.8153093918307075,7.8083213059112255,0.23248395150650913
"vm(PLANT_ID, k_full)_J301.A",2.7208267996277713,7.924767344512783,0.3433320728982295
"vm(PLANT_ID, k_full)_J013.C",3.0166609031370384,8.443199356421584,0.3572888399043519
"vm(PLANT_ID, k_full)_J018.C",2.666623375667106,7.861559389721866,0.33919776516010625
"vm(PLANT_ID, k_full)_J384.C",-0.18707513241912752,7.796603192744013,-0.023994440629379582
"vm(PLANT_ID, k_full)_J488.C",-0.34143494235591304,7.750341136128912,-0.044054182436471516
"vm(PLANT_ID, k_full)_J022.C",1.9722896753261308,7.828093770528379,0.25195018521003304
"vm(PLANT_ID, k_full)_J428.B",2.906064302365667,7.224387944529204,0.4022575095190362
"vm(PLANT_ID, k_full)_J065.A",2.554101596139389,7.8785205680991925,0.32418543228549357
"vm(PLANT_ID, k_full)_J584.A",8.362957044345604,7.474385880564165,1.1188821634285717
"vm(PLANT_ID, k_full)_J311.A",1.4062163078536039,7.860604148831083,0.1788941767361121
"vm(PLANT_ID, k_full)_J016.B",2.7432736359895404,8.13960531024318,0.3370278448928357
