Effect,solution,std.error,z.ratio
SITE_PKLE,-1.0071172842558178e-6,9.912845208708307e-4,-0.0010159719667276537
SITE_CLMB,3.567271369101267e-7,9.91284522749099e-4,3.5986351922536456e-4
SITE_KBSM,6.503901478940687e-7,9.912845224933115e-4,6.561084462997425e-4
"vm(PLANT_ID, k_full)_J181.A",-0.18982585215064968,1.754276692942142,-0.10820747543096404
"vm(PLANT_ID, k_full)_J250.C",6.1867488434317215,1.39008150017958,4.450637493292642
"vm(PLANT_ID, k_full)_J251.C",1.30151718025752,1.5017363562745565,0.8666748825914213
"vm(PLANT_ID, k_full)_J352.A",-3.392464592028408,1.5275034411967747,-2.220921079804878
"vm(PLANT_ID, k_full)_J001.A",4.557910853646131,1.3681966004657236,3.331327421873913
"vm(PLANT_ID, k_full)_J208.B",3.0963286633093716,1.365880146165368,2.2669109526206532
"vm(PLANT_ID, k_full)_J008.C",0.42936646199316936,1.535425015557895,0.27964013718843805
"vm(PLANT_ID, k_full)_J344.C",-3.7505438013426198,1.3992378827539884,-2.680418996347338
"vm(PLANT_ID, k_full)_J004.B",1.3291505415021363,1.3933381575797017,0.9539324924617995
"vm(PLANT_ID, k_full)_J301.A",3.3768724852124348,1.3968789660652017,2.417441000435834
"vm(PLANT_ID, k_full)_J013.C",1.2348703838276154,1.476799877820989,0.8361799065487875
"vm(PLANT_ID, k_full)_J018.C",2.3516529784128015,1.4086625199658442,1.6694225515915777
"vm(PLANT_ID, k_full)_J384.C",-1.7019475011563308,1.3864519033303835,-1.2275561071163725
"vm(PLANT_ID, k_full)_J488.C",-0.9376804744641039,1.4868310581565427,-0.630657040233403
"vm(PLANT_ID, k_full)_J022.C",4.286446989112842,1.3944647273282447,3.0739013365548185
"vm(PLANT_ID, k_full)_J428.B",-0.8583316199455641,1.5021616342511437,-0.5713976448170032
"vm(PLANT_ID, k_full)_J065.A",1.3719535340266449,1.3905887329947706,0.9865990579917954
"vm(PLANT_ID, k_full)_J584.A",1.888315589565425,1.545436361560219,1.2218656403677775
