Effect,solution,std.error,z.ratio
SITE_PKLE,-2.9151236218794327,2.5306629130965033,-1.151920947982956
SITE_CLMB,0.4843676908889752,2.5306746510903224,0.19139864173385107
SITE_KBSM,2.43075593078605,2.5306599655258455,0.9605225371639226
"vm(PLANT_ID, k_full)_J181.A",4.406112997278217,8.36632087171882,0.526648817901841
"vm(PLANT_ID, k_full)_J250.C",4.203607817812823,4.704545955771942,0.8935204071405605
"vm(PLANT_ID, k_full)_J251.C",10.030122198510389,7.689414720167889,1.304406455305794
"vm(PLANT_ID, k_full)_J352.A",-6.234443133782188,7.589330007134508,-0.8214747715439136
"vm(PLANT_ID, k_full)_J001.A",16.47220688522147,4.628981902070939,3.5584945531655774
"vm(PLANT_ID, k_full)_J208.B",-3.5559512981732313,4.624730157865082,-0.7688991955835036
"vm(PLANT_ID, k_full)_J008.C",4.91206714486815,8.22411613696047,0.5972759945342392
"vm(PLANT_ID, k_full)_J344.C",-12.249434123720693,4.739554496396653,-2.5845117158234148
"vm(PLANT_ID, k_full)_J004.B",6.547999135917721,4.7166988947829305,1.388258882321355
"vm(PLANT_ID, k_full)_J301.A",14.058101955909391,4.761438223823699,2.9524906751010946
"vm(PLANT_ID, k_full)_J013.C",-3.644726018422787,4.998503530744998,-0.7291634378178707
"vm(PLANT_ID, k_full)_J018.C",1.029825855514723,4.774835597364513,0.2156777619910388
"vm(PLANT_ID, k_full)_J384.C",-8.894561320795834,4.698257136270504,-1.8931618816964908
"vm(PLANT_ID, k_full)_J488.C",-3.256992406240653,7.494736662018049,-0.434570626443287
"vm(PLANT_ID, k_full)_J022.C",15.534706368623127,4.720359874747722,3.2910004281089638
"vm(PLANT_ID, k_full)_J428.B",-9.487152078168096,7.513170186632578,-1.2627362142079017
"vm(PLANT_ID, k_full)_J065.A",13.12566437407552,4.735774817128559,2.7715980765390364
"vm(PLANT_ID, k_full)_J584.A",4.6629905734775985,7.862960387596562,0.5930324386261998
"vm(PLANT_ID, k_full)_J311.A",14.496645504878801,4.713530704389256,3.0755385748053947
"vm(PLANT_ID, k_full)_J016.B",5.5775691447747215,4.884068131938271,1.1419924935734322
"vm(PLANT_ID, k_full)_J352.B",-0.8746413298399625,4.70218147137248,-0.18600756588508924
"vm(PLANT_ID, k_full)_J001.B",7.483095999319023,4.6388262303023176,1.6131442799984643
"vm(PLANT_ID, k_full)_J208.C",10.761674420658627,4.645962562575412,2.316349793118667
"vm(PLANT_ID, k_full)_J008.D",8.805119973972715,7.588183934906752,1.160372501445027
"vm(PLANT_ID, k_full)_J005.B",15.593164636772913,4.706823094463985,3.3128852144694148
"vm(PLANT_ID, k_full)_J065.B",-1.3587557047114565,4.778670527794271,-0.2843375990892237
"vm(PLANT_ID, k_full)_J584.B",5.194833787648985,7.966391477461471,0.6520937117321209
"vm(PLANT_ID, k_full)_J020.B",6.215206131023839,7.027350532588653,0.8844309248843396
"vm(PLANT_ID, k_full)_J386.B",-5.9422925663762864,6.97992593203108,-0.851340347195797
"vm(PLANT_ID, k_full)_J525.B",-9.328221674994527,7.863880666839409,-1.1862109905011637
"vm(PLANT_ID, k_full)_J022.D",7.232341576228027,4.72594198011117,1.5303492100971368
"vm(PLANT_ID, k_full)_J430.A",-12.727295630727518,4.695925972729432,-2.710284554023747
"vm(PLANT_ID, k_full)_J348.A",-6.7295547095457735,4.727199230119889,-1.4235817831978919
"vm(PLANT_ID, k_full)_J005.D",10.551140172971257,4.685030935745094,2.2520961585269093
"vm(PLANT_ID, k_full)_J316.A",8.971634967937783,4.756018575216959,1.886375090014975
"vm(PLANT_ID, k_full)_J016.C",0.3767681010255607,4.868542030175402,0.07738828147941174
"vm(PLANT_ID, k_full)_J352.C",-7.902813923704425,4.801185022832297,-1.6460132001000092
"vm(PLANT_ID, k_full)_J003.B",4.72595297336063,7.813468144941643,0.6048470264027584
"vm(PLANT_ID, k_full)_J258.A",-14.98276400442156,4.818190742210073,-3.1096245055564284
"vm(PLANT_ID, k_full)_J009.C",3.633494186616361,4.715669838910961,0.7705149662164392
"vm(PLANT_ID, k_full)_J023.B",6.96069027605728,4.894690390438043,1.4220900038243978
"vm(PLANT_ID, k_full)_J430.B",1.3128157966620377,4.704396158038098,0.27906148899023187
"vm(PLANT_ID, k_full)_J073.A",16.141204392756613,4.730097505396564,3.4124464399182313
"vm(PLANT_ID, k_full)_J585.A",8.228045001658817,4.70312081913743,1.7494862067285508
"vm(PLANT_ID, k_full)_J020.C",16.278287647662978,4.763945707861759,3.4169758947503404
"vm(PLANT_ID, k_full)_J394.B",-7.3992737732175415,4.810952509035053,-1.538005989317412
"vm(PLANT_ID, k_full)_J538.C",-12.573703870812869,4.694200569211317,-2.6785612769258824
"vm(PLANT_ID, k_full)_J348.C",-5.133461224478624,4.710460909662033,-1.0898001963988149
"vm(PLANT_ID, k_full)_J006.B",-8.021704078062797,4.6274289571584015,-1.7335120976095422
"vm(PLANT_ID, k_full)_J320.A",11.258531710177134,7.655047895528677,1.4707330200707507
"vm(PLANT_ID, k_full)_J016.D",4.015521183605158,4.661563186859271,0.8614108664073727
"vm(PLANT_ID, k_full)_J353.C",-3.6938512916793047,4.744663885302473,-0.7785274955137989
"vm(PLANT_ID, k_full)_J003.D",8.345478985927247,4.697307494522514,1.7766516234372205
