QTL x environment interactions for panicle traits in switchgrass (Panicum virgatum),,,,,,,,,
Theoretical and Applied Genetics,,,,,,,,,
"Li Zhang1*, Xiaoyu Weng1, Kathrine D. Behrman1, Jason Bonnette1, John L. Reilley2, Francis M. Rouquette Jr3, Philip A. Fay4, Yanqi Wu5, Felix B. Fritschi6, Robert B. Mitchell7, David B. Lowry8, Arvid R. Boe9, Thomas E. Juenger1*",,,,,,,,,
"1Department of Integrative Biology, University of Texas at Austin, Austin TX 78712",,,,,,,,,
* corresponding authors. Email: lz5943@utexas.edu or tjuenger@austin.utexas.edu,,,,,,,,,
,,,,,,,,,
SITE,PLANT_ID,ECOTYPE,SUBPOP,PL,PBN,SBN,,Column Names,Explanation
PKLE,J600.B,Coastal,Atlantic,-3.10563411764638,-0.795041861762605,0.588074748035889,,SITE,Abbreviation distinguishing the three field sites with measured panicle traits for the diversity panel
CLMB,J600.B,Coastal,Atlantic,-0.555305265526395,1.0543575879186,0.28128755325631,,PLANT_ID,Genotypes in the diversity panel population
KBSM,J600.B,Coastal,Atlantic,1.89862264266362,1.18976485240652,0.207160328391673,,ECOTYPE,One of three phenotypic ecotypes present in the diversity panel
PKLE,AP13,Lowland,Gulf,7.64751946897315,8.23425088362546,3.72623744106594,,SUBPOP,One of three genetic subpopulations present in the diversity panel
CLMB,AP13,Lowland,Gulf,12.6027659022835,9.60476413374483,2.8436445783385,,PL,Panicle length BLUP from a model finding BLUPs for each phenotype within each site and PLANT_ID
KBSM,AP13,Lowland,Gulf,9.37953096558543,8.70043474841389,2.01415739497888,,PBN,Primary branching number BLUP from a model finding BLUPs for each phenotype within each site and PLANT_ID
PKLE,J194.A,Coastal,Atlantic,20.8664158782027,2.76928372901718,4.62387169829864,,SBN,Secondary branching number BLUP from a model finding BLUPs for each phenotype within each site and PLANT_ID
CLMB,J194.A,Coastal,Atlantic,33.5092313491931,2.98743711518273,3.63541359467173,,,
KBSM,J194.A,Coastal,Atlantic,38.5793619413986,3.09879068459527,4.57865178691076,,,
PKLE,J522.A,Upland,Atlantic,-9.92694915711562,-5.65548584918959,-0.653708928968032,,,
CLMB,J522.A,Upland,Atlantic,-5.35887586649606,-3.77834123024173,-1.85315629128077,,,
KBSM,J522.A,Upland,Atlantic,-5.05806929330337,-7.40085139244284,-1.83286901891723,,,
PKLE,J272.A,Lowland,Gulf,20.9552182711953,7.24478869999197,2.21639569329497,,,
CLMB,J272.A,Lowland,Gulf,9.14602359525548,2.02089735155066,1.19604920091506,,,
KBSM,J272.A,Lowland,Gulf,9.67289944359749,2.68254479667149,3.33083371117714,,,
PKLE,J483.C,Coastal,Gulf,26.7782222457427,29.0156812611229,7.41788497155746,,,
CLMB,J483.C,Coastal,Gulf,17.4659334596801,23.6069520726668,7.29446018530673,,,
KBSM,J483.C,Coastal,Gulf,13.5668922988991,9.46221012522443,2.53862243960185,,,
PKLE,J279.A,Lowland,Gulf,19.0149160817753,4.06540212566438,-0.964154848219013,,,
CLMB,J279.A,Lowland,Gulf,-5.92400181955132,-5.71142075750586,-3.07283848815911,,,
KBSM,J279.A,Lowland,Gulf,9.64044467506785,0.566302636105875,0.06556474677804,,,
PKLE,J482.C,Coastal,Gulf,17.2608636430547,10.2219645097386,6.17610129455354,,,
CLMB,J482.C,Coastal,Gulf,19.315151161622,9.4310355393965,8.81906293140465,,,
KBSM,J482.C,Coastal,Gulf,15.8436278415793,4.05330360068965,0.790025856194217,,,
PKLE,J477.B,Unknown,4X,5.79455788623254,2.76928372901718,4.62387169829864,,,
CLMB,J477.B,Unknown,4X,2.27032449974987,5.56487648486824,8.51414238218507,,,
KBSM,J477.B,Unknown,4X,1.6140306998286,2.78061971256381,6.32724837031839,,,
PKLE,J003.C,Coastal,4X,4.7551194040277,-3.38727865505699,0.588074748035889,,,
CLMB,J003.C,Coastal,4X,5.76154705418013,-4.10052115145242,-1.85315629128077,,,
KBSM,J003.C,Coastal,4X,11.7960979879257,-3.26462875603389,0.207160328391673,,,
PKLE,J249.B,Unknown,4X,14.3049604592847,7.62972771644417,3.69253394054569,,,
CLMB,J249.B,Unknown,4X,13.3844682431699,7.49795601213237,1.80589029935423,,,
KBSM,J249.B,Unknown,4X,18.436576654076,6.91684234897277,1.66432414789804,,,
PKLE,J458.B,Coastal,Gulf,22.5879858643544,14.4343492988419,2.76119618279275,,,
CLMB,J458.B,Coastal,Gulf,22.5520670371774,9.4310355393965,4.85509579155006,,,
KBSM,J458.B,Coastal,Gulf,22.2943785458395,9.46221012522442,3.41292073130567,,,
PKLE,J359.A,Coastal,Midwest,4.657672046321,-3.38727865505699,-0.653708928968032,,,
CLMB,J359.A,Coastal,Midwest,0.512154868022411,1.0543575879186,-2.15807684050036,,,
KBSM,J359.A,Coastal,Midwest,7.27424822954719,3.09879068459527,1.08145862009549,,,
PKLE,J073.A,Lowland,Gulf,22.8478454849057,6.98166851812057,4.62387169829864,,,
CLMB,J073.A,Lowland,Gulf,20.0090002484287,13.2971945939248,2.41573139779339,,,
KBSM,J073.A,Lowland,Gulf,18.6579259429477,16.4619715099165,4.28721902300948,,,
PKLE,J348.B,Upland,Midwest,-13.3700891294191,-14.4042850265582,-5.62084363698372,,,
CLMB,J348.B,Upland,Midwest,-2.45475638551767,-7.64450028477,-0.938394643622022,,,
KBSM,J348.B,Upland,Midwest,-1.89593659513655,-7.7190223644743,-2.41573454671978,,,
PKLE,J431.B,Coastal,Midwest,5.53469826568134,-2.0911602584098,-0.032817090466071,,,
CLMB,J431.B,Coastal,Midwest,-8.90661101623183,-3.77834123024173,-1.85315629128077,,,
KBSM,J431.B,Coastal,Midwest,1.26619610303026,-1.6737738958766,-0.375705199410871,,,
PKLE,J538.B,Upland,Atlantic,-17.4089716934019,-8.69306924979806,-3.08807023668395,,,
CLMB,J538.B,Upland,Atlantic,-14.6702542982153,-8.1022314964705,-3.05038302508322,,,
KBSM,J538.B,Upland,Atlantic,-10.908014784912,-7.40085139244284,-3.87289836622614,,,
PKLE,J352.C,Upland,Midwest,-14.1496679910728,-5.65548584918959,-1.89549260597196,,,
CLMB,J352.C,Upland,Midwest,-9.66011228697217,-6.67796052113793,-3.68267958659827,,,
KBSM,J352.C,Upland,Midwest,-1.57972332531988,-4.53731264415972,-1.54143625501596,,,
PKLE,J610.B,Coastal,Gulf,11.0242327498256,14.1103196996801,5.86565537530256,,,
CLMB,J610.B,Coastal,Gulf,9.90894363188008,8.46449577576443,5.76985743920881,,,
KBSM,J610.B,Coastal,Gulf,-5.97508777577174,10.0985520692873,4.87008455081203,,,
PKLE,J365.B,Upland,Midwest,2.57879508191133,-6.30354504751319,-2.8268303637249,,,
CLMB,J365.B,Upland,Midwest,-6.01818947839386,-3.13398138782036,-1.54823574206119,,,
KBSM,J365.B,Upland,Midwest,4.74454207101374,-0.082919035719308,-0.375705199410871,,,
PKLE,J378.B,Upland,Midwest,2.64375998704914,-5.33145625002779,-0.343263009717053,,,
