SITE,PLANT_ID,ECOTYPE,SUBPOP,PLOT_GL,REP,PL,PBN,SBN
PKLE,J600.B,Coastal,Atlantic,P1002,A,37.4,29,12
PKLE,J600.B,Coastal,Atlantic,P1002,B,35.8,28,11
PKLE,J600.B,Coastal,Atlantic,P1002,C,38.1,23,14
PKLE,AP13,Lowland,Gulf,P1003,A,47.1,33,15
PKLE,AP13,Lowland,Gulf,P1003,B,47.5,36,16
PKLE,AP13,Lowland,Gulf,P1003,C,49.9,34,17
PKLE,J194.A,Coastal,Atlantic,P1004,A,66.4,31,17
PKLE,J194.A,Coastal,Atlantic,P1004,B,62.5,31,16
PKLE,J194.A,Coastal,Atlantic,P1004,C,56.2,29,17
PKLE,J522.A,Upland,Atlantic,P1007,A,29.3,23,10
PKLE,J522.A,Upland,Atlantic,P1007,B,28.7,23,10
PKLE,J522.A,Upland,Atlantic,P1007,C,32.3,19,13
PKLE,J272.A,Lowland,Gulf,P1009,A,57.6,33,21
PKLE,J272.A,Lowland,Gulf,P1009,B,61.1,36,20
PKLE,J272.A,Lowland,Gulf,P1009,C,60,34,16
PKLE,J483.C,Coastal,Gulf,P1010,A,67.1,53,17
PKLE,J483.C,Coastal,Gulf,P1010,B,65.6,60,18
PKLE,J483.C,Coastal,Gulf,P1010,C,70.6,59,24
PKLE,AP13,Lowland,Gulf,P1011,A,54.2,48,17
PKLE,AP13,Lowland,Gulf,P1011,B,48.6,33,16
PKLE,AP13,Lowland,Gulf,P1011,C,49.5,40,15
PKLE,J279.A,Lowland,Gulf,P1012,A,57.8,31,10
PKLE,J279.A,Lowland,Gulf,P1012,B,60.3,31,12
PKLE,J279.A,Lowland,Gulf,P1012,C,61.3,33,10
PKLE,J482.C,Coastal,Gulf,P1015,A,59.2,36,18
PKLE,J482.C,Coastal,Gulf,P1015,B,55.5,40,22
PKLE,J482.C,Coastal,Gulf,P1015,C,59.3,38,15
PKLE,J477.B,Unknown,4X,P1017,A,46.2,32,19
PKLE,J477.B,Unknown,4X,P1017,B,45.2,30,16
PKLE,J477.B,Unknown,4X,P1017,C,47.3,29,15
PKLE,AP13,Lowland,Gulf,P1019,A,50.1,39,21
PKLE,AP13,Lowland,Gulf,P1019,B,49.6,41,18
PKLE,AP13,Lowland,Gulf,P1019,C,50.3,40,18
PKLE,J003.C,Coastal,4X,P1020,A,46.4,23,13
PKLE,J003.C,Coastal,4X,P1020,B,46.5,25,12
PKLE,J003.C,Coastal,4X,P1020,C,42.6,24,12
PKLE,J249.B,Unknown,4X,P1021,A,55.2,36,16
PKLE,J249.B,Unknown,4X,P1021,B,55.4,36,15
PKLE,J249.B,Unknown,4X,P1021,C,54.3,34,16
PKLE,AP13,Lowland,Gulf,P1103,A,51.1,37,17
PKLE,AP13,Lowland,Gulf,P1103,B,52.7,36,16
PKLE,AP13,Lowland,Gulf,P1103,C,49.4,37,16
PKLE,AP13,Lowland,Gulf,P1111,A,53.9,37,17
PKLE,AP13,Lowland,Gulf,P1111,B,43.8,35,14
PKLE,AP13,Lowland,Gulf,P1111,C,45.8,37,14
PKLE,AP13,Lowland,Gulf,P1119,A,50.7,37,18
PKLE,AP13,Lowland,Gulf,P1119,B,47.2,39,19
PKLE,AP13,Lowland,Gulf,P1119,C,52.4,39,15
PKLE,J458.B,Coastal,Gulf,P1202,A,65.2,45,15
PKLE,J458.B,Coastal,Gulf,P1202,B,62.5,42,15
PKLE,J458.B,Coastal,Gulf,P1202,C,62.7,40,14
PKLE,J359.A,Coastal,Midwest,P1203,A,46.8,25,12
PKLE,J359.A,Coastal,Midwest,P1203,B,45.1,26,8
PKLE,J359.A,Coastal,Midwest,P1203,C,43.3,21,13
PKLE,J073.A,Lowland,Gulf,P1205,A,64.1,33,17
PKLE,J073.A,Lowland,Gulf,P1205,B,67.5,33,19
PKLE,J073.A,Lowland,Gulf,P1205,C,59.6,38,14
PKLE,J348.B,Upland,Midwest,P1206,A,26.8,14,6
PKLE,J348.B,Upland,Midwest,P1206,B,24.4,12,6
PKLE,J348.B,Upland,Midwest,P1206,C,28.5,12,5
PKLE,J431.B,Coastal,Midwest,P1208,A,42.1,21,11
PKLE,J431.B,Coastal,Midwest,P1208,B,46.8,26,10
PKLE,J431.B,Coastal,Midwest,P1208,C,49,29,14
PKLE,J538.B,Upland,Atlantic,P1211,A,22.5,21,9
PKLE,J538.B,Upland,Atlantic,P1211,B,29.2,17,7
PKLE,J538.B,Upland,Atlantic,P1211,C,23.5,17,8
PKLE,J352.C,Upland,Midwest,P1212,A,25.2,23,7
PKLE,J352.C,Upland,Midwest,P1212,B,25.7,22,8
PKLE,J352.C,Upland,Midwest,P1212,C,26.4,20,14
PKLE,J610.B,Coastal,Gulf,P1213,A,52,44,17
PKLE,J610.B,Coastal,Gulf,P1213,B,49.2,37,17
PKLE,J610.B,Coastal,Gulf,P1213,C,53.6,45,20
PKLE,J365.B,Upland,Midwest,P1214,A,45.6,21,9
PKLE,J365.B,Upland,Midwest,P1214,B,40.7,21,8
PKLE,J365.B,Upland,Midwest,P1214,C,42.5,21,9
PKLE,J378.B,Upland,Midwest,P1215,A,48.1,24,13
PKLE,J378.B,Upland,Midwest,P1215,B,43.8,22,11
PKLE,J378.B,Upland,Midwest,P1215,C,37.1,20,10
PKLE,J419.B,Lowland,Gulf,P1216,A,49.4,35,20
PKLE,J419.B,Lowland,Gulf,P1216,B,46.5,39,20
PKLE,J419.B,Lowland,Gulf,P1216,C,47.7,37,19
PKLE,J660.B,Lowland,Gulf,P1217,A,48.7,24,10
PKLE,J660.B,Lowland,Gulf,P1217,B,48.8,25,9
PKLE,J660.B,Lowland,Gulf,P1217,C,48,23,10
PKLE,J354.B,Upland,Midwest,P1218,A,21.1,18,7
PKLE,J354.B,Upland,Midwest,P1218,B,24,19,9
PKLE,J354.B,Upland,Midwest,P1218,C,18.7,13,10
PKLE,J006.B,Upland,Atlantic,P1220,A,29.9,22,9
PKLE,J006.B,Upland,Atlantic,P1220,B,28,20,10
PKLE,J006.B,Upland,Atlantic,P1220,C,30.3,21,11
PKLE,J477.A,Coastal,Gulf,P1221,A,60.2,29,17
PKLE,J477.A,Coastal,Gulf,P1221,B,62.4,34,12
PKLE,J477.A,Coastal,Gulf,P1221,C,62.6,31,16
PKLE,J201.A,Unknown,4X,P1304,A,36.2,34,12
PKLE,J201.A,Unknown,4X,P1304,B,43.7,42,16
PKLE,J201.A,Unknown,4X,P1304,C,32.4,29,9
PKLE,J184.A,Unknown,4X,P1305,A,40.9,33,11
PKLE,J184.A,Unknown,4X,P1305,B,38.2,30,12
PKLE,J184.A,Unknown,4X,P1305,C,37,32,12
PKLE,J184.A,Unknown,4X,P1312,A,37,32,12
PKLE,J184.A,Unknown,4X,P1312,B,40.7,34,13
PKLE,J184.A,Unknown,4X,P1312,C,46.2,34,12
PKLE,AP13,Lowland,Gulf,P1401,A,48.2,34,15
PKLE,AP13,Lowland,Gulf,P1401,B,49,35,14
PKLE,AP13,Lowland,Gulf,P1401,C,44.4,38,15
PKLE,J673.C,Coastal,Atlantic,P1404,A,44.3,27,12
PKLE,J673.C,Coastal,Atlantic,P1404,B,40.6,26,17
PKLE,J673.C,Coastal,Atlantic,P1404,C,41.3,24,12
PKLE,J661.B,Upland,Atlantic,P1405,A,23.1,25,16
PKLE,J661.B,Upland,Atlantic,P1405,B,26.7,27,16
PKLE,J661.B,Upland,Atlantic,P1405,C,27.3,32,13
PKLE,J602.C,Coastal,Atlantic,P1407,A,60.9,35,18
PKLE,J602.C,Coastal,Atlantic,P1407,B,61.4,33,17
PKLE,J602.C,Coastal,Atlantic,P1407,C,69,32,20
PKLE,AP13,Lowland,Gulf,P1408,A,52.9,42,15
PKLE,AP13,Lowland,Gulf,P1408,B,50.5,38,14
PKLE,AP13,Lowland,Gulf,P1408,C,47.7,38,13
PKLE,J513.A,Unknown,4X,P1409,A,44.4,25,11
PKLE,J513.A,Unknown,4X,P1409,B,40.8,27,11
PKLE,J513.A,Unknown,4X,P1409,C,38,20,9
PKLE,J301.A,Lowland,Gulf,P1411,A,28.1,25,11
PKLE,J301.A,Lowland,Gulf,P1411,B,29.8,26,11
PKLE,J301.A,Lowland,Gulf,P1411,C,31.3,24,11
PKLE,J599.B,Coastal,Atlantic,P1412,A,32.2,22,7
PKLE,J599.B,Coastal,Atlantic,P1412,B,29.9,23,6
PKLE,J599.B,Coastal,Atlantic,P1412,C,35.3,25,14
PKLE,J433.A,Upland,Atlantic,P1413,A,25.4,20,7
PKLE,J433.A,Upland,Atlantic,P1413,B,26.6,20,9
PKLE,J433.A,Upland,Atlantic,P1413,C,24.2,19,9
PKLE,J665.B,Upland,Atlantic,P1414,A,18.6,16,9
PKLE,J665.B,Upland,Atlantic,P1414,B,29,16,7
PKLE,J665.B,Upland,Atlantic,P1414,C,32.4,15,10
PKLE,AP13,Lowland,Gulf,P1415,A,49.6,37,15
PKLE,AP13,Lowland,Gulf,P1415,B,50.7,36,14
PKLE,AP13,Lowland,Gulf,P1415,C,54.5,36,18
