SITE,PLANT_ID,ECOTYPE,SUBPOP,PL,PBN,SBN
PKLE,J600.B,Coastal,Atlantic,-3.105634117646379,-0.7950418617626046,0.5880747480358892
CLMB,J600.B,Coastal,Atlantic,-0.5553052655263954,1.054357587918599,0.28128755325631044
KBSM,J600.B,Coastal,Atlantic,1.898622642663618,1.189764852406521,0.20716032839167345
PKLE,AP13,Lowland,Gulf,7.647519468973149,8.234250883625455,3.726237441065939
CLMB,AP13,Lowland,Gulf,12.602765902283537,9.604764133744832,2.8436445783385036
KBSM,AP13,Lowland,Gulf,9.379530965585433,8.700434748413885,2.0141573949788794
PKLE,J194.A,Coastal,Atlantic,20.866415878202687,2.769283729017185,4.623871698298639
CLMB,J194.A,Coastal,Atlantic,33.509231349193136,2.987437115182731,3.635413594671727
KBSM,J194.A,Coastal,Atlantic,38.57936194139861,3.09879068459527,4.578651786910761
PKLE,J522.A,Upland,Atlantic,-9.92694915711562,-5.655485849189585,-0.653708928968032
CLMB,J522.A,Upland,Atlantic,-5.358875866496058,-3.778341230241732,-1.8531562912807735
KBSM,J522.A,Upland,Atlantic,-5.058069293303367,-7.400851392442844,-1.8328690189172336
PKLE,J272.A,Lowland,Gulf,20.95521827119529,7.244788699991973,2.216395693294974
CLMB,J272.A,Lowland,Gulf,9.146023595255476,2.0208973515506647,1.1960492009150598
KBSM,J272.A,Lowland,Gulf,9.67289944359749,2.6825447966714857,3.330833711177136
PKLE,J483.C,Coastal,Gulf,26.778222245742693,29.0156812611229,7.417884971557465
CLMB,J483.C,Coastal,Gulf,17.46593345968006,23.6069520726668,7.294460185306727
KBSM,J483.C,Coastal,Gulf,13.566892298899145,9.462210125224434,2.5386224396018524
PKLE,J279.A,Lowland,Gulf,19.01491608177533,4.065402125664382,-0.9641548482190132
CLMB,J279.A,Lowland,Gulf,-5.924001819551317,-5.711420757505865,-3.072838488159108
KBSM,J279.A,Lowland,Gulf,9.64044467506785,0.566302636105875,0.06556474677803982
PKLE,J482.C,Coastal,Gulf,17.26086364305466,10.22196450973856,6.176101294553541
CLMB,J482.C,Coastal,Gulf,19.31515116162197,9.431035539396504,8.819062931404646
KBSM,J482.C,Coastal,Gulf,15.843627841579254,4.053303600689646,0.7900258561942175
PKLE,J477.B,Unknown,4X,5.794557886232544,2.769283729017185,4.623871698298639
CLMB,J477.B,Unknown,4X,2.270324499749871,5.564876484868239,8.514142382185065
KBSM,J477.B,Unknown,4X,1.6140306998286005,2.780619712563814,6.327248370318393
PKLE,J003.C,Coastal,4X,4.755119404027703,-3.3872786550569924,0.5880747480358892
CLMB,J003.C,Coastal,4X,5.761547054180126,-4.10052115145242,-1.8531562912807735
KBSM,J003.C,Coastal,4X,11.796097987925735,-3.264628756033886,0.20716032839167345
PKLE,J249.B,Unknown,4X,14.304960459284656,7.629727716444165,3.6925339405456943
CLMB,J249.B,Unknown,4X,13.384468243169891,7.497956012132366,1.8058902993542283
KBSM,J249.B,Unknown,4X,18.43657665407604,6.916842348972768,1.6643241478980364
PKLE,J458.B,Coastal,Gulf,22.587985864354447,14.434349298841944,2.7611961827927547
CLMB,J458.B,Coastal,Gulf,22.552067037177363,9.431035539396504,4.85509579155006
KBSM,J458.B,Coastal,Gulf,22.294378545839542,9.462210125224424,3.41292073130567
PKLE,J359.A,Coastal,Midwest,4.657672046321003,-3.3872786550569924,-0.653708928968032
CLMB,J359.A,Coastal,Midwest,0.512154868022411,1.054357587918599,-2.1580768405003568
KBSM,J359.A,Coastal,Midwest,7.274248229547193,3.09879068459527,1.081458620095491
PKLE,J073.A,Lowland,Gulf,22.847845484905655,6.9816685181205695,4.623871698298639
CLMB,J073.A,Lowland,Gulf,20.00900024842871,13.297194593924768,2.4157313977933947
KBSM,J073.A,Lowland,Gulf,18.65792594294771,16.46197150991651,4.287219023009484
PKLE,J348.B,Upland,Midwest,-13.37008912941914,-14.404285026558156,-5.620843636983723
CLMB,J348.B,Upland,Midwest,-2.454756385517667,-7.644500284769997,-0.938394643622022
KBSM,J348.B,Upland,Midwest,-1.895936595136554,-7.7190223644743,-2.4157345467197793
PKLE,J431.B,Coastal,Midwest,5.534698265681336,-2.0911602584097957,-0.03281709046607135
CLMB,J431.B,Coastal,Midwest,-8.90661101623183,-3.778341230241732,-1.8531562912807735
KBSM,J431.B,Coastal,Midwest,1.2661961030302584,-1.6737738958765966,-0.37570519941087055
PKLE,J538.B,Upland,Atlantic,-17.408971693401924,-8.693069249798064,-3.0880702366839476
CLMB,J538.B,Upland,Atlantic,-14.670254298215328,-8.102231496470496,-3.0503830250832222
KBSM,J538.B,Upland,Atlantic,-10.90801478491197,-7.400851392442844,-3.8728983662261407
PKLE,J352.C,Upland,Midwest,-14.149667991072771,-5.655485849189585,-1.8954926059719552
CLMB,J352.C,Upland,Midwest,-9.660112286972169,-6.677960521137928,-3.682679586598274
KBSM,J352.C,Upland,Midwest,-1.579723325319878,-4.5373126441597185,-1.5414362550159617
PKLE,J610.B,Coastal,Gulf,11.02423274982564,14.110319699680144,5.86565537530256
CLMB,J610.B,Coastal,Gulf,9.908943631880076,8.464495775764432,5.7698574392088116
KBSM,J610.B,Coastal,Gulf,-5.975087775771744,10.098552069287344,4.870084550812032
PKLE,J365.B,Upland,Midwest,2.578795081911335,-6.303545047513186,-2.826830363724897
CLMB,J365.B,Upland,Midwest,-6.018189478393859,-3.133981387820356,-1.5482357420611883
KBSM,J365.B,Upland,Midwest,4.74454207101374,-0.08291903571930781,-0.37570519941087055
PKLE,J378.B,Upland,Midwest,2.643759987049137,-5.331456250027787,-0.3432630097170527
CLMB,J378.B,Upland,Midwest,-3.4091913284554325,-5.711420757505865,-2.1580768405003568
KBSM,J378.B,Upland,Midwest,-6.164815737661748,-4.8554836161911785,-2.4157345467197793
PKLE,J419.B,Lowland,Gulf,7.3861980621087,9.249875712253164,7.417884971557462
CLMB,J419.B,Lowland,Gulf,4.844787174779374,4.276156800025483,0.5862081024758936
KBSM,J419.B,Lowland,Gulf,6.958034959730509,4.689645544752563,2.5386224396018524
PKLE,J660.B,Lowland,Gulf,8.003364660917821,-3.3872786550569924,-1.8954926059719552
CLMB,J660.B,Lowland,Gulf,13.017136373683972,11.041935145449946,2.4157313977933947
KBSM,J660.B,Lowland,Gulf,4.74454207101374,12.962090817570472,0.49859309229294696
PKLE,J354.B,Upland,Midwest,-18.534799087874426,-10.515929836616571,-2.826830363724897
CLMB,J354.B,Upland,Midwest,-21.35507992658786,-7.966680205980682,-1.8531562912807735
KBSM,J354.B,Upland,Midwest,-22.766012403037507,-9.309877224631588,-4.455763894028685
PKLE,J006.B,Upland,Atlantic,-10.60908066106254,-6.303545047513186,-1.5850466867209738
CLMB,J006.B,Upland,Atlantic,-7.0793704346865045,-3.456161309031044,0.28128755325631044
KBSM,J006.B,Upland,Atlantic,-8.821007204121873,-5.809996532285551,-0.958570727213416
PKLE,J477.A,Coastal,Gulf,20.898898330771587,3.741372526502581,3.071642102043736
CLMB,J477.A,Coastal,Gulf,10.784888859115716,15.874633963610275,10.953506775941731
KBSM,J477.A,Coastal,Gulf,7.55884017238221,10.416723041318814,6.327248370318393
PKLE,J201.A,Unknown,4X,-4.194803178169611,4.802829827969063,-1.0104060096891183
CLMB,J201.A,Unknown,4X,-7.893862609340119,2.6162235252663164,-5.305489417419662
KBSM,J201.A,Unknown,4X,3.668543024910431,5.273800030452294,0.22610847620444072
PKLE,J184.A,Unknown,4X,-0.1192783137633722,5.022945353415149,-0.1428374219971382
CLMB,J184.A,Unknown,4X,-17.207683348887905,-8.611040048402062,-4.292520685037441
KBSM,J184.A,Unknown,4X,-6.6173503109779235,10.455235707186766,-2.345419181121731
PKLE,J673.C,Coastal,Atlantic,1.7342513151199044,-1.7671306592480007,1.8298584250398129
CLMB,J673.C,Coastal,Atlantic,6.480512850011524,0.7321776667079082,2.1108108485738115
KBSM,J673.C,Coastal,Atlantic,3.1634757219303444,-1.991944867908057,0.7900258561942175
PKLE,J661.B,Upland,Atlantic,-14.214632896210569,0.501076534884592,3.071642102043736
CLMB,J661.B,Upland,Atlantic,-4.847122920118247,-0.2343620969241579,1.1960492009150598
KBSM,J661.B,Upland,Atlantic,-4.5521280615966795,-2.310115839939513,0.20716032839167345
PKLE,J602.C,Coastal,Atlantic,22.88032793747455,5.685550121473373,6.176101294553541
CLMB,J602.C,Coastal,Atlantic,6.037830853451579,2.987437115182726,0.5862081024758936
KBSM,J602.C,Coastal,Atlantic,20.555205561847796,2.780619712563814,3.995786259108217
PKLE,J513.A,Unknown,4X,0.759777738052865,-3.387278655056995,-1.2746007674699946
CLMB,J513.A,Unknown,4X,2.741262793962596,-1.5230817817669091,-1.5482357420611883
KBSM,J513.A,Unknown,4X,0.6021482364152254,-5.173654588222635,-0.08427243550960005
PKLE,J301.A,Lowland,Gulf,6.692031007342042,-1.7921410653528966,1.4126887342072605
CLMB,J301.A,Lowland,Gulf,23.9429047994189,9.431035539396504,7.904301283745896
KBSM,J301.A,Lowland,Gulf,24.982191339281336,4.689645544752563,4.578651786910758
PKLE,J599.B,Coastal,Atlantic,-7.620695024723632,-4.03533785338059,-2.516384444473916
CLMB,J599.B,Coastal,Atlantic,-2.815809077747415,-4.4227010726631075,-2.46299738971994
KBSM,J599.B,Coastal,Atlantic,4.744542071013747,-2.6282868119709732,1.081458620095491
PKLE,J433.A,Upland,Atlantic,-14.50697496933068,-7.599663444160383,-3.137276282975878
CLMB,J433.A,Upland,Atlantic,-17.100937335533022,-0.8787219393455337,-1.5482357420611903
KBSM,J433.A,Upland,Atlantic,-16.125533736887203,-1.991944867908057,-2.1243017828185056
PKLE,J665.B,Upland,Atlantic,-13.272641771712433,-11.488018634101968,-2.826830363724897
CLMB,J665.B,Upland,Atlantic,-15.625330680333194,-12.155019181719636,-4.597441234257024
KBSM,J665.B,Upland,Atlantic,-12.868537057775384,-12.809757916977627,-0.667137963312144
PKLE,J671.C,Upland,Atlantic,-2.9107394022329633,0.501076534884592,2.450750263541773
CLMB,J671.C,Upland,Atlantic,5.840036769882234,0.08781782428653251,1.500969750134643
KBSM,J671.C,Upland,Atlantic,11.068807467347373,-1.3556029238451406,1.664324147898035
PKLE,J245.A,Lowland,Gulf,10.634443318998818,12.166142104709351,2.450750263541773
CLMB,J245.A,Lowland,Gulf,9.67975366202988,9.753215460607189,2.4157313977933947
KBSM,J245.A,Lowland,Gulf,2.784019798150321,10.416723041318804,2.830055203503123
PKLE,J211.A,Lowland,Gulf,13.16807461937311,10.54599410890036,8.038776810059424
CLMB,J211.A,Lowland,Gulf,-11.543865463823014,1.6987174303399744,-0.938394643622022
KBSM,J211.A,Lowland,Gulf,15.590657225725902,13.598432761633385,8.367277717627301
PKLE,J652.C,Lowland,Gulf,12.388495757719475,18.970763687107137,5.244763536800599
CLMB,J652.C,Lowland,Gulf,18.279086914354014,19.418613096927857,7.294460185306729
KBSM,J652.C,Lowland,Gulf,-13.912040848170433,12.007577901476091,-0.667137963312144
PKLE,J205.A,Coastal,Atlantic,5.112426382285621,1.4731653323699885,5.55520945605158
CLMB,J205.A,Coastal,Atlantic,6.288997943698359,-3.133981387820356,-0.02363299596327483
KBSM,J205.A,Coastal,Atlantic,0.03296435074519805,-6.446338476348467,-0.08427243550959856
PKLE,J466.B,Coastal,Gulf,21.2886877615984,14.434349298841944,7.728330890808445
CLMB,J466.B,Coastal,Gulf,14.357740717876162,11.364115066660636,2.4157313977933947
KBSM,J466.B,Coastal,Gulf,26.341908399493057,21.23453609038838,14.19593299565275
PKLE,J422.B,Upland,Atlantic,-13.532501392263644,-8.571752241645779,-1.2746007674699946
CLMB,J422.B,Upland,Atlantic,-12.54853382481014,-5.389240836295174,-2.462997389719941
KBSM,J422.B,Upland,Atlantic,-15.17689392743716,-1.6737738958766006,0.49859309229294546
PKLE,J430.B,Upland,Atlantic,-4.599826935815824,-5.655485849189588,-1.8954926059719552
CLMB,J430.B,Upland,Atlantic,7.117849341512734,-0.2343620969241579,0.8911286516954767
KBSM,J430.B,Upland,Atlantic,6.483715055005487,-8.355364308537217,-1.8328690189172336
PKLE,J521.A,Upland,Atlantic,-11.323694617578363,-8.247722642483978,-1.585046686720975
CLMB,J521.A,Upland,Atlantic,-15.531143021490646,-4.744880993873798,-3.377759037378691
KBSM,J521.A,Upland,Atlantic,-9.010735166011884,-8.355364308537217,-2.707167310621051
PKLE,J192.A,Coastal,Atlantic,4.9175316668722155,7.629727716444165,1.8298584250398129
CLMB,J192.A,Coastal,Atlantic,11.280943862353109,9.753215460607194,0.5862081024758936
KBSM,J192.A,Coastal,Atlantic,11.51150604509072,8.507697209130061,3.704353495206944
PKLE,J650.C,Coastal,Gulf,24.69934528133303,29.987770058608294,8.038776810059424
CLMB,J650.C,Coastal,Gulf,12.630966972429553,43.2599272665188,8.514142382185062
KBSM,J650.C,Coastal,Gulf,5.69318188046379,45.4155299647792,2.830055203503126
PKLE,J609.C,Coastal,Atlantic,-8.140414265826054,9.249875712253164,6.176101294553541
CLMB,J609.C,Coastal,Atlantic,20.753082753284797,4.598336721236173,3.0255724962325607
KBSM,J609.C,Coastal,Atlantic,20.555205561847796,-2.310115839939513,-0.3757051994108721
PKLE,J491.B,Upland,Midwest,-7.291485918004288,-11.486302086359208,-2.605846061231319
CLMB,J491.B,Upland,Midwest,-5.64457843165177,-7.322320363559306,-0.02363299596327483
KBSM,J491.B,Upland,Midwest,-8.536415261286855,-13.446099861040544,-2.1243017828185056
PKLE,J202.A,Unknown,4X,7.734368249268117,5.133003116138199,-2.3117588912270843
CLMB,J202.A,Unknown,4X,5.094520943635609,0.8587264334028383,-0.6716404442940155
KBSM,J202.A,Unknown,4X,1.5621132320625992,3.633194255260189,-0.30403982868059837
PKLE,J365.A,Upland,Midwest,-11.551071785560676,-7.599663444160383,-2.516384444473916
CLMB,J365.A,Upland,Midwest,-6.520523658887419,-0.5565420181348483,-2.1580768405003568
KBSM,J365.A,Upland,Midwest,-3.350517636293292,4.689645544752563,-0.08427243550959856
PKLE,J581.C,Upland,Midwest,-22.79000037440048,-12.136077832425563,-6.552181394736665
CLMB,J581.C,Upland,Midwest,-16.22185251966929,-10.544119575666192,-5.5122028819157745
KBSM,J581.C,Upland,Midwest,-1.6113446523015442,-1.3556029238451406,-2.4157345467197793
PKLE,J368.A,Upland,Midwest,-13.922290823090458,-13.75622582823456,-2.826830363724897
CLMB,J368.A,Upland,Midwest,-7.807754996402163,-9.577579812034124,-1.2433151928416073
KBSM,J368.A,Upland,Midwest,-9.168841800920214,-11.855245000883254,-3.5814656023248688
PKLE,J592.C,Upland,Atlantic,-13.88980837052156,-8.24772264248398,0.5880747480358892
CLMB,J592.C,Upland,Atlantic,-16.805816004493057,-7.322320363559306,-3.0728384881591073
KBSM,J592.C,Upland,Atlantic,-16.030669755942203,-8.037193336505757,-2.707167310621051
