"SITE","LINE","LEN","PRM","SEC","SITE2"
"CLMB",405,"28.5","15","9.5","CLMB"
"CLMB",406,"54.5","27","13.5","CLMB"
"CLMB",407,"55.25","29","11.5","CLMB"
"CLMB",408,"36.25","26","11.5","CLMB"
"CLMB",409,"30.5","24","8","CLMB"
"CLMB",410,"31.75","23.5","9.5","CLMB"
"CLMB",411,"42.75","22","9.5","CLMB"
"CLMB",412,"44","30","14.5","CLMB"
"CLMB",413,"51","26","13","CLMB"
"CLMB",414,"44","25","12.5","CLMB"
"CLMB",415,"35.75","17.5","9","CLMB"
"CLMB",416,"*","*","*","CLMB"
"CLMB",417,"41.75","28.5","13","CLMB"
"CLMB",418,"40.75","24.5","9.5","CLMB"
"CLMB",419,"46.25","28.5","12","CLMB"
"CLMB",420,"48.5","28.5","11.5","CLMB"
"CLMB",421,"35","28","10.5","CLMB"
"CLMB",422,"33.25","19.5","8.5","CLMB"
"CLMB",423,"34","24.5","11","CLMB"
"CLMB",424,"52.5","34.5","15","CLMB"
"CLMB",425,"47.5","24","11.5","CLMB"
"CLMB",426,"36.5","23.5","10","CLMB"
"CLMB",427,"*","*","*","CLMB"
"CLMB",428,"38.5","26.5","10","CLMB"
"CLMB",429,"46.25","22.5","9.5","CLMB"
"CLMB",431,"41.5","30","12","CLMB"
"CLMB",432,"41.25","23.5","11.5","CLMB"
"CLMB",433,"38","25.5","11.5","CLMB"
"CLMB",435,"55","37.5","12.5","CLMB"
"CLMB",436,"54.75","28","12.5","CLMB"
"CLMB",437,"25","24","8.5","CLMB"
"CLMB",438,"38.25","28","12.5","CLMB"
"CLMB",439,"37.5","20","9","CLMB"
"CLMB",440,"*","*","*","CLMB"
"CLMB",442,"50","25.5","10.5","CLMB"
"CLMB",443,"33.75","27.5","13","CLMB"
"CLMB",444,"47.5","37","12.5","CLMB"
"CLMB",445,"41","23","12","CLMB"
"CLMB",446,"34.25","23.5","11","CLMB"
"CLMB",447,"45.5","40.5","16.5","CLMB"
"CLMB",448,"41","27","8.5","CLMB"
"CLMB",449,"28.5","21","7","CLMB"
"CLMB",450,"44.25","21.5","10.5","CLMB"
"CLMB",451,"48.5","22.5","11","CLMB"
"CLMB",452,"45.25","24.5","11.5","CLMB"
