CHR,region_start,region_end,width,region_strand,Annotation,QUERYID,TXID,Gene ID,log10BF_All,POS,marker.ID,CHRN,NumSigCond_All,gene_start,gene_end,gene_width,gene_strand,pacId,transcriptName,peptideName,Pfam,Panther Categories,KOG,ec,KO,GO,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice homolog,Rice gene name,Rice gene annotation,d2_start,d2_end,distance from gene
Chr01K,378268,398268,20001,+,spliceSite,1,10,Pavir.1KG001700,2.2327495546156064,388268,Chr01K_388268,1,9,383174,389341,6168,+,41621257,Pavir.1KG001700.1,Pavir.1KG001700.1.p,PF13414,"PTHR22904,PTHR22904:SF382",KOG1308,NA,K09560,NA,AT4G22670.1,"AtHip1,HIP1",HSP70-interacting protein 1,LOC_Os02g01030.2,NA,"tetratricopeptide repeat domain containing protein, expressed",5094,-1073,1073
Chr01K,378268,398268,20001,+,spliceSite,1,11,Pavir.1KG001700,2.2327495546156064,388268,Chr01K_388268,1,9,383174,389341,6168,+,41621257,Pavir.1KG001700.1,Pavir.1KG001700.1.p,PF13414,"PTHR22904,PTHR22904:SF382",KOG1308,NA,K09560,NA,AT4G22670.1,"AtHip1,HIP1",HSP70-interacting protein 1,LOC_Os02g01030.2,NA,"tetratricopeptide repeat domain containing protein, expressed",5094,-1073,1073
Chr01K,378268,398268,20001,+,spliceSite,1,12,Pavir.1KG001800,2.2327495546156064,388268,Chr01K_388268,1,9,387188,388018,831,+,41617671,Pavir.1KG001800.1,Pavir.1KG001800.1.p,PF03168,"PTHR31415,PTHR31415:SF20",NA,NA,NA,NA,AT5G53730.1,NA,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,LOC_Os02g01060.1,NA,"harpin-induced protein 1 domain containing protein, expressed",1080,250,250
Chr01K,378268,398268,20001,+,spliceSite,1,13,Pavir.1KG001900,2.2327495546156064,388268,Chr01K_388268,1,9,389700,391268,1569,+,41621453,Pavir.1KG001900.1,Pavir.1KG001900.1.p,"PF03171,PF14226","PTHR10209,PTHR10209:SF190",KOG0143,1.14.11.19,K05277,"GO:0055114,GO:0016491",AT4G22880.1,"ANS,LDOX,TDS4,TT18",leucoanthocyanidin dioxygenase,LOC_Os01g27490.1,NA,"leucoanthocyanidin dioxygenase, putative, expressed",-1432,-3000,1432
Chr01K,378268,398268,20001,+,spliceSite,1,3872,Pavir.1KG001600,2.2327495546156064,388268,Chr01K_388268,1,9,376824,383017,6194,-,41618556,Pavir.1KG001600.1,Pavir.1KG001600.1.p,"PF13848,PF00085","PTHR18929,PTHR18929:SF74",KOG0190,5.3.4.1,K09580,GO:0045454,AT5G60640.1,"ATPDI2,ATPDIL1-4,PDI2,PDIL1-4",PDI-like 1-4,LOC_Os02g01010.1,NA,"OsPDIL1-4 protein disulfide isomerase PDIL1-4, expressed",11444,5251,5251
Chr01K,378268,398268,20001,+,spliceSite,1,3873,Pavir.1KG001600,2.2327495546156064,388268,Chr01K_388268,1,9,376824,383017,6194,-,41618556,Pavir.1KG001600.1,Pavir.1KG001600.1.p,"PF13848,PF00085","PTHR18929,PTHR18929:SF74",KOG0190,5.3.4.1,K09580,GO:0045454,AT5G60640.1,"ATPDI2,ATPDIL1-4,PDI2,PDIL1-4",PDI-like 1-4,LOC_Os02g01010.1,NA,"OsPDIL1-4 protein disulfide isomerase PDIL1-4, expressed",11444,5251,5251
Chr01K,378268,398268,20001,+,spliceSite,1,3874,Pavir.1KG001600,2.2327495546156064,388268,Chr01K_388268,1,9,376824,383017,6194,-,41618556,Pavir.1KG001600.1,Pavir.1KG001600.1.p,"PF13848,PF00085","PTHR18929,PTHR18929:SF74",KOG0190,5.3.4.1,K09580,GO:0045454,AT5G60640.1,"ATPDI2,ATPDIL1-4,PDI2,PDIL1-4",PDI-like 1-4,LOC_Os02g01010.1,NA,"OsPDIL1-4 protein disulfide isomerase PDIL1-4, expressed",11444,5251,5251
Chr01K,378268,398268,20001,+,spliceSite,1,3875,Pavir.1KG001600,2.2327495546156064,388268,Chr01K_388268,1,9,376824,383017,6194,-,41618556,Pavir.1KG001600.1,Pavir.1KG001600.1.p,"PF13848,PF00085","PTHR18929,PTHR18929:SF74",KOG0190,5.3.4.1,K09580,GO:0045454,AT5G60640.1,"ATPDI2,ATPDIL1-4,PDI2,PDIL1-4",PDI-like 1-4,LOC_Os02g01010.1,NA,"OsPDIL1-4 protein disulfide isomerase PDIL1-4, expressed",11444,5251,5251
Chr01K,378268,398268,20001,+,spliceSite,1,3876,Pavir.1KG001600,2.2327495546156064,388268,Chr01K_388268,1,9,376824,383017,6194,-,41618556,Pavir.1KG001600.1,Pavir.1KG001600.1.p,"PF13848,PF00085","PTHR18929,PTHR18929:SF74",KOG0190,5.3.4.1,K09580,GO:0045454,AT5G60640.1,"ATPDI2,ATPDIL1-4,PDI2,PDIL1-4",PDI-like 1-4,LOC_Os02g01010.1,NA,"OsPDIL1-4 protein disulfide isomerase PDIL1-4, expressed",11444,5251,5251
Chr01K,378268,398268,20001,+,spliceSite,1,3877,Pavir.1KG001600,2.2327495546156064,388268,Chr01K_388268,1,9,376824,383017,6194,-,41618556,Pavir.1KG001600.1,Pavir.1KG001600.1.p,"PF13848,PF00085","PTHR18929,PTHR18929:SF74",KOG0190,5.3.4.1,K09580,GO:0045454,AT5G60640.1,"ATPDI2,ATPDIL1-4,PDI2,PDIL1-4",PDI-like 1-4,LOC_Os02g01010.1,NA,"OsPDIL1-4 protein disulfide isomerase PDIL1-4, expressed",11444,5251,5251
