CHR,region_start,region_end,width,region_strand,Annotation,QUERYID,TXID,Gene ID,sum_log10BF,log10BF_PA,POS,marker.ID,CHRN,NumSigCond_PA,log10BF_PGS,NumSigCond_PGS,log10BF_KA,NumSigCond_KA,log10BF_KGS,NumSigCond_KGS,gene_start,gene_end,gene_width,gene_strand,pacId,transcriptName,peptideName,Pfam,Panther Categories,KOG,ec,KO,GO,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice homolog,Rice gene name,Rice gene annotation,d2_start,d2_end,distance from gene
Chr04N,28214338,28234338,20001,*,intergenic,355,NA,NA,28.94744927,4.499487676,28224338,Chr04N_28224338,8,5,6.406443626,6,8.827676686,5,9.213841284,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr01N,64588762,64608762,20001,*,intergenic,90,NA,NA,26.70575616,6.604356779,64598762,Chr01N_64598762,2,5,7.436300381,4,5.040753553,5,7.624345444,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr01N,53755828,53775828,20001,+,spliceSite,77,13798,Pavir.1NG379200,22.58456991,5.388919467,53765828,Chr01N_53765828,2,8,4.70474654,8,7.511500466,8,4.979403432,8,53762215,53765326,3112,-,41584726,Pavir.1NG379200.1,Pavir.1NG379200.1.p,PF00694,PTHR11670,NA,4.2.1.33,K01704,GO:0008152,AT2G43090.1,NA,Aconitase/3-isopropylmalate dehydratase protein,LOC_Os02g43830.2,NA,"3-isopropylmalate dehydratase small subunit 2, putative, expressed",3613,502,502
Chr01N,53755828,53775828,20001,+,spliceSite,77,13799,Pavir.1NG379500,22.58456991,5.388919467,53765828,Chr01N_53765828,2,8,4.70474654,8,7.511500466,8,4.979403432,8,53772654,53777148,4495,-,41585506,Pavir.1NG379500.1,Pavir.1NG379500.1.p,PF05057,"PTHR12482,PTHR12482:SF14",KOG4372,NA,NA,NA,AT5G51180.1,NA,alpha/beta-Hydrolases superfamily protein,LOC_Os02g43850.1,NA,"serine esterase family protein, putative, expressed",-6826,-11320,6826
Chr01N,53755828,53775828,20001,+,spliceSite,77,13800,Pavir.1NG379500,22.58456991,5.388919467,53765828,Chr01N_53765828,2,8,4.70474654,8,7.511500466,8,4.979403432,8,53772654,53777148,4495,-,41585506,Pavir.1NG379500.1,Pavir.1NG379500.1.p,PF05057,"PTHR12482,PTHR12482:SF14",KOG4372,NA,NA,NA,AT5G51180.1,NA,alpha/beta-Hydrolases superfamily protein,LOC_Os02g43850.1,NA,"serine esterase family protein, putative, expressed",-6826,-11320,6826
Chr01N,53755828,53775828,20001,+,spliceSite,77,9991,Pavir.1NG379300,22.58456991,5.388919467,53765828,Chr01N_53765828,2,8,4.70474654,8,7.511500466,8,4.979403432,8,53766497,53768897,2401,+,41584786,Pavir.1NG379300.1,Pavir.1NG379300.1.p,PF00293,"PTHR13994,PTHR13994:SF9",KOG0648,"3.6.1.22,3.6.1.13",NA,GO:0016787,AT5G47240.1,"atnudt8,NUDT8",nudix hydrolase homolog 8,LOC_Os04g46280.1,NA,"hydrolase, NUDIX family, domain containing protein, expressed",-669,-3069,669
Chr01N,53755828,53775828,20001,+,spliceSite,77,9992,Pavir.1NG379400,22.58456991,5.388919467,53765828,Chr01N_53765828,2,8,4.70474654,8,7.511500466,8,4.979403432,8,53769258,53771784,2527,+,41582524,Pavir.1NG379400.1,Pavir.1NG379400.1.p,PF05903,"PTHR12378,PTHR12378:SF14",NA,NA,NA,NA,AT4G17486.1,NA,PPPDE putative thiol peptidase family protein,LOC_Os02g43840.1,NA,"ethylene-responsive element-binding protein, putative, expressed",-3430,-5956,3430
Chr02K,47926926,47946926,20001,+,spliceSite,141,17345,Pavir.2KG351005,21.63835849,3.467421174,47936926,Chr02K_47936926,3,7,8.721786656,8,3.887313078,8,5.561837584,7,47938129,47952780,14652,+,41650784,Pavir.2KG351005.1,Pavir.2KG351005.1.p,NA,NA,NA,2.7.11.17,NA,NA,NA,NA,NA,NA,NA,NA,-1203,-15854,1203
Chr08K,13138576,13158576,20001,-,spliceSite,595,99261,Pavir.8KG108100,21.07238339,4.074931349,13148576,Chr08K_13148576,15,9,4.182767786,9,6.241811078,9,6.572873175,9,13147073,13148724,1652,+,41643700,Pavir.8KG108100.1,Pavir.8KG108100.1.p,"PF02747,PF00705","PTHR11352,PTHR11352:SF4",KOG1636,NA,K04802,"GO:0006275,GO:0003677,GO:0030337",AT2G29570.1,"ATPCNA2,PCNA2",proliferating cell nuclear antigen 2,LOC_Os02g56130.1,NA,"PCNA - Putative DNA replicative polymerase clamp, expressed",1503,-148,148
Chr02K,10452411,10472411,20001,*,intergenic,114,NA,NA,20.47670283,5.475382744,10462411,Chr02K_10462411,3,8,4.353623489,8,6.042724608,8,4.604971992,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
