"terms","Estimate","Std..Error","t.value","Pr...t..","TRAIT","CROSS","INDEX","MARKER","POS","LOD","CHR","QTL","lowposition","down_marker","highposition","up_marker","QxE","ChrNo","ChrAnnot","Dist"
"(Intercept)",-0.332901799943956,0.141063165382678,-2.3599484602579,0.0426049672429332,"LEN","add",261,"Chr03N_26.099983",62.059842952873,4.29109372838509,"3N","3N@62.06",60.0031862408961,"Chr03N_24.521536",66.0718021313172,"Chr03N_30.30364","Yes",3,"N",6
"(Intercept)",-345.486665461436,112.092069398442,-3.08216867897559,0.0177611979566623,"LEN","add",517,"Chr06N_48.768076",54.1922170033334,3.56052748860799,"6N","6N@54.19",43.7729712066161,"Chr06N_43.871788",62.8226786459632,"Chr06N_51.935176","Yes",6,"N",12
"RAIN",0.00112143102547617,0.000811892418031866,1.38125569418996,0.209680990395843,"LEN","add",517,"Chr06N_48.768076",54.1922170033334,3.56052748860799,"6N","6N@54.19",43.7729712066161,"Chr06N_43.871788",62.8226786459632,"Chr06N_51.935176","Yes",6,"N",12
"DL",28.2738878721616,9.17729963613549,3.08085046725875,0.0177941115539521,"LEN","add",517,"Chr06N_48.768076",54.1922170033334,3.56052748860799,"6N","6N@54.19",43.7729712066161,"Chr06N_43.871788",62.8226786459632,"Chr06N_51.935176","Yes",6,"N",12
"(Intercept)",449.128089185811,215.67733493318,2.0824074505787,0.0758151805191195,"LEN","add2",261,"Chr03N_26.099983",62.059842952873,4.29109372838509,"3N","3N@62.06",60.0031862408961,"Chr03N_24.521536",66.0718021313172,"Chr03N_30.30364","Yes",3,"N",6
"TMEAN",-0.105086820736852,0.0731496477574773,-1.43660050264713,0.193980171099083,"LEN","add2",261,"Chr03N_26.099983",62.059842952873,4.29109372838509,"3N","3N@62.06",60.0031862408961,"Chr03N_24.521536",66.0718021313172,"Chr03N_30.30364","Yes",3,"N",6
"DL",-36.7734075307444,17.6037358179551,-2.08895474864131,0.0750858180560012,"LEN","add2",261,"Chr03N_26.099983",62.059842952873,4.29109372838509,"3N","3N@62.06",60.0031862408961,"Chr03N_24.521536",66.0718021313172,"Chr03N_30.30364","Yes",3,"N",6
"(Intercept)",-1.11032873102397,0.43813708095561,-2.53420397242401,0.0350254140389497,"LEN","add2",517,"Chr06N_48.768076",54.1922170033334,3.56052748860799,"6N","6N@54.19",43.7729712066161,"Chr06N_43.871788",62.8226786459632,"Chr06N_51.935176","Yes",6,"N",12
"RAIN",0.000832353615104506,0.000469956068818131,1.77113068716774,0.11448862893547,"LEN","add2",517,"Chr06N_48.768076",54.1922170033334,3.56052748860799,"6N","6N@54.19",43.7729712066161,"Chr06N_43.871788",62.8226786459632,"Chr06N_51.935176","Yes",6,"N",12
"(Intercept)",-643.562472007955,308.186928854446,-2.08822117926976,0.0751671881431472,"PRM","add",201,"Chr03K_17.77051",38.0031542552573,8.82920606330896,"3K","3K@38",30.0981997693541,"Chr03K_13.323286",41.8470788163825,"Chr03K_20.786505","Yes",3,"K",5
"TMEAN",0.225033160432013,0.104525425892089,2.15290354965245,0.068320084267826,"PRM","add",201,"Chr03K_17.77051",38.0031542552573,8.82920606330896,"3K","3K@38",30.0981997693541,"Chr03K_13.323286",41.8470788163825,"Chr03K_20.786505","Yes",3,"K",5
"DL",52.4835310875442,25.1544339593282,2.08645247881164,0.0753637399125771,"PRM","add",201,"Chr03K_17.77051",38.0031542552573,8.82920606330896,"3K","3K@38",30.0981997693541,"Chr03K_13.323286",41.8470788163825,"Chr03K_20.786505","Yes",3,"K",5
"(Intercept)",161.797251083836,35.7087836119273,4.53102107431611,0.00269642280919672,"PRM","add",367,"Chr05K_7.188103",14.0589051590583,4.89723017786627,"5K","5K@14.06",5.94111712479324,"Chr05K_4.388419",17.8179541661273,"Chr05K_8.204815","Yes",5,"K",9
"RAIN",-0.000963782408042295,0.000258641764999543,-3.72632164818392,0.00739437652122577,"PRM","add",367,"Chr05K_7.188103",14.0589051590583,4.89723017786627,"5K","5K@14.06",5.94111712479324,"Chr05K_4.388419",17.8179541661273,"Chr05K_8.204815","Yes",5,"K",9
"DL",-13.2533035732722,2.92358066549475,-4.53324367946912,0.00268928005244735,"PRM","add",367,"Chr05K_7.188103",14.0589051590583,4.89723017786627,"5K","5K@14.06",5.94111712479324,"Chr05K_4.388419",17.8179541661273,"Chr05K_8.204815","Yes",5,"K",9
"(Intercept)",831.370331082027,357.22356807297,2.32731097661564,0.058856936633669,"PRM","add",578,"Chr07N_49.904749",54.064723787743,4.16687733423831,"7N","7N@54.06",52.1014170026254,"Chr07N_49.035214",54.064723787743,"Chr07N_49.904749","Yes",7,"N",14
"TMEAN",-0.231770811643504,0.121477381749006,-1.90793387465647,0.105008309812421,"PRM","add",578,"Chr07N_49.904749",54.064723787743,4.16687733423831,"7N","7N@54.06",52.1014170026254,"Chr07N_49.035214",54.064723787743,"Chr07N_49.904749","Yes",7,"N",14
"SRAD",0.0150374562950189,0.0116493096063794,1.29084527779947,0.244261208682114,"PRM","add",578,"Chr07N_49.904749",54.064723787743,4.16687733423831,"7N","7N@54.06",52.1014170026254,"Chr07N_49.035214",54.064723787743,"Chr07N_49.904749","Yes",7,"N",14
"DL",-67.9616895913222,29.1632533336322,-2.33038779363296,0.0586096192553287,"PRM","add",578,"Chr07N_49.904749",54.064723787743,4.16687733423831,"7N","7N@54.06",52.1014170026254,"Chr07N_49.035214",54.064723787743,"Chr07N_49.904749","Yes",7,"N",14
"(Intercept)",-0.937450129542418,0.127899408594224,-7.32958924397052,4.42250406355358e-05,"PRM","add2",201,"Chr03K_17.77051",38.0031542552573,8.82920606330896,"3K","3K@38",30.0981997693541,"Chr03K_13.323286",41.8470788163825,"Chr03K_20.786505","Yes",3,"K",5
"(Intercept)",116.772349079762,61.6050656468243,1.89549914205442,0.0998647496608275,"PRM","add2",367,"Chr05K_7.188103",14.0589051590583,4.89723017786627,"5K","5K@14.06",5.94111712479324,"Chr05K_4.388419",17.8179541661273,"Chr05K_8.204815","Yes",5,"K",9
"RAIN",-0.00103560419865093,0.000446210744251879,-2.3208858414811,0.0533248360236653,"PRM","add2",367,"Chr05K_7.188103",14.0589051590583,4.89723017786627,"5K","5K@14.06",5.94111712479324,"Chr05K_4.388419",17.8179541661273,"Chr05K_8.204815","Yes",5,"K",9
"DL",-9.51321167299937,5.04378364659367,-1.88612603941173,0.101250259700344,"PRM","add2",367,"Chr05K_7.188103",14.0589051590583,4.89723017786627,"5K","5K@14.06",5.94111712479324,"Chr05K_4.388419",17.8179541661273,"Chr05K_8.204815","Yes",5,"K",9
"(Intercept)",-98.6616853622116,24.6569593048734,-4.00137276224126,0.00394221308356164,"PRM","add2",578,"Chr07N_49.904749",54.064723787743,4.16687733423831,"7N","7N@54.06",52.1014170026254,"Chr07N_49.035214",54.064723787743,"Chr07N_49.904749","Yes",7,"N",14
"DL",8.08288225354605,2.02358701673946,3.99433391629964,0.00398114085675853,"PRM","add2",578,"Chr07N_49.904749",54.064723787743,4.16687733423831,"7N","7N@54.06",52.1014170026254,"Chr07N_49.035214",54.064723787743,"Chr07N_49.904749","Yes",7,"N",14
"(Intercept)",-0.0134904144788845,0.0949191830714267,-0.142125269543596,0.890495178501036,"SEC","add",650,"Chr09K_24.465322",51.9638689269929,10.3666339331015,"9K","9K@51.96",47.8973861561185,"Chr09K_19.959778",56.0733837977527,"Chr09K_28.697896","Yes",9,"K",17
"SRAD",-0.008225636332434,0.00530449861801792,-1.55069063539649,0.159573246382256,"SEC","add",650,"Chr09K_24.465322",51.9638689269929,10.3666339331015,"9K","9K@51.96",47.8973861561185,"Chr09K_19.959778",56.0733837977527,"Chr09K_28.697896","Yes",9,"K",17
"(Intercept)",0.124146466876284,0.149269245555682,0.83169487736155,0.429705355613328,"SEC","add2",650,"Chr09K_24.465322",51.9638689269929,10.3666339331015,"9K","9K@51.96",47.8973861561185,"Chr09K_19.959778",56.0733837977527,"Chr09K_28.697896","Yes",9,"K",17
"TMEAN",-0.019075908175007,0.00875348085107534,-2.17923686583076,0.0609349009698066,"SEC","add2",650,"Chr09K_24.465322",51.9638689269929,10.3666339331015,"9K","9K@51.96",47.8973861561185,"Chr09K_19.959778",56.0733837977527,"Chr09K_28.697896","Yes",9,"K",17
