Chr,Pos_lo,Pos_hi,inQTLandBF,inBF,notinBF,inQTL,pvalue
Chr02K,56436103,63664705,197,26977,2670700,18063,0.10402779754074169
Chr02K,60739957,64045891,85,26977,2670700,7326,0.07770082946196906
Chr02N,50387752,56445418,166,26977,2670700,15940,0.28247869787656904
Chr02N,54556579,60798034,202,26977,2670700,16626,0.0029568333978678275
Chr03K,13323286,20786505,152,26977,2670700,14162,0.17788885497074738
Chr03N,24521536,30303640,139,26977,2670700,14169,0.5683760332081633
Chr04K,9916183,29613196,338,26977,2670700,39562,0.9985217717988303
Chr05K,44678143,58488157,374,26977,2670700,34106,0.035011314321997965
Chr05K,58583292,60232411,63,26977,2670700,5863,0.2570373858395796
Chr05K,4388419,8204815,110,26977,2670700,11881,0.7769520301985618
Chr05N,11735767,47154718,781,26977,2670700,74466,0.08522954958707979
Chr05N,60974614,65990781.99999999,179,26977,2670700,13447,9.341720855288556e-5
Chr06N,43871788,51935176,228,26977,2670700,23108,0.563981462325031
Chr07N,49035214,49904749,39,26977,2670700,3702,0.3328038371019317
Chr09K,19959778,28697896,258,26977,2670700,21958,0.004807690562993177
Chr09N,7913256,21588445,422,26977,2670700,38257,0.020638255447829545
Chr09N,10880731,20831824,330,26977,2670700,28931,0.008143629911598574
Chr09N,17684245,19333648,69,26977,2670700,5088,0.006042508233177781
