"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr04K","4K@26.26",9916183,29613196,"LEN","Chr04K","phytozomev13","gene",15036543,15038606,"Pavir.4KG048500","GO:0008152,GO:0003824","AT1G20560","AAE1","acyl activating enzyme 1","LOC_Os01g24030","AMP-binding enzyme, putative, expressed",NA
"Chr04K","4K@26.26",9916183,29613196,"LEN","Chr04K","phytozomev13","gene",15040624,15049965,"Pavir.4KG048505","GO:0005975,GO:0004553","AT4G28320","","Glycosyl hydrolase superfamily protein","LOC_Os06g20620","OsMan07 - Endo-Beta-Mannanase, expressed",NA
"Chr04K","4K@26.26",9916183,29613196,"LEN","Chr04K","phytozomev13","gene",15043412,15043999,"Pavir.4KG048510","","","","","","",NA
"Chr04K","4K@26.26",9916183,29613196,"LEN","Chr04K","phytozomev13","gene",15045553,15046371,"Pavir.4KG048515","","","","","","",NA
"Chr04K","4K@26.26",9916183,29613196,"LEN","Chr04K","phytozomev13","gene",15051218,15055038,"Pavir.4KG048900","GO:0008289","AT1G04970","","lipid-binding serum glycoprotein family protein","LOC_Os06g20430","BPI/LBP family protein At3g20270 precursor, putative, expressed",NA
"Chr04K","4K@26.26",9916183,29613196,"LEN","Chr04K","phytozomev13","gene",15056312,15062327,"Pavir.4KG048905","GO:0005515","AT3G20280","","RING/FYVE/PHD zinc finger superfamily protein","LOC_Os06g20410","BAH domain containing protein, expressed",NA
"Chr04K","4K@26.26",9916183,29613196,"LEN","Chr04K","phytozomev13","gene",15073743,15078415,"Pavir.4KG048910","","AT4G26750","","hydroxyproline-rich glycoprotein family protein","LOC_Os06g20390","expressed protein",NA
"Chr04K","4K@26.26",9916183,29613196,"LEN","Chr04K","phytozomev13","gene",15081931,15082245,"Pavir.4KG048915","","","","","","",NA
"Chr04K","4K@26.26",9916183,29613196,"LEN","Chr04K","phytozomev13","gene",16953302,16954492,"Pavir.4KG059200","","AT5G25610","ATRD22,RD22","BURP domain-containing protein","LOC_Os06g17000","BURP domain containing protein, expressed",NA
"Chr04K","4K@26.26",9916183,29613196,"LEN","Chr04K","phytozomev13","gene",16976762,16978297,"Pavir.4KG059205","GO:0016491,GO:0008152","AT1G67730","ATKCR1,KCR1,YBR159","beta-ketoacyl reductase 1","LOC_Os06g19530","oxidoreductase, short chain dehydrogenase/reductase family, putative, expressed",NA
"Chr04K","4K@26.26",9916183,29613196,"LEN","Chr04K","phytozomev13","gene",17005770,17006400,"Pavir.4KG059210","","","","","ChrSy","expressed protein",NA
"Chr04K","4K@26.26",9916183,29613196,"LEN","Chr04K","phytozomev13","gene",17022298,17023829,"Pavir.4KG059215","","AT5G25610","ATRD22,RD22","BURP domain-containing protein","LOC_Os06g17000","BURP domain containing protein, expressed",NA
