"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",59771204,59773699,"Pavir.2NG031800","","AT3G13080","ATMRP3,MRP3","multidrug resistance-associated protein 3","LOC_Os01g07870","ABC transporter family protein, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",59798345,59800205,"Pavir.2NG031803","GO:0016567,GO:0004842","AT2G31510","ARI7,ATARI7","IBR domain-containing protein","LOC_Os09g38630","expressed protein",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",59802755,59803421,"Pavir.2NG031806","","","","","","",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",59812793,59814044,"Pavir.2NG031809","","","","","","",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",59819222,59821083,"Pavir.2NG031812","","","","","","",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",55812369,55812969,"Pavir.2NG035000","GO:0009733","AT5G27780","","SAUR-like auxin-responsive protein family ","LOC_Os09g37330","OsSAUR39 - Auxin-responsive SAUR gene family member, expressed","SAUR39 "
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",55816255,55816698,"Pavir.2NG035100","GO:0009733","AT5G27780","","SAUR-like auxin-responsive protein family ","LOC_Os09g37394","OsSAUR44 - Auxin-responsive SAUR gene family member, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",55826452,55836600,"Pavir.2NG035103","GO:0005975,GO:0004553","AT2G44480","BGLU17","beta glucosidase 17","LOC_Os09g31430","Os9bglu30 - beta-glucosidase, similar to Os4bglu12 exoglucanase, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56213710,56217935,"Pavir.2NG075200","GO:0048544,GO:0006468,GO:0004672","AT4G21390","B120","S-locus lectin protein kinase family protein","LOC_Os09g37834","serine/threonine-protein kinase receptor precursor, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56219249,56220028,"Pavir.2NG075300","GO:0006468,GO:0004672","AT4G23150","CRK7","cysteine-rich RLK (RECEPTOR-like protein kinase) 7","LOC_Os09g37840","carbohydrate binding protein, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56221182,56221586,"Pavir.2NG075303","","","","","","",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56225693,56229343,"Pavir.2NG075306","GO:0048544,GO:0006468,GO:0004672","AT4G21380","ARK3,RK3","receptor kinase 3","LOC_Os09g37840","carbohydrate binding protein, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56231558,56233550,"Pavir.2NG075309","","AT1G20696","HMGB3,NFD03,NFD3","high mobility group B3","LOC_Os09g37910","HMG1/2, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56236902,56240531,"Pavir.2NG075312","","","","","LOC_Os03g10540","OsFBX78 - F-box domain containing protein, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56241194,56262842,"Pavir.2NG075315","GO:0005524,GO:0004003,GO:0003677,GO:0016818,GO:0008026,GO:0006139,GO:0003676","AT1G20720","","RAD3-like DNA-binding helicase protein","LOC_Os09g37920","helicase, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56535335,56547460,"Pavir.2NG153400","","AT1G03365","","RING/U-box superfamily protein","LOC_Os05g04950","protein binding protein, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56545150,56546313,"Pavir.2NG153403","","","","","LOC_Os05g04390","expressed protein",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56532052,56532967,"Pavir.2NG153500","GO:0016020","AT5G36120","atylmg3,CCB3,YLMG3","cofactor assembly, complex C (B6F)","LOC_Os01g73540","YGGT family protein, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56519810,56532196,"Pavir.2NG153600","GO:0016887,GO:0005524,GO:0055085,GO:0042626,GO:0016021,GO:0006810","AT4G39850","ACN2,AtABCD1,CTS,PED3,PXA1","peroxisomal ABC transporter 1","LOC_Os01g73530","ABC transporter, ATP-binding protein, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56353456,56359235,"Pavir.2NG157000","GO:0070569,GO:0008152","AT5G17310","AtUGP2,UGP2","UDP-glucose pyrophosphorylase 2","LOC_Os09g38030","UTP--glucose-1-phosphate uridylyltransferase, putative, expressed","OsUgp1|Ugp1|UGPase1 "
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56358678,56358973,"Pavir.2NG157003","","","","","","",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56384396,56389287,"Pavir.2NG157200","GO:0016763,GO:0009435,GO:0004514","AT2G01350","QPT","quinolinate phoshoribosyltransferase","LOC_Os09g38060","nicotinate-nucleotide pyrophosphorylase, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56391926,56393357,"Pavir.2NG157203","","AT5G19900","","PRLI-interacting factor, putative","LOC_Os09g38070","expressed protein",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56397714,56399695,"Pavir.2NG157400","","AT2G44360","","","LOC_Os09g38080","retrotransposon protein, putative, unclassified, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56400073,56403210,"Pavir.2NG157500","","AT1G42550","PMI1","plastid movement impaired1","LOC_Os09g38090","expressed protein",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56403359,56406857,"Pavir.2NG157600","","AT2G17270","PHT3;3","phosphate transporter 3;3","LOC_Os09g38100","phosphate carrier protein, mitochondrial precursor, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56407579,56410618,"Pavir.2NG157700","","AT5G08520","","Duplicated homeodomain-like superfamily protein","LOC_Os06g07650","myb-like DNA-binding domain, SHAQKYF class family protein, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56425710,56427860,"Pavir.2NG157900","GO:0008270,GO:0005515","AT1G76410","ATL8","RING/U-box superfamily protein","LOC_Os09g38110","RING-H2 finger protein, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56433098,56438241,"Pavir.2NG158000","GO:0055085,GO:0016021","AT5G65980","","Auxin efflux carrier family protein","LOC_Os09g38130","auxin efflux carrier component, putative, expressed",NA
"Chr02N","2N@72.03",54556579,60798034,"SEC","Chr02N","phytozomev13","gene",56438490,56440408,"Pavir.2NG158003","","","","","","",NA
