"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",48456770,48457475,"Pavir.6NG041200","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",49181709,49183872,"Pavir.6NG042700","","AT3G23820","GAE6","UDP-D-glucuronate 4-epimerase 6","LOC_Os08g41440","UDP-glucuronate 4-epimerase, putative, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",51641831,51644228,"Pavir.6NG215900","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G61880","CYP78A9","cytochrome p450 78a9","LOC_Os08g43390","cytochrome P450, putative, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",47500312,47501519,"Pavir.6NG252700","GO:0005515","AT3G12145","FLOR1,FLR1","Leucine-rich repeat (LRR) family protein","LOC_Os09g31450","polygalacturonase inhibitor 1 precursor, putative, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",47290142,47291046,"Pavir.6NG252900","","","","","LOC_Os12g03250","retrotransposon protein, putative, unclassified, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",46604678,46608393,"Pavir.6NG253900","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",45612437,45613232,"Pavir.6NG254300","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",45613936,45615263,"Pavir.6NG254332","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",45642394,45643091,"Pavir.6NG254364","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",49412017,49413444,"Pavir.6NG254400","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",49414331,49415735,"Pavir.6NG254500","","AT4G17616","","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os07g31310","PPR repeat domain containing protein, putative, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",49413364,49414588,"Pavir.6NG254520","","AT4G17616","","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os07g31310","PPR repeat domain containing protein, putative, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",48584064,48585785,"Pavir.6NG254700","","","","","LOC_Os12g38040","metallothionein family protein, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",48665382,48666676,"Pavir.6NG254737","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",48666724,48671554,"Pavir.6NG254774","","","","","LOC_Os06g42410","expressed protein",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",48673656,48674556,"Pavir.6NG254811","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",48674597,48678035,"Pavir.6NG254848","","","","","LOC_Os02g40940","expressed protein",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",46608651,46609745,"Pavir.6NG256231","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",46613241,46614182,"Pavir.6NG258562","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",48081975,48082409,"Pavir.6NG258700","GO:0005615","AT1G47710","","Serine protease inhibitor (SERPIN) family protein","LOC_Os05g43590","serpin domain containing protein, putative, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",47156095,47156394,"Pavir.6NG259600","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",46016668,46017397,"Pavir.6NG259700","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",47751469,47755956,"Pavir.6NG260000","GO:0043531","AT3G46730","","NB-ARC domain-containing disease resistance protein","LOC_Os01g35300","retrotransposon protein, putative, Ty1-copia subclass, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",46668542,46669369,"Pavir.6NG260600","","AT2G44310","","Calcium-binding EF-hand family protein","LOC_Os09g31025","EF hand family protein, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",46654018,46655609,"Pavir.6NG260700","","AT2G04780","FLA7","FASCICLIN-like arabinoogalactan 7","LOC_Os09g30486","fasciclin domain containing protein, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",46651437,46652163,"Pavir.6NG260800","GO:0005509","AT2G44310","","Calcium-binding EF-hand family protein","LOC_Os09g31025","EF hand family protein, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",46633915,46635018,"Pavir.6NG260893","","","","","","",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",46641030,46645513,"Pavir.6NG260900","GO:0006629","AT2G26560","PLA IIA,PLA2A,PLP2","phospholipase A 2A","LOC_Os03g27610","patatin, putative, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",46512382,46514824,"Pavir.6NG261100","","AT2G04780","FLA7","FASCICLIN-like arabinoogalactan 7","LOC_Os09g30486","fasciclin domain containing protein, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",46493434,46502709,"Pavir.6NG261300","","AT5G55390","EDM2","ENHANCED DOWNY MILDEW 2","LOC_Os08g39250","EDM2, putative, expressed",NA
"Chr06N","6N@54.19",43871788,51935176,"LEN","Chr06N","phytozomev13","gene",46490997,46491779,"Pavir.6NG261400","","AT3G51590","LTP12","lipid transfer protein 12","LOC_Os12g02310","LTPL11 - Protease inhibitor/seed storage/LTP family protein precursor, expressed",NA
