"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr07N","7N@54.06",49035214,49904749,"PRM","Chr07N","phytozomev13","gene",49042215,49042890,"Pavir.7NG430400","GO:0046872,GO:0030001","AT1G01490","","Heavy metal transport/detoxification superfamily protein ","LOC_Os10g38870","heavy metal-associated domain containing protein, expressed",NA
"Chr07N","7N@54.06",49035214,49904749,"PRM","Chr07N","phytozomev13","gene",49043884,49044636,"Pavir.7NG430450","","","","","","",NA
"Chr07N","7N@54.06",49035214,49904749,"PRM","Chr07N","phytozomev13","gene",49045718,49050619,"Pavir.7NG430500","GO:0005515","AT5G56180","ARP8,ATARP8","actin-related protein 8","LOC_Os04g57210","actin-6, putative, expressed",NA
"Chr07N","7N@54.06",49035214,49904749,"PRM","Chr07N","phytozomev13","gene",49050962,49053285,"Pavir.7NG430600","GO:0005515","AT1G64230","UBC28","ubiquitin-conjugating enzyme 28","LOC_Os04g57220","ubiquitin-conjugating enzyme, putative, expressed",NA
"Chr07N","7N@54.06",49035214,49904749,"PRM","Chr07N","phytozomev13","gene",49055029,49058414,"Pavir.7NG430800","GO:0006282","AT3G13226","","regulatory protein RecX family protein","LOC_Os04g57230","regulatory protein RecX family protein, putative, expressed",NA
"Chr07N","7N@54.06",49035214,49904749,"PRM","Chr07N","phytozomev13","gene",49059927,49060546,"Pavir.7NG430900","","","","","","",NA
"Chr07N","7N@54.06",49035214,49904749,"PRM","Chr07N","phytozomev13","gene",49062422,49065813,"Pavir.7NG431000","GO:0055114,GO:0016702","AT1G18490","","Protein of unknown function (DUF1637)","LOC_Os08g03870","2-aminoethanethiol dioxygenase, putative, expressed",NA
"Chr07N","7N@54.06",49035214,49904749,"PRM","Chr07N","phytozomev13","gene",49066571,49069161,"Pavir.7NG431100","GO:0005515","AT5G15710","","Galactose oxidase/kelch repeat superfamily protein","LOC_Os04g57290","OsFBX153 - F-box domain containing protein, expressed",NA
"Chr07N","7N@54.06",49035214,49904749,"PRM","Chr07N","phytozomev13","gene",49072162,49074979,"Pavir.7NG431200","GO:0016773","AT2G03890","ATPI4K GAMMA 7,PI4K GAMMA 7,UBDK GAMMA 7","phosphoinositide 4-kinase gamma 7","LOC_Os04g57300","phosphatidylinositol 3- and 4-kinase family protein, putative, expressed",NA
"Chr07N","7N@54.06",49035214,49904749,"PRM","Chr07N","phytozomev13","gene",49077852,49083056,"Pavir.7NG431300","","AT5G50100","","Putative thiol-disulphide oxidoreductase DCC","LOC_Os04g57310","thiol-disulphide oxidoreductase DCC, putative, expressed",NA
