"TRAIT","GO","NAME","FUNCTION","QTL","locusName","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"LEN","GO:0005515","protein binding","molecular_function","2K@77.89","Pavir.2KG227600","AT5G15550","","Transducin/WD40 repeat-like superfamily protein","LOC_Os07g40930","WD repeat-containing protein 12, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","2K@77.89","Pavir.2KG495800","AT5G52610","","F-box and associated interaction domains-containing protein","LOC_Os08g41750","OsFBX303 - F-box domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","2K@77.89","Pavir.2KG498400","AT5G06860","ATPGIP1,PGIP1","polygalacturonase inhibiting protein 1","LOC_Os07g38130","polygalacturonase inhibitor 1 precursor, putative, expressed","OsFOR1|PGIP "
"LEN","GO:0005515","protein binding","molecular_function","2K@77.89","Pavir.2KG501100","AT4G02730","","Transducin/WD40 repeat-like superfamily protein","LOC_Os07g38430","WD domain, G-beta repeat domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","2K@77.89","Pavir.2KG505300","AT5G19820","emb2734","ARM repeat superfamily protein","LOC_Os07g38760","HEAT repeat family protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","2K@77.89","Pavir.2KG512300","AT4G16490","","ARM repeat superfamily protein","LOC_Os07g39590","spotted leaf 11, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","2K@77.89","Pavir.2KG512505","AT5G55530","","Calcium-dependent lipid-binding (CaLB domain) family protein","LOC_Os07g39620","C2 domain containing protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","2K@77.89","Pavir.2KG515405","AT3G01400","","ARM repeat superfamily protein","LOC_Os03g32100","spotted leaf 11, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","2K@77.89","Pavir.2KG516000","AT1G47765","","F-box and associated interaction domains-containing protein","LOC_Os07g13890","OsFBX230 - F-box domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","2K@77.89","Pavir.2KG523700","AT1G74360","","Leucine-rich repeat protein kinase family protein","LOC_Os07g40630","BRASSINOSTEROID INSENSITIVE 1 precursor, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","2K@77.89","Pavir.2KG526900","AT3G02130","RPK2,TOAD2","receptor-like protein kinase 2","LOC_Os07g41140","receptor-like protein kinase precursor, putative, expressed","OsRPK1 "
"LEN","GO:0005515","protein binding","molecular_function","2K@77.89","Pavir.2KG529700","AT5G20510","AL5","alfin-like 5","LOC_Os07g41740","PHD finger protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG076900","AT1G03440","","Leucine-rich repeat (LRR) family protein","LOC_Os05g33690","receptor-like protein kinase precursor, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG076953","AT5G19330","ARIA","ARM repeat protein interacting with  ABF2","LOC_Os05g33050","ABTB1 - Armadillo repeats with a Bric-a-Brac, Tramtrack, Broad Complex BTB domain, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG110604","AT5G64630","FAS2,MUB3.9,NFB01,NFB1","Transducin/WD40 repeat-like superfamily protein","LOC_Os08g01680","WD domain, G-beta repeat domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG140755","AT4G29990","","Leucine-rich repeat transmembrane protein kinase protein","LOC_Os05g44930","receptor-like protein kinase, putative, expressed",NA
