"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4391324,4394530,"Pavir.5KG060200","","AT4G26060","","Ribosomal protein L18ae family","LOC_Os05g08854","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4396770,4398786,"Pavir.5KG060300","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT4G39490","CYP96A10","cytochrome P450, family 96, subfamily A, polypeptide 10","LOC_Os01g08810","cytochrome P450, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4399904,4403613,"Pavir.5KG060400","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT2G21910","CYP96A5","cytochrome P450, family 96, subfamily A, polypeptide 5","LOC_Os01g08800","cytochrome P450, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4522936,4531686,"Pavir.5KG060800","","AT1G22770","FB,GI","gigantea protein (GI)","LOC_Os01g08700","GIGANTEA, putative, expressed","OsGI "
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4532000,4534618,"Pavir.5KG060900","","AT5G64780","","Uncharacterised conserved protein UCP009193","LOC_Os01g08690","holocarboxylase synthetase, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4534629,4538063,"Pavir.5KG061000","","AT2G36960","TKI1","TSL-kinase interacting protein 1","LOC_Os01g08680","myb/SANT domain protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4402349,4403742,"Pavir.5KG061187","","AT5G43250","NF-YC13","nuclear factor Y, subunit C13","LOC_Os01g08790","histone-like transcription factor and archaeal histone, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4550470,4553707,"Pavir.5KG061200","","AT3G22440","","FRIGIDA-like protein","LOC_Os01g08580","frigida, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4558889,4563882,"Pavir.5KG061300","","AT1G18950","","DDT domain superfamily","LOC_Os01g08550","aminoacyl-tRNA synthetase, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4564140,4564995,"Pavir.5KG061400","","AT1G79960","ATOFP14,OFP14","ovate family protein 14","LOC_Os03g06350","DUF623 domain containing protein, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4578832,4581144,"Pavir.5KG061500","","AT5G15240","","Transmembrane amino acid transporter family protein","LOC_Os04g38680","transmembrane amino acid transporter protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4584977,4587008,"Pavir.5KG061600","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G26280","CYP71B4","cytochrome P450, family 71, subfamily B, polypeptide 4","LOC_Os02g09200","cytochrome P450 71D10, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4590191,4595828,"Pavir.5KG061700","GO:0046983,GO:0008171","AT4G35160","","O-methyltransferase family protein","LOC_Os05g43930","O-methyltransferase, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4542087,4542742,"Pavir.5KG061787","","AT2G25735","","","LOC_Os01g08670","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4599185,4602964,"Pavir.5KG061800","","","","","LOC_Os06g01640","arginine N-methyltransferase 7, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4602965,4604074,"Pavir.5KG061900","","","","","LOC_Os10g35120","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4413551,4413889,"Pavir.5KG061974","GO:0006355","AT3G59470","","Far-red impaired responsive (FAR1) family protein","LOC_Os10g42160","transposon protein, putative, unclassified, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4643985,4645009,"Pavir.5KG062300","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4646469,4656065,"Pavir.5KG062400","GO:0030983,GO:0006298,GO:0005524","AT3G24495","ATMSH7,MSH6-2,MSH7","MUTS homolog 7","LOC_Os01g08540","DNA mismatch repair protein MSH6-2, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4663137,4664686,"Pavir.5KG062500","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4675582,4678078,"Pavir.5KG062600","","AT3G63210","MARD1","Protein of unknown function (DUF581)","LOC_Os01g08520","DUF581 domain containing protein, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4604392,4608477,"Pavir.5KG062687","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4684358,4694965,"Pavir.5KG062700","","AT3G16000","MFP1","MAR binding filament-like protein 1","LOC_Os01g08510","MAR-binding filament-like protein 1, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4422970,4427078,"Pavir.5KG062761","","AT1G71710","","DNAse I-like superfamily protein","LOC_Os01g08780","endonuclease/exonuclease/phosphatase family domain containing protein, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4702198,4704970,"Pavir.5KG062900","GO:0005515","AT4G13340","","Leucine-rich repeat (LRR) family protein","LOC_Os05g08770","uncharacterized protein At4g06744 precursor, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4714415,4719519,"Pavir.5KG063000","GO:0016020","AT3G24460","","Serinc-domain containing serine and sphingolipid biosynthesis protein","LOC_Os01g08460","TMS membrane protein/tumour differentially expressed protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4723258,4724706,"Pavir.5KG063100","GO:0016758,GO:0008152","AT4G15550","IAGLU","indole-3-acetate beta-D-glucosyltransferase","LOC_Os01g08440","UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4727686,4735673,"Pavir.5KG063200","","AT4G32620","","Enhancer of polycomb-like transcription factor protein","LOC_Os01g08430","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4671343,4671846,"Pavir.5KG063287","GO:0003677","AT3G42170","","BED zinc finger ;hAT family dimerisation domain","LOC_Os12g28110","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4768010,4784157,"Pavir.5KG063400","","AT2G25660","emb2410","embryo defective 2410","LOC_Os01g08420","EMB2410, putative, expressed","SSG4 "
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4616636,4617172,"Pavir.5KG063474","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4696028,4696812,"Pavir.5KG063487","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4786639,4790013,"Pavir.5KG063500","","AT2G25670","","","LOC_Os01g08410","early fruit mRNA, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4427458,4429550,"Pavir.5KG063548","","AT3G45070","","P-loop containing nucleoside triphosphate hydrolases superfamily protein","LOC_Os12g17160","flavonol sulfotransferase, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4790228,4794551,"Pavir.5KG063600","GO:0016020,GO:0005515","AT3G24350","ATSYP32,SYP32","syntaxin of plants  32","LOC_Os01g08400","syntaxin, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4719118,4719904,"Pavir.5KG063787","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4800308,4802475,"Pavir.5KG063800","GO:0016747","AT3G62160","","HXXXD-type acyl-transferase family protein","LOC_Os01g08380","transferase family protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4805770,4806114,"Pavir.5KG063900","","","","","LOC_Os06g39860","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4839968,4840786,"Pavir.5KG064000","","","","","LOC_Os06g39860","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4673145,4673570,"Pavir.5KG064074","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4783356,4784157,"Pavir.5KG064187","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4863748,4863945,"Pavir.5KG064200","","AT3G46613","DVL15,RTFL4","ROTUNDIFOLIA like 4","LOC_Os05g08620","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4788017,4788346,"Pavir.5KG064287","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4432770,4436175,"Pavir.5KG064335","","AT1G74320","","Protein kinase superfamily protein","LOC_Os01g08760","choline/ethanolamine kinase, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4869227,4872681,"Pavir.5KG064400","GO:0008270,GO:0005515","AT4G32600","","RING/U-box superfamily protein","LOC_Os01g08340","zinc finger family protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4873293,4874827,"Pavir.5KG064600","GO:0006508,GO:0004190","AT5G33340","CDR1","Eukaryotic aspartyl protease family protein","LOC_Os01g08330","aspartic proteinase nepenthesin-1 precursor, putative, expressed","OsCDR1 "
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4814660,4815331,"Pavir.5KG064687","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4882699,4886185,"Pavir.5KG064800","GO:0006355,GO:0005634","AT1G04250","AXR3,IAA17","AUX/IAA transcriptional regulator family protein","LOC_Os05g08570","OsIAA15 - Auxin-responsive Aux/IAA gene family member, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4891663,4895120,"Pavir.5KG064900","GO:0008601,GO:0007165,GO:0000159","AT5G25510","","Protein phosphatase 2A regulatory B subunit family protein","LOC_Os05g08560","transposon protein, putative, unclassified, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4864996,4865773,"Pavir.5KG064987","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4895465,4898097,"Pavir.5KG065000","GO:0016021","AT5G19930","","Protein of unknown function DUF92, transmembrane","LOC_Os01g08290","transmembrane protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4898452,4901979,"Pavir.5KG065100","","AT5G19950","","Domain of unknown function (DUF1767)","LOC_Os01g08280","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4483130,4488767,"Pavir.5KG065122","GO:0043565,GO:0006355,GO:0003700","AT4G39410","ATWRKY13,WRKY13","WRKY DNA-binding protein 13","LOC_Os01g08710","WRKY102, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4904542,4909179,"Pavir.5KG065300","GO:0030170","AT1G80360","","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","LOC_Os01g08270","aminotransferase, classes I and II, domain containing protein, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4916566,4925415,"Pavir.5KG065500","GO:0016887,GO:0005524,GO:0016020","AT2G26910","ATPDR4,PDR4","pleiotropic drug resistance 4","LOC_Os01g42410","pleiotropic drug resistance protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4941073,4943331,"Pavir.5KG065700","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4866652,4867426,"Pavir.5KG065774","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4950815,4954370,"Pavir.5KG065800","GO:0055114,GO:0016491","AT1G15550","ATGA3OX1,GA3OX1,GA4","gibberellin 3-oxidase 1","LOC_Os01g08220","gibberellin 3-beta-dioxygenase 2-2, putative, expressed","d18|OsGA3ox2 "
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4502970,4504437,"Pavir.5KG065909","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",4964966,4974818,"Pavir.5KG066200","GO:0008270","AT3G20630","ATUBP14,PER1,TTN6,UBP14","ubiquitin-specific protease 14","LOC_Os01g08200","ubiquitin carboxyl-terminal hydrolase 14, putative, expressed",NA
