"INDEX","TRAIT","MARKER","POS","LOD","CHR","QTL","lowposition","down_marker","highposition","up_marker","QxE","ChrNo","ChrAnnot","Dist"
120,"LEN","Chr02K_62.598826",77.8949766974996,5.31232281214211,"2K","2K@77.89",74.0154737276021,"Chr02K_59.503978",81.9047065689406,"Chr02K_64.045891","No",2,"K",3
261,"LEN","Chr03N_26.099983",62.059842952873,4.52044492325234,"3N","3N@62.06",60.0031862408961,"Chr03N_24.521536",63.9703127262294,"Chr03N_28.061601","Yes",3,"N",6
306,"LEN","Chr04K_18.145014",30.0286499736129,4.06320004251686,"4K","4K@30.03",21.8615142970421,"Chr04K_9.916183",33.9275688261339,"Chr04K_29.613196","No",4,"K",7
392,"LEN","Chr05K_50.651488",64.4606261585206,4.62404190694166,"5K","5K@64.46",57.8573177144219,"Chr05K_44.678143",82.8117513995767,"Chr05K_57.992032","Yes",5,"K",9
478,"LEN","Chr06K_31.834459",29.9563420705627,4.04359343975635,"6K","6K@29.96",26.219630124776,"Chr06K_16.994773",42.1121828563264,"Chr06K_41.6242","Yes",6,"K",11
517,"LEN","Chr06N_48.768076",54.1922170033334,3.67389572266386,"6N","6N@54.19",43.7729712066161,"Chr06N_43.871788",62.8226786459632,"Chr06N_51.935176","Yes",6,"N",12
697,"LEN","Chr09N_18.617122",38.0199096630078,5.23780537236909,"9N","9N@38.02",24.0794809045192,"Chr09N_10.880731",42.2012411628847,"Chr09N_20.831824","No",9,"N",18
118,"PRM","Chr02K_59.503978",74.0154737276021,5.2140875769269,"2K","2K@74.02",67.6013896526768,"Chr02K_57.24019",85.7409205117749,"Chr02K_65.441197","No",2,"K",3
201,"PRM","Chr03K_17.77051",38.0031542552573,8.34864161964667,"3K","3K@38",30.0981997693541,"Chr03K_13.323286",41.8470788163825,"Chr03K_20.786505","Yes",3,"K",5
368,"PRM","Chr05K_7.723311",15.7174460455652,3.61149691690848,"5K","5K@15.72",0,"Chr05K_1.892161",22.1169769055143,"Chr05K_9.641593","Yes",5,"K",9
443,"PRM","Chr05N_52.465402",68.1311366876163,5.684367197311,"5N","5N@68.13",57.9948288594103,"Chr05N_44.038243",71.9911181298461,"Chr05N_54.509113","No",5,"N",10
578,"PRM","Chr07N_49.904749",54.064723787743,4.39391014681232,"7N","7N@54.06",52.1014170026254,"Chr07N_49.035214",54.064723787743,"Chr07N_49.904749","Yes",7,"N",14
696,"PRM","Chr09N_17.684245",36.0863422574247,5.33917190383006,"9N","9N@36.09",19.9092293873344,"Chr09N_7.913256",43.8148593478266,"Chr09N_21.588445","No",9,"N",18
162,"SEC","Chr02N_55.500715",66.1235811059884,10.2753374238692,"2N","2N@66.12",64.0596885581436,"Chr02N_54.556579",78.0502486850741,"Chr02N_60.798034","No",2,"N",4
196,"SEC","Chr03K_12.516769",27.8910397211575,3.75288602520979,"3K","3K@27.89",16.0062433525308,"Chr03K_7.298668",39.8166647654606,"Chr03K_18.94096","Yes",3,"K",5
370,"SEC","Chr05K_8.863669",20.0769830569188,3.69505393632206,"5K","5K@20.08",12.0658616686955,"Chr05K_6.599395",30.0917632905928,"Chr05K_14.723452","No",5,"K",9
408,"SEC","Chr05K_60.232411",95.4953173081632,5.9751353657156,"5K","5K@95.5",84.0779322685773,"Chr05K_58.488157",95.4953173081632,"Chr05K_60.232411","No",5,"K",9
650,"SEC","Chr09K_24.465322",51.9638689269929,10.1917466231656,"9K","9K@51.96",43.9177187142108,"Chr09K_17.83369",56.0733837977527,"Chr09K_28.697896","Yes",9,"K",17
671,"SEC","Chr09K_63.87085",93.8787910711981,3.87936695265887,"9K","9K@93.88",77.94496050645,"Chr09K_56.598387",102.141134023075,"Chr09K_68.109779","No",9,"K",17
694,"SEC","Chr09N_15.052555",32.0278621008777,11.4522946399337,"9N","9N@32.03",26.0295687891319,"Chr09N_12.531268",36.0863422574247,"Chr09N_17.684245","Yes",9,"N",18
