"INDEX","TRAIT","MARKER","POS","LOD","CHR","QTL","lowposition","down_marker","highposition","up_marker","QxE","ChrNo","ChrAnnot","Dist"
55,"BIO","Chr01N_8.183998",24.1020464416814,6.35696876655168,"1N","1N@24.1",19.9559768880251,"Chr01N_7.13359",35.8397195879603,"Chr01N_16.019857","Yes",1,"N",2
82,"BIO","Chr02K_3.403378",1.99601912040906,3.85685548872913,"2K","2K@2",0,"Chr02K_1.973728",16.041941703502,"Chr02K_8.744194","Yes",2,"K",3
116,"BIO","Chr02K_58.020058",70.1176959689577,4.00080841824254,"2K","2K@70.12",59.9720705751702,"Chr02K_51.907393",77.8949766974996,"Chr02K_62.598826","Yes",2,"K",3
262,"BIO","Chr03N_28.061601",63.9703127262294,8.26335753044962,"3N","3N@63.97",57.7327334737245,"Chr03N_23.096017",73.9903907201025,"Chr03N_41.758701","Yes",3,"N",6
334,"BIO","Chr04N_6.857542",22.1163121498951,4.88916598363728,"4N","4N@22.12",15.507278147382,"Chr04N_5.550767",34.0219610929271,"Chr04N_15.630693","Yes",4,"N",8
529,"BIO","Chr07K_31.170259",12.0055901494413,4.24674641745764,"7K","7K@12.01",7.88267082412349,"Chr07K_28.928827",26.2687767326907,"Chr07K_41.193685","Yes",7,"K",13
655,"BIO","Chr09K_45.50572",61.9779035629339,3.67736554610934,"9K","9K@61.98",56.0733837977527,"Chr09K_28.697896",74.0755826024162,"Chr09K_53.691256","Yes",9,"K",17
699,"BIO","Chr09N_20.831824",42.2012411628847,4.15640887804746,"9N","9N@42.2",34.167792736749,"Chr09N_16.482124",55.82768240322,"Chr09N_30.348919","No",9,"N",18
734,"BIO","Chr09N_79.70878",112.197652644182,4.30594038995459,"9N","9N@112.2",106.003786845686,"Chr09N_78.098095",117.756453982023,"Chr09N_80.905879","Yes",9,"N",18
81,"FL50","Chr02K_1.973728",0,4.43579285459808,"2K","2K@0",0,"Chr02K_1.973728",16.041941703502,"Chr02K_8.744194","Yes",2,"K",3
97,"FL50","Chr02K_18.103258",32.0643524563084,6.23845166945946,"2K","2K@32.06",25.7328422213342,"Chr02K_14.054433",35.9969542564047,"Chr02K_23.052682","Yes",2,"K",3
164,"FL50","Chr02N_57.985512",70.0175627266398,11.0597844035763,"2N","2N@70.02",68.1217484425813,"Chr02N_56.445418",74.0836246439113,"Chr02N_59.589757","Yes",2,"N",4
203,"FL50","Chr03K_20.786505",41.8470788163825,3.55706338405228,"3K","3K@41.85",34.024391536722,"Chr03K_16.068781",51.9259508836974,"Chr03K_27.806694","Yes",3,"K",5
293,"FL50","Chr04K_3.221857",3.88963786630701,5.65094461301739,"4K","4K@3.89",0,"Chr04K_1.847328",24.0452106076513,"Chr04K_11.318617","Yes",4,"K",7
412,"FL50","Chr05N_3.372679",5.94114571499672,30.8882326699135,"5N","5N@5.94",0,"Chr05N_1.464967",7.86682292081104,"Chr05N_4.300046","Yes",5,"N",10
451,"FL50","Chr05N_64.047349",84.0362266284319,36.894255547538,"5N","5N@84.04",82.0276215482688,"Chr05N_62.717086",87.9845478946833,"Chr05N_65.990782","Yes",5,"N",10
578,"FL50","Chr07N_49.904749",54.064723787743,4.4446805416503,"7N","7N@54.06",47.857288785361,"Chr07N_48.059731",54.064723787743,"Chr07N_49.904749","Yes",7,"N",14
619,"FL50","Chr08N_44.469892",36.0824061065581,3.58429193182161,"8N","8N@36.08",12.0156651814169,"Chr08N_12.212692",42.0402340998087,"Chr08N_49.026831","No",8,"N",16
658,"FL50","Chr09K_50.343283",67.9392527455229,4.72196387756083,"9K","9K@67.94",59.8645093657881,"Chr09K_43.345288",74.0755826024162,"Chr09K_53.691256","No",9,"K",17
689,"FL50","Chr09N_9.380976",22.1110603948176,4.37953414914658,"9N","9N@22.11",9.94649615904545,"Chr09N_3.89197",26.0295687891319,"Chr09N_12.531268","No",9,"N",18
118,"PBN","Chr02K_59.503978",74.0154737276021,4.08801464381512,"2K","2K@74.02",66.0626040857172,"Chr02K_56.436103",80.3863333729809,"Chr02K_63.664705","No",2,"K",3
162,"PBN","Chr02N_55.500715",66.1235811059884,5.52068889233821,"2N","2N@66.12",58.1843908280816,"Chr02N_50.387752",68.1217484425813,"Chr02N_56.445418","No",2,"N",4
201,"PBN","Chr03K_17.77051",38.0031542552573,8.82920606330896,"3K","3K@38",30.0981997693541,"Chr03K_13.323286",41.8470788163825,"Chr03K_20.786505","Yes",3,"K",5
367,"PBN","Chr05K_7.188103",14.0589051590583,4.89723017786627,"5K","5K@14.06",5.94111712479324,"Chr05K_4.388419",17.8179541661273,"Chr05K_8.204815","Yes",5,"K",9
451,"PBN","Chr05N_64.047349",84.0362266284319,4.7265415883916,"5N","5N@84.04",79.9286522494642,"Chr05N_60.974614",87.9845478946833,"Chr05N_65.990782","No",5,"N",10
578,"PBN","Chr07N_49.904749",54.064723787743,4.16687733423831,"7N","7N@54.06",52.1014170026254,"Chr07N_49.035214",54.064723787743,"Chr07N_49.904749","Yes",7,"N",14
691,"PBN","Chr09N_12.531268",26.0295687891319,4.89472772651814,"9N","9N@26.03",19.9092293873344,"Chr09N_7.913256",43.8148593478266,"Chr09N_21.588445","No",9,"N",18
120,"PL","Chr02K_62.598826",77.8949766974996,6.1820381724176,"2K","2K@77.89",75.9331383805525,"Chr02K_60.739957",81.9047065689406,"Chr02K_64.045891","No",2,"K",3
261,"PL","Chr03N_26.099983",62.059842952873,4.29109372838509,"3N","3N@62.06",60.0031862408961,"Chr03N_24.521536",66.0718021313172,"Chr03N_30.30364","Yes",3,"N",6
304,"PL","Chr04K_13.041487",26.2560336271333,4.65988706594298,"4K","4K@26.26",21.8615142970421,"Chr04K_9.916183",33.9275688261339,"Chr04K_29.613196","No",4,"K",7
398,"PL","Chr05K_56.620419",76.021997074541,4.81780124995076,"5K","5K@76.02",57.8573177144219,"Chr05K_44.678143",84.0779322685773,"Chr05K_58.488157","No",5,"K",9
427,"PL","Chr05N_16.511689",36.2680425984245,3.62528912312887,"5N","5N@36.27",29.875025945959,"Chr05N_11.735767",61.9500271952891,"Chr05N_47.154718","No",5,"N",10
517,"PL","Chr06N_48.768076",54.1922170033334,3.56052748860799,"6N","6N@54.19",43.7729712066161,"Chr06N_43.871788",62.8226786459632,"Chr06N_51.935176","Yes",6,"N",12
697,"PL","Chr09N_18.617122",38.0199096630078,5.81615902957904,"9N","9N@38.02",24.0794809045192,"Chr09N_10.880731",42.2012411628847,"Chr09N_20.831824","No",9,"N",18
165,"SBN","Chr02N_58.696003",72.0280337153464,9.46248077969254,"2N","2N@72.03",64.0596885581436,"Chr02N_54.556579",78.0502486850741,"Chr02N_60.798034","No",2,"N",4
408,"SBN","Chr05K_60.232411",95.4953173081632,6.22030776829348,"5K","5K@95.5",86.0146087247594,"Chr05K_58.583292",95.4953173081632,"Chr05K_60.232411","No",5,"K",9
650,"SBN","Chr09K_24.465322",51.9638689269929,10.3666339331015,"9K","9K@51.96",47.8973861561185,"Chr09K_19.959778",56.0733837977527,"Chr09K_28.697896","Yes",9,"K",17
697,"SBN","Chr09N_18.617122",38.0199096630078,9.28781987209933,"9N","9N@38.02",36.0863422574247,"Chr09N_17.684245",40.055594794063,"Chr09N_19.333648","No",9,"N",18
70,"TC","Chr01N_52.080814",53.9248472689566,3.90160227124022,"1N","1N@53.92",46.1510649927514,"Chr01N_43.861744",57.8373666283766,"Chr01N_55.349772","No",1,"N",2
211,"TC","Chr03K_30.205387",57.6000693867599,6.02469118254153,"3K","3K@57.6",38.0031542552573,"Chr03K_17.77051",62.0479774044373,"Chr03K_31.10716","Yes",3,"K",5
449,"TC","Chr05N_60.974614",79.9286522494642,3.72951243442556,"5N","5N@79.93",73.949444544616,"Chr05N_55.87129",90.1092321934631,"Chr05N_66.677905","No",5,"N",10
510,"TC","Chr06N_40.297663",39.8982592929921,3.8172069320316,"6N","6N@39.9",33.9705464906115,"Chr06N_33.525658",41.9092227653239,"Chr06N_42.031063","Yes",6,"N",12
702,"TC","Chr09N_23.737375",47.9719349332112,7.67490678207761,"9N","9N@47.97",40.055594794063,"Chr09N_19.333648",49.9870546738024,"Chr09N_25.48572","Yes",9,"N",18
