"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr03K","3K@38",13323286,20786505,"PRM","Chr03K","phytozomev13","gene",14092937,14094448,"Pavir.3KG206100","","AT2G46150","","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family","LOC_Os05g50720","harpin-induced protein 1 domain containing protein, expressed",NA
"Chr03K","3K@38",13323286,20786505,"PRM","Chr03K","phytozomev13","gene",14100894,14101476,"Pavir.3KG206200","","AT1G01470","LEA14,LSR3","Late embryogenesis abundant protein","LOC_Os05g50710","late embryogenesis abundant protein, putative, expressed","OsLEA5 "
"Chr03K","3K@38",13323286,20786505,"PRM","Chr03K","phytozomev13","gene",14117038,14118424,"Pavir.3KG206300","GO:0043565,GO:0006355,GO:0003700","AT4G01250","AtWRKY22,WRKY22","WRKY family transcription factor","LOC_Os05g50700","WRKY111, expressed",NA
"Chr03K","3K@38",13323286,20786505,"PRM","Chr03K","phytozomev13","gene",13332950,13334592,"Pavir.3KG206367","","AT1G22790","","","LOC_Os01g40700","expressed protein",NA
"Chr03K","3K@38",13323286,20786505,"PRM","Chr03K","phytozomev13","gene",13338807,13343429,"Pavir.3KG206394","","AT3G24420","","alpha/beta-Hydrolases superfamily protein","LOC_Os05g51240","hydrolase, alpha/beta fold family domain containing protein, expressed",NA
"Chr03K","3K@38",13323286,20786505,"PRM","Chr03K","phytozomev13","gene",14127707,14128874,"Pavir.3KG206400","","AT2G18500","ATOFP7,OFP7","ovate family protein 7","LOC_Os01g43610","DUF623 domain containing protein, expressed","OsOFP2 "
"Chr03K","3K@38",13323286,20786505,"PRM","Chr03K","phytozomev13","gene",13349166,13354336,"Pavir.3KG206421","GO:0006468,GO:0004672","AT3G13690","","Protein kinase protein with adenine nucleotide alpha hydrolases-like domain","LOC_Os01g41870","protein kinase, putative, expressed",NA
"Chr03K","3K@38",13323286,20786505,"PRM","Chr03K","phytozomev13","gene",14130742,14131694,"Pavir.3KG206427","","","","","","",NA
"Chr03K","3K@38",13323286,20786505,"PRM","Chr03K","phytozomev13","gene",13360454,13364795,"Pavir.3KG206448","","AT2G25420","","transducin family protein / WD-40 repeat family protein","LOC_Os04g52660","expressed protein",NA
"Chr03K","3K@38",13323286,20786505,"PRM","Chr03K","phytozomev13","gene",13367514,13369820,"Pavir.3KG206475","","AT2G15690","","Tetratricopeptide repeat (TPR)-like superfamily protein","LOC_Os04g09530","pentatricopeptide, putative, expressed",NA
"Chr03K","3K@38",13323286,20786505,"PRM","Chr03K","phytozomev13","gene",14135067,14142865,"Pavir.3KG206500","GO:0035091","AT1G15240","","Phox-associated domain;Phox-like;Sorting nexin, C-terminal","LOC_Os05g50660","PX domain containing protein, putative, expressed",NA
