CHR,region_start,region_end,width,region_strand,Annotation,QUERYID,TXID,Gene ID,log10BayesFactor,POS,marker.ID,CHRN,Num_Sig_Conditions,gene_start,gene_end,gene_width,gene_strand,pacId,transcriptName,peptideName,Pfam,Panther Categories,KOG,ec,KO,GO,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice homolog,Rice gene name,Rice gene annotation,d2_start,d2_end,distance from gene
Chr01K,590957,610957,20001,+,spliceSite,1,30,Pavir.1KG005033,2.5744220176855204,600957,Chr01K_600957,1,9,587749,609298,21550,+,41623981,Pavir.1KG005033.1,Pavir.1KG005033.1.p,PF00892,"PTHR31218,PTHR31218:SF27",NA,NA,NA,"GO:0016021,GO:0016020,GO:0022857",AT2G37460.1,NA,nodulin MtN21 /EamA-like transporter family protein,LOC_Os12g18960.1,NA,"integral membrane protein DUF6 containing protein, expressed",13208,-8341,8341
Chr01K,590957,610957,20001,+,spliceSite,1,31,Pavir.1KG005033,2.5744220176855204,600957,Chr01K_600957,1,9,587749,609298,21550,+,41623981,Pavir.1KG005033.1,Pavir.1KG005033.1.p,PF00892,"PTHR31218,PTHR31218:SF27",NA,NA,NA,"GO:0016021,GO:0016020,GO:0022857",AT2G37460.1,NA,nodulin MtN21 /EamA-like transporter family protein,LOC_Os12g18960.1,NA,"integral membrane protein DUF6 containing protein, expressed",13208,-8341,8341
Chr01K,597571,617571,20001,+,spliceSite,2,30,Pavir.1KG005033,2.4836428113069164,607571,Chr01K_607571,1,9,587749,609298,21550,+,41623981,Pavir.1KG005033.1,Pavir.1KG005033.1.p,PF00892,"PTHR31218,PTHR31218:SF27",NA,NA,NA,"GO:0016021,GO:0016020,GO:0022857",AT2G37460.1,NA,nodulin MtN21 /EamA-like transporter family protein,LOC_Os12g18960.1,NA,"integral membrane protein DUF6 containing protein, expressed",19822,-1727,1727
Chr01K,597571,617571,20001,+,spliceSite,2,31,Pavir.1KG005033,2.4836428113069164,607571,Chr01K_607571,1,9,587749,609298,21550,+,41623981,Pavir.1KG005033.1,Pavir.1KG005033.1.p,PF00892,"PTHR31218,PTHR31218:SF27",NA,NA,NA,"GO:0016021,GO:0016020,GO:0022857",AT2G37460.1,NA,nodulin MtN21 /EamA-like transporter family protein,LOC_Os12g18960.1,NA,"integral membrane protein DUF6 containing protein, expressed",19822,-1727,1727
Chr01K,597571,617571,20001,+,spliceSite,2,32,Pavir.1KG005166,2.4836428113069164,607571,Chr01K_607571,1,9,613690,618324,4635,+,41619165,Pavir.1KG005166.1,Pavir.1KG005166.1.p,"PF00319,PF01486","PTHR11945,PTHR11945:SF208",KOG0014,NA,NA,"GO:0046983,GO:0003677,GO:0006355,GO:0005634,GO:0003700",AT2G45660.1,"AGL20,ATSOC1,SOC1",AGAMOUS-like 20,LOC_Os02g01355.1,NA,"MADS-box transcription factor, putative, expressed",-6119,-10753,6119
Chr01K,1060684,1080684,20001,+,spliceSite,3,3957,Pavir.1KG010800,2.374790286447468,1070684,Chr01K_1070684,1,9,1070875,1072006,1132,-,41619787,Pavir.1KG010800.1,Pavir.1KG010800.1.p,NA,"PTHR36038,PTHR36038:SF2",NA,NA,NA,NA,NA,NA,NA,LOC_Os02g02160.1,NA,expressed protein,-191,-1322,191
Chr01K,1060684,1080684,20001,+,spliceSite,3,69,Pavir.1KG010700,2.374790286447468,1070684,Chr01K_1070684,1,9,1064292,1070745,6454,+,41620774,Pavir.1KG010700.1,Pavir.1KG010700.1.p,PF04414,"PTHR34667,PTHR34667:SF1",NA,3.1.1.96,K09716,"GO:0051499,GO:0016788",AT2G03800.1,GEK1,D-aminoacyl-tRNA deacylases,LOC_Os08g25140.1,NA,"ethanol tolerance protein GEKO1, putative, expressed",6392,-61,61
Chr01K,1060684,1080684,20001,+,spliceSite,3,70,Pavir.1KG010700,2.374790286447468,1070684,Chr01K_1070684,1,9,1064292,1070745,6454,+,41620774,Pavir.1KG010700.1,Pavir.1KG010700.1.p,PF04414,"PTHR34667,PTHR34667:SF1",NA,3.1.1.96,K09716,"GO:0051499,GO:0016788",AT2G03800.1,GEK1,D-aminoacyl-tRNA deacylases,LOC_Os08g25140.1,NA,"ethanol tolerance protein GEKO1, putative, expressed",6392,-61,61
Chr01K,1060684,1080684,20001,+,spliceSite,3,71,Pavir.1KG010700,2.374790286447468,1070684,Chr01K_1070684,1,9,1064292,1070745,6454,+,41620774,Pavir.1KG010700.1,Pavir.1KG010700.1.p,PF04414,"PTHR34667,PTHR34667:SF1",NA,3.1.1.96,K09716,"GO:0051499,GO:0016788",AT2G03800.1,GEK1,D-aminoacyl-tRNA deacylases,LOC_Os08g25140.1,NA,"ethanol tolerance protein GEKO1, putative, expressed",6392,-61,61
Chr01K,1659357,1679357,20001,+,spliceSite,4,4030,Pavir.1KG014700,2.056239635396389,1669357,Chr01K_1669357,1,6,1661405,1662159,755,-,41623255,Pavir.1KG014700.1,Pavir.1KG014700.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7952,7198,7198
