"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr09K","9K@51.96",19959778,28697896,"SEC","Chr09K","phytozomev13","gene",21502349,21505456,"Pavir.9KG053100","GO:0016020,GO:0006810,GO:0005215","AT1G59740","","Major facilitator superfamily protein","LOC_Os12g12934","peptide transporter PTR3-A, putative, expressed",NA
"Chr09K","9K@51.96",19959778,28697896,"SEC","Chr09K","phytozomev13","gene",21495180,21496114,"Pavir.9KG053300","","AT5G25250","","SPFH/Band 7/PHB domain-containing membrane-associated protein family","LOC_Os10g34150","nodulin, putative, expressed",NA
"Chr09K","9K@51.96",19959778,28697896,"SEC","Chr09K","phytozomev13","gene",21483768,21484251,"Pavir.9KG053600","","","","","","",NA
"Chr09K","9K@51.96",19959778,28697896,"SEC","Chr09K","phytozomev13","gene",21480256,21480858,"Pavir.9KG053700","","","","","","",NA
"Chr09K","9K@51.96",19959778,28697896,"SEC","Chr09K","phytozomev13","gene",21348057,21349958,"Pavir.9KG130600","GO:0006508,GO:0004190","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os06g40818","aspartic proteinase, putative, expressed",NA
"Chr09K","9K@51.96",19959778,28697896,"SEC","Chr09K","phytozomev13","gene",21327344,21330434,"Pavir.9KG130900","","AT1G17880","ATBTF3,BTF3","basic transcription factor 3","LOC_Os03g01910","transcription factor BTF3, putative, expressed","OsBTF3|Osj10gBTF3 "
"Chr09K","9K@51.96",19959778,28697896,"SEC","Chr09K","phytozomev13","gene",21334440,21339920,"Pavir.9KG131185","GO:0045454,GO:0015035,GO:0009055,GO:0035556","AT3G11920","","glutaredoxin-related","LOC_Os10g34170","glutaredoxin domain containing protein, putative, expressed",NA
"Chr09K","9K@51.96",19959778,28697896,"SEC","Chr09K","phytozomev13","gene",20169264,20172317,"Pavir.9KG144800","GO:0016021,GO:0016020","AT3G02690","","nodulin MtN21 /EamA-like transporter family protein","LOC_Os10g35140","integral membrane protein, putative, expressed",NA
"Chr09K","9K@51.96",19959778,28697896,"SEC","Chr09K","phytozomev13","gene",19960002,19961827,"Pavir.9KG148500","GO:0006355,GO:0003677","AT4G00940","","Dof-type zinc finger DNA-binding family protein","LOC_Os10g35300","dof zinc finger domain containing protein, putative, expressed",NA
"Chr09K","9K@51.96",19959778,28697896,"SEC","Chr09K","phytozomev13","gene",19961980,19970548,"Pavir.9KG148600","","AT3G15480","","Protein of unknown function (DUF1218)","LOC_Os10g35294","fiber protein Fb34, putative, expressed",NA
